time,side,ticker_id,mv_dn_composite_labels,price_drift_1_df005,dist_upper_bb_50_2.5_df055,price_drift_5_df005,joint_fall_flag_5_5_df042
2005-02-16 00:00:00+00,SHORT,1423,0.0,-1.8932222E-4,-0.023847668,0.06257545,0.0
2005-02-16 00:00:00+00,SHORT,3742,0.3210911610065936,-0.003944773,-0.024734145,0.0047751693,0.0
2005-02-17 00:00:00+00,SHORT,4171,0.6117308040320403,-0.009066306,-0.023195187,0.050947186,0.0
2005-02-17 00:00:00+00,SHORT,2536,0.1706404882847032,-0.0020090407,-0.020054676,0.01257007,0.0
2005-02-17 00:00:00+00,SHORT,2643,0.9090909090909091,-0.007876532,-0.004591742,0.03756462,0.0
2005-02-17 00:00:00+00,SHORT,643,0.2226510651499088,0.0031520883,0.012382258,0.059508946,0.0
2005-02-17 00:00:00+00,SHORT,3469,0.3710696730372272,-0.011851852,-0.015471496,0.005729795,0.0
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,0.011684698,-0.0021256155,0.020960601,0.0
2005-02-18 00:00:00+00,SHORT,2643,0.8181818181818181,-0.0052272496,-0.01408529,0.020457452,0.0
2005-02-18 00:00:00+00,SHORT,857,0.3333003837554723,-0.0058479533,-0.0015609608,0.020120014,0.0
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,-0.0035793954,0.0030942229,0.04652932,0.0
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,0.012753434,-0.002651164,0.056816243,0.0
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,0.0,-1.0892824E-4,0.06947787,0.0
2005-02-28 00:00:00+00,SHORT,897,0.39795449596464616,-0.012731274,-0.01788292,0.043671023,0.0
2005-02-28 00:00:00+00,SHORT,1012,0.5719437910287027,0.002260252,-0.010353925,0.039343715,0.0
2005-03-02 00:00:00+00,SHORT,791,0.36073319976575,7.6487334E-4,-0.0245431,0.026142301,0.0
2005-03-04 00:00:00+00,SHORT,84,1.0,0.011119781,-0.011578803,0.009740892,0.0
2005-03-04 00:00:00+00,SHORT,3466,0.8840482875978609,0.0074916044,-0.021489363,0.032019053,0.0
2005-03-07 00:00:00+00,SHORT,2230,0.3721874226873674,-0.006614491,-0.019719891,0.012168694,0.0
2005-03-07 00:00:00+00,SHORT,2961,0.18810216170249863,-0.007844536,-0.020424178,0.020164987,0.0
2005-03-07 00:00:00+00,SHORT,2993,0.6931414762183061,-0.0074083377,-0.022147624,0.013201743,0.0
2005-03-07 00:00:00+00,SHORT,1184,0.6651594412380668,-0.005526083,0.0031031482,0.030305343,0.0
2005-03-07 00:00:00+00,SHORT,3855,0.3434763189544432,0.003132832,-0.017666848,0.03490627,0.0
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,-0.00234055,-0.02278726,0.066958696,0.0
2005-03-08 00:00:00+00,SHORT,898,1.0,0.0023957614,-0.0067137666,0.020647643,0.0
2005-03-08 00:00:00+00,SHORT,903,0.5285590603134446,0.0064,0.015584775,0.05389556,0.0
2005-03-08 00:00:00+00,SHORT,1184,0.6176307542600878,0.0045195227,5.6671444E-4,0.039723925,0.0
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,-0.0072487644,-0.013177615,0.066926345,0.0
2005-03-08 00:00:00+00,SHORT,1371,0.3779902334382112,0.0035587188,-0.022544224,0.007142857,0.0
2005-03-08 00:00:00+00,SHORT,1404,0.8571428571428572,0.0025641026,-0.012880461,0.042161375,0.0
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,0.004716981,-0.008955715,0.038011696,0.0
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,-0.006875296,-0.021472475,0.034832016,0.0
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,0.011143695,-0.014566043,0.041691843,0.0
2005-03-09 00:00:00+00,SHORT,2425,0.1831906726568755,-0.0034234433,-0.021889487,0.0049291574,0.0
2005-03-09 00:00:00+00,SHORT,903,0.37524020924203605,-0.012983572,-0.004929493,0.046936482,0.0
2005-03-09 00:00:00+00,SHORT,3124,0.402348758538805,-0.011223046,-0.0055497778,0.039703846,0.0
2005-03-09 00:00:00+00,SHORT,3275,0.30281359718142004,-0.0039827414,-0.020190418,0.04310045,0.0
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,0.0016701461,-0.017450651,0.042137273,0.0
2005-03-10 00:00:00+00,SHORT,475,0.8980693036003441,0.0037123659,-0.0193363,0.016147016,0.0
2005-03-10 00:00:00+00,SHORT,903,0.36139761484571936,-0.010201342,-0.020389985,0.019353054,0.0
2005-03-10 00:00:00+00,SHORT,3124,0.4647982894979285,0.0010327965,-0.011346562,0.018376578,0.0
2005-03-11 00:00:00+00,SHORT,629,0.5357780265305563,-0.0074318745,-0.010666618,0.054385964,0.0
2005-03-11 00:00:00+00,SHORT,2870,0.6025224093795137,0.0055855163,-0.022565152,0.013196196,0.0
2005-03-11 00:00:00+00,SHORT,3124,0.37353887080961895,0.005669361,-0.012731927,0.0098368805,0.0
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,0.012375416,-0.018418701,0.0059034056,0.0
2005-03-14 00:00:00+00,SHORT,629,0.5460879840797739,-0.0016638935,-0.016959708,0.06335844,0.0
2005-03-15 00:00:00+00,SHORT,2064,1.0,-0.0010162601,-0.024687633,0.0154958675,0.0
2005-03-16 00:00:00+00,SHORT,2042,0.9411764705882353,-0.0081662955,-0.021775268,0.011792708,0.0
2005-03-18 00:00:00+00,SHORT,641,0.0,-3.2483353E-4,-0.024268063,0.017187241,0.0
2005-03-18 00:00:00+00,SHORT,3100,0.31669524632408247,-0.004240882,-0.023767026,0.030547753,0.0
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,7.7204895E-4,-0.001976315,0.008255009,0.0
2005-03-21 00:00:00+00,SHORT,4086,0.5005101563927123,0.0075358325,-0.016552852,0.049738113,0.0
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.005711319,-0.009124447,0.035828877,0.0
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.0064,-0.018840753,0.010248902,0.0
2005-04-06 00:00:00+00,SHORT,1308,0.08911169210423346,-0.011874032,-0.020097448,0.0143084265,0.0
2005-04-06 00:00:00+00,SHORT,1437,0.18319507350690487,0.0017426662,-0.024459777,0.0070072995,0.0
2005-04-07 00:00:00+00,SHORT,2269,0.0,-0.006924316,-0.021733455,0.009990173,0.0
2005-04-07 00:00:00+00,SHORT,444,1.0,0.0073260074,0.006049077,0.0565635,0.0
2005-04-07 00:00:00+00,SHORT,1740,0.6172053034362708,-0.009659715,-0.018124258,0.04300578,0.0
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,0.010607915,0.008123477,0.0387922,0.0
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,-0.008888889,-0.0057664877,0.03896654,0.0
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,-0.0084814215,-0.01943532,0.054100472,0.0
2005-04-08 00:00:00+00,SHORT,1250,0.0,-0.009170034,-0.011904094,0.02286402,0.0
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.005284947,-0.015713707,0.033211347,0.0
2005-04-08 00:00:00+00,SHORT,3903,0.16252604697762363,-0.006863141,-0.0043729045,0.026818324,0.0
2005-04-11 00:00:00+00,SHORT,444,0.4628760955601689,-0.0022421526,-0.011254185,0.04907844,0.0
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,-0.007438236,-0.02024718,0.00981982,0.0
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,0.0012459507,-0.0070747905,0.025,0.0
2005-04-11 00:00:00+00,SHORT,3903,0.3063204024562732,-0.012093496,-0.020148281,0.007357513,0.0
2005-04-11 00:00:00+00,SHORT,4083,0.0,0.008708273,0.019090785,0.06922255,0.0
2005-04-12 00:00:00+00,SHORT,4122,1.0,0.004030904,-0.017373338,0.013220339,0.0
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.0064117243,-0.0075285384,0.040236685,0.0
2005-04-12 00:00:00+00,SHORT,1710,0.5279492928089448,-0.0029440627,-0.022072535,0.010579619,0.0
2005-04-12 00:00:00+00,SHORT,3890,0.27432635172440073,-0.0012444002,-0.0093149245,0.0062688063,0.0
2005-04-13 00:00:00+00,SHORT,2365,0.28737777233550155,-0.012585931,-0.024382913,0.010935583,0.0
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,-0.0018202503,-7.0726406E-4,0.020469876,0.0
2005-04-21 00:00:00+00,SHORT,2747,1.0,0.009787378,-0.0037472302,0.023605885,0.0
2005-04-22 00:00:00+00,SHORT,2747,0.8888888888888888,-0.007352941,-0.011903645,0.018867925,0.0
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,0.0020311442,-0.013670488,0.056388292,0.0
2005-04-26 00:00:00+00,SHORT,2747,0.6666666666666667,0.0064330455,-0.013450746,0.009166525,0.0
