time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,price_drift_5_df005,skew_weighted_10_df037
2005-07-13 00:00:00+00,SHORT,3631,0.5610351239292233,0.42549098,0.081151836,0.6314905
2005-07-14 00:00:00+00,SHORT,3897,0.794696663239638,0.36741254,0.07265026,0.58015394
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,0.4923967,0.057796508,0.6292572
2005-07-21 00:00:00+00,SHORT,3199,1.0,0.3321531,0.078781515,0.578183
2005-07-21 00:00:00+00,SHORT,1677,1.0,0.33877346,0.0433644,0.59898645
2005-07-21 00:00:00+00,SHORT,1678,1.0,0.3388115,0.04337133,0.59922194
2005-07-21 00:00:00+00,SHORT,3794,1.0,0.3768619,0.059921894,0.60991114
2005-07-22 00:00:00+00,SHORT,3433,0.0,0.2355461,0.057471264,0.5817355
2005-07-22 00:00:00+00,SHORT,1761,0.49941595133716393,0.40856498,0.044700794,0.65771013
2005-07-26 00:00:00+00,SHORT,4107,0.0,0.45432183,0.064298026,0.5752225
2005-08-01 00:00:00+00,SHORT,730,0.06829184178020764,0.5643132,0.069877885,0.63492733
2005-08-02 00:00:00+00,SHORT,730,0.054077938712524976,0.58170474,0.08040541,0.63835955
2005-08-04 00:00:00+00,SHORT,694,0.28032503407343873,0.25102136,0.04806642,0.66572773
2005-08-04 00:00:00+00,SHORT,1262,0.0,0.13376306,0.044661548,0.5663606
2005-08-04 00:00:00+00,SHORT,1826,0.14758559221103598,0.4279973,0.056600396,0.640655
2005-08-05 00:00:00+00,SHORT,1719,0.48349709042414546,0.57572854,0.062033314,0.68288684
2005-08-10 00:00:00+00,SHORT,2508,0.9024492543606908,0.4977842,0.045587376,0.62650406
2005-08-12 00:00:00+00,SHORT,897,1.0,0.5338175,0.045020465,0.61570674
2005-08-12 00:00:00+00,SHORT,1184,0.20941321456145065,0.48742515,0.047964305,0.6029057
2005-08-12 00:00:00+00,SHORT,1298,0.0,0.4155972,0.052724857,0.63164914
2005-08-12 00:00:00+00,SHORT,3831,0.024803706860761842,0.3268703,0.044063732,0.55902076
2005-08-15 00:00:00+00,SHORT,2125,0.0,0.2281554,0.0884808,0.5778696
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.5074399,0.083098195,0.6731423
2005-08-15 00:00:00+00,SHORT,1303,0.513771775337734,0.40253225,0.06935578,0.62408876
2005-08-15 00:00:00+00,SHORT,3420,0.33350639730519593,0.24687693,0.046194803,0.58507574
2005-08-15 00:00:00+00,SHORT,1404,0.0,0.572379,0.055840038,0.6077026
2005-08-16 00:00:00+00,SHORT,1807,0.0,0.30561435,0.09090909,0.6483051
2005-08-25 00:00:00+00,SHORT,3255,0.0,0.40156403,0.07832476,0.6193395
2005-09-01 00:00:00+00,SHORT,3116,0.0,0.16523622,0.06134402,0.62393814
2005-09-01 00:00:00+00,SHORT,3613,1.0,0.29126954,0.07432077,0.68989086
2005-09-07 00:00:00+00,SHORT,1205,0.3502243996998492,0.09923709,0.047352023,0.669406
2005-09-08 00:00:00+00,SHORT,2330,0.5564430284318844,0.075700685,0.08954378,0.60772634
2005-09-08 00:00:00+00,SHORT,3078,0.8929442242408423,0.3722854,0.04675506,0.6395954
2005-09-09 00:00:00+00,SHORT,3078,0.810447499206639,0.3246202,0.06628653,0.56657964
2005-09-09 00:00:00+00,SHORT,1051,0.28908609003810826,0.3016428,0.08533538,0.6859834
2005-09-12 00:00:00+00,SHORT,443,0.5,0.05701117,0.091934085,0.5852156
2005-09-12 00:00:00+00,SHORT,2582,0.0,0.54999256,0.078360096,0.6649776
2005-09-13 00:00:00+00,SHORT,2095,0.3415586794535775,0.31829154,0.050571427,0.6059045
2005-09-13 00:00:00+00,SHORT,191,0.0,0.33227712,0.08271375,0.55641913
2005-09-13 00:00:00+00,SHORT,3748,0.0,-0.01935546,0.061734695,0.66097087
2005-09-14 00:00:00+00,SHORT,3359,0.24276892115173632,0.21714823,0.06149341,0.68624294
2005-09-15 00:00:00+00,SHORT,2993,1.0,0.4057606,0.04950947,0.67080104
2005-09-16 00:00:00+00,SHORT,1114,0.8764243747077475,0.07940005,0.047493402,0.6652529
2005-09-26 00:00:00+00,SHORT,3352,0.6794008521344387,0.45140705,0.05888889,0.60902214
2005-09-29 00:00:00+00,SHORT,3236,0.3417747524902188,0.51078254,0.055782747,0.56538033
2005-09-29 00:00:00+00,SHORT,3754,0.48999192819101395,0.58292115,0.08062105,0.562583
2005-09-29 00:00:00+00,SHORT,1740,1.0,0.35540298,0.064417176,0.55736315
2005-09-30 00:00:00+00,SHORT,3116,0.8408729824060686,0.14842542,0.09432818,0.6115451
2005-10-03 00:00:00+00,SHORT,2116,1.0,0.34512103,0.07024793,0.5810276
2005-10-03 00:00:00+00,SHORT,191,0.25422856674801236,0.47343293,0.08590774,0.6440145
2005-10-04 00:00:00+00,SHORT,76,0.3559512582464003,0.2757804,0.07147798,0.64602995
2005-10-04 00:00:00+00,SHORT,974,0.18621515052075316,0.19336143,0.045193832,0.56688035
2005-10-04 00:00:00+00,SHORT,3114,0.9333333333333333,0.23775241,0.043543544,0.65949607
2005-10-04 00:00:00+00,SHORT,3199,0.0,0.4326691,0.07790822,0.59727305
2005-10-05 00:00:00+00,SHORT,93,0.5313315486527315,0.18966381,0.04519774,0.62798023
2005-10-07 00:00:00+00,SHORT,3244,0.09024175136588965,0.16775987,0.043737575,0.5723099
2005-10-11 00:00:00+00,SHORT,3742,0.0,0.07359042,0.05512195,0.57529455
2005-10-25 00:00:00+00,SHORT,2863,0.5120240956347297,0.26754376,0.048504446,0.5817912
2005-11-02 00:00:00+00,SHORT,3310,0.0,0.5468459,0.05428931,0.5796698
2005-11-03 00:00:00+00,SHORT,576,0.4052312288576687,0.18425071,0.051419802,0.67664844
2005-11-03 00:00:00+00,SHORT,2690,0.2483014142897143,0.17674723,0.08497051,0.61965543
2005-11-03 00:00:00+00,SHORT,3831,0.328739279361446,0.1202459,0.07704906,0.6770554
2005-11-03 00:00:00+00,SHORT,1949,0.0,-0.032576434,0.07768435,0.6143302
2005-11-04 00:00:00+00,SHORT,838,0.0,0.15879266,0.056,0.62557656
2005-11-04 00:00:00+00,SHORT,1423,0.29184499300365213,0.47790435,0.05301394,0.6590629
2005-11-04 00:00:00+00,SHORT,3613,0.0,0.15811607,0.05392339,0.6774977
2005-11-04 00:00:00+00,SHORT,4086,0.0,0.051637705,0.058062956,0.65257215
2005-11-07 00:00:00+00,SHORT,424,1.0,0.20049907,0.09315772,0.5983562
2005-11-07 00:00:00+00,SHORT,3199,1.0,0.50780004,0.04636291,0.557406
2005-11-08 00:00:00+00,SHORT,2568,0.0,0.17198677,0.04278075,0.5996969
2005-11-10 00:00:00+00,SHORT,2640,1.0,0.115890026,0.09121123,0.60954887
2005-11-10 00:00:00+00,SHORT,710,0.24765590327820236,0.41676474,0.058979206,0.6906632
2005-11-11 00:00:00+00,SHORT,2640,0.8333333333333334,0.09735632,0.08988764,0.6146121
2005-11-15 00:00:00+00,SHORT,220,0.0,0.021045746,0.059594754,0.6369681
2005-11-21 00:00:00+00,SHORT,2142,0.16241656547440741,0.21568358,0.06265846,0.56437695
2005-11-21 00:00:00+00,SHORT,2554,0.44729306943481045,0.38595098,0.06315402,0.6498322
2005-11-22 00:00:00+00,SHORT,2554,0.07917341280905818,0.378473,0.064822525,0.56609166
2005-11-22 00:00:00+00,SHORT,3912,0.4968246089976102,0.4563004,0.055849656,0.5968656
2005-11-22 00:00:00+00,SHORT,1939,1.0,0.46942246,0.04315224,0.5842472
2005-11-23 00:00:00+00,SHORT,1816,0.37270736227917173,0.5670971,0.053655773,0.64828104
2005-11-25 00:00:00+00,SHORT,2661,0.0,0.46092826,0.09107923,0.6500116
2005-11-25 00:00:00+00,SHORT,2665,0.3040886593226361,0.387087,0.0936133,0.6572964
2005-12-01 00:00:00+00,SHORT,3456,0.2617417015520155,0.2770605,0.05775843,0.6233816
2005-12-05 00:00:00+00,SHORT,903,0.3558346942933454,0.5686205,0.046346653,0.641984
2005-12-05 00:00:00+00,SHORT,1960,0.8506941156500176,0.3294325,0.057894737,0.5600566
2005-12-06 00:00:00+00,SHORT,2999,0.5755412196318034,0.45979646,0.0894108,0.62063766
2005-12-06 00:00:00+00,SHORT,2041,0.0,0.37336642,0.077425405,0.670983
2005-12-07 00:00:00+00,SHORT,2999,0.5221325146794409,0.57969975,0.07949029,0.61060166
2005-12-07 00:00:00+00,SHORT,3595,0.047026040689751726,0.37343436,0.04584775,0.6313476
2005-12-12 00:00:00+00,SHORT,1108,0.21540305288291262,0.3239377,0.06681896,0.6548973
2005-12-13 00:00:00+00,SHORT,938,0.0,0.44800755,0.06708595,0.60373604
2005-12-14 00:00:00+00,SHORT,4005,0.3213857135443851,0.47868738,0.07365191,0.65437734
2005-12-15 00:00:00+00,SHORT,870,0.0,0.28031656,0.05052759,0.6501758
2005-12-20 00:00:00+00,SHORT,2971,0.0,0.3382197,0.07575139,0.56655014
2005-12-21 00:00:00+00,SHORT,2971,0.0,0.41698292,0.052080456,0.58232033
2005-12-22 00:00:00+00,SHORT,2971,0.0,0.3937207,0.055724505,0.62316006
2006-01-04 00:00:00+00,SHORT,629,0.0,0.118552424,0.08870681,0.62281805
2006-01-04 00:00:00+00,SHORT,2041,0.0,-0.032044493,0.08651875,0.5967811
2006-01-06 00:00:00+00,SHORT,405,0.8396667998144538,0.4255934,0.047599673,0.608506
2006-01-06 00:00:00+00,SHORT,3142,0.0,0.3800146,0.056267753,0.55901504
2006-01-09 00:00:00+00,SHORT,588,0.0,0.3171727,0.07494145,0.6652441
2006-01-09 00:00:00+00,SHORT,4016,0.9,0.13095519,0.07638608,0.60084796
2006-01-10 00:00:00+00,SHORT,2557,0.5624944867269864,0.52456594,0.0715348,0.5924797
2006-01-11 00:00:00+00,SHORT,2106,1.0,0.53973633,0.087060705,0.613508
2006-01-11 00:00:00+00,SHORT,2261,0.0,0.40743747,0.05497107,0.6032635
2006-01-11 00:00:00+00,SHORT,1677,1.0,0.5089152,0.059271403,0.6575744
2006-01-11 00:00:00+00,SHORT,1678,1.0,0.5088628,0.059275895,0.6575558
2006-01-11 00:00:00+00,SHORT,3748,0.0,0.22396566,0.06408753,0.6411201
2006-01-11 00:00:00+00,SHORT,3824,0.474062314741694,0.34407482,0.05894668,0.60347587
2006-01-12 00:00:00+00,SHORT,2106,0.7581067523887469,0.40929458,0.054410987,0.5652539
2006-01-12 00:00:00+00,SHORT,4224,0.4658213139319328,0.32677647,0.093581,0.65169996
2006-01-12 00:00:00+00,SHORT,1090,0.6323598841687552,0.30959734,0.0848274,0.5678684
2006-01-12 00:00:00+00,SHORT,1869,0.0,0.11812845,0.082777776,0.6691954
2006-01-13 00:00:00+00,SHORT,4224,0.4579853785170953,0.26145732,0.046237536,0.5574212
2006-01-13 00:00:00+00,SHORT,158,0.0,0.52038085,0.05711813,0.65560365
2006-01-20 00:00:00+00,SHORT,984,1.0,0.23687185,0.044905983,0.63172805
2006-01-20 00:00:00+00,SHORT,1280,1.0,0.254459,0.08314176,0.66715676
2006-01-23 00:00:00+00,SHORT,1280,0.8,0.27484813,0.054620277,0.5835537
2006-01-27 00:00:00+00,SHORT,2066,0.4740164437001669,0.44509566,0.071261376,0.6150574
2006-01-27 00:00:00+00,SHORT,3236,0.6620318297140627,0.5449058,0.058802973,0.6246304
2006-01-30 00:00:00+00,SHORT,4112,0.6733193938231984,0.35422772,0.09068468,0.6813651
2006-01-30 00:00:00+00,SHORT,4086,0.5279452384575444,0.51282,0.06912564,0.5828265
2006-01-31 00:00:00+00,SHORT,2116,0.5509056937598926,0.5092505,0.047004607,0.5736131
2006-01-31 00:00:00+00,SHORT,773,1.0,0.47897255,0.08235294,0.6839167
2006-01-31 00:00:00+00,SHORT,3130,0.0,0.19543289,0.04292169,0.5562577
2006-02-01 00:00:00+00,SHORT,4112,0.5406258713775282,0.40195164,0.0546643,0.5917613
2006-02-01 00:00:00+00,SHORT,2619,0.9166666666666666,0.28156638,0.06626506,0.5646797
2006-02-01 00:00:00+00,SHORT,773,0.9411764705882353,0.37715903,0.05689405,0.57882345
2006-02-01 00:00:00+00,SHORT,3335,0.13660733684931056,0.37039524,0.050704226,0.68533516
2006-02-01 00:00:00+00,SHORT,1298,0.28651210070914307,0.3849621,0.044010717,0.6089869
2006-02-01 00:00:00+00,SHORT,1404,1.0,0.31785586,0.063502565,0.64044005
2006-02-01 00:00:00+00,SHORT,1762,0.5549255469400164,0.3501614,0.06988171,0.5789842
2006-02-01 00:00:00+00,SHORT,1803,0.0,-0.02965437,0.061358657,0.5609246
2006-02-02 00:00:00+00,SHORT,4171,0.0,0.44437078,0.06374834,0.61159
2006-02-03 00:00:00+00,SHORT,1807,0.6666666666666667,0.4781462,0.050797403,0.5553692
2006-02-06 00:00:00+00,SHORT,4172,0.4788246585309007,0.38211253,0.049965892,0.62082803
2006-02-06 00:00:00+00,SHORT,3013,0.0,0.33646497,0.043286998,0.6658837
2006-02-06 00:00:00+00,SHORT,3595,0.0,0.53760195,0.089086354,0.6578376
2006-02-06 00:00:00+00,SHORT,1807,0.5,0.48201638,0.075905696,0.6048997
2006-02-15 00:00:00+00,SHORT,2661,0.0,0.4083401,0.0845998,0.65180403
2006-02-16 00:00:00+00,SHORT,2716,0.0,0.12042123,0.06942675,0.6822525
2006-02-17 00:00:00+00,SHORT,2041,0.5490093613521085,0.45426297,0.066828735,0.631145
2006-02-22 00:00:00+00,SHORT,2716,0.0,0.38117456,0.06528662,0.5820562
2006-02-22 00:00:00+00,SHORT,1195,0.0,0.21753937,0.06875019,0.5744399
2006-02-22 00:00:00+00,SHORT,3433,0.08560045524401896,0.32374445,0.09468739,0.5990819
2006-02-23 00:00:00+00,SHORT,3433,0.06836711418016446,0.34744877,0.07692308,0.5717211
2006-02-27 00:00:00+00,SHORT,505,0.8740741250505958,0.3945922,0.06459838,0.6194028
2006-02-27 00:00:00+00,SHORT,3286,0.0,0.18656088,0.043058738,0.59517026
2006-02-27 00:00:00+00,SHORT,3556,0.3417356917213873,0.16872637,0.049271468,0.6664669
2006-03-03 00:00:00+00,SHORT,1244,0.9,0.5324062,0.06418339,0.60189575
2006-03-07 00:00:00+00,SHORT,1108,0.587040353542918,0.33155724,0.08001964,0.60558677
2006-03-14 00:00:00+00,SHORT,938,0.6886837097056694,0.38609833,0.06706008,0.5559726
2006-03-16 00:00:00+00,SHORT,429,0.5758175502933435,0.38912067,0.07254534,0.57082886
2006-03-16 00:00:00+00,SHORT,1790,0.36948243421463006,0.0042400225,0.072463766,0.68016696
2006-03-17 00:00:00+00,SHORT,429,0.6119370061035796,0.37759662,0.07630273,0.5760257
2006-03-17 00:00:00+00,SHORT,2497,0.0,0.5920367,0.0907157,0.62302727
2006-03-17 00:00:00+00,SHORT,1790,0.21020148828682225,-0.028216349,0.0478933,0.57128507
2006-03-20 00:00:00+00,SHORT,2050,0.0,0.2729944,0.08686327,0.6088345
2006-03-21 00:00:00+00,SHORT,2050,0.0,0.15635392,0.06570513,0.61368716
2006-03-21 00:00:00+00,SHORT,85,0.3399310263080079,0.4312808,0.092144124,0.6084236
2006-03-22 00:00:00+00,SHORT,85,0.3387064698067788,0.43834114,0.08980301,0.6277738
2006-03-22 00:00:00+00,SHORT,3343,0.0,0.19808245,0.09257562,0.604418
2006-03-23 00:00:00+00,SHORT,85,0.20414280546669808,0.3489596,0.052752294,0.632424
2006-03-23 00:00:00+00,SHORT,3862,0.4592077783231649,0.57755214,0.061879296,0.6429489
2006-03-24 00:00:00+00,SHORT,1396,0.0,0.11894724,0.054545455,0.5655788
2006-03-24 00:00:00+00,SHORT,3818,0.5956518973331731,0.3649883,0.0436273,0.65953237
2006-03-27 00:00:00+00,SHORT,558,0.9411764705882353,0.3746548,0.091264665,0.60485774
2006-03-28 00:00:00+00,SHORT,1867,0.40998344479081994,0.1547177,0.046620045,0.61387295
2006-03-29 00:00:00+00,SHORT,167,1.0,0.37646788,0.061520603,0.68631357
2006-03-29 00:00:00+00,SHORT,3861,0.0,0.38124,0.09044627,0.57974124
2006-04-03 00:00:00+00,SHORT,2105,0.0,0.55863935,0.050173566,0.5862099
2006-04-03 00:00:00+00,SHORT,2835,1.0,0.16605349,0.058238637,0.5956313
2006-04-03 00:00:00+00,SHORT,1297,0.17824047335024257,0.49534896,0.059907835,0.58374816
2006-04-05 00:00:00+00,SHORT,3610,0.4748073305077952,0.25265634,0.06904668,0.6443731
2006-04-06 00:00:00+00,SHORT,220,1.0,0.3199357,0.050177258,0.5929881
2006-04-06 00:00:00+00,SHORT,2747,0.5788794879207096,0.540144,0.046603475,0.5637336
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,0.12392899,0.043856714,0.55616355
2006-04-19 00:00:00+00,SHORT,2085,1.0,0.2353871,0.07635207,0.6887877
2006-04-19 00:00:00+00,SHORT,2690,0.45640811050335295,0.56809163,0.0820785,0.6213554
2006-04-24 00:00:00+00,SHORT,335,0.0,0.5687644,0.086455755,0.56338114
2006-04-24 00:00:00+00,SHORT,4034,0.6666666666666667,0.1095611,0.08175924,0.57176137
2006-04-25 00:00:00+00,SHORT,243,0.9885249516642801,0.5025621,0.059091557,0.59744185
2006-04-27 00:00:00+00,SHORT,2863,1.0,0.4947412,0.055123676,0.6871414
2006-04-28 00:00:00+00,SHORT,3905,1.0,-0.06580093,0.049612403,0.63815016
2006-05-02 00:00:00+00,SHORT,1108,0.6729659856297613,0.42376766,0.084337346,0.64135945
2006-05-02 00:00:00+00,SHORT,3179,0.593963942118747,0.50330156,0.045310598,0.64370495
2006-05-02 00:00:00+00,SHORT,1195,0.9090909090909091,0.41251105,0.08901292,0.6185604
2006-05-02 00:00:00+00,SHORT,1473,1.0,0.120740294,0.05778573,0.6605792
2006-05-05 00:00:00+00,SHORT,1719,1.0,0.3258067,0.08571429,0.66374046
2006-05-08 00:00:00+00,SHORT,2305,0.9444444444444444,0.37296808,0.074886225,0.559967
2006-05-08 00:00:00+00,SHORT,1719,0.9166666666666666,0.34600565,0.081955425,0.67502266
2006-05-08 00:00:00+00,SHORT,2032,0.4963936352307147,0.5917471,0.08264463,0.64675546
2006-05-09 00:00:00+00,SHORT,2055,0.0,0.062313512,0.048156485,0.61858886
2006-05-09 00:00:00+00,SHORT,270,0.75284229166523,0.18318444,0.04648589,0.57285434
2006-05-09 00:00:00+00,SHORT,2365,0.4513518666589579,0.4325287,0.04957689,0.68679917
2006-05-09 00:00:00+00,SHORT,838,1.0,0.39208207,0.060178816,0.6494714
2006-05-09 00:00:00+00,SHORT,1454,1.0,0.38981482,0.06404381,0.5807736
2006-05-09 00:00:00+00,SHORT,1462,0.7810497531165805,0.55026853,0.07712626,0.5862985
2006-05-09 00:00:00+00,SHORT,1719,0.8333333333333334,0.36282197,0.05371025,0.6332135
2006-05-09 00:00:00+00,SHORT,3947,1.0,0.55510324,0.07165224,0.6517782
2006-05-10 00:00:00+00,SHORT,838,0.9411764705882353,0.4733943,0.08174245,0.65389836
2006-05-10 00:00:00+00,SHORT,1719,0.75,0.45971042,0.051857043,0.60454834
2006-05-10 00:00:00+00,SHORT,3947,0.6256313182035673,0.5529566,0.074046515,0.5680225
2006-05-10 00:00:00+00,SHORT,2041,0.6666666666666667,0.4797458,0.04511036,0.5641942
2006-05-11 00:00:00+00,SHORT,88,1.0,0.39784917,0.054307114,0.64039177
2006-05-11 00:00:00+00,SHORT,2196,0.7813920867768837,0.5529852,0.061306167,0.6123397
2006-05-11 00:00:00+00,SHORT,1092,0.9166666666666666,0.19305769,0.04649532,0.57026875
2006-05-11 00:00:00+00,SHORT,3573,1.0,0.47109035,0.043181818,0.6348428
2006-05-11 00:00:00+00,SHORT,3703,1.0,0.41316637,0.046600297,0.68515235
2006-05-15 00:00:00+00,SHORT,844,0.0,0.330854,0.048591193,0.5671342
2006-06-02 00:00:00+00,SHORT,2690,0.0,-0.047043677,0.06619182,0.62308604
2006-06-02 00:00:00+00,SHORT,791,0.0,0.3070293,0.050001133,0.5572695
2006-06-02 00:00:00+00,SHORT,842,0.5548197164743429,0.46125638,0.05210295,0.5646896
