time,side,ticker_id,mv_up_composite_labels,accel_price_5_df021,dist_lower_bb_50_2.0_df055
2007-06-19 00:00:00+00,LONG,142,0.0,-0.009465236,0.038512386
2007-06-20 00:00:00+00,LONG,142,0.0,-0.014333268,0.034088023
2007-06-28 00:00:00+00,LONG,2125,0.0,-0.013702803,0.04057561
2007-07-11 00:00:00+00,LONG,2932,0.0,-0.009100607,0.05160014
2007-08-03 00:00:00+00,LONG,121,0.0,-0.014736019,0.047255177
2007-08-08 00:00:00+00,LONG,2554,0.3592132599525764,-0.005784038,0.053544126
2007-08-08 00:00:00+00,LONG,2716,0.9523809523809523,-0.025500763,0.045056183
2007-08-09 00:00:00+00,LONG,2554,0.31086863452703145,-0.012210662,0.049013086
2007-08-09 00:00:00+00,LONG,858,1.0,-0.013904718,0.052511994
2007-08-14 00:00:00+00,LONG,555,0.1714893080358053,-0.014731214,0.046374947
2007-08-15 00:00:00+00,LONG,555,0.22862709495248767,-0.026048074,0.043973166
2007-08-16 00:00:00+00,LONG,356,0.547163396665791,-0.029616565,0.044413052
2007-08-16 00:00:00+00,LONG,1453,0.0,-0.02658794,0.039903395
2007-08-16 00:00:00+00,LONG,1610,1.0,-0.027262174,0.048160035
2007-08-16 00:00:00+00,LONG,3743,0.32656967984030116,-0.03864174,0.055129003
2007-08-16 00:00:00+00,LONG,3815,0.20579282930030404,-0.03875801,0.053471815
2007-08-17 00:00:00+00,LONG,3837,0.9830508474576272,-0.025890268,0.060624674
2007-08-21 00:00:00+00,LONG,1306,0.38589798054583335,-0.009108472,0.035860833
2007-08-21 00:00:00+00,LONG,1966,0.0,-0.017420938,0.039048336
2007-10-08 00:00:00+00,LONG,2986,0.0,-0.0047995346,0.045301013
2007-11-12 00:00:00+00,LONG,2213,0.19302053323627208,-0.037589934,0.057333253
2007-11-12 00:00:00+00,LONG,219,0.0,-0.036658462,0.03527694
2007-11-12 00:00:00+00,LONG,220,1.0,-0.0048922873,0.04452817
2007-11-13 00:00:00+00,LONG,2816,0.0,-0.020226069,0.034941453
2007-11-13 00:00:00+00,LONG,1790,0.7997376675834,-0.026461983,0.041019596
2007-11-27 00:00:00+00,LONG,4000,0.0,-0.0073928176,0.035556868
2007-12-19 00:00:00+00,LONG,3273,0.0,-0.03546553,0.04988032
2008-01-11 00:00:00+00,LONG,2349,1.0,-0.007506705,0.04366752
2008-01-15 00:00:00+00,LONG,2370,1.0,-0.004299518,0.034836248
2008-01-22 00:00:00+00,LONG,4123,0.0,-0.034873586,0.05116777
2008-01-22 00:00:00+00,LONG,450,0.0,-0.031532995,0.046130285
2008-01-22 00:00:00+00,LONG,2617,0.550689964203591,-0.040073182,0.058058128
2008-01-22 00:00:00+00,LONG,1099,0.0,-0.013779542,0.039787833
2008-01-22 00:00:00+00,LONG,3352,0.0,-0.003979278,0.045415692
2008-01-22 00:00:00+00,LONG,3501,1.0,-0.012278204,0.03392032
2008-01-22 00:00:00+00,LONG,1585,1.0,-0.020840822,0.04319668
2008-01-22 00:00:00+00,LONG,3641,0.0,-0.01985707,0.03601268
2008-01-22 00:00:00+00,LONG,3760,0.7141428206780499,-0.036588777,0.057951
2008-01-22 00:00:00+00,LONG,1740,0.0,-0.026422104,0.05485705
2008-01-22 00:00:00+00,LONG,3855,0.47318911084358517,-0.027034746,0.05886055
2008-01-23 00:00:00+00,LONG,617,1.0,-0.009506476,0.04397092
2008-01-23 00:00:00+00,LONG,1298,1.0,-0.011035813,0.043615855
2008-01-24 00:00:00+00,LONG,3760,0.7612928506813715,-0.0059643253,0.04605359
2008-01-25 00:00:00+00,LONG,1916,0.0,-0.012381487,0.034266688
2008-03-17 00:00:00+00,LONG,835,1.0,-0.018523417,0.05372717
2008-03-17 00:00:00+00,LONG,3743,1.0,-0.03677205,0.053024143
2008-03-20 00:00:00+00,LONG,195,1.0,-0.038271282,0.053038027
2008-03-20 00:00:00+00,LONG,2690,1.0,-0.028781662,0.041024577
2008-04-25 00:00:00+00,LONG,3355,0.0,-0.037821133,0.041145172
2008-04-29 00:00:00+00,LONG,88,1.0,-0.014353569,0.03573053
2008-05-20 00:00:00+00,LONG,1064,0.0,-0.031290554,0.047623444
2008-05-21 00:00:00+00,LONG,1064,0.7586206896551724,-0.01819293,0.039507475
2008-06-09 00:00:00+00,LONG,3142,0.0,-0.017889336,0.03371146
2008-06-17 00:00:00+00,LONG,2061,0.9534883720930233,-0.025185185,0.04593332
2008-07-01 00:00:00+00,LONG,2370,0.0,-0.01014394,0.042547517
2008-07-01 00:00:00+00,LONG,3744,0.0,-0.0071399766,0.041715145
2008-07-11 00:00:00+00,LONG,3127,1.0,-0.024480827,0.04137895
2008-07-14 00:00:00+00,LONG,3607,1.0,-0.013043936,0.053996764
2008-07-15 00:00:00+00,LONG,1236,1.0,-0.014679832,0.037437655
2008-07-15 00:00:00+00,LONG,3309,1.0,-0.039998908,0.051403012
2008-07-15 00:00:00+00,LONG,2006,1.0,-0.025671197,0.044987876
2008-10-14 00:00:00+00,LONG,4088,0.0,-0.01660365,0.03526051
2008-10-15 00:00:00+00,LONG,2291,0.0,-0.03282205,0.035999153
2008-10-15 00:00:00+00,LONG,397,0.0,-0.014656038,0.038345654
2008-10-15 00:00:00+00,LONG,405,0.0,-0.03273479,0.045051027
2008-10-15 00:00:00+00,LONG,2482,0.0,-0.036883615,0.055540416
2008-10-22 00:00:00+00,LONG,19,1.0,-0.0039442233,0.049015123
2008-12-19 00:00:00+00,LONG,2761,0.0,-0.0359368,0.040641908
2009-03-02 00:00:00+00,LONG,2971,1.0,-0.019212658,0.049257386
2009-03-02 00:00:00+00,LONG,1072,1.0,-0.033466615,0.03390641
2009-03-05 00:00:00+00,LONG,1012,1.0,-0.039764613,0.051055044
2009-03-05 00:00:00+00,LONG,3420,0.9259259259259259,-0.004151717,0.040352322
2009-03-06 00:00:00+00,LONG,1471,0.0,-0.009045315,0.036269534
2009-03-09 00:00:00+00,LONG,1210,1.0,-0.00938732,0.046328485
2009-03-09 00:00:00+00,LONG,3645,1.0,-0.007180833,0.055118863
2009-03-09 00:00:00+00,LONG,4016,0.843856441033496,-0.01275985,0.04015926
2009-03-10 00:00:00+00,LONG,1790,0.9545454545454546,-0.020445155,0.03639818
2009-03-12 00:00:00+00,LONG,4070,1.0,-0.0057228776,0.042254485
2009-09-25 00:00:00+00,LONG,3539,1.0,-0.011682075,0.03772612
2009-10-28 00:00:00+00,LONG,903,1.0,-0.019754581,0.04263869
