time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,dist_high52_vol_norm_20_df015,skew_weighted_20_df037
2005-05-05 00:00:00+00,LONG,386,0.2810255210675672,-0.103941135,-0.056241404,-0.5216717
2005-05-06 00:00:00+00,LONG,386,0.24319867312170032,0.07233054,-0.0609581,-0.49619687
2005-05-12 00:00:00+00,LONG,1667,0.05147498884511123,0.00486646,-0.17795506,-0.5198279
2005-05-17 00:00:00+00,LONG,1667,0.04098911621763578,-0.15663013,-0.14530814,-0.53410995
2005-05-19 00:00:00+00,LONG,2440,0.46908218175525807,0.35276392,-0.07227916,-0.5370376
2005-05-23 00:00:00+00,LONG,1667,0.0,0.005575424,-0.1359236,-0.5124656
2005-05-26 00:00:00+00,LONG,1667,0.0,0.37472305,-0.14920294,-0.501475
2005-05-27 00:00:00+00,LONG,1667,0.0,-0.17388158,-0.15601048,-0.49889818
2005-06-06 00:00:00+00,LONG,457,0.21271652532649307,0.13995326,-0.16373177,-0.49533767
2005-06-07 00:00:00+00,LONG,2440,0.09463274404166581,-0.1610291,-0.033234335,-0.5373878
2005-06-08 00:00:00+00,LONG,2440,0.09002688882535062,-0.19965865,-0.03392586,-0.4788279
2005-06-30 00:00:00+00,LONG,2731,1.0,0.034988828,-0.10870634,-0.47883895
2005-06-30 00:00:00+00,LONG,3355,0.0,-0.5652641,-0.14720777,-0.49174774
2005-07-01 00:00:00+00,LONG,3355,0.0,-0.28357714,-0.13973276,-0.4850131
2005-07-07 00:00:00+00,LONG,465,0.713797692914627,0.28621516,-0.08173644,-0.50010204
2005-07-08 00:00:00+00,LONG,2285,0.21148555819062068,0.36429092,-0.07523306,-0.527553
2005-07-08 00:00:00+00,LONG,1099,0.0,0.06149045,-0.16538744,-0.5132141
2005-07-11 00:00:00+00,LONG,2285,0.168292192445789,0.27987808,-0.07035745,-0.5187688
2005-07-11 00:00:00+00,LONG,1633,0.35913138103841924,0.3997687,-0.12185424,-0.5368774
2005-07-11 00:00:00+00,LONG,3773,0.0,0.41963592,-0.04668546,-0.53111494
2005-07-12 00:00:00+00,LONG,2285,0.14130554758072641,-0.10351552,-0.06717173,-0.5124037
2005-07-12 00:00:00+00,LONG,3773,0.0,-0.36990234,-0.033922493,-0.5069447
2005-07-13 00:00:00+00,LONG,2285,0.1156830309725133,0.108642854,-0.06504746,-0.5015789
2005-07-18 00:00:00+00,LONG,1633,0.31806642345348984,-0.08532177,-0.13323902,-0.52730894
2005-07-19 00:00:00+00,LONG,2285,0.0,-0.39596024,-0.066540696,-0.52483714
2005-07-19 00:00:00+00,LONG,1633,0.31913507248851475,0.42877644,-0.13901083,-0.51402694
2005-07-20 00:00:00+00,LONG,1633,0.32195758029198407,0.20523721,-0.15181427,-0.53197014
2005-07-21 00:00:00+00,LONG,1633,0.2900742217879347,-0.17458396,-0.16163483,-0.4967314
2005-07-26 00:00:00+00,LONG,1715,1.0,-0.6037216,-0.10936162,-0.5022137
2005-07-29 00:00:00+00,LONG,2504,0.0,0.055162914,-0.04996252,-0.51113963
2005-08-02 00:00:00+00,LONG,2504,0.0,0.11056438,-0.04580262,-0.49379584
2005-08-03 00:00:00+00,LONG,2504,0.0,-0.37906078,-0.04527482,-0.50524676
2005-08-04 00:00:00+00,LONG,2504,0.0,0.28433827,-0.045456387,-0.5035632
2005-08-09 00:00:00+00,LONG,1064,0.0,-0.23784061,-0.11631979,-0.5375199
2005-08-11 00:00:00+00,LONG,2504,0.0,0.17713222,-0.058276378,-0.5129268
2005-08-11 00:00:00+00,LONG,1064,0.0,0.32701597,-0.12057721,-0.49039507
2005-08-11 00:00:00+00,LONG,3218,0.638726586156618,0.31661764,-0.059642144,-0.5345896
2005-08-23 00:00:00+00,LONG,3586,0.5473077621057609,-0.3522125,-0.10583437,-0.5217671
2005-08-30 00:00:00+00,LONG,3586,0.41837306270355795,0.16890548,-0.09350781,-0.4809632
2005-09-20 00:00:00+00,LONG,1410,1.0,0.034217373,-0.17028622,-0.5084732
2005-09-21 00:00:00+00,LONG,1258,0.36055631097449076,0.35744324,-0.21767984,-0.48161393
2005-10-03 00:00:00+00,LONG,3915,0.0,-0.4720125,-0.04311093,-0.5442295
2005-10-07 00:00:00+00,LONG,270,0.008551443518279061,-0.43443805,-0.04366115,-0.4806123
2005-10-10 00:00:00+00,LONG,386,0.8888590321561517,-0.14774744,-0.16403894,-0.48389184
2005-10-13 00:00:00+00,LONG,1434,0.8001847714351011,0.26544344,-0.20981021,-0.49564672
2005-10-14 00:00:00+00,LONG,3915,0.0,0.38911754,-0.04986256,-0.534352
2005-10-17 00:00:00+00,LONG,3915,0.0,-0.32053792,-0.053920183,-0.50727856
2005-10-18 00:00:00+00,LONG,3915,0.0,0.25586504,-0.059702765,-0.48505694
2005-10-19 00:00:00+00,LONG,3915,0.0,0.044954102,-0.06868474,-0.5099275
2005-10-21 00:00:00+00,LONG,1262,0.5811305396644366,0.26484507,-0.19069359,-0.5310868
2005-10-27 00:00:00+00,LONG,1819,0.8666666666666667,0.07656675,-0.10930429,-0.5329359
2005-10-28 00:00:00+00,LONG,3641,0.9772727272727273,0.12802814,-0.08549829,-0.49841127
2005-10-28 00:00:00+00,LONG,1819,0.8333333333333334,0.1838054,-0.10850995,-0.4902895
2005-10-31 00:00:00+00,LONG,3641,0.9545454545454546,-0.004948198,-0.08964814,-0.48642716
2005-11-01 00:00:00+00,LONG,4070,0.7293532767214407,-0.3797232,-0.09934545,-0.50546217
2005-11-03 00:00:00+00,LONG,578,0.1570579906726284,-0.335906,-0.06772569,-0.511387
2005-11-21 00:00:00+00,LONG,664,0.9285714285714286,-0.1494875,-0.0808282,-0.49962884
2005-11-21 00:00:00+00,LONG,3179,0.04638397180434345,-0.46970978,-0.11564785,-0.49966455
2005-12-22 00:00:00+00,LONG,433,0.9433962264150944,-0.33389664,-0.07357669,-0.5440901
2005-12-23 00:00:00+00,LONG,1447,0.030848355555496178,-0.5321267,-0.21823764,-0.48473662
2005-12-27 00:00:00+00,LONG,424,1.0,0.3180428,-0.12499846,-0.50635827
2005-12-30 00:00:00+00,LONG,424,0.8846153846153846,0.010221464,-0.109000914,-0.542532
2005-12-30 00:00:00+00,LONG,3283,0.0,0.3511006,-0.13933694,-0.5178177
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,-0.5752122,-0.09441791,-0.5023763
2006-01-20 00:00:00+00,LONG,2728,1.0,0.18529822,-0.09543709,-0.48060864
2006-01-20 00:00:00+00,LONG,2972,0.46831704782290007,-0.022885574,-0.18718627,-0.53213805
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,-0.31534284,-0.14393686,-0.50937456
2006-02-03 00:00:00+00,LONG,3853,0.9333333333333333,-0.01181217,-0.07926806,-0.51087415
2006-02-06 00:00:00+00,LONG,1258,0.4396911325449923,-0.13360468,-0.120546706,-0.4982653
2006-02-06 00:00:00+00,LONG,1896,0.1337984972427924,0.18268518,-0.11413665,-0.4806105
2006-02-07 00:00:00+00,LONG,237,0.9838709677419355,-0.14037631,-0.080527864,-0.48591635
2006-02-13 00:00:00+00,LONG,2452,0.0,-0.16333024,-0.087854534,-0.5087855
2006-02-13 00:00:00+00,LONG,4049,0.40823551572901756,0.18476382,-0.1307834,-0.49145624
2006-02-15 00:00:00+00,LONG,4049,0.4090140067788377,-0.21258453,-0.17735639,-0.4920315
2006-03-10 00:00:00+00,LONG,3116,0.0,0.02942965,-0.18355589,-0.5339173
2006-04-10 00:00:00+00,LONG,3466,0.0,-0.55744773,-0.03665472,-0.52500695
2006-04-11 00:00:00+00,LONG,759,0.9331443152861445,-0.21447593,-0.05950301,-0.4941064
2006-04-19 00:00:00+00,LONG,2084,0.5568672890997904,-0.35636485,-0.15399021,-0.5092011
2006-04-19 00:00:00+00,LONG,1220,0.0,0.0984895,-0.10471527,-0.52249366
2006-04-21 00:00:00+00,LONG,2084,0.5099162117658992,0.22848745,-0.19386476,-0.5103889
2006-05-03 00:00:00+00,LONG,559,0.0,0.26355746,-0.042663828,-0.520121
2006-05-05 00:00:00+00,LONG,3466,0.0,0.045796134,-0.0328776,-0.5254169
2006-05-08 00:00:00+00,LONG,559,0.0,-0.11885916,-0.03443004,-0.5262158
2006-05-08 00:00:00+00,LONG,3466,0.0,-0.3182876,-0.12898889,-0.51326376
2006-05-09 00:00:00+00,LONG,559,0.0,-0.0556342,-0.03344249,-0.50239056
2006-05-10 00:00:00+00,LONG,559,0.0,0.07483505,-0.032918826,-0.48910266
2006-05-11 00:00:00+00,LONG,791,0.7988292391032807,0.1523385,-0.063169844,-0.5041008
2006-05-16 00:00:00+00,LONG,791,0.0,0.08068357,-0.06855771,-0.5279005
2006-05-17 00:00:00+00,LONG,791,0.7727272727272727,-0.19451818,-0.075164065,-0.5241411
2006-05-18 00:00:00+00,LONG,791,0.7272727272727273,0.0015047676,-0.08081275,-0.51049775
2006-05-19 00:00:00+00,LONG,791,0.0,0.3753676,-0.088196136,-0.4910835
2006-05-22 00:00:00+00,LONG,791,0.6363636363636364,0.02059877,-0.100712806,-0.4951764
2006-05-23 00:00:00+00,LONG,791,0.5909090909090908,-0.44897252,-0.11938347,-0.48864594
2006-05-24 00:00:00+00,LONG,791,0.5454545454545454,0.42307493,-0.15927897,-0.4786725
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,0.2115341,-0.11627698,-0.49386582
2006-06-12 00:00:00+00,LONG,3293,0.5434628021977758,-0.12641683,-0.065577894,-0.53428733
2006-06-13 00:00:00+00,LONG,88,1.0,0.34457082,-0.1522833,-0.48688504
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,0.37389198,-0.052910328,-0.5261702
2006-06-13 00:00:00+00,LONG,3293,0.47631626394195903,-0.4318784,-0.06750546,-0.5372495
2006-06-14 00:00:00+00,LONG,219,1.0,-0.09232041,-0.13032427,-0.5191005
2006-06-14 00:00:00+00,LONG,684,0.0,-0.16869555,-0.1051366,-0.49137416
2006-06-14 00:00:00+00,LONG,714,0.9705882352941176,0.20398821,-0.22507353,-0.51370806
2006-06-14 00:00:00+00,LONG,817,0.9565217391304348,0.14640294,-0.09136942,-0.50484765
2006-06-14 00:00:00+00,LONG,1022,0.49005842169147684,-0.27053618,-0.076955244,-0.4822204
2006-06-26 00:00:00+00,LONG,2731,0.0,-0.3174364,-0.03298452,-0.53984404
2006-06-27 00:00:00+00,LONG,2731,0.0,0.3812411,-0.045507222,-0.5123166
2006-06-29 00:00:00+00,LONG,3885,0.975609756097561,-0.26416433,-0.22582391,-0.49225426
2006-07-03 00:00:00+00,LONG,2898,0.5133857335329224,-0.5567127,-0.08877884,-0.51482105
2006-07-14 00:00:00+00,LONG,4163,1.0,-0.28205717,-0.18166305,-0.51276004
2006-07-18 00:00:00+00,LONG,406,0.9310344827586207,-0.3000748,-0.051576696,-0.48937318
2006-07-24 00:00:00+00,LONG,817,0.6021823253925922,-0.19821005,-0.03934287,-0.53138846
2006-07-26 00:00:00+00,LONG,817,0.9142857142857143,-0.38158962,-0.04396728,-0.5306859
2006-07-26 00:00:00+00,LONG,1022,0.0,0.21165858,-0.06403965,-0.47655034
2006-07-27 00:00:00+00,LONG,1022,0.22378858397931894,-0.055187758,-0.057211444,-0.49620494
2006-07-28 00:00:00+00,LONG,1022,0.0,-0.013706134,-0.051846884,-0.5340093
2006-07-31 00:00:00+00,LONG,4062,0.0,-0.46989802,-0.16070554,-0.5269344
2006-08-02 00:00:00+00,LONG,4062,0.7173213923180749,0.14572194,-0.1602339,-0.50959206
2006-08-03 00:00:00+00,LONG,4062,0.7063179377410704,0.37200046,-0.15968566,-0.4994331
2006-08-08 00:00:00+00,LONG,4062,0.5797010669395913,0.08408777,-0.17709701,-0.49574128
2006-08-10 00:00:00+00,LONG,1966,1.0,-0.18749744,-0.09337059,-0.54101264
2006-08-11 00:00:00+00,LONG,2936,0.279842650201753,0.21239665,-0.058663648,-0.48915
2006-08-11 00:00:00+00,LONG,1966,0.9523809523809523,-0.20362745,-0.13063827,-0.5318901
2006-08-14 00:00:00+00,LONG,558,1.0,-0.03690984,-0.112000756,-0.49103296
2006-08-14 00:00:00+00,LONG,2936,0.2702915252182407,0.32732555,-0.043809943,-0.5052238
2006-08-16 00:00:00+00,LONG,558,0.9615384615384616,0.15436514,-0.09497554,-0.5090111
2006-08-21 00:00:00+00,LONG,558,0.9038461538461539,0.25375503,-0.09853837,-0.48614556
2006-08-30 00:00:00+00,LONG,3918,0.5161178152812195,-0.47818294,-0.17479683,-0.49070862
