time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_50_2.0_df055
2005-01-05 00:00:00+00,LONG,1012,1.0,0.036546107,0.001968793
2005-01-06 00:00:00+00,LONG,248,0.9093633002805568,0.026383407,0.00392539
2005-01-06 00:00:00+00,LONG,304,1.0,0.037062854,0.0019862913
2005-01-07 00:00:00+00,LONG,248,0.92882984516151,0.033255994,0.0011949291
2005-01-07 00:00:00+00,LONG,304,0.96875,0.042257044,0.009202059
2005-01-07 00:00:00+00,LONG,1012,0.9534883720930233,0.029227557,-0.006412883
2005-01-07 00:00:00+00,LONG,1585,0.6108826395588542,0.050694313,0.0055570398
2005-01-07 00:00:00+00,LONG,3716,0.3302044794330175,0.05110337,0.012789146
2005-01-07 00:00:00+00,LONG,1949,1.0,0.026926083,-0.0116384085
2005-01-10 00:00:00+00,LONG,304,0.7201865192716659,0.038165364,7.3428836E-4
2005-01-10 00:00:00+00,LONG,3716,0.0,0.0431433,-0.001092509
2005-01-10 00:00:00+00,LONG,1819,0.488743128061124,0.01359486,4.454804E-4
2005-01-11 00:00:00+00,LONG,248,0.8401417646752414,0.026136054,-0.0048727053
2005-01-11 00:00:00+00,LONG,304,0.90625,0.039005715,-0.0093391985
2005-01-11 00:00:00+00,LONG,1473,1.0,0.01414713,5.457107E-4
2005-01-11 00:00:00+00,LONG,3595,0.0,0.052161787,0.002298006
2005-01-11 00:00:00+00,LONG,3716,0.0,0.048162475,0.0067547
2005-01-11 00:00:00+00,LONG,1819,0.9655172413793104,0.037102267,0.00449327
2005-01-12 00:00:00+00,LONG,2367,0.0,0.028642265,-0.0024691042
2005-01-12 00:00:00+00,LONG,869,1.0,0.030909091,-0.005497962
2005-01-12 00:00:00+00,LONG,3716,0.26370611317983966,0.03436226,-0.0050290087
2005-01-13 00:00:00+00,LONG,869,0.962962962962963,0.028054299,-0.010247969
2005-01-13 00:00:00+00,LONG,3716,0.0,0.051607933,0.0028220017
2005-01-14 00:00:00+00,LONG,4237,0.513246105322965,0.04907241,0.0135763055
2005-01-14 00:00:00+00,LONG,1473,0.42755754283397185,0.046987496,-0.006382957
2005-01-14 00:00:00+00,LONG,3716,0.25859708526799563,0.03957529,-0.008191975
2005-01-18 00:00:00+00,LONG,2119,0.33808736522193933,0.034451496,0.0034232787
2005-01-19 00:00:00+00,LONG,2119,0.3521791084591242,0.046287946,0.006823356
2005-01-19 00:00:00+00,LONG,309,0.8913043478260869,0.048842527,-0.009896768
2005-01-20 00:00:00+00,LONG,309,0.0,0.03981685,-0.0064692227
2005-01-20 00:00:00+00,LONG,2751,0.0,0.03611285,-1.01894104E-4
2005-01-20 00:00:00+00,LONG,3109,1.0,0.03846154,0.0041185603
2005-01-20 00:00:00+00,LONG,3831,1.0,0.021894436,-1.5959401E-4
2005-01-21 00:00:00+00,LONG,2751,0.0,0.02664108,-0.008917486
2005-01-21 00:00:00+00,LONG,3109,0.46011706335964336,0.037562605,0.0035058346
2005-01-21 00:00:00+00,LONG,3716,0.23498129306631124,0.02964427,-6.3435145E-4
2005-01-24 00:00:00+00,LONG,3109,0.4483687714896804,0.036789298,0.0066312156
2005-01-24 00:00:00+00,LONG,1076,1.0,0.036572438,0.004224683
2005-01-24 00:00:00+00,LONG,3203,0.5112512679106104,0.016481087,0.0022509065
2005-01-24 00:00:00+00,LONG,3716,0.0,0.03947888,0.0051734447
2005-01-25 00:00:00+00,LONG,2430,0.40621774574656744,0.036544852,0.006284676
2005-01-25 00:00:00+00,LONG,3109,0.8846153846153846,0.043010753,0.0026091288
2005-01-25 00:00:00+00,LONG,1076,0.9615384615384616,0.038488578,-5.5659097E-4
2005-01-25 00:00:00+00,LONG,3203,0.4725967451535633,0.022269558,-0.0044293916
2005-01-25 00:00:00+00,LONG,3716,0.20080469499475892,0.027920792,-0.005703022
2005-01-26 00:00:00+00,LONG,2430,0.4002844101139866,0.015670473,-0.0059321313
2005-01-26 00:00:00+00,LONG,1076,0.5826213873270367,0.035595883,-0.011599163
