time,side,ticker_id,mv_dn_composite_labels,weighted_pos_sum_20_df035,joint_fall_flag_5_5_df042,ma_cloud_diff_8_100_df007,dist_upper_bb_50_2.0_df055
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.1274645,0.0,0.041210655,0.017464029
2005-03-07 00:00:00+00,SHORT,2119,0.3251296549859206,0.06256671,0.0,0.0040468774,-0.016417805
2005-03-07 00:00:00+00,SHORT,3067,0.13905167808038293,0.07003924,0.0,0.03402589,-0.020201668
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,0.12711956,0.0,0.052794352,0.010787139
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,0.13466658,0.0,0.038276553,-0.010459879
2005-03-07 00:00:00+00,SHORT,4049,0.33122711480257017,0.13810734,0.0,-0.01159698,-0.017759731
2005-03-08 00:00:00+00,SHORT,2119,0.41863213088442525,0.061682276,0.0,0.007121295,-0.019307295
2005-03-08 00:00:00+00,SHORT,440,0.6034642438997424,0.0806855,0.0,0.043122176,-0.01733593
2005-03-08 00:00:00+00,SHORT,898,1.0,0.12993388,0.0,0.05472976,0.0064398367
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,0.12711956,0.0,0.061055373,-1.6420614E-5
2005-03-08 00:00:00+00,SHORT,1371,0.3779902334382112,0.1224594,0.0,0.027539188,-0.009767766
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,0.079987094,0.0,0.048730068,-7.897085E-5
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,0.14581028,0.0,0.04804302,-0.0017431491
2005-03-09 00:00:00+00,SHORT,2425,0.1831906726568755,0.11301958,0.0,0.031406984,-0.016139379
2005-03-09 00:00:00+00,SHORT,1371,0.43218803255942406,0.11643077,0.0,0.027251672,-0.015249389
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,0.103412226,0.0,0.033567,-0.004144533
2005-03-10 00:00:00+00,SHORT,440,0.5025932986543172,0.08644636,0.0,0.041141633,-0.017347896
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,0.09551982,0.0,0.020865804,-0.019654848
2005-03-10 00:00:00+00,SHORT,1371,0.4356777085016686,0.11643077,0.0,0.027231712,-0.021452116
2005-03-10 00:00:00+00,SHORT,1851,0.1626802286270699,0.14169097,0.0,0.056819044,-0.020397779
2005-03-11 00:00:00+00,SHORT,2430,0.3095352062878694,0.064017616,0.0,0.03623625,-0.016023137
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,0.11810503,0.0,0.025308738,-0.012648983
2005-03-14 00:00:00+00,SHORT,2430,0.3373814820889174,0.058835685,0.0,0.03953181,-0.015168208
2005-03-14 00:00:00+00,SHORT,799,1.0,0.08329365,0.0,0.035401564,-0.004632089
2005-03-14 00:00:00+00,SHORT,1851,0.13451498937884848,0.15039329,0.0,0.06037211,-0.009049716
2005-03-15 00:00:00+00,SHORT,2430,0.28687997304796575,0.06534692,0.0,0.043710362,-0.010937579
2005-03-15 00:00:00+00,SHORT,2042,1.0,0.120574914,0.0,0.0154054,-0.0011029597
2005-03-16 00:00:00+00,SHORT,2042,0.9411764705882353,0.120574914,0.0,0.014838762,-0.010285779
2005-03-17 00:00:00+00,SHORT,641,0.0,0.133448,0.0,0.004964944,-0.013568878
2005-03-17 00:00:00+00,SHORT,2042,0.7753483420587126,0.114007145,0.0,0.014314126,-0.015508302
2005-03-18 00:00:00+00,SHORT,2430,0.19138595481952242,0.062247694,0.0,0.047154512,-0.014224914
2005-03-18 00:00:00+00,SHORT,641,0.0,0.12429768,0.0,0.0039976435,-0.014935214
2005-03-18 00:00:00+00,SHORT,3100,0.31669524632408247,0.13094145,0.0,0.052658338,-0.008043663
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,0.1028712,0.0,0.023464663,0.0038466877
2005-03-22 00:00:00+00,SHORT,2898,0.35660238228165897,0.12948911,0.0,0.051154535,-0.020410346
2005-03-22 00:00:00+00,SHORT,3293,0.22226494094068944,0.1028712,0.0,0.023594625,-0.0075070676
2005-03-23 00:00:00+00,SHORT,898,0.3125,0.112802476,0.0,0.02180155,-0.021451516
2005-03-23 00:00:00+00,SHORT,3293,0.1427886855195608,0.09161715,0.0,0.023218691,-0.01621247
2005-03-24 00:00:00+00,SHORT,2923,0.7426934883973229,0.1631487,0.0,-0.003730258,0.0035760368
2005-03-24 00:00:00+00,SHORT,3293,0.255096864138721,0.089598626,0.0,0.020983616,-0.015824055
2005-03-28 00:00:00+00,SHORT,2923,0.5960743256729517,0.15386574,0.0,-2.769166E-4,-0.012348681
2005-03-28 00:00:00+00,SHORT,3293,0.089457547184049,0.07959962,0.0,0.019787543,-0.015910797
2005-03-29 00:00:00+00,SHORT,2923,0.6373599341027845,0.1411794,0.0,0.003843024,-0.018708404
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.09994463,0.0,0.025537416,-0.0020512524
2005-04-06 00:00:00+00,SHORT,2269,0.0,0.072532505,0.0,0.04640466,-0.006746802
2005-04-06 00:00:00+00,SHORT,1112,0.2377573722518458,0.15044595,0.0,0.057391196,-0.009776945
2005-04-06 00:00:00+00,SHORT,1308,0.08911169210423346,0.09729632,0.0,0.028799098,-0.01344903
2005-04-06 00:00:00+00,SHORT,1437,0.18319507350690487,0.07626493,0.0,0.00244497,-0.017167674
2005-04-07 00:00:00+00,SHORT,4107,0.2703965970635967,0.121776894,0.0,0.017519247,-0.01931432
2005-04-07 00:00:00+00,SHORT,2269,0.0,0.070712216,0.0,0.048880227,-0.010898924
2005-04-07 00:00:00+00,SHORT,444,1.0,0.16429166,0.0,-0.0040958,0.017550863
2005-04-07 00:00:00+00,SHORT,1112,0.0,0.14974068,0.0,0.054795925,-0.020629669
2005-04-07 00:00:00+00,SHORT,3293,0.0,0.08380692,0.0,0.0018301298,-0.018544322
2005-04-08 00:00:00+00,SHORT,4169,0.44749147929464067,0.09815744,0.0,0.04908489,-0.013892755
2005-04-08 00:00:00+00,SHORT,2269,0.0,0.070712216,0.0,0.050368592,-0.014337985
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,0.16429166,0.0,0.006617015,0.006045382
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,0.16676316,0.0,0.021135129,-0.008515675
2005-04-08 00:00:00+00,SHORT,1585,0.25504818674103985,0.055258945,0.0,0.022371624,-0.01399648
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,0.0814147,0.0,0.034107268,-0.0076298444
2005-04-11 00:00:00+00,SHORT,4169,0.0,0.09330805,0.0,0.05370029,-0.01852594
2005-04-11 00:00:00+00,SHORT,2269,0.0,0.08587856,0.0,0.051321063,1.11680776E-4
2005-04-11 00:00:00+00,SHORT,444,0.4628760955601689,0.16429166,0.0,0.014862982,7.9552067E-4
2005-04-11 00:00:00+00,SHORT,937,0.27584955440004333,0.14625257,0.0,0.0293306,-0.014347116
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,0.0814147,0.0,0.03604945,-0.0130267935
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,0.09247116,0.0,0.036152624,-1.2523135E-4
2005-04-12 00:00:00+00,SHORT,4107,0.1149720943702941,0.13738088,0.0,0.018165836,-0.014745866
2005-04-12 00:00:00+00,SHORT,4122,1.0,0.064698696,0.0,-0.0019792935,-0.011649126
2005-04-12 00:00:00+00,SHORT,4169,0.42374998603786834,0.100949675,0.0,0.057911325,-0.013616137
2005-04-12 00:00:00+00,SHORT,405,0.0,0.073998414,0.0,0.04064721,-0.020475874
2005-04-12 00:00:00+00,SHORT,937,0.2732806510557435,0.12823671,0.0,0.03351821,-0.01476002
2005-04-12 00:00:00+00,SHORT,1112,0.0,0.13128237,0.0,0.040058825,-0.021563403
2005-04-12 00:00:00+00,SHORT,1437,0.07923974300174452,0.09438905,0.0,0.0014202052,-0.02039368
2005-04-12 00:00:00+00,SHORT,1650,0.0,0.1611197,0.0,0.004077516,-0.01905322
2005-04-12 00:00:00+00,SHORT,1710,0.5279492928089448,0.077306986,0.0,0.03733043,-0.015268655
2005-04-12 00:00:00+00,SHORT,1832,0.0,0.1543861,0.0,0.05154521,-0.020425625
2005-04-12 00:00:00+00,SHORT,3890,0.27432635172440073,0.09247116,0.0,0.035544243,-0.0023939095
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,0.07322366,0.0,0.011724944,-0.018124957
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,0.06717956,0.0,0.008906498,0.006632261
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,0.16705884,0.0,0.057686776,-0.006842991
2005-04-13 00:00:00+00,SHORT,1832,0.027671577539564268,0.16544092,0.0,0.052106526,-0.011680962
2005-04-13 00:00:00+00,SHORT,3890,0.25816014724537895,0.09247116,0.0,0.035955306,-0.005875837
2005-04-14 00:00:00+00,SHORT,2269,0.0,0.077318825,0.0,0.052101012,-0.021165736
2005-04-14 00:00:00+00,SHORT,3052,0.18336868445341853,0.06717956,0.0,0.011020422,-0.005495762
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,0.10415808,0.0,-0.01661007,-0.020998212
2005-04-14 00:00:00+00,SHORT,1832,0.0,0.16145878,0.0,0.050381664,-0.0222316
2005-04-18 00:00:00+00,SHORT,3052,0.0,0.0671258,0.0,0.01027082,-0.01862368
2005-04-18 00:00:00+00,SHORT,3890,0.25195383950707495,0.08580456,0.0,0.033350237,-0.018566934
2005-04-19 00:00:00+00,SHORT,3052,0.04174451459750906,0.06733345,0.0,0.009747679,-0.016820416
2005-04-19 00:00:00+00,SHORT,3890,0.23913707021027214,0.09314448,0.0,0.031539753,-0.011897994
2005-04-21 00:00:00+00,SHORT,1437,0.04516807361096226,0.0796637,0.0,-0.010731518,-0.022567477
2005-04-21 00:00:00+00,SHORT,3890,0.17137120022941213,0.09136543,0.0,0.025113408,-0.020419804
2005-04-25 00:00:00+00,SHORT,3052,0.02687279388033292,0.07572808,0.0,-7.6657365E-4,-0.016520739
2005-04-25 00:00:00+00,SHORT,3890,0.12537289886475164,0.082064025,0.0,0.0188779,-0.021675872
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.093433,0.0,0.044478454,0.0052318987
2005-05-04 00:00:00+00,SHORT,1437,0.0,0.09366427,0.0,-0.02746899,-0.014846461
2005-05-04 00:00:00+00,SHORT,3513,0.5124445080982103,0.12283919,0.0,0.007290634,-0.020700105
2005-05-05 00:00:00+00,SHORT,558,0.41570325230149757,0.0803792,0.0,0.044814453,-0.010151895
2005-05-06 00:00:00+00,SHORT,558,0.8333333333333334,0.0803792,0.0,0.045522355,-0.016591944
2005-05-09 00:00:00+00,SHORT,558,0.75,0.0803792,0.0,0.045745283,-0.019170163
2005-05-09 00:00:00+00,SHORT,3052,0.0,0.06716807,0.0,-0.010039695,-0.014348328
2005-05-09 00:00:00+00,SHORT,3702,0.0,0.118866496,0.0,0.05076629,-0.020954117
2005-05-10 00:00:00+00,SHORT,835,0.0,0.089011766,0.0,0.031002462,-0.007635894
2005-05-11 00:00:00+00,SHORT,835,0.0,0.08483675,0.0,0.03258385,-0.017149923
2005-05-18 00:00:00+00,SHORT,610,0.8481145317105129,0.11773713,0.0,-0.039591882,-0.014505132
2005-05-20 00:00:00+00,SHORT,4059,0.0,0.09936351,0.0,-0.036751572,-0.022490168
2005-05-23 00:00:00+00,SHORT,780,1.0,0.14194976,0.0,0.0018198806,-0.015064327
2005-05-23 00:00:00+00,SHORT,835,0.0,0.07375869,0.0,0.016356371,-0.021311775
2005-05-24 00:00:00+00,SHORT,780,0.9444444444444444,0.14676587,0.0,0.0075347717,-0.012814592
2005-05-25 00:00:00+00,SHORT,1840,1.0,0.08950197,0.0,0.048983525,-0.013570029
2005-06-01 00:00:00+00,SHORT,195,0.0,0.115550615,0.0,0.025946898,-0.006329244
2005-06-02 00:00:00+00,SHORT,195,0.0,0.10162112,0.0,0.028033664,-0.013551195
2005-06-02 00:00:00+00,SHORT,220,1.0,0.11560396,0.0,-0.0043918444,4.546756E-4
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,0.09093463,0.0,-0.010065823,-0.02042453
2005-06-06 00:00:00+00,SHORT,220,0.8181818181818181,0.10417157,0.0,-5.3068425E-4,-0.020498492
2005-06-07 00:00:00+00,SHORT,4197,0.9131702621057194,0.06639994,0.0,0.02389794,-0.008611088
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,0.08682144,0.0,0.028830206,0.0062417826
2005-06-07 00:00:00+00,SHORT,3293,0.5064033456192457,0.11489433,0.0,0.050557416,-0.013276304
2005-06-13 00:00:00+00,SHORT,4197,0.5150124414070505,0.0712752,0.0,0.023210952,-0.01758758
2005-06-14 00:00:00+00,SHORT,4197,0.3860106158818413,0.05545355,0.0,0.021929571,-0.018323598
2005-06-14 00:00:00+00,SHORT,4223,0.12167269913384068,0.09520228,0.0,-0.013764353,-0.0061960304
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,0.08344977,0.0,0.053622708,-0.013362301
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.103545465,0.0,-0.032107335,0.008791258
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,0.0912072,0.0,-0.027327651,-0.0010179938
2005-06-16 00:00:00+00,SHORT,4223,0.08725065644998635,0.11218483,0.0,-0.010416777,-0.01815235
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.117560565,0.0,0.04199047,-0.0020158777
2005-06-17 00:00:00+00,SHORT,2055,0.0,0.09731171,0.0,0.02761503,-0.01785264
2005-06-17 00:00:00+00,SHORT,4128,0.149300770539291,0.0912072,0.0,-0.023545565,-0.009564995
2005-06-17 00:00:00+00,SHORT,4223,0.2313351026997672,0.10950674,0.0,-0.008381728,-0.012971825
2005-06-17 00:00:00+00,SHORT,234,1.0,0.14103661,0.0,0.020148877,-0.0053304364
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,0.07172059,0.0,0.008382978,-0.019902641
2005-06-17 00:00:00+00,SHORT,2367,0.2372412825140687,0.11847433,0.0,-0.025112202,-0.021295024
2005-06-17 00:00:00+00,SHORT,2731,0.12812976308016003,0.1526217,0.0,-0.058453765,-0.022401486
2005-06-17 00:00:00+00,SHORT,687,0.20099737471289936,0.084278174,0.0,0.043618307,-0.013347102
2005-06-17 00:00:00+00,SHORT,903,0.054484583148280204,0.10861808,0.0,0.0023322185,-0.0068238787
2005-06-17 00:00:00+00,SHORT,907,0.5469040794819283,0.06425609,0.0,0.05425592,-0.014821561
2005-06-17 00:00:00+00,SHORT,1330,0.0,0.09695655,0.0,-0.05689366,-0.021656074
2005-06-17 00:00:00+00,SHORT,1383,0.0,0.15745695,0.0,0.06143132,0.0056283404
2005-06-17 00:00:00+00,SHORT,3456,0.3643693885308772,0.12633327,0.0,0.05494251,0.0012536994
2005-06-17 00:00:00+00,SHORT,1819,0.0,0.07830178,0.0,-0.006038012,0.008482314
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,0.16857465,0.0,0.052474737,0.0063895984
2005-06-20 00:00:00+00,SHORT,4128,0.09545859557953242,0.0912072,0.0,-0.019441985,-0.011348375
2005-06-20 00:00:00+00,SHORT,4223,0.13875097209041107,0.10950674,0.0,-0.006246338,-0.019318951
2005-06-20 00:00:00+00,SHORT,234,0.875,0.14103661,0.0,0.029075393,-0.009859696
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,0.07172059,0.0,0.008750309,-0.019969301
2005-06-20 00:00:00+00,SHORT,907,0.5434883358259087,0.06808628,0.0,0.056329027,-0.01248424
2005-06-20 00:00:00+00,SHORT,3456,0.32477875613578544,0.12633327,0.0,0.056513097,-0.0097926995
2005-06-20 00:00:00+00,SHORT,1819,0.0,0.07830178,0.0,-8.725746E-4,1.8176541E-4
2005-06-21 00:00:00+00,SHORT,234,0.0,0.12938839,0.0,0.034561496,-0.012510162
2005-06-21 00:00:00+00,SHORT,245,0.27489369070246966,0.056579165,0.0,0.009556924,-0.019889647
2005-06-21 00:00:00+00,SHORT,2936,0.29628963757019317,0.08422777,0.0,0.013719284,-0.016855018
2005-06-21 00:00:00+00,SHORT,907,0.49454082408381017,0.05226558,0.0,0.05822584,-0.017056877
2005-06-21 00:00:00+00,SHORT,934,0.0,0.09276528,0.0,-0.013456659,-0.022308718
2005-06-21 00:00:00+00,SHORT,1330,0.0,0.076002605,0.0,-0.049489822,-0.011583677
2005-06-21 00:00:00+00,SHORT,3456,0.1035745017479118,0.12035859,0.0,0.058367882,-0.018395022
2005-06-21 00:00:00+00,SHORT,1819,0.0,0.07533925,0.0,0.0039241565,-0.0037164884
2005-06-21 00:00:00+00,SHORT,2006,0.3568095509434414,0.13328724,0.0,-0.01908958,-0.015018369
2005-06-22 00:00:00+00,SHORT,234,0.625,0.13161309,0.0,0.040192824,-0.011285651
2005-06-22 00:00:00+00,SHORT,245,0.2766931282513203,0.056579165,0.0,0.010429238,-0.020266937
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,0.040023446,0.0,0.018774647,-0.0054857493
2005-06-22 00:00:00+00,SHORT,730,0.0,0.06640168,0.0,0.0020326213,-0.005295311
2005-06-22 00:00:00+00,SHORT,907,0.48862718846638353,0.047398612,0.0,0.05994003,-0.019540647
2005-06-22 00:00:00+00,SHORT,1330,0.0,0.076002605,0.0,-0.045921978,-0.014104743
2005-06-22 00:00:00+00,SHORT,1819,0.0,0.07507048,0.0,0.007783741,-0.0042937985
2005-06-22 00:00:00+00,SHORT,1927,0.6885107414441294,0.12753983,0.0,0.043236725,-0.013119272
