time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,ma_cloud_diff_13_100_df007
2005-02-11 00:00:00+00,SHORT,2452,0.57506392065574,-0.009799554,0.051228173
2005-02-11 00:00:00+00,SHORT,2479,0.0,-0.0088471845,-0.014578464
2005-02-11 00:00:00+00,SHORT,687,0.5364291485844503,0.002562109,0.095563665
2005-02-11 00:00:00+00,SHORT,2801,0.8333333333333334,-0.01003514,0.116231725
2005-02-11 00:00:00+00,SHORT,1761,0.7680473719945151,-0.0045268014,0.005449047
2005-02-11 00:00:00+00,SHORT,1832,0.06744684778637837,-0.0059774746,0.01895366
2005-02-14 00:00:00+00,SHORT,2536,0.4239552591317047,-0.009940103,0.085103095
2005-02-14 00:00:00+00,SHORT,2778,1.0,-0.0026570666,-2.509873E-4
2005-02-14 00:00:00+00,SHORT,1761,0.8888888888888888,-0.011451728,0.007897009
2005-02-15 00:00:00+00,SHORT,4112,0.5262692562561426,0.008985031,-0.0028119038
2005-02-15 00:00:00+00,SHORT,2716,1.0,0.016796822,0.10216235
2005-02-15 00:00:00+00,SHORT,2778,0.9230769230769231,-0.008140589,0.0047569145
2005-02-15 00:00:00+00,SHORT,1306,0.5272578017908387,-0.0024617198,0.12358658
2005-02-15 00:00:00+00,SHORT,1360,0.0,0.012828491,0.07545405
2005-02-15 00:00:00+00,SHORT,1761,0.7777777777777778,-0.011083852,0.010624855
2005-02-16 00:00:00+00,SHORT,4153,1.0,-0.0029469852,0.09591269
2005-02-16 00:00:00+00,SHORT,212,0.0,-0.012307492,0.021755224
2005-02-16 00:00:00+00,SHORT,270,0.7579321538535742,-0.0031412297,-0.007609666
2005-02-16 00:00:00+00,SHORT,2643,1.0,0.002675032,0.08738952
2005-02-16 00:00:00+00,SHORT,2778,0.8461538461538461,-0.00799503,0.009579806
2005-02-16 00:00:00+00,SHORT,937,0.6229899694604561,-0.008575632,0.030315563
2005-02-16 00:00:00+00,SHORT,3127,0.6264284570020944,-0.005151551,0.10354228
2005-02-16 00:00:00+00,SHORT,3244,0.0,-0.006947375,4.7153208E-4
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,-0.004127976,0.033399396
2005-02-17 00:00:00+00,SHORT,2352,0.359476250649854,-0.0016748193,0.006590568
2005-02-17 00:00:00+00,SHORT,370,0.48560892367643554,-0.0074206707,0.010393483
2005-02-17 00:00:00+00,SHORT,2643,0.9090909090909091,-0.010540743,0.08941994
2005-02-17 00:00:00+00,SHORT,857,0.4096435311821278,-0.008161031,0.07939993
2005-02-17 00:00:00+00,SHORT,3021,0.3535409426643509,-0.010988401,5.6705624E-4
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,-0.0053701783,0.05946838
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,0.002150425,0.014772219
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,-0.0026847844,0.0902912
2005-02-25 00:00:00+00,SHORT,3595,1.0,0.019917475,0.09860041
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,5.248633E-4,0.11367731
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,0.00967002,0.0962497
2005-02-28 00:00:00+00,SHORT,1012,0.5719437910287027,-0.0073448797,0.0965509
2005-02-28 00:00:00+00,SHORT,1740,0.27067994537866985,-0.0054196455,0.08732121
2005-03-01 00:00:00+00,SHORT,131,0.31177551826788025,0.004390199,0.13052268
2005-03-01 00:00:00+00,SHORT,2285,0.4389891986820177,-0.011258725,0.11533147
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.0036019823,0.011455666
2005-03-01 00:00:00+00,SHORT,602,0.3521511333257591,-0.011335634,0.096998096
2005-03-01 00:00:00+00,SHORT,843,0.4918513343600976,-0.01019166,0.050476152
2005-03-02 00:00:00+00,SHORT,131,0.32896278869290235,-0.00505437,0.13158716
2005-03-02 00:00:00+00,SHORT,558,0.9333333333333333,-0.006149199,0.015186564
2005-03-02 00:00:00+00,SHORT,3825,0.5602593389242179,0.00826129,0.018871006
2005-03-03 00:00:00+00,SHORT,3841,1.0,-0.006440618,0.08217183
2005-03-04 00:00:00+00,SHORT,84,1.0,-0.0062164576,0.03760432
2005-03-04 00:00:00+00,SHORT,131,0.33780295593173076,-0.010827126,0.12791172
2005-03-04 00:00:00+00,SHORT,194,0.3956311047117868,-0.0038072607,0.044721313
2005-03-04 00:00:00+00,SHORT,1184,0.661327978851013,0.008297504,0.06434214
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.019124508,0.027526807
2005-03-04 00:00:00+00,SHORT,3466,0.8840482875978609,-0.001283951,0.1181028
2005-03-04 00:00:00+00,SHORT,3744,1.0,-0.01055491,0.094503865
2005-03-04 00:00:00+00,SHORT,1740,0.5637418617602477,-0.0058656167,0.09593483
2005-03-04 00:00:00+00,SHORT,3841,0.9444444444444444,-0.0064656986,0.083514996
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,0.017005876,-0.010064735
2005-03-07 00:00:00+00,SHORT,131,0.2593761082766575,-0.011439563,0.12735173
2005-03-07 00:00:00+00,SHORT,157,0.40710579044497097,-0.0097609265,-0.00834332
2005-03-07 00:00:00+00,SHORT,194,0.3393730354285063,-0.009390353,0.04334468
2005-03-07 00:00:00+00,SHORT,641,0.24430411668534546,0.0029865685,4.6769164E-5
2005-03-07 00:00:00+00,SHORT,2961,0.18810216170249863,-0.0076222452,0.11988765
2005-03-07 00:00:00+00,SHORT,1184,0.6651594412380668,-0.0063364413,0.06822738
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,0.006911039,0.032292914
2005-03-07 00:00:00+00,SHORT,1288,0.30880491838340446,-0.01160159,0.06331359
2005-03-07 00:00:00+00,SHORT,3359,0.6503051574669447,-0.0032933466,0.00877642
2005-03-07 00:00:00+00,SHORT,1615,1.0,-0.0015275485,0.122128025
2005-03-07 00:00:00+00,SHORT,3841,0.8888888888888888,-0.010248288,0.08358101
2005-03-07 00:00:00+00,SHORT,3855,0.3434763189544432,-0.0075825644,0.08106702
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,-3.488091E-4,0.021017555
2005-03-08 00:00:00+00,SHORT,4107,0.45146578723241276,-0.007197425,-0.008587473
2005-03-08 00:00:00+00,SHORT,194,0.39933968732343317,-0.011790328,0.04219619
2005-03-08 00:00:00+00,SHORT,440,0.6034642438997424,-0.0025804276,0.039323647
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,-0.003362898,0.012860109
2005-03-08 00:00:00+00,SHORT,641,0.18464301652050702,-0.010445149,3.7716665E-5
2005-03-08 00:00:00+00,SHORT,869,1.0,-0.0018279838,0.08313673
2005-03-08 00:00:00+00,SHORT,898,1.0,-0.0066210334,0.040720746
2005-03-08 00:00:00+00,SHORT,903,0.5285590603134446,0.0022914973,0.1069937
2005-03-08 00:00:00+00,SHORT,3124,0.5671183428946235,0.0039832927,0.09164677
2005-03-08 00:00:00+00,SHORT,1184,0.6176307542600878,-0.010124646,0.07230492
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,-0.008510188,0.036561802
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,-0.0022559701,-0.019899722
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,-0.005993986,0.04228295
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,0.004351845,0.0909572
2005-03-08 00:00:00+00,SHORT,3629,0.454467840182215,-0.005548426,-0.002786054
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,4.7820073E-4,0.02517452
2005-03-09 00:00:00+00,SHORT,2070,0.8171119053706654,-0.00551752,0.008403157
2005-03-09 00:00:00+00,SHORT,2116,0.6668150181773671,0.017590784,0.08252137
2005-03-09 00:00:00+00,SHORT,440,0.5118023865855605,-0.009981578,0.038282707
2005-03-09 00:00:00+00,SHORT,3046,0.5587288684459337,-0.00812021,-0.020044645
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,-0.0012670251,0.031425986
2005-03-10 00:00:00+00,SHORT,440,0.5025932986543172,-0.0033349008,0.03770166
2005-03-10 00:00:00+00,SHORT,475,0.8980693036003441,-0.012012639,0.072821096
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,-0.0040949667,0.01381009
2005-03-10 00:00:00+00,SHORT,629,0.6522168064459993,-0.008293055,0.0014842281
2005-03-11 00:00:00+00,SHORT,2116,0.414528882865282,9.080374E-4,0.08635948
2005-03-11 00:00:00+00,SHORT,2343,0.541956378092684,-0.006928597,0.08891018
2005-03-11 00:00:00+00,SHORT,440,0.3487683508151315,-0.012385092,0.03754596
2005-03-11 00:00:00+00,SHORT,487,0.5718778406985143,-0.011162305,0.018225346
2005-03-11 00:00:00+00,SHORT,3244,0.689398996745523,-0.0074008363,0.015719134
2005-03-14 00:00:00+00,SHORT,2430,0.3373814820889174,-0.011487292,0.03120359
2005-03-14 00:00:00+00,SHORT,799,1.0,-0.007739772,0.030932155
2005-03-14 00:00:00+00,SHORT,881,0.541200214744221,-0.0107582575,-0.015803263
2005-03-14 00:00:00+00,SHORT,3244,0.5706484650577092,-0.0057082963,0.017494027
2005-03-15 00:00:00+00,SHORT,2343,0.4864238277416395,-0.010595576,0.088210054
2005-03-15 00:00:00+00,SHORT,2430,0.28687997304796575,-0.0074815787,0.032207858
2005-03-15 00:00:00+00,SHORT,3244,0.5301757312030042,-0.0037526384,0.018663568
2005-03-15 00:00:00+00,SHORT,2042,1.0,-0.005923711,0.0050384756
2005-03-16 00:00:00+00,SHORT,2430,0.2577630359261774,-0.010971203,0.034063682
2005-03-16 00:00:00+00,SHORT,2747,1.0,0.0018544566,0.06902926
2005-03-16 00:00:00+00,SHORT,3244,0.5780268191115989,-0.008401427,0.020286968
2005-03-17 00:00:00+00,SHORT,2430,0.2268285944353561,-0.011086075,0.035684124
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,-0.0016665481,0.07147655
2005-03-18 00:00:00+00,SHORT,2430,0.19138595481952242,-0.009441562,0.037806008
2005-03-18 00:00:00+00,SHORT,2747,0.8571428571428572,-0.009138321,0.071936
2005-03-18 00:00:00+00,SHORT,3179,0.0750478047647046,-0.00813907,0.08238428
2005-03-21 00:00:00+00,SHORT,4107,0.0,-0.01176316,3.7297135E-4
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,-0.0022236304,0.017391458
2005-03-22 00:00:00+00,SHORT,3794,1.0,0.0012354619,0.07799183
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.016768496,-0.0033783815
2005-03-24 00:00:00+00,SHORT,2923,0.7426934883973229,-0.010957261,-0.0023764728
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.008176483,0.0875995
2005-03-28 00:00:00+00,SHORT,1471,0.41979277603375054,-0.004582571,0.07953902
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,-0.0045424863,0.08942312
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,-0.0023373838,0.09216113
2005-03-31 00:00:00+00,SHORT,2430,0.06610452502445582,-0.010850081,0.03781088
2005-03-31 00:00:00+00,SHORT,559,0.0,-0.012162837,0.0346693
2005-04-01 00:00:00+00,SHORT,730,0.4511181226669267,-0.004923913,0.05873532
2005-04-01 00:00:00+00,SHORT,3613,0.7390763237054241,0.002739053,0.11571898
2005-04-04 00:00:00+00,SHORT,897,1.0,-0.011820786,0.12838203
2005-04-04 00:00:00+00,SHORT,1173,0.6983908451872511,-0.005079767,0.08146267
2005-04-05 00:00:00+00,SHORT,2396,0.1464707123754119,-0.010071215,0.1184323
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,-0.0033822407,0.021703903
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.0018128408,0.03809413
2005-04-06 00:00:00+00,SHORT,2297,0.0,0.01843196,0.114185534
2005-04-06 00:00:00+00,SHORT,2396,0.16647576061283764,-0.0078288065,0.11930628
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,-5.0202396E-4,0.065852836
2005-04-06 00:00:00+00,SHORT,897,0.8571428571428572,-0.005583469,0.12680748
2005-04-06 00:00:00+00,SHORT,1112,0.2377573722518458,-0.010308713,0.050366916
2005-04-06 00:00:00+00,SHORT,1114,0.8125,-0.010476435,0.011339586
2005-04-06 00:00:00+00,SHORT,1437,0.18319507350690487,-0.007743764,-0.0034415284
2005-04-06 00:00:00+00,SHORT,1770,0.5591253411490623,-0.0069386996,0.07899342
2005-04-06 00:00:00+00,SHORT,3915,0.0,-0.010055923,0.075445645
2005-04-07 00:00:00+00,SHORT,13,0.4068319075322529,-0.012374006,0.07570726
2005-04-07 00:00:00+00,SHORT,2095,0.03139758072845619,-0.0018252461,0.090119116
2005-04-07 00:00:00+00,SHORT,2261,0.0,0.0012920075,0.07406775
2005-04-07 00:00:00+00,SHORT,2269,0.0,-0.010771034,0.038910262
2005-04-07 00:00:00+00,SHORT,2297,0.0,0.0020835702,0.12311713
2005-04-07 00:00:00+00,SHORT,2396,0.1433696552725832,-0.01229506,0.12056346
2005-04-07 00:00:00+00,SHORT,444,1.0,0.009904617,-0.015101847
2005-04-07 00:00:00+00,SHORT,602,0.33509846747500505,-0.006264409,0.019879056
2005-04-07 00:00:00+00,SHORT,2818,0.3171132865082264,-0.0069653504,0.06637884
2005-04-07 00:00:00+00,SHORT,1826,0.40539782864250584,-0.0015003406,0.09746568
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,-0.0013422265,0.07665409
2005-04-08 00:00:00+00,SHORT,4169,0.44749147929464067,-0.0056361672,0.038268745
2005-04-08 00:00:00+00,SHORT,2261,0.0,-0.0072018253,0.07562653
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,-0.00623316,-0.010382844
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,-0.008747363,0.019440837
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,0.0031739385,0.0014001871
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.0013873163,0.024489844
2005-04-11 00:00:00+00,SHORT,4169,0.0,-0.011581437,0.04000028
2005-04-11 00:00:00+00,SHORT,2253,1.0,3.6429532E-4,0.065363705
2005-04-11 00:00:00+00,SHORT,2269,0.0,-0.0054605,0.042596065
2005-04-11 00:00:00+00,SHORT,1064,0.2080501076306608,-0.0071395924,0.012218087
2005-04-11 00:00:00+00,SHORT,3124,0.6282250945177908,-0.0015195654,0.07586535
2005-04-11 00:00:00+00,SHORT,3310,0.31437550715959905,-0.0034011824,0.02122726
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,-0.010940351,0.026709443
2005-04-11 00:00:00+00,SHORT,1770,0.3290542406979669,-0.010099636,0.07735169
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,-0.010667464,0.028191715
2005-04-12 00:00:00+00,SHORT,4122,1.0,6.9783867E-4,-0.007204056
2005-04-12 00:00:00+00,SHORT,4169,0.42374998603786834,-0.008845101,0.04295381
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,-0.0030956252,0.05449701
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,-0.0020292338,0.038601864
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,-0.004762747,0.06566119
2005-04-12 00:00:00+00,SHORT,2261,0.0,-0.007319341,0.080063276
2005-04-12 00:00:00+00,SHORT,2269,0.0,-0.0100320345,0.044635832
2005-04-12 00:00:00+00,SHORT,345,0.0,-0.005717211,-0.0034999603
2005-04-12 00:00:00+00,SHORT,2425,0.0,-0.0052305106,-0.02010115
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.021830844,0.0023297935
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.005210495,0.05570932
2005-04-12 00:00:00+00,SHORT,3310,0.34639637549767277,-0.005503104,0.020911718
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,-0.004371628,0.017975878
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.02768142,0.07639078
2005-04-12 00:00:00+00,SHORT,3773,0.0,-0.008875938,0.08194483
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,0.0030592477,0.12093359
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,6.3293945E-4,0.009742697
2005-04-13 00:00:00+00,SHORT,424,0.0,0.008418363,0.057487823
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,-0.0022610065,-0.0012645802
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,-3.1545834E-4,0.0423664
2005-04-13 00:00:00+00,SHORT,1244,0.0,-0.0048492556,0.044561416
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,-0.0047648503,0.01048211
2005-04-13 00:00:00+00,SHORT,3994,0.5722110442553464,-0.006372446,0.014170854
2005-04-14 00:00:00+00,SHORT,424,0.0,-0.0059108036,0.058407865
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,0.0033066913,-0.014992648
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,-9.878785E-4,0.08117921
2005-04-18 00:00:00+00,SHORT,3430,0.23329269728423696,-0.0067642527,-0.012211492
2005-04-19 00:00:00+00,SHORT,3430,0.17946247419289027,-0.0032469828,-0.010009493
2005-04-21 00:00:00+00,SHORT,2747,1.0,-0.0035217481,0.061079584
2005-04-21 00:00:00+00,SHORT,3702,0.3260084711459656,-0.01107053,0.094651535
2005-04-22 00:00:00+00,SHORT,2720,1.0,-1.9738277E-4,0.063921414
2005-04-25 00:00:00+00,SHORT,2297,0.0,-0.01085486,0.11747908
2005-04-25 00:00:00+00,SHORT,523,0.26504391757400475,-0.0041142562,0.016218865
2005-04-25 00:00:00+00,SHORT,1631,0.0,-0.0030983596,0.07183522
2005-04-25 00:00:00+00,SHORT,1826,0.13215131846005645,-0.012220069,0.07687369
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,0.003736896,0.027559675
2005-04-26 00:00:00+00,SHORT,4215,0.5190072984871945,-0.0058561307,0.03240308
2005-04-26 00:00:00+00,SHORT,1631,0.0,-0.011444754,0.07358272
2005-04-26 00:00:00+00,SHORT,1851,0.0,-0.0070305998,0.0072299005
2005-04-27 00:00:00+00,SHORT,3641,0.2429791286103717,-0.008312516,-0.017221155
