time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,sessions_since_bearish_13_100_df059,velocity_price_vs_etf_diff_5_df050
2006-07-25 00:00:00+00,LONG,3501,0.8634596802564718,-0.61573446,4.0,-0.03281285
2006-08-23 00:00:00+00,LONG,3703,0.6,-0.1724304,4.0,-0.04097783
2006-08-24 00:00:00+00,LONG,3433,0.0,-0.40287295,3.0,-0.05521346
2006-08-25 00:00:00+00,LONG,3433,0.0,0.7800218,4.0,-0.06341997
2006-08-29 00:00:00+00,LONG,843,1.0,-0.3111099,3.0,-0.034439053
2006-08-30 00:00:00+00,LONG,843,0.972972972972973,-0.40656462,4.0,-0.032407157
2006-09-06 00:00:00+00,LONG,3613,0.0,0.049199827,4.0,-0.040189635
2006-09-28 00:00:00+00,LONG,3677,0.9333333333333333,0.27197748,3.0,-0.04945439
2006-10-04 00:00:00+00,LONG,2504,0.0,0.753185,3.0,-0.030307464
2006-11-08 00:00:00+00,LONG,2877,0.4385704598901312,-0.023293339,3.0,-0.03536014
2006-11-08 00:00:00+00,LONG,2004,0.30234743281781423,0.1769712,4.0,-0.031623308
2006-11-14 00:00:00+00,LONG,3903,0.9361702127659575,-0.5199996,3.0,-0.05025617
2006-11-16 00:00:00+00,LONG,243,0.22852530486545863,-0.28285992,4.0,-0.052908182
2006-12-07 00:00:00+00,LONG,517,0.15023368833021963,0.17391634,4.0,-0.038437873
2006-12-14 00:00:00+00,LONG,1888,0.0,0.104989834,3.0,-0.035719015
2006-12-15 00:00:00+00,LONG,1888,0.0,0.58508617,4.0,-0.041942876
2007-01-08 00:00:00+00,LONG,1404,0.6881135560549885,0.058456674,3.0,-0.059124865
2007-01-09 00:00:00+00,LONG,1404,0.6762292685429577,0.6991242,4.0,-0.06484057
2007-01-11 00:00:00+00,LONG,1740,0.8554146301141585,0.18917684,4.0,-0.036301713
2007-01-12 00:00:00+00,LONG,2896,0.6865636994493771,-0.3044759,3.0,-0.042313747
2007-01-12 00:00:00+00,LONG,3466,0.9259259259259259,0.46834213,3.0,-0.04133999
2007-01-16 00:00:00+00,LONG,2261,0.9393939393939394,-0.23684688,3.0,-0.04796379
2007-01-16 00:00:00+00,LONG,2896,0.6844111144128577,-0.1302951,4.0,-0.051363323
2007-01-16 00:00:00+00,LONG,1298,0.28806261001072386,0.3826863,4.0,-0.029444512
2007-01-17 00:00:00+00,LONG,2569,0.6983793015793445,-0.08565238,4.0,-0.032790165
2007-02-02 00:00:00+00,LONG,2613,0.0,-0.1450419,3.0,-0.035854805
2007-03-08 00:00:00+00,LONG,2116,0.9,0.16658404,3.0,-0.037896436
2007-03-09 00:00:00+00,LONG,2116,0.8666666666666667,-0.06716881,4.0,-0.03142423
2007-03-15 00:00:00+00,LONG,1051,0.98,0.8464093,3.0,-0.038036652
2007-03-15 00:00:00+00,LONG,3815,0.38085659041801617,0.33599135,3.0,-0.051200986
2007-03-16 00:00:00+00,LONG,3330,0.4933344912179035,0.26949945,3.0,-0.030698495
2007-04-02 00:00:00+00,LONG,2088,0.0,-0.28332844,3.0,-0.045936566
2007-04-18 00:00:00+00,LONG,3824,0.0,0.4599404,3.0,-0.03184172
2007-04-19 00:00:00+00,LONG,3824,0.0,0.42972797,4.0,-0.040913295
2007-05-09 00:00:00+00,LONG,356,0.0,0.7351584,3.0,-0.0320175
2007-05-10 00:00:00+00,LONG,356,0.0,-0.114688754,4.0,-0.040587127
2007-05-16 00:00:00+00,LONG,3621,0.0,-0.48789507,4.0,-0.029504377
2007-05-17 00:00:00+00,LONG,1396,0.7302465501496629,-0.009519779,4.0,-0.034157474
2007-05-24 00:00:00+00,LONG,2095,0.0,0.08346168,3.0,-0.028505905
2007-08-06 00:00:00+00,LONG,142,0.0,-0.23572387,3.0,-0.032351628
2007-08-14 00:00:00+00,LONG,555,0.1714893080358053,-0.34388876,4.0,-0.04243635
2007-08-16 00:00:00+00,LONG,1184,0.478929831649701,0.41920766,4.0,-0.038189054
2007-08-17 00:00:00+00,LONG,1770,0.9836065573770492,-0.35474256,3.0,-0.032748144
2007-08-17 00:00:00+00,LONG,1803,0.35303760616087887,0.42924386,4.0,-0.04807405
2007-08-20 00:00:00+00,LONG,1,0.41281753941121546,-0.48290393,3.0,-0.07108199
2007-08-20 00:00:00+00,LONG,739,0.9565217391304348,-0.02013566,3.0,-0.04686601
2007-08-20 00:00:00+00,LONG,3703,0.0,0.3335095,3.0,-0.031314235
2007-08-20 00:00:00+00,LONG,3716,0.0,0.42110643,4.0,-0.062003545
2007-08-21 00:00:00+00,LONG,739,0.9347826086956522,0.14992423,4.0,-0.03541332
