id,strategy,ticker,ticker_id,signal_date,side,close_reason,entry_date,exit_date,entry_price,entry_price_adjusted,exit_price,exit_price_adjusted,tp,sl,atr,atr_entry_adjusted,size,size_adjusted,allocation_usd,gross_pnl_usd,net_pnl_usd,gross_pnl_pct,net_pnl_pct,commission_usd,commission_pct
370740,wf1-p16-short-17225,A,1,2020-09-02,Short,Time,2020-09-03,2020-09-22,103.09,99.88018048976315,97.84,94.793586615291,91.72719218201134,102.59784325901376,1.8699996569773871,1.8117751795004036,19,19.61059732166534,1958.71,99.75114421112275,99.18114421112276,0.04987557210556137,0.04959057210556138,0.57,0.000285
370741,wf1-p16-short-17225,A,1,2020-10-23,Short,SL,2020-10-26,2020-11-04,105.39,102.29266414986142,108.17881120487213,104.99945698303847,94.17228565033028,104.99945698303847,1.8591681626397154,1.804528555451365,18,18.545024863374525,1897.02,-50.19754039127232,-50.73754039127232,-0.02509877019563616,-0.02536877019563616,0.54,0.00027
370742,wf1-p16-short-17225,A,1,2020-11-09,Short,SL,2020-11-10,2020-11-24,112.82,109.50430005444643,117.10252392097979,113.66092689775628,97.03441952451689,113.66092689775628,2.8549907186539762,2.7710845622065654,17,17.51474598756747,1917.9399999999998,-72.80226332567645,-73.31226332567645,-0.036401131662838225,-0.03665613166283823,0.51,0.000255
370743,wf1-p16-short-17225,A,1,2021-02-17,Short,TP,2021-02-18,2021-03-04,129,125.41410714285713,114.46881469510002,111.2868026403745,111.2868026403745,130.12320864368468,3.2291640733036475,3.1394010005516946,15,15.42888630380212,1935,217.96857494799627,217.51857494799629,0.10898428747399813,0.10875928747399814,0.44999999999999996,0.00022499999999999997
370744,wf1-p16-short-17225,A,1,2021-04-26,Short,TP,2021-04-27,2021-05-12,136.93,133.3225446365768,129.08121482352814,125.68059109034303,125.68059109034303,135.8698624853214,1.7441622944286475,1.6982118991630581,14,14.37881346493644,1917.02,109.88222454900485,109.46222454900484,0.05494111227450242,0.05473111227450242,0.42,0.00020999999999999998
370745,wf1-p16-short-17225,A,1,2021-05-24,Short,SL,2021-05-25,2021-05-26,133.41,129.89535795991893,136.64128287819028,133.04149396059134,120.45694995790166,133.04149396059134,2.1541750243772917,2.097424000448283,14,14.37880482669995,1867.74,-45.23767551192297,-45.657675511922974,-0.022618837755961487,-0.022828837755961486,0.42,0.00020999999999999998
370746,wf1-p16-short-17225,A,1,2022-08-18,Short,Time,2022-08-19,2022-09-07,139.35,136.65959925882862,128.97,126.47999486418627,119.05858593381382,142.52660370050023,3.9883382915458125,3.911336294447736,14,14.27561628001749,1950.8999999999999,145.32012622029396,144.90012622029397,0.07266006311014697,0.07245006311014698,0.42,0.00020999999999999998
370747,wf1-p16-short-17225,A,1,2022-12-13,Short,Time,2022-12-14,2023-01-03,157.26,154.49075714747107,151.96,149.50670282591312,138.44339304611688,159.83987851458915,3.6300028201255925,3.566080911412044,12,12.215099691683342,1887.12,60.88072040659553,60.52072040659553,0.030440360203297764,0.030260360203297764,0.36,0.00017999999999999998
370748,wf1-p16-short-17225,A,1,2023-04-13,Short,TP,2023-04-14,2023-04-25,140.36,138.3189316666667,129.88443335019466,127.99569430942377,127.99569430942377,141.76001078574768,2.3279043552194705,2.2940527460539877,14,14.206587459304043,1965.0400000000002,146.65797437882662,146.23797437882664,0.07332898718941332,0.07311898718941331,0.42,0.00020999999999999998
370749,wf1-p16-short-17225,A,1,2023-06-29,Short,Time,2023-06-30,2023-07-19,118.73,117.22694237837837,120.01,118.49066637959052,107.5521816768983,120.45186261220506,2.1775129595854454,2.149946822551126,16,16.20514841945056,1899.68,-20.47883500086487,-20.95883500086487,-0.010239417500432434,-0.010479417500432435,0.48,0.00023999999999999998
370750,wf1-p16-short-17225,A,1,2024-04-09,Short,TP,2024-04-10,2024-04-18,144.42,143.3532795782464,131.55134413819846,130.5796084090351,130.5796084090351,147.6111699679835,2.859716135759039,2.838593593158066,13,13.096735599796498,1877.4599999999998,167.29339394190376,166.90339394190377,0.08364669697095188,0.08345169697095188,0.39,0.000195
370751,wf1-p16-short-17225,A,1,2024-08-01,Short,Time,2024-08-02,2024-08-20,141.98,141.19279932393556,140.6,139.82048744186045,124.44486405428803,146.77544441381806,3.742513563754851,3.721763393255005,14,14.07805503905066,1987.7199999999998,19.319482206596593,18.89948220659659,0.009659741103298296,0.009449741103298296,0.42,0.00020999999999999998
370752,wf1-p16-short-17225,AAPL,11,2020-02-19,Short,TP,2020-02-20,2020-02-24,322.63,78.29554218857321,294.26070483388673,71.41086968673187,71.41086968673187,80.59043302252032,6.304323414080772,1.5299272226314073,6,24.724012962803343,1935.78,170.21673218018094,170.03673218018093,0.08510836609009047,0.08501836609009046,0.18,0.00008999999999999999
370753,wf1-p16-short-17225,AAPL,11,2020-10-13,Short,Time,2020-10-14,2020-10-30,121,117.98693126495586,111.06,108.29451826198786,102.91798914034283,123.0099119731602,3.4341694128133047,3.3486538054695636,16,16.408596945812974,1936,159.03889839805862,158.55889839805863,0.07951944919902931,0.07927944919902931,0.48,0.00023999999999999998
370754,wf1-p16-short-17225,AAPL,11,2022-10-28,Short,Time,2022-10-31,2022-11-16,153.16,151.14896345376286,149.13,147.41599225082334,126.36124224792519,159.4115371890421,5.58167150418462,5.5083824901861504,13,13.17296496452045,1991.08,49.17429886988611,48.78429886988611,0.024587149434943053,0.024392149434943052,0.39,0.000195
