time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,skew_weighted_60_df037
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,-0.0053701783,0.18253082
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,0.002150425,0.037408635
2005-02-25 00:00:00+00,SHORT,309,1.0,-0.005922871,0.22932668
2005-02-25 00:00:00+00,SHORT,897,0.40289034108288246,9.768031E-4,0.33700302
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,-0.0026847844,0.21054927
2005-02-25 00:00:00+00,SHORT,3595,1.0,0.019917475,0.10802389
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,5.248633E-4,0.15740295
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,0.00967002,0.24303332
2005-02-28 00:00:00+00,SHORT,1740,0.27067994537866985,-0.0054196455,0.13028167
2005-03-01 00:00:00+00,SHORT,131,0.31177551826788025,0.004390199,0.28039038
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.0036019823,0.10313276
2005-03-02 00:00:00+00,SHORT,131,0.32896278869290235,-0.00505437,0.26171798
2005-03-02 00:00:00+00,SHORT,558,0.9333333333333333,-0.006149199,0.11342199
2005-03-02 00:00:00+00,SHORT,3825,0.5602593389242179,0.00826129,0.0742167
2005-03-03 00:00:00+00,SHORT,3841,1.0,-0.006440618,0.15227078
2005-03-04 00:00:00+00,SHORT,84,1.0,-0.0062164576,0.23024905
2005-03-04 00:00:00+00,SHORT,194,0.3956311047117868,-0.0038072607,0.08834266
2005-03-04 00:00:00+00,SHORT,335,0.6292497478549502,0.009980898,0.17043248
2005-03-04 00:00:00+00,SHORT,2731,1.0,-0.0047132648,0.24541385
2005-03-04 00:00:00+00,SHORT,2815,0.511020806788842,0.005351746,0.20660193
2005-03-04 00:00:00+00,SHORT,1184,0.661327978851013,0.008297504,0.27324793
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.019124508,0.18833646
2005-03-04 00:00:00+00,SHORT,1740,0.5637418617602477,-0.0058656167,0.19404173
2005-03-04 00:00:00+00,SHORT,3841,0.9444444444444444,-0.0064656986,0.16186832
2005-03-04 00:00:00+00,SHORT,2041,0.7760307124604644,0.00805401,0.3256699
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,0.017005876,0.076807424
2005-03-07 00:00:00+00,SHORT,2272,0.734393308703259,0.0011669352,0.34235072
2005-03-07 00:00:00+00,SHORT,2553,0.339363682436687,4.4332206E-4,0.031182636
2005-03-07 00:00:00+00,SHORT,516,0.5816076007064094,-0.0035091823,-0.11383331
2005-03-07 00:00:00+00,SHORT,641,0.24430411668534546,0.0029865685,0.0010185934
2005-03-07 00:00:00+00,SHORT,2986,1.0,-0.0029171072,-0.11103263
2005-03-07 00:00:00+00,SHORT,1184,0.6651594412380668,-0.0063364413,0.25600109
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,0.006911039,0.16298461
2005-03-07 00:00:00+00,SHORT,1299,0.6707059601389428,0.0028416528,-0.03879502
2005-03-07 00:00:00+00,SHORT,3355,1.0,0.011042384,-0.051696084
2005-03-07 00:00:00+00,SHORT,3359,0.6503051574669447,-0.0032933466,0.047486003
2005-03-07 00:00:00+00,SHORT,1615,1.0,-0.0015275485,0.173146
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,-3.488091E-4,0.08272341
2005-03-07 00:00:00+00,SHORT,2041,0.5581656950695252,-0.0066512623,0.29932424
2005-03-08 00:00:00+00,SHORT,440,0.6034642438997424,-0.0025804276,0.12896182
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,-0.003362898,-0.013695633
2005-03-08 00:00:00+00,SHORT,869,1.0,-0.0018279838,0.26237443
2005-03-08 00:00:00+00,SHORT,898,1.0,-0.0066210334,-0.010359124
2005-03-08 00:00:00+00,SHORT,903,0.5285590603134446,0.0022914973,0.27520618
2005-03-08 00:00:00+00,SHORT,3046,0.8397319692654984,-5.6967576E-4,-0.015045326
