time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.5_df055,co_fall_count_1_10_df044,dist_upper_bb_20_2.5_df055
2006-01-11 00:00:00+00,SHORT,444,0.3193941435711926,-0.005925058,4.0,5.1788444E-4
2006-01-19 00:00:00+00,SHORT,2410,0.7292106115284973,-0.008127559,4.0,-0.006357703
2006-01-20 00:00:00+00,SHORT,869,0.46871664293230747,-0.02036018,4.0,-0.010949439
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,-0.0050490173,4.0,-0.008773895
2006-01-30 00:00:00+00,SHORT,131,0.12677484876883374,-0.008950198,4.0,-0.013803563
2006-01-30 00:00:00+00,SHORT,3531,0.5155281987305496,0.0049506202,4.0,-0.015030243
2006-01-30 00:00:00+00,SHORT,1532,0.3869171023978957,-0.0031851456,4.0,0.004921795
2006-01-31 00:00:00+00,SHORT,576,0.37492036143999,-0.009687729,4.0,-0.019675363
2006-01-31 00:00:00+00,SHORT,3501,0.5712552954783446,-0.0013735901,4.0,-0.005777685
2006-02-03 00:00:00+00,SHORT,2032,0.4724069468226847,-0.004768546,4.0,-0.014703221
2006-02-16 00:00:00+00,SHORT,2716,0.0,-0.011915548,4.0,0.01921285
2006-03-06 00:00:00+00,SHORT,1919,0.33827629463775244,-0.018803282,4.0,-0.05006455
2006-03-10 00:00:00+00,SHORT,881,0.3628925535095599,-0.013834195,6.0,-0.0124358805
2006-03-14 00:00:00+00,SHORT,3612,0.43264612415021736,-0.016317332,4.0,-0.033685453
2006-03-16 00:00:00+00,SHORT,19,0.0,-0.0137135,5.0,-0.011885643
2006-03-16 00:00:00+00,SHORT,2142,0.0,-0.0058930204,4.0,-0.049485847
2006-03-16 00:00:00+00,SHORT,2497,0.0,-0.0069625955,4.0,-0.0440725
2006-03-27 00:00:00+00,SHORT,2262,0.9375,-0.004740945,4.0,-0.013740552
2006-04-05 00:00:00+00,SHORT,1051,0.0,-0.0018982502,4.0,-0.0049861246
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,-0.004625579,4.0,-0.0018768274
2006-04-10 00:00:00+00,SHORT,1011,0.6363851875577154,-0.018695697,4.0,-0.017147435
2006-04-19 00:00:00+00,SHORT,153,1.0,-0.01806537,4.0,-0.005361634
2006-04-19 00:00:00+00,SHORT,1280,1.0,0.005548661,4.0,0.0035400023
2006-04-21 00:00:00+00,SHORT,2055,1.0,-0.007121705,4.0,-0.007915981
2006-04-21 00:00:00+00,SHORT,3078,0.318426529457642,-0.015427397,4.0,-0.014834168
2006-04-21 00:00:00+00,SHORT,1280,0.8333333333333334,-0.017501043,4.0,-0.020944854
2006-04-21 00:00:00+00,SHORT,1677,1.0,-0.010379324,4.0,-0.013476308
2006-04-21 00:00:00+00,SHORT,1678,1.0,-0.010376744,4.0,-0.013474398
2006-04-24 00:00:00+00,SHORT,3078,0.30218700563294587,-0.014183018,4.0,-0.011471789
2006-04-24 00:00:00+00,SHORT,1677,0.9230769230769231,-0.014575075,4.0,-0.014712352
2006-04-24 00:00:00+00,SHORT,1678,0.9230769230769231,-0.014572572,4.0,-0.014709499
2006-05-05 00:00:00+00,SHORT,934,1.0,-0.018757774,4.0,-0.015246543
2006-05-05 00:00:00+00,SHORT,1410,0.523405006846559,-0.00993595,4.0,-0.0012257067
2006-05-08 00:00:00+00,SHORT,1410,0.528541245279816,-0.012319435,4.0,-0.007383654
2006-05-09 00:00:00+00,SHORT,2352,0.22875470157496322,-0.018868528,6.0,-0.02026316
2006-05-09 00:00:00+00,SHORT,3918,1.0,-0.01671344,4.0,-0.0069183996
2006-05-09 00:00:00+00,SHORT,1919,1.0,-0.012691351,5.0,-0.0069034058
2006-05-10 00:00:00+00,SHORT,1039,0.543701935437559,-0.017751789,4.0,-0.024045618
2006-05-11 00:00:00+00,SHORT,2285,1.0,-0.008555101,4.0,-0.039806925
2006-06-02 00:00:00+00,SHORT,4197,0.7987924898242705,0.00394921,4.0,0.006986409
2006-06-12 00:00:00+00,SHORT,4194,0.0,-0.009854708,5.0,-0.018029597
2006-06-13 00:00:00+00,SHORT,4194,0.0,-0.015225263,5.0,-0.01503651
2006-06-14 00:00:00+00,SHORT,1160,0.0,-0.019727884,4.0,-0.027732491
2006-06-29 00:00:00+00,SHORT,4197,0.0,-0.0040130415,4.0,-0.010948362
2006-07-03 00:00:00+00,SHORT,3255,0.5547934906781821,-0.010153202,5.0,0.014831643
2006-07-21 00:00:00+00,SHORT,1356,0.04029542538007626,-0.01727106,4.0,-0.019119415
2006-08-16 00:00:00+00,SHORT,3273,0.3978045489974778,-0.014160723,4.0,-0.038600303
2006-08-17 00:00:00+00,SHORT,2582,0.5346150508279536,-0.0112516135,4.0,-0.012255818
2006-08-17 00:00:00+00,SHORT,2686,0.7366869760027585,0.0069497707,4.0,-0.0012591967
2006-08-17 00:00:00+00,SHORT,3273,0.4636291584713836,-0.01873657,4.0,-0.035170756
2006-08-17 00:00:00+00,SHORT,3824,0.2945127218563696,0.00742404,4.0,-0.003989144
2006-08-18 00:00:00+00,SHORT,2582,0.5292158891306085,-0.015924122,4.0,-0.016863227
2006-08-23 00:00:00+00,SHORT,3791,0.2114514730351967,-0.013758203,4.0,-0.01865009
2006-09-06 00:00:00+00,SHORT,1368,1.0,-0.020372309,4.0,-0.03590623
2006-09-15 00:00:00+00,SHORT,270,0.2695534942130554,-0.017089427,5.0,-0.006802424
2006-10-02 00:00:00+00,SHORT,52,0.0,-0.0048619714,4.0,-0.029412111
2006-10-05 00:00:00+00,SHORT,3046,0.6592575820859664,-0.005762913,5.0,-0.0037823662
2006-10-05 00:00:00+00,SHORT,1300,0.0,-0.015510241,5.0,-0.0046383403
2006-10-06 00:00:00+00,SHORT,3046,0.6136175425691978,-0.009448366,6.0,-0.007890913
2006-10-12 00:00:00+00,SHORT,2106,0.0,-0.01749989,4.0,-0.006083548
2006-10-26 00:00:00+00,SHORT,631,0.4191553667149618,-0.019808676,5.0,-0.008811833
2006-10-26 00:00:00+00,SHORT,1780,0.5609329029803736,-0.016292622,5.0,-0.014953956
2006-11-01 00:00:00+00,SHORT,167,0.0,-0.0080599245,5.0,-0.002750628
2006-11-08 00:00:00+00,SHORT,3573,0.23689073191469767,-0.017728975,5.0,0.0024522876
2006-11-13 00:00:00+00,SHORT,517,0.11842050427411847,-0.017448852,4.0,-0.015736831
2006-11-17 00:00:00+00,SHORT,602,0.45397214936023644,-0.01586448,4.0,-0.0200378
