time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,price_drift_5_df005
2005-04-29 00:00:00+00,LONG,1700,1.0,-0.14723662,-0.08712734
2005-05-02 00:00:00+00,LONG,2248,0.962962962962963,-0.13083538,-0.069078945
2005-05-02 00:00:00+00,LONG,309,0.9545454545454546,-0.118438184,-0.06718597
2005-05-02 00:00:00+00,LONG,429,0.49468793779593484,-0.12807882,-0.051282052
2005-05-02 00:00:00+00,LONG,1377,1.0,-0.17531306,-0.058222678
2005-05-02 00:00:00+00,LONG,1423,0.9285714285714286,-0.16010343,-0.082156055
2005-05-02 00:00:00+00,LONG,3748,1.0,-0.1429298,-0.053902302
2005-05-03 00:00:00+00,LONG,2070,0.0,-0.13757032,-0.08816331
2005-05-03 00:00:00+00,LONG,2133,0.9523809523809523,-0.12889487,-0.050109997
2005-05-03 00:00:00+00,LONG,2248,0.9259259259259259,-0.11682677,-0.07196353
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,-0.1626178,-0.0692668
2005-05-03 00:00:00+00,LONG,1423,0.0,-0.17381184,-0.055025514
2005-05-04 00:00:00+00,LONG,2070,0.0,-0.11765274,-0.07054655
2005-05-05 00:00:00+00,LONG,2070,0.0,-0.121658154,-0.054945055
2005-05-06 00:00:00+00,LONG,2070,0.0,-0.14831576,-0.06834855
2005-05-09 00:00:00+00,LONG,1108,0.0,-0.1521739,-0.06295051
2005-05-10 00:00:00+00,LONG,1108,0.0,-0.15652174,-0.06234896
2005-05-11 00:00:00+00,LONG,1108,0.9473684210526316,-0.17398869,-0.08481928
2005-05-13 00:00:00+00,LONG,1108,0.9122807017543859,-0.1476082,-0.056004036
2005-05-16 00:00:00+00,LONG,2619,1.0,-0.117425196,-0.08331157
2005-05-16 00:00:00+00,LONG,984,1.0,-0.12009931,-0.085164055
2005-05-17 00:00:00+00,LONG,2518,0.4617457925929056,-0.18598726,-0.06167401
2005-05-17 00:00:00+00,LONG,2619,0.975609756097561,-0.13072215,-0.05382361
2005-05-17 00:00:00+00,LONG,817,0.9259259259259259,-0.11702474,-0.083769634
2005-06-03 00:00:00+00,LONG,1072,0.1230080709074616,-0.12278279,-0.08039933
2005-06-06 00:00:00+00,LONG,1072,0.14932064363577116,-0.12666667,-0.078581154
2005-06-23 00:00:00+00,LONG,1360,0.0,-0.16887417,-0.087272726
2005-06-27 00:00:00+00,LONG,64,0.0,-0.12870091,-0.07237054
2005-06-27 00:00:00+00,LONG,3610,0.0,-0.13809524,-0.07558733
2005-06-28 00:00:00+00,LONG,4172,0.3391626780860033,-0.13280475,-0.09114516
2005-06-28 00:00:00+00,LONG,1191,0.08510638297872342,-0.12663119,-0.09349543
2005-06-29 00:00:00+00,LONG,4172,0.31413747183333446,-0.12069399,-0.070194095
2005-08-05 00:00:00+00,LONG,1064,0.0,-0.13399397,-0.07373699
2005-08-18 00:00:00+00,LONG,843,1.0,-0.12477034,-0.081718355
2005-08-19 00:00:00+00,LONG,843,0.9736842105263158,-0.10912052,-0.067062356
2005-08-23 00:00:00+00,LONG,3586,0.5473077621057609,-0.12179725,-0.06779661
2005-08-24 00:00:00+00,LONG,3586,0.5188052087236618,-0.1281768,-0.06884343
2005-08-29 00:00:00+00,LONG,1897,0.6587729148399727,-0.1329042,-0.05800082
2005-09-07 00:00:00+00,LONG,3535,0.0,-0.16361026,-0.086665325
2005-09-08 00:00:00+00,LONG,3535,0.0,-0.14813896,-0.08609104
