time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,price_drift_abs_1_df006
2005-10-13 00:00:00+00,LONG,84,0.2704183327161197,0.025176218,0.018864216
2005-10-13 00:00:00+00,LONG,1667,0.342850559134223,0.032795887,0.022857143
2005-10-19 00:00:00+00,LONG,2050,1.0,0.03219071,0.015899582
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,0.03701929,0.015306123
2005-10-27 00:00:00+00,LONG,3049,0.9534883720930233,0.036454555,0.022690667
2005-10-28 00:00:00+00,LONG,3897,0.46959549071098394,0.039408784,0.017822353
2005-11-01 00:00:00+00,LONG,1454,0.30608135482045473,0.054854628,0.019423552
2005-11-02 00:00:00+00,LONG,1454,0.32207548567166855,0.02968551,0.007399936
2005-11-16 00:00:00+00,LONG,3677,1.0,0.039065372,0.007836488
2005-11-30 00:00:00+00,LONG,28,0.609750221962903,0.033893004,0.011793612
2005-12-05 00:00:00+00,LONG,1817,0.1071428571428572,0.10576188,0.023466667
2005-12-06 00:00:00+00,LONG,3283,0.0,0.11955245,0.011494253
2005-12-06 00:00:00+00,LONG,1817,0.07142857142857151,0.08727194,0.013027619
2005-12-08 00:00:00+00,LONG,2801,0.8702102966744591,0.051504683,0.01598499
2005-12-09 00:00:00+00,LONG,3283,0.0,0.049791884,0.021953898
2005-12-19 00:00:00+00,LONG,1195,1.0,0.02382155,0.022195842
2005-12-28 00:00:00+00,LONG,2067,0.0,0.047963955,0.0114722755
2005-12-29 00:00:00+00,LONG,2067,0.0,0.024396079,0.010315925
2005-12-30 00:00:00+00,LONG,2067,0.0,0.02759156,0.0185067
2006-01-04 00:00:00+00,LONG,2067,0.0,0.038956143,0.015246015
2006-01-13 00:00:00+00,LONG,3539,1.0,0.02461831,0.018912027
2006-01-18 00:00:00+00,LONG,157,0.6104018359654962,0.032003075,0.018481849
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,0.028557934,0.014040561
2006-01-31 00:00:00+00,LONG,2085,0.0,0.04770968,0.009289618
2006-02-01 00:00:00+00,LONG,2085,0.0,0.026391283,0.008825151
2006-02-02 00:00:00+00,LONG,2085,0.0,0.025710443,0.013121924
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,0.07383532,0.007311586
2006-02-07 00:00:00+00,LONG,76,0.0,0.051786605,0.010198301
2006-02-21 00:00:00+00,LONG,3447,1.0,0.070948996,0.012287581
2006-03-28 00:00:00+00,LONG,3241,0.0,0.13332023,0.015964674
2006-03-31 00:00:00+00,LONG,3241,0.0,0.044525012,0.01580756
2006-04-24 00:00:00+00,LONG,1615,0.0,0.12191178,0.010434783
2006-04-25 00:00:00+00,LONG,1615,0.0,0.114190154,0.011716462
2006-04-26 00:00:00+00,LONG,1615,0.0,0.08344917,0.020148192
2006-04-27 00:00:00+00,LONG,1615,0.0,0.082077116,0.016844956
2006-04-28 00:00:00+00,LONG,1615,0.0,0.044484653,0.02245863
2006-05-02 00:00:00+00,LONG,559,0.0,0.08555932,0.01402028
2006-05-03 00:00:00+00,LONG,559,0.0,0.07701466,0.011955395
