time,side,ticker_id,mv_up_composite_labels,price_drift_1_df005,price_drift_21_df005,joint_fall_flag_5_10_df042
2005-11-01 00:00:00+00,LONG,243,0.13977683825875048,0.008303306,-0.14357951,1.0
2005-11-01 00:00:00+00,LONG,578,0.135626790511849,0.016288253,-0.14386694,1.0
2005-11-02 00:00:00+00,LONG,3699,0.462809026595116,0.017790956,-0.15715162,1.0
2005-11-17 00:00:00+00,LONG,3694,0.40253197339979074,0.006450127,-0.12584859,1.0
2005-11-22 00:00:00+00,LONG,1454,0.17908765044455754,0.017189726,-0.16375302,1.0
2005-12-13 00:00:00+00,LONG,2518,0.8936170212765957,0.01734104,-0.13725491,1.0
2006-02-03 00:00:00+00,LONG,2070,0.46278692151921635,0.008870968,-0.15899442,1.0
2006-02-06 00:00:00+00,LONG,2070,0.6299046171880753,0.0036011192,-0.15596586,1.0
2006-02-08 00:00:00+00,LONG,157,0.3181818181818181,0.016377334,-0.13396595,1.0
2006-02-09 00:00:00+00,LONG,2557,0.2725384133700971,0.004463574,-0.12546842,1.0
2006-02-09 00:00:00+00,LONG,4049,0.3977277106929753,0.005336025,-0.12637562,1.0
2006-02-13 00:00:00+00,LONG,167,0.975,0.018471872,-0.14396612,1.0
2006-02-14 00:00:00+00,LONG,610,0.7777777777777778,0.011943041,-0.12579365,1.0
2006-02-15 00:00:00+00,LONG,1667,0.0,0.006563246,-0.14278455,1.0
2006-02-22 00:00:00+00,LONG,2085,0.0,0.016618911,-0.16281265,1.0
2006-02-22 00:00:00+00,LONG,76,0.0,0.003870611,-0.13650416,1.0
2006-02-23 00:00:00+00,LONG,76,0.0,0.012117874,-0.12790698,1.0
2006-02-27 00:00:00+00,LONG,938,0.0,0.008286475,-0.15206571,1.0
2006-03-08 00:00:00+00,LONG,2569,0.5584297186257614,0.020723628,-0.121442854,1.0
2006-03-09 00:00:00+00,LONG,3430,0.8360655737704918,0.014921946,-0.14866166,1.0
2006-03-10 00:00:00+00,LONG,3573,0.9574468085106383,0.012307692,-0.15856777,1.0
2006-03-21 00:00:00+00,LONG,3699,0.0,0.00930851,-0.1184669,1.0
2006-03-22 00:00:00+00,LONG,1610,0.0,0.013363567,-0.14036657,1.0
2006-03-23 00:00:00+00,LONG,2619,0.3099642175341769,0.023700623,-0.1433542,1.0
2006-03-24 00:00:00+00,LONG,2619,0.28182794994283117,0.0044679125,-0.1255304,1.0
2006-03-30 00:00:00+00,LONG,796,0.0,0.025487944,-0.15175688,1.0
2006-03-31 00:00:00+00,LONG,796,0.0,0.018137036,-0.1335747,1.0
2006-05-12 00:00:00+00,LONG,858,0.0,0.016522098,-0.14785318,1.0
2006-05-15 00:00:00+00,LONG,858,0.0,0.0052824053,-0.142461,1.0
2006-05-22 00:00:00+00,LONG,1677,0.4103864660567632,0.002507959,-0.15133837,1.0
2006-05-22 00:00:00+00,LONG,1678,0.7311799520961271,0.0025133777,-0.15133837,1.0
2006-06-06 00:00:00+00,LONG,3343,0.0,0.0057117753,-0.13720317,1.0
2006-06-07 00:00:00+00,LONG,1306,0.5287170257596217,0.013435114,-0.13115183,1.0
2006-06-08 00:00:00+00,LONG,2710,0.0,0.0070835864,-0.121468924,1.0
2006-06-08 00:00:00+00,LONG,3343,0.0,0.020577934,-0.12335464,1.0
2006-08-10 00:00:00+00,LONG,191,0.22275921418380742,0.008060453,-0.12390543,1.0
2006-08-10 00:00:00+00,LONG,2557,0.49485063320998346,0.013448784,-0.12264753,1.0
2006-08-11 00:00:00+00,LONG,502,0.8409090909090909,0.014656144,-0.13679415,1.0
2006-08-14 00:00:00+00,LONG,858,0.0,0.0093622,-0.15894686,1.0
2006-08-24 00:00:00+00,LONG,694,0.7428571428571429,0.0023809525,-0.16268894,1.0
2006-08-24 00:00:00+00,LONG,1064,0.12493196990440847,0.01880223,-0.13380699,1.0
2006-08-24 00:00:00+00,LONG,2028,1.0,0.0222969,-0.15649574,1.0
2006-08-25 00:00:00+00,LONG,1064,0.08407698946334212,0.016404647,-0.12374779,1.0
2006-09-25 00:00:00+00,LONG,523,0.3140537283535589,0.01379201,-0.14767426,1.0
2006-09-25 00:00:00+00,LONG,4086,0.0,0.017857457,-0.13636309,1.0
2006-10-04 00:00:00+00,LONG,838,0.8870967741935484,0.013071896,-0.120855145,1.0
2006-10-04 00:00:00+00,LONG,1673,0.5109187361930827,0.010157619,-0.15276146,1.0
2006-10-04 00:00:00+00,LONG,1826,1.0,0.010114943,-0.14943863,1.0
2006-10-06 00:00:00+00,LONG,1532,0.7571135703775963,0.0026421945,-0.1194176,1.0
2006-11-14 00:00:00+00,LONG,153,0.5617399329333783,0.014206788,-0.14104278,1.0
