time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,accel_eps_qoq_df017
2005-02-08 00:00:00+00,SHORT,2410,0.3768328275207129,-0.0057714847,-0.12
2005-02-08 00:00:00+00,SHORT,694,0.22184850210598797,-0.011403341,0.04
2005-02-08 00:00:00+00,SHORT,786,0.0,-0.011651689,0.05
2005-02-08 00:00:00+00,SHORT,1099,0.6028763699275718,-5.158066E-4,-0.02
2005-02-08 00:00:00+00,SHORT,1114,0.20596401199112765,-0.010720549,0.1192
2005-02-08 00:00:00+00,SHORT,1690,0.0,0.0019959752,0.04
2005-02-08 00:00:00+00,SHORT,3818,0.4904701428254511,0.022868443,0.21
2005-02-09 00:00:00+00,SHORT,2088,0.7278355497648431,-0.0097806165,-0.01
2005-02-09 00:00:00+00,SHORT,191,0.6080521085447091,0.0034909234,-0.1
2005-02-09 00:00:00+00,SHORT,1832,0.6448237495078485,0.027005935,0.28
2005-02-10 00:00:00+00,SHORT,2088,0.7293362415894306,-0.013152769,-0.01
2005-02-10 00:00:00+00,SHORT,3179,0.47392845804838807,-0.009705037,-0.04
2005-02-10 00:00:00+00,SHORT,1832,0.34835181236263796,0.011246145,0.28
2005-02-11 00:00:00+00,SHORT,68,0.7406783065734668,-0.009337003,-0.19
2005-02-11 00:00:00+00,SHORT,191,0.6757939281447312,-0.012522004,-0.1
2005-02-11 00:00:00+00,SHORT,2410,0.21190419921759276,-0.014994707,-0.12
2005-02-11 00:00:00+00,SHORT,694,0.0,-0.011734608,0.04
2005-02-11 00:00:00+00,SHORT,2801,0.8333333333333334,-0.01003514,-0.04
2005-02-11 00:00:00+00,SHORT,1761,0.7680473719945151,-0.0045268014,0.04
2005-02-11 00:00:00+00,SHORT,1832,0.06744684778637837,-0.0059774746,0.28
2005-02-14 00:00:00+00,SHORT,2536,0.4239552591317047,-0.009940103,0.0
2005-02-14 00:00:00+00,SHORT,2778,1.0,-0.0026570666,0.0
2005-02-14 00:00:00+00,SHORT,858,1.0,-0.0050788964,-0.01
2005-02-14 00:00:00+00,SHORT,1690,0.0,-0.015045493,0.04
2005-02-14 00:00:00+00,SHORT,1761,0.8888888888888888,-0.011451728,0.04
2005-02-15 00:00:00+00,SHORT,4112,0.5262692562561426,0.008985031,0.0
2005-02-15 00:00:00+00,SHORT,643,0.32282551961239486,0.013506164,0.01
2005-02-15 00:00:00+00,SHORT,2716,1.0,0.016796822,0.03
2005-02-15 00:00:00+00,SHORT,2778,0.9230769230769231,-0.008140589,0.0
2005-02-15 00:00:00+00,SHORT,858,0.875,-0.011356561,-0.01
2005-02-15 00:00:00+00,SHORT,1306,0.5272578017908387,-0.0024617198,0.32
2005-02-15 00:00:00+00,SHORT,1360,0.0,0.012828491,-0.08
2005-02-15 00:00:00+00,SHORT,3794,1.0,-0.012765141,-0.06
2005-02-15 00:00:00+00,SHORT,1761,0.7777777777777778,-0.011083852,0.04
2005-02-16 00:00:00+00,SHORT,4153,1.0,-0.0029469852,-0.09
2005-02-16 00:00:00+00,SHORT,212,0.0,-0.012307492,-0.06
2005-02-16 00:00:00+00,SHORT,270,0.7579321538535742,-0.0031412297,0.0851
2005-02-16 00:00:00+00,SHORT,643,0.0,-0.013486757,0.01
2005-02-16 00:00:00+00,SHORT,2778,0.8461538461538461,-0.00799503,0.0
2005-02-16 00:00:00+00,SHORT,937,0.6229899694604561,-0.008575632,-0.02
2005-02-16 00:00:00+00,SHORT,3127,0.6264284570020944,-0.005151551,0.66
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,-0.004127976,-0.15
2005-02-17 00:00:00+00,SHORT,4153,0.8888888888888888,-0.012786003,-0.09
2005-02-17 00:00:00+00,SHORT,2352,0.359476250649854,-0.0016748193,0.1532
2005-02-17 00:00:00+00,SHORT,3021,0.3535409426643509,-0.010988401,0.17
2005-02-17 00:00:00+00,SHORT,4089,0.5788111257695832,-0.007936014,-0.07
2005-02-18 00:00:00+00,SHORT,3021,0.3080797753026201,-0.0132736415,0.17
2005-02-25 00:00:00+00,SHORT,309,1.0,-0.005922871,0.32
2005-02-25 00:00:00+00,SHORT,897,0.40289034108288246,9.768031E-4,0.04
2005-02-25 00:00:00+00,SHORT,3716,0.0,-0.0150483465,0.56
2005-02-28 00:00:00+00,SHORT,2230,0.2955007800519398,-0.0095100505,0.69
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,5.248633E-4,0.33
2005-02-28 00:00:00+00,SHORT,3283,0.24286136957310542,-0.0116041675,0.02
2005-02-28 00:00:00+00,SHORT,1740,0.27067994537866985,-0.0054196455,-0.01
2005-03-01 00:00:00+00,SHORT,131,0.31177551826788025,0.004390199,0.22
2005-03-01 00:00:00+00,SHORT,2230,0.3521015264646416,-0.007816061,0.69
2005-03-01 00:00:00+00,SHORT,2285,0.4389891986820177,-0.011258725,0.33
2005-03-01 00:00:00+00,SHORT,424,1.0,0.018380811,0.0
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.0036019823,-0.12
2005-03-01 00:00:00+00,SHORT,843,0.4918513343600976,-0.01019166,-0.02
2005-03-02 00:00:00+00,SHORT,131,0.32896278869290235,-0.00505437,0.22
2005-03-02 00:00:00+00,SHORT,424,0.7292338991623224,-0.011476941,0.0
2005-03-02 00:00:00+00,SHORT,558,0.9333333333333333,-0.006149199,-0.12
2005-03-03 00:00:00+00,SHORT,4223,0.9,-0.01361093,0.17
2005-03-03 00:00:00+00,SHORT,131,0.28770622548001445,-0.014834665,0.22
2005-03-03 00:00:00+00,SHORT,558,0.0,-0.013738037,-0.12
2005-03-03 00:00:00+00,SHORT,1740,0.5097888340076924,-0.01381759,-0.01
2005-03-03 00:00:00+00,SHORT,3841,1.0,-0.006440618,-0.08
2005-03-04 00:00:00+00,SHORT,131,0.33780295593173076,-0.010827126,0.22
2005-03-04 00:00:00+00,SHORT,2230,0.4132632235410628,-0.008390394,0.69
2005-03-04 00:00:00+00,SHORT,194,0.3956311047117868,-0.0038072607,0.0
2005-03-04 00:00:00+00,SHORT,335,0.6292497478549502,0.009980898,0.0
2005-03-04 00:00:00+00,SHORT,2815,0.511020806788842,0.005351746,-0.12
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.019124508,0.0255
2005-03-04 00:00:00+00,SHORT,3466,0.8840482875978609,-0.001283951,0.02
2005-03-04 00:00:00+00,SHORT,1740,0.5637418617602477,-0.0058656167,-0.01
2005-03-04 00:00:00+00,SHORT,3841,0.9444444444444444,-0.0064656986,-0.08
2005-03-04 00:00:00+00,SHORT,1826,0.508428650487693,-0.006853108,0.13
2005-03-04 00:00:00+00,SHORT,1949,0.0,-0.007233979,-0.05
2005-03-04 00:00:00+00,SHORT,2041,0.7760307124604644,0.00805401,0.0
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,0.017005876,-0.03
2005-03-07 00:00:00+00,SHORT,2119,0.3251296549859206,-0.012591002,0.06
2005-03-07 00:00:00+00,SHORT,93,0.40562189928597575,-0.010327749,-0.11
2005-03-07 00:00:00+00,SHORT,131,0.2593761082766575,-0.011439563,0.22
2005-03-07 00:00:00+00,SHORT,194,0.3393730354285063,-0.009390353,0.0
2005-03-07 00:00:00+00,SHORT,2553,0.339363682436687,4.4332206E-4,-0.14
2005-03-07 00:00:00+00,SHORT,516,0.5816076007064094,-0.0035091823,-0.01
2005-03-07 00:00:00+00,SHORT,641,0.24430411668534546,0.0029865685,-0.0638
2005-03-07 00:00:00+00,SHORT,2815,0.33192867126923326,-0.010033811,-0.12
2005-03-07 00:00:00+00,SHORT,2986,1.0,-0.0029171072,-0.17
2005-03-07 00:00:00+00,SHORT,1149,1.0,-0.012604956,-0.2
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,0.006911039,0.0255
2005-03-07 00:00:00+00,SHORT,1288,0.30880491838340446,-0.01160159,-0.02
2005-03-07 00:00:00+00,SHORT,1299,0.6707059601389428,0.0028416528,0.05
2005-03-07 00:00:00+00,SHORT,3355,1.0,0.011042384,0.03
2005-03-07 00:00:00+00,SHORT,3359,0.6503051574669447,-0.0032933466,0.08
2005-03-07 00:00:00+00,SHORT,1615,1.0,-0.0015275485,-0.09
2005-03-07 00:00:00+00,SHORT,3841,0.8888888888888888,-0.010248288,-0.08
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,-3.488091E-4,0.51
2005-03-07 00:00:00+00,SHORT,4049,0.33122711480257017,-0.012906704,0.01
2005-03-07 00:00:00+00,SHORT,2041,0.5581656950695252,-0.0066512623,0.0
