time,side,ticker_id,mv_up_composite_labels,price_drift_abs_1_df006,dist_lower_bb_50_2.0_df055
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,0.026878238,0.040759884
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,0.014040561,0.028557934
2006-02-07 00:00:00+00,LONG,76,0.0,0.010198301,0.051786605
2006-02-21 00:00:00+00,LONG,3447,1.0,0.012287581,0.070948996
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,0.028851245,0.034499075
2006-03-31 00:00:00+00,LONG,3241,0.0,0.01580756,0.044525012
2006-04-28 00:00:00+00,LONG,1615,0.0,0.02245863,0.044484653
2006-05-03 00:00:00+00,LONG,559,0.0,0.011955395,0.07701466
2006-05-24 00:00:00+00,LONG,397,1.0,0.022923714,0.042951245
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,0.032365397,0.05067926
2006-06-13 00:00:00+00,LONG,135,1.0,0.034736842,0.03062543
2006-06-13 00:00:00+00,LONG,356,0.0,0.023482075,0.045566645
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,0.019491218,0.030134333
2006-06-13 00:00:00+00,LONG,874,0.0,0.03888763,0.031382795
2006-06-13 00:00:00+00,LONG,934,1.0,0.024161074,0.0534203
2006-06-13 00:00:00+00,LONG,1022,0.591275651075708,0.029534372,0.07755315
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,0.023206813,0.035416447
2006-06-13 00:00:00+00,LONG,3124,1.0,0.03129588,0.046145413
2006-06-13 00:00:00+00,LONG,3236,0.5295738825796439,0.025102621,0.038767237
2006-06-13 00:00:00+00,LONG,3283,0.6229844170847054,0.035526317,0.049341686
2006-06-13 00:00:00+00,LONG,3286,0.0,0.027369633,0.06960088
2006-06-13 00:00:00+00,LONG,1762,1.0,0.013289036,0.06794798
2006-06-13 00:00:00+00,LONG,1770,1.0,0.027970463,0.038958386
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,0.022393364,0.037139814
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,0.036071032,0.039995752
2006-06-14 00:00:00+00,LONG,19,0.9523809523809523,0.033803646,0.050962355
2006-06-14 00:00:00+00,LONG,2125,1.0,0.01323043,0.02769251
2006-06-14 00:00:00+00,LONG,219,1.0,0.01313454,0.0352102
2006-06-14 00:00:00+00,LONG,433,0.8869622294182581,0.032495923,0.030717298
2006-06-14 00:00:00+00,LONG,3352,0.9565217391304348,0.019509494,0.04144576
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,0.01757176,0.02822776
