time,side,ticker_id,mv_up_composite_labels,price_eps_diff_pct_df082,joint_fall_flag_21_10_df042,velocity_price_vs_etf_diff_5_df050,dist_lower_bb_50_2.0_df055
2005-06-30 00:00:00+00,LONG,2042,0.8467511204415086,-23.17,0.0,-0.021076439,0.0108798165
2005-07-01 00:00:00+00,LONG,2042,0.5221465362745609,-23.08,0.0,-0.011314904,0.002677531
2005-07-06 00:00:00+00,LONG,1922,0.8181818181818181,-16.88,0.0,-0.008473224,-0.0047927233
2005-07-06 00:00:00+00,LONG,2042,0.4912959666161001,-21.23,0.0,-0.004147911,-0.004454544
2005-07-07 00:00:00+00,LONG,1205,0.3611721908501115,39.99,0.0,-0.01836576,-0.0033841366
2005-07-07 00:00:00+00,LONG,1633,0.4624275828903112,-27.97,0.0,-0.029385235,0.022768917
2005-07-08 00:00:00+00,LONG,1633,0.4151053356755801,-28.73,0.0,-0.030565565,0.011198153
2005-07-11 00:00:00+00,LONG,1633,0.35913138103841924,-29.81,0.0,-0.021232737,-0.0021373534
2005-08-12 00:00:00+00,LONG,1236,0.0,6.84,0.0,-0.027052311,-9.0823465E-5
2005-08-15 00:00:00+00,LONG,1236,0.0,5.67,0.0,-0.022731952,-0.0040883217
2005-08-16 00:00:00+00,LONG,4176,0.3130318645915553,-29.61,0.0,-0.005212552,0.010113985
2005-08-17 00:00:00+00,LONG,4176,0.242521437013649,-30.16,0.0,-0.0018438795,-6.443814E-4
2005-09-21 00:00:00+00,LONG,1633,0.6244816552148627,-9.39,0.0,-0.016530266,0.018047825
2005-09-21 00:00:00+00,LONG,3915,0.0,35.6,0.0,-0.028372277,-0.004039808
2005-09-22 00:00:00+00,LONG,2042,0.5188632499892478,-6.11,0.0,-0.017556615,0.014014694
2005-09-23 00:00:00+00,LONG,2042,0.5437213971424069,-8.39,0.0,-3.562396E-4,0.0026898396
2005-09-26 00:00:00+00,LONG,2042,0.962962962962963,-10.0,0.0,-0.007299117,0.011461558
2005-09-27 00:00:00+00,LONG,2042,0.41776124792805974,-7.51,0.0,7.3763717E-4,-0.002504539
2005-10-13 00:00:00+00,LONG,3359,1.0,-14.35,0.0,-0.030209146,-4.8559645E-4
2005-10-13 00:00:00+00,LONG,1514,0.7826174882150282,-29.72,0.0,-0.03042958,0.011125925
2005-10-13 00:00:00+00,LONG,1667,0.342850559134223,-18.41,0.0,-0.05524164,0.032795887
2005-10-14 00:00:00+00,LONG,3359,0.9565217391304348,-15.54,0.0,-0.052269973,-0.0021934728
2005-10-14 00:00:00+00,LONG,1667,0.96,-17.57,0.0,-0.038482588,0.011415194
2005-10-19 00:00:00+00,LONG,3621,0.8338523723251293,5.09,0.0,-0.043082573,0.020171214
2005-10-20 00:00:00+00,LONG,3652,0.518491894983449,-28.1,0.0,-0.00465986,-0.0026485387
2005-10-21 00:00:00+00,LONG,1092,1.0,-25.6,0.0,-0.035682604,0.014468073
2005-10-21 00:00:00+00,LONG,3652,0.5382009244299178,-29.49,0.0,-0.010657461,-0.0030198288
2005-10-24 00:00:00+00,LONG,3794,0.9085354498348599,-6.06,0.0,-0.06162344,0.0011677694
2005-10-25 00:00:00+00,LONG,1092,0.9487179487179487,-2.28,0.0,-0.040836718,-0.0016949283
2005-10-27 00:00:00+00,LONG,2365,0.7754551968502236,9.46,0.0,-0.051195756,-3.1207607E-4
2005-10-27 00:00:00+00,LONG,2408,0.548001306084746,24.92,0.0,-0.016664132,0.007126508
2005-10-27 00:00:00+00,LONG,1092,0.8974358974358975,-13.02,0.0,0.012730499,-0.001020416
2005-10-28 00:00:00+00,LONG,3973,0.4210413907160842,-18.08,0.0,-0.05048311,0.007977839
2005-11-09 00:00:00+00,LONG,3645,0.42673423858003867,-20.85,0.0,-0.008526784,-0.004091238
2005-11-16 00:00:00+00,LONG,3179,0.22009031842722598,-22.17,0.0,-0.060733456,0.019605134
2005-11-17 00:00:00+00,LONG,3179,0.17022383406259733,-24.93,0.0,-0.04367936,0.0075194095
2005-11-18 00:00:00+00,LONG,3179,0.13666402224491805,-22.9,0.0,-0.049978353,0.009971227
2005-11-21 00:00:00+00,LONG,3179,0.04638397180434345,-24.69,0.0,-0.05822177,0.016002286
2005-11-22 00:00:00+00,LONG,3179,0.09228187663395838,-27.31,0.0,-0.027198022,0.0057661785
2005-11-28 00:00:00+00,LONG,3179,0.2468023549555506,-27.72,0.0,-0.019831868,0.0044243867
2005-12-08 00:00:00+00,LONG,2801,0.8702102966744591,21.76,0.0,-0.037192136,0.051504683
2005-12-09 00:00:00+00,LONG,2801,0.9615384615384616,23.27,0.0,-0.022535726,0.010602685
2005-12-27 00:00:00+00,LONG,1288,0.6719795367895011,18.87,0.0,-0.038565088,0.017712802
2005-12-28 00:00:00+00,LONG,1288,0.5707711100369738,18.21,0.0,-0.012708675,0.0058515845
2005-12-29 00:00:00+00,LONG,1288,0.6379238258619295,18.01,0.0,-0.010842215,0.0058372384
2005-12-30 00:00:00+00,LONG,2818,0.38899806363660644,-25.92,0.0,0.0038683913,-0.004397154
2006-01-23 00:00:00+00,LONG,3782,0.0,28.57,0.0,-0.016182156,-0.0029186364
2006-02-01 00:00:00+00,LONG,192,1.0,42.44,0.0,-0.022094717,-0.0030985028
2006-02-02 00:00:00+00,LONG,2159,0.46797459579933953,-28.34,0.0,-0.010951297,-0.0043694736
2006-02-02 00:00:00+00,LONG,192,0.9565217391304348,43.82,0.0,-0.020195391,-0.0017292594
2006-02-03 00:00:00+00,LONG,1258,0.3545246558796195,-16.21,0.0,0.0021799963,-3.5514712E-4
2006-02-07 00:00:00+00,LONG,808,0.8245614035087719,-18.95,0.0,-0.0036503952,-0.0018572948
2006-02-08 00:00:00+00,LONG,808,0.8070175438596492,-24.88,0.0,-0.011891999,-0.0032451134
2006-02-09 00:00:00+00,LONG,808,0.7894736842105263,-29.13,0.0,-0.015832346,-0.0018244573
2006-03-09 00:00:00+00,LONG,3973,0.9459459459459459,-24.97,0.0,-0.0011886775,3.7535984E-4
2006-03-13 00:00:00+00,LONG,2619,0.20515144081334535,22.45,0.0,-0.045479923,0.011075479
2006-03-13 00:00:00+00,LONG,1673,0.9782608695652174,5.03,0.0,-0.048785776,-0.0024322532
2006-03-30 00:00:00+00,LONG,3241,0.0,-18.01,0.0,0.010349347,0.08195832
2006-04-03 00:00:00+00,LONG,101,0.20587101849136327,13.57,0.0,-0.035150733,0.014977108
2006-04-03 00:00:00+00,LONG,3241,0.0,-16.36,0.0,0.0052874913,0.02366143
2006-04-04 00:00:00+00,LONG,3241,0.0,-17.88,0.0,0.0065441374,0.003798261
2006-04-04 00:00:00+00,LONG,1262,1.0,-4.97,0.0,-0.026286867,0.008685783
2006-04-07 00:00:00+00,LONG,101,0.1558359197094207,15.84,0.0,-2.0371284E-4,4.5064843E-4
2006-04-10 00:00:00+00,LONG,101,0.0,15.66,0.0,0.012717529,-0.0033631104
2006-04-11 00:00:00+00,LONG,101,0.14433974548424108,16.28,0.0,2.701868E-4,-0.003612144
2006-04-28 00:00:00+00,LONG,1615,0.0,36.34,0.0,4.5859648E-4,0.044484653
2006-05-03 00:00:00+00,LONG,1615,0.0,39.51,0.0,-8.465536E-4,-0.0013477651
2006-05-18 00:00:00+00,LONG,84,0.699616793643633,38.57,0.0,0.011034684,0.01226471
2006-05-24 00:00:00+00,LONG,3199,0.0,-1.36,0.0,-0.05546659,0.015474046
2006-06-06 00:00:00+00,LONG,1114,1.0,10.93,0.0,-0.06452191,0.020740464
2006-06-07 00:00:00+00,LONG,1114,0.9615384615384616,12.62,0.0,-0.058569487,0.01202665
2006-06-13 00:00:00+00,LONG,2055,0.48739224337542114,-6.32,0.0,-0.061043784,0.031565674
2006-06-13 00:00:00+00,LONG,135,1.0,-25.11,0.0,-0.062661365,0.03062543
2006-06-13 00:00:00+00,LONG,845,0.9101008185194994,-25.31,0.0,-0.02664852,0.009714661
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,-12.98,0.0,-0.041548286,0.035416447
2006-06-13 00:00:00+00,LONG,3241,0.7053617114206702,-14.18,0.0,-0.026229443,0.040619884
2006-06-13 00:00:00+00,LONG,1462,0.17414144502447965,-17.17,0.0,-0.03467316,-0.0019473671
2006-06-13 00:00:00+00,LONG,4062,0.0,-26.02,0.0,-0.0449139,0.009581363
2006-06-14 00:00:00+00,LONG,708,1.0,4.11,0.0,-0.013043879,0.0023681833
2006-06-14 00:00:00+00,LONG,1022,0.49005842169147684,7.07,0.0,-0.06386906,0.023289226
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,-11.62,0.0,-0.033469435,0.01622236
2006-06-14 00:00:00+00,LONG,3241,0.6112698445642428,-13.4,0.0,-0.04639787,0.027978513
2006-06-14 00:00:00+00,LONG,1288,1.0,37.31,0.0,7.458228E-5,0.001724573
2006-06-20 00:00:00+00,LONG,3466,0.46566594864078603,-24.93,0.0,-0.013665805,0.012017003
2006-06-20 00:00:00+00,LONG,3613,0.5464192789749112,17.31,0.0,-0.018281423,0.018314194
2006-07-11 00:00:00+00,LONG,817,0.0,18.35,0.0,-0.06420276,0.079895906
2006-07-12 00:00:00+00,LONG,817,0.0,23.7,0.0,-0.01190139,-0.0050605605
2006-07-18 00:00:00+00,LONG,3241,1.0,-16.51,0.0,-0.049102478,-0.0014247876
2006-07-21 00:00:00+00,LONG,2393,0.5805176775519807,-11.24,0.0,-0.0658682,0.012528782
2006-07-26 00:00:00+00,LONG,1260,0.2982976675527749,-24.95,0.0,-0.052013956,-0.0032860127
2006-08-01 00:00:00+00,LONG,862,0.8620689655172413,-28.68,0.0,-0.020927815,-7.5061596E-4
2006-08-04 00:00:00+00,LONG,808,1.0,14.52,0.0,-0.022332393,8.990935E-4
2006-08-09 00:00:00+00,LONG,101,0.6226401875338093,-2.63,0.0,-0.008541248,0.0072920285
2006-08-25 00:00:00+00,LONG,1236,1.0,3.75,0.0,-0.011805834,0.0050816294
2006-09-07 00:00:00+00,LONG,870,0.0,5.65,0.0,-0.04806802,-0.0040391106
2006-10-06 00:00:00+00,LONG,2638,1.0,-27.25,0.0,-0.031613037,0.0039919433
2006-10-09 00:00:00+00,LONG,2638,0.9714285714285714,-27.28,0.0,-0.037880864,7.448743E-4
2006-10-11 00:00:00+00,LONG,3804,1.0,-21.61,0.0,-0.04904241,0.0150582725
2006-10-12 00:00:00+00,LONG,3804,0.9811320754716981,-22.35,0.0,-0.039286945,0.006345318
2006-10-13 00:00:00+00,LONG,3804,0.564756890148576,-22.65,0.0,-0.03171469,-0.0011087093
2006-10-17 00:00:00+00,LONG,3804,0.9245283018867925,-23.3,0.0,-0.0123801585,-7.816762E-4
2006-10-18 00:00:00+00,LONG,3804,0.4786891341244418,-24.07,0.0,-9.50703E-4,-0.0041974783
2006-10-19 00:00:00+00,LONG,1853,0.44098074516831953,-8.87,0.0,-0.05831848,0.0047543678
2006-11-28 00:00:00+00,LONG,427,1.0,-24.92,0.0,-0.016931139,-0.002438052
2006-12-01 00:00:00+00,LONG,4073,0.9347826086956522,-3.43,0.0,-0.008665481,-0.0022189596
2006-12-05 00:00:00+00,LONG,192,0.0,35.11,0.0,-0.0024686244,0.07447504
2006-12-06 00:00:00+00,LONG,192,0.09937022864875847,26.9,0.0,-0.010869288,0.05404598
2006-12-07 00:00:00+00,LONG,192,0.08612228299379239,25.71,0.0,-0.024722219,0.040689144
2006-12-08 00:00:00+00,LONG,192,0.05832204838513322,25.28,0.0,-0.012299795,0.01791207
2006-12-22 00:00:00+00,LONG,898,1.0,32.1,0.0,-0.026950484,5.955972E-4
2006-12-22 00:00:00+00,LONG,3241,0.0,-13.83,0.0,-0.030522753,-0.0018646723
2006-12-26 00:00:00+00,LONG,898,0.9761904761904762,31.05,0.0,-0.023664534,0.0022372976
2007-01-08 00:00:00+00,LONG,2175,0.5802053432579334,-21.21,0.0,-0.02778745,0.012815989
2007-01-08 00:00:00+00,LONG,3049,0.6781045510680058,-23.94,0.0,-0.03638693,0.0037376978
2007-01-09 00:00:00+00,LONG,2175,0.5803560596646841,-20.2,0.0,-0.022128351,0.0028205886
2007-01-09 00:00:00+00,LONG,874,0.9428571428571428,28.42,0.0,-0.05494008,0.006158697
