time,side,ticker_id,mv_dn_composite_labels,vola_roc_1_5_df040,dist_upper_bb_20_2.5_df055
2005-03-18 00:00:00+00,SHORT,3179,0.0750478047647046,0.059885446,-0.013205601
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,0.09366812,-0.009127955
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.99845487,-0.0013289801
2005-03-31 00:00:00+00,SHORT,2430,0.06610452502445582,-0.121316925,-0.016075501
2005-03-31 00:00:00+00,SHORT,559,0.0,0.5963935,-0.017740024
2005-04-01 00:00:00+00,SHORT,3613,0.7390763237054241,0.85654235,-0.009464974
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.89195454,-0.009412141
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.05058955,-0.008374957
2005-04-06 00:00:00+00,SHORT,2297,0.0,0.6063806,-0.004162621
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,0.12674852,-0.0066170506
2005-04-06 00:00:00+00,SHORT,897,0.8571428571428572,0.9440293,-0.0153150065
2005-04-06 00:00:00+00,SHORT,1114,0.8125,-0.035592772,-0.017397901
2005-04-07 00:00:00+00,SHORT,2261,0.0,0.99354464,-0.010945626
2005-04-07 00:00:00+00,SHORT,444,1.0,1.0180875,-0.0019263288
2005-04-07 00:00:00+00,SHORT,602,0.33509846747500505,0.9045846,-0.017177166
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,-0.06493664,-0.01572533
2005-04-08 00:00:00+00,SHORT,4169,0.44749147929464067,0.32707915,-0.01467181
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,1.070294,-0.007948875
2005-04-11 00:00:00+00,SHORT,2253,1.0,-0.09550217,-0.0048429347
2005-04-11 00:00:00+00,SHORT,2269,0.0,-5.846244E-4,-0.012527466
2005-04-11 00:00:00+00,SHORT,3124,0.6282250945177908,0.8242125,-0.01203428
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,0.18385309,-0.017674975
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,1.0859509,-0.010152255
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,0.16257925,-0.00994062
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,0.88756275,-0.010194181
2005-04-12 00:00:00+00,SHORT,345,0.0,0.12567669,-0.010594586
2005-04-12 00:00:00+00,SHORT,2972,0.09174562663849382,0.7241809,-0.016880462
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,0.9713175,-0.014967898
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,0.2685068,-0.0046317084
2005-04-13 00:00:00+00,SHORT,424,0.0,0.009536821,-5.986993E-4
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,0.37946755,-0.009670642
