time,side,ticker_id,mv_up_composite_labels,velocity_price_univ_zscore_5_df048,sessions_since_bearish_21_50_df059,price_drift_5_df005,sessions_since_bearish_8_50_df059,dist_upper_bb_50_2.5_df055
2006-03-31 00:00:00+00,LONG,2932,0.0,1.4628885,4.0,0.010728863,5.0,-0.090397105
2006-04-12 00:00:00+00,LONG,3744,0.0,1.5145587,8.0,-0.0011869014,10.0,-0.14089756
2006-04-17 00:00:00+00,LONG,759,0.7243058347118506,1.3801984,2.0,0.002469136,7.0,-0.07414834
2006-05-12 00:00:00+00,LONG,3645,0.0,1.2702285,6.0,-0.0026890757,11.0,-0.10920929
2006-06-07 00:00:00+00,LONG,843,0.5003223935255264,1.3722668,8.0,0.00847496,12.0,-0.13194926
2006-06-12 00:00:00+00,LONG,3065,0.0,1.7235423,2.0,-0.0115336655,10.0,-0.09335854
2006-07-18 00:00:00+00,LONG,406,0.9310344827586207,3.0007517,6.0,-0.013170163,10.0,-0.12880155
2006-08-11 00:00:00+00,LONG,1306,0.5640411288908166,1.3860343,3.0,-0.005877167,5.0,-0.08936851
2006-08-14 00:00:00+00,LONG,1306,0.4725967855915606,2.5260165,4.0,0.00562963,6.0,-0.08635996
2006-08-28 00:00:00+00,LONG,304,0.0,1.1774918,2.0,0.010391072,7.0,-0.077725515
2006-09-06 00:00:00+00,LONG,3433,0.0,1.1175786,3.0,0.010620644,6.0,-0.099931136
2007-01-05 00:00:00+00,LONG,710,0.0,1.2041086,5.0,-0.003725551,11.0,-0.10304656
2007-01-08 00:00:00+00,LONG,710,0.0,1.6266861,6.0,0.00496124,12.0,-0.0944895
2007-01-09 00:00:00+00,LONG,2253,0.8105433422292715,1.7348061,5.0,0.009607282,9.0,-0.07541928
2007-01-10 00:00:00+00,LONG,874,0.9142857142857143,1.6302532,8.0,0.0072776307,12.0,-0.2415884
2007-01-10 00:00:00+00,LONG,3049,0.7188600222196869,1.5465968,7.0,0.0066562607,11.0,-0.11442237
2007-01-30 00:00:00+00,LONG,897,0.3300604083732187,1.1532604,4.0,0.010466828,11.0,-0.13816884
2007-03-16 00:00:00+00,LONG,4137,0.95,1.1875166,3.0,0.010752688,9.0,-0.18839732
2007-03-19 00:00:00+00,LONG,2343,0.22889805729249948,2.4699452,5.0,0.0032706107,10.0,-0.14759524
2007-03-19 00:00:00+00,LONG,2497,0.7727272727272727,1.6255921,7.0,0.0,12.0,-0.15676406
2007-03-19 00:00:00+00,LONG,2710,0.736842105263158,1.6782678,20.0,2.0403998E-4,12.0,-0.09424738
2007-03-19 00:00:00+00,LONG,3021,0.0,2.6425068,2.0,0.0039390307,10.0,-0.12096756
2007-03-19 00:00:00+00,LONG,1377,0.24528281544373287,1.6255921,3.0,0.0,10.0,-0.1315555
2007-03-19 00:00:00+00,LONG,1673,0.9285714285714286,1.716335,2.0,3.5149386E-4,10.0,-0.12463129
2007-06-07 00:00:00+00,LONG,1817,0.0,1.4440011,9.0,0.0062921024,12.0,-0.16361804
2007-06-26 00:00:00+00,LONG,1910,0.7948717948717949,1.1663407,6.0,-0.010015935,11.0,-0.13253455
