time,side,ticker_id,mv_up_composite_labels,price_eps_diff_pct_df082,dist_lower_bb_50_2.0_df055
2005-01-26 00:00:00+00,LONG,270,0.19981887406609636,37.2,-0.027433917
2005-01-26 00:00:00+00,LONG,988,0.9482758620689655,55.81,-0.033949375
2005-01-26 00:00:00+00,LONG,3815,0.7804878048780488,41.89,-0.02862556
2005-01-27 00:00:00+00,LONG,142,0.5320071026884413,109.27,-0.021937773
2005-01-27 00:00:00+00,LONG,270,0.20218235284076563,40.05,-0.022273684
2005-01-27 00:00:00+00,LONG,3513,0.0,63.5,-0.034079734
2005-01-27 00:00:00+00,LONG,1514,1.0,21.64,0.0100427605
2005-01-28 00:00:00+00,LONG,142,0.4724726248925554,89.51,-0.02664412
2005-01-28 00:00:00+00,LONG,270,0.19449068218111565,40.5,-0.032839697
2005-01-28 00:00:00+00,LONG,786,0.0,23.01,-0.0021334365
2005-01-28 00:00:00+00,LONG,1404,0.0,19.66,-0.031942073
2005-01-28 00:00:00+00,LONG,3513,0.0,56.55,-0.03040317
2005-01-28 00:00:00+00,LONG,1514,0.972972972972973,24.11,-0.018020842
2005-01-28 00:00:00+00,LONG,1848,1.0,110.25,-0.023462703
2005-01-31 00:00:00+00,LONG,270,0.1964543444801304,38.19,-0.027541129
2005-01-31 00:00:00+00,LONG,786,0.0,26.85,-0.017944789
2005-01-31 00:00:00+00,LONG,3513,0.0,39.21,-0.037586417
2005-01-31 00:00:00+00,LONG,3538,0.9020792511653218,24.69,-0.009649317
2005-01-31 00:00:00+00,LONG,1514,0.9459459459459459,21.6,-0.010827532
2005-02-01 00:00:00+00,LONG,270,0.18142629065840316,41.45,-0.031712387
2005-02-01 00:00:00+00,LONG,786,0.0,22.61,-0.022776904
2005-02-01 00:00:00+00,LONG,3538,0.8079574025418005,28.87,-0.022493575
2005-02-01 00:00:00+00,LONG,1514,0.9189189189189189,25.16,-0.022056436
2005-02-02 00:00:00+00,LONG,786,0.0,21.77,-0.022312956
2005-02-02 00:00:00+00,LONG,1514,0.8918918918918919,55.45,-0.03392921
2005-02-03 00:00:00+00,LONG,786,0.0,23.0,-0.016835405
2005-02-03 00:00:00+00,LONG,3531,0.0,71.75,-0.034676988
2005-02-04 00:00:00+00,LONG,786,0.0,23.97,-0.01989851
2005-02-08 00:00:00+00,LONG,475,0.0,25.79,-0.035419676
2005-02-09 00:00:00+00,LONG,88,0.0,19.61,-0.0123370495
2005-02-09 00:00:00+00,LONG,2619,0.0,56.26,-0.024755191
2005-02-09 00:00:00+00,LONG,629,0.5652663225101038,64.66,-0.0048643528
2005-02-09 00:00:00+00,LONG,786,0.0,25.62,-0.03358483
2005-02-09 00:00:00+00,LONG,1051,0.0,61.94,-0.03191389
2005-02-09 00:00:00+00,LONG,3907,0.4125304565356094,42.05,-0.027971575
2005-02-10 00:00:00+00,LONG,629,0.41945769662852106,64.57,-0.02312482
2005-02-10 00:00:00+00,LONG,786,0.0,21.8,-0.02048279
2005-02-11 00:00:00+00,LONG,629,0.406655737705583,62.63,-0.02064543
2005-02-22 00:00:00+00,LONG,2349,0.6666666666666667,28.54,-0.02369037
2005-02-24 00:00:00+00,LONG,2801,0.0,101.11,-0.03651774
2005-03-10 00:00:00+00,LONG,1690,1.0,73.67,-0.032096043
2005-03-11 00:00:00+00,LONG,1690,0.9545454545454546,71.38,-0.03259986
2005-03-24 00:00:00+00,LONG,2640,1.0,23.13,-0.007552198
