time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,dist_upper_bb_20_2.0_df055,dist_upper_bb_50_2.5_df055
2005-02-07 00:00:00+00,SHORT,1463,0.30658142804991717,-0.018599443,0.0069174934,-0.07861654
2005-02-07 00:00:00+00,SHORT,3716,0.0,0.0013244068,-0.010147638,-0.038738865
2005-02-07 00:00:00+00,SHORT,1690,0.0,0.026427144,0.007885755,-0.012398315
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,0.023885978,-0.0019997905,-0.0023298422
2005-02-08 00:00:00+00,SHORT,2452,0.6959857238125656,0.01748587,-0.0019920114,-8.9812966E-4
2005-02-08 00:00:00+00,SHORT,786,0.0,-0.034752816,-0.011651689,-0.07490032
2005-02-08 00:00:00+00,SHORT,1114,0.20596401199112765,-0.01880512,-0.010720549,-0.049129643
2005-02-08 00:00:00+00,SHORT,3287,0.30014762557789143,0.00836386,-0.015415783,-0.036991157
2005-02-08 00:00:00+00,SHORT,1383,0.5923440152789785,-0.0039176308,-0.015483274,-0.043177783
2005-02-08 00:00:00+00,SHORT,3652,0.2025801875469939,0.007961267,-0.014405813,-0.01670118
2005-02-08 00:00:00+00,SHORT,1690,0.0,0.028874706,0.0019959752,-0.014962999
2005-02-09 00:00:00+00,SHORT,1303,0.8390741663926007,-0.039216697,0.011373166,-0.10055496
2005-02-09 00:00:00+00,SHORT,1832,0.6448237495078485,-0.01798028,0.027005935,-0.021318424
2005-02-10 00:00:00+00,SHORT,2452,0.5640653729199218,0.028131504,-0.0123054115,-0.007905408
2005-02-10 00:00:00+00,SHORT,1832,0.34835181236263796,-0.007908314,0.011246145,-0.02595185
2005-02-11 00:00:00+00,SHORT,68,0.7406783065734668,0.022095218,-0.009337003,-0.026088107
2005-02-11 00:00:00+00,SHORT,2479,0.0,0.024287432,-0.0088471845,-0.037063643
2005-02-11 00:00:00+00,SHORT,1761,0.7680473719945151,0.0032136186,-0.0045268014,-0.021586915
2005-02-11 00:00:00+00,SHORT,1832,0.06744684778637837,3.2614736E-4,-0.0059774746,-0.035772245
2005-02-14 00:00:00+00,SHORT,2778,1.0,-0.0012374836,-0.0026570666,-0.06496732
2005-02-14 00:00:00+00,SHORT,1761,0.8888888888888888,0.006918808,-0.011451728,-0.026439628
2005-02-15 00:00:00+00,SHORT,4112,0.5262692562561426,-0.01935895,0.008985031,-0.11839748
2005-02-15 00:00:00+00,SHORT,2716,1.0,-6.5975933E-4,0.016796822,-0.022133658
2005-02-15 00:00:00+00,SHORT,2778,0.9230769230769231,0.005576494,-0.008140589,-0.06348858
2005-02-15 00:00:00+00,SHORT,1761,0.7777777777777778,0.009920059,-0.011083852,-0.024737068
2005-02-16 00:00:00+00,SHORT,212,0.0,-0.016215188,-0.012307492,-0.033502143
2005-02-16 00:00:00+00,SHORT,270,0.7579321538535742,-0.010560649,-0.0031412297,-0.09318065
2005-02-16 00:00:00+00,SHORT,401,0.4294753102813345,-0.061195385,-0.00908613,-0.15122683
2005-02-16 00:00:00+00,SHORT,2778,0.8461538461538461,0.010000088,-0.00799503,-0.05626519
2005-02-16 00:00:00+00,SHORT,3244,0.0,-0.02621008,-0.006947375,-0.07283029
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,0.014985003,-0.004127976,-0.0030598643
2005-02-16 00:00:00+00,SHORT,4013,0.45019030989278813,-0.012858673,-0.015653394,-0.059834655
2005-02-17 00:00:00+00,SHORT,2352,0.359476250649854,0.0024134996,-0.0016748193,-0.061831467
2005-02-17 00:00:00+00,SHORT,370,0.48560892367643554,-0.011413176,-0.0074206707,-0.080007024
2005-02-17 00:00:00+00,SHORT,3021,0.3535409426643509,-0.0052058403,-0.010988401,-0.055577546
2005-02-17 00:00:00+00,SHORT,995,0.48509695626580557,-0.006061263,-0.013035469,-0.042462043
2005-02-17 00:00:00+00,SHORT,4089,0.5788111257695832,-0.019263137,-0.007936014,-0.08850006
2005-02-18 00:00:00+00,SHORT,370,0.39559377556870884,-0.0063185366,-0.01426027,-0.08336287
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,0.024102377,-0.0053701783,-0.0021256155
2005-02-18 00:00:00+00,SHORT,3021,0.3080797753026201,-0.0011180042,-0.0132736415,-0.055709854
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,0.028175449,0.002150425,0.0030942229
2005-02-25 00:00:00+00,SHORT,3716,0.0,-1.497903E-4,-0.0150483465,-0.028019723
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,0.021855934,0.00967002,-1.0892824E-4
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.0048558707,0.0036019823,-0.03465705
2005-03-01 00:00:00+00,SHORT,602,0.3521511333257591,0.025941227,-0.011335634,-0.019057741
2005-03-01 00:00:00+00,SHORT,843,0.4918513343600976,0.005203984,-0.01019166,-0.06916509
2005-03-02 00:00:00+00,SHORT,558,0.9333333333333333,0.01121423,-0.006149199,-0.039468016
2005-03-02 00:00:00+00,SHORT,3825,0.5602593389242179,-0.011340485,0.00826129,-0.04624109
2005-03-03 00:00:00+00,SHORT,558,0.0,0.014866801,-0.013738037,-0.04303207
2005-03-04 00:00:00+00,SHORT,84,1.0,0.020571794,-0.0062164576,-0.011578803
2005-03-04 00:00:00+00,SHORT,194,0.3956311047117868,0.008150259,-0.0038072607,-0.038948234
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.0036342347,0.019124508,0.005270375
2005-03-04 00:00:00+00,SHORT,3744,1.0,0.0032113676,-0.01055491,-0.065966
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,-0.02865308,0.017005876,-0.081505425
2005-03-07 00:00:00+00,SHORT,2119,0.3251296549859206,0.0060598752,-0.012591002,-0.02653822
2005-03-07 00:00:00+00,SHORT,157,0.40710579044497097,-0.013092144,-0.0097609265,-0.08173243
2005-03-07 00:00:00+00,SHORT,194,0.3393730354285063,0.012644763,-0.009390353,-0.0406918
2005-03-07 00:00:00+00,SHORT,2553,0.339363682436687,-0.010380804,4.4332206E-4,-0.036852352
2005-03-07 00:00:00+00,SHORT,516,0.5816076007064094,-0.022136085,-0.0035091823,-0.10579987
2005-03-07 00:00:00+00,SHORT,641,0.24430411668534546,4.3392016E-4,0.0029865685,-0.038639847
2005-03-07 00:00:00+00,SHORT,2986,1.0,-0.015025164,-0.0029171072,-0.11829913
2005-03-07 00:00:00+00,SHORT,3067,0.13905167808038293,0.015016402,-0.014440889,-0.030967915
2005-03-07 00:00:00+00,SHORT,1149,1.0,-0.010444305,-0.012604956,-0.03852336
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,0.01599396,0.006911039,-0.0020634534
2005-03-07 00:00:00+00,SHORT,1288,0.30880491838340446,0.0134576345,-0.01160159,-0.046650555
