time,side,ticker_id,mv_up_composite_labels,ev_ebitda_sector_relative_df085,accel_volume_5_df025,dist_lower_bb_50_2.0_df055
2005-04-20 00:00:00+00,LONG,3335,0.5739291169633376,1.399,-0.30036747,0.0051749498
2005-04-20 00:00:00+00,LONG,1840,0.4854310909692417,0.8107,0.21557726,0.017581241
2005-04-22 00:00:00+00,LONG,2396,1.0,0.4838,-0.59626174,0.007971284
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,0.7415,0.94512135,0.031732846
2005-04-26 00:00:00+00,LONG,465,0.0,0.5182,0.7727165,0.002124136
2005-04-27 00:00:00+00,LONG,386,0.33927778835829436,0.7454,-0.4687243,0.01578425
2005-04-27 00:00:00+00,LONG,1423,0.0,1.3427,0.017128563,0.020063527
2005-04-27 00:00:00+00,LONG,4005,1.0,0.7333,0.061035037,0.008540126
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,0.1144,0.25797534,0.020438759
2005-04-28 00:00:00+00,LONG,386,0.2600376192545927,0.747,0.54034424,0.016909458
2005-04-28 00:00:00+00,LONG,1171,0.7498489855961122,0.4466,0.60224766,0.008010749
2005-04-28 00:00:00+00,LONG,1258,0.14266991478948032,0.5983,-0.65231514,0.046420343
2005-04-28 00:00:00+00,LONG,3378,0.11232778106922961,0.61,-0.7822925,0.030122329
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,1.3313,-0.46038255,0.027671346
2005-04-28 00:00:00+00,LONG,1437,1.0,0.8168,0.43265036,0.007939624
2005-04-28 00:00:00+00,LONG,2028,1.0,1.2221,-0.4202725,0.004358061
2005-04-29 00:00:00+00,LONG,2137,0.12402880988248238,0.1163,-0.02007943,0.0038331205
2005-04-29 00:00:00+00,LONG,3378,0.11106037367192677,0.6132,-0.27014324,0.023961637
2005-04-29 00:00:00+00,LONG,3443,0.9333333333333333,0.1134,-0.24936381,0.007952881
2005-04-29 00:00:00+00,LONG,1700,1.0,0.8712,0.1394863,0.015805228
2005-04-29 00:00:00+00,LONG,3804,1.0,0.51,0.8461223,0.005790855
2005-05-03 00:00:00+00,LONG,2095,1.0,0.6139,-0.05626478,0.0045675253
2005-05-03 00:00:00+00,LONG,2365,0.2679575513846249,1.4753,-0.731396,0.010801145
2005-05-06 00:00:00+00,LONG,2137,0.08581014213921774,0.8538,-0.18460466,0.0048661497
2005-05-11 00:00:00+00,LONG,2106,0.0,0.4422,0.31520295,0.024006905
2005-05-12 00:00:00+00,LONG,2106,0.7692307692307693,0.437,-0.07549549,0.006663199
2005-05-13 00:00:00+00,LONG,2253,0.4669599330159069,1.0915,0.5522383,0.018172301
2005-05-13 00:00:00+00,LONG,3275,1.0,0.8401,0.29807234,0.00394373
2005-05-13 00:00:00+00,LONG,1297,0.6474551902287213,0.8599,0.10309753,0.022976622
2005-05-13 00:00:00+00,LONG,3378,0.07920181115700177,0.6322,0.021974787,0.0050802687
2005-05-13 00:00:00+00,LONG,3430,0.16758975207893378,0.9253,0.24593537,0.0045217443
2005-05-13 00:00:00+00,LONG,1453,0.0,0.5385,0.9854945,0.021654146
2005-05-13 00:00:00+00,LONG,3561,1.0,0.0219,0.7625929,0.009793588
2005-05-13 00:00:00+00,LONG,3973,0.29687370167176497,0.635,-0.17746769,0.0049762437
2005-05-16 00:00:00+00,LONG,4123,1.0,0.9752,0.69945574,0.01740873
2005-05-16 00:00:00+00,LONG,4187,1.0,0.2887,0.7546907,0.025216395
2005-05-16 00:00:00+00,LONG,2896,1.0,0.3028,0.087512806,0.0037596491
2005-05-16 00:00:00+00,LONG,897,1.0,0.2485,0.4606752,0.029027127
2005-05-16 00:00:00+00,LONG,1173,1.0,0.3357,-0.47817943,0.005132899
2005-05-16 00:00:00+00,LONG,3466,0.8817436677688048,0.7482,0.57660747,0.0045635556
2005-05-16 00:00:00+00,LONG,1770,1.0,0.3885,0.899665,0.017616633
2005-05-17 00:00:00+00,LONG,4187,0.7545556912630998,0.2897,-0.6181823,0.010882892
2005-05-17 00:00:00+00,LONG,450,1.0,0.3723,0.8299885,0.015733141
2005-05-17 00:00:00+00,LONG,897,0.96,0.2502,-0.83192265,0.0043575806
2005-05-18 00:00:00+00,LONG,4187,0.43816475242008474,0.2898,0.24418893,0.009966223
2005-05-18 00:00:00+00,LONG,450,0.9696969696969697,0.3704,-0.87352985,0.0139066065
2005-05-18 00:00:00+00,LONG,1770,0.92,0.39,-0.7431465,0.004233647
2005-05-20 00:00:00+00,LONG,88,0.8397540776460467,1.5438,0.025940152,0.03211296
2005-05-26 00:00:00+00,LONG,3612,0.33323784276444146,1.2234,-0.009674106,0.05385229
2005-06-03 00:00:00+00,LONG,64,0.0,1.1575,-0.2273207,0.056383442
2005-06-06 00:00:00+00,LONG,64,0.0,1.1537,0.6420701,0.014449044
2005-06-16 00:00:00+00,LONG,1011,0.0,0.5271,0.330992,0.057914745
2005-06-17 00:00:00+00,LONG,1011,0.0,0.5397,0.43290064,0.013038288
2005-06-24 00:00:00+00,LONG,465,0.24462304883645797,0.7032,-0.14219016,0.028240671
2005-06-27 00:00:00+00,LONG,73,0.7740055293650226,1.2204,-0.38525927,0.012846817
2005-06-27 00:00:00+00,LONG,4172,0.4404481180943399,0.4997,-0.49237052,0.028789576
2005-06-27 00:00:00+00,LONG,2262,0.0,0.8141,0.1478151,0.0036451332
2005-06-27 00:00:00+00,LONG,465,0.3001099167966306,0.6922,0.4581448,0.015415065
2005-06-27 00:00:00+00,LONG,730,1.0,0.8102,0.14639208,0.009126283
2005-06-27 00:00:00+00,LONG,1922,1.0,1.1196,0.24023753,0.014117262
2005-06-28 00:00:00+00,LONG,465,0.6538058934950012,0.6738,-0.67454046,0.0021185926
2005-06-28 00:00:00+00,LONG,730,0.9666666666666667,0.801,-0.04100941,0.002215614
2005-06-30 00:00:00+00,LONG,2262,0.0,0.7649,0.53394514,0.008897302
2005-06-30 00:00:00+00,LONG,2731,1.0,0.3595,0.034988828,0.027832959
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,0.303,-0.4952549,0.0042023915
2005-07-08 00:00:00+00,LONG,1633,0.4151053356755801,1.0742,0.15063033,0.011198153
2005-07-13 00:00:00+00,LONG,2285,0.1156830309725133,1.1024,0.108642854,0.035824094
2005-07-18 00:00:00+00,LONG,3773,0.0,0.4591,0.2919068,0.04213985
2005-07-19 00:00:00+00,LONG,3773,0.0,0.4591,-0.3046754,0.003408572
2005-07-25 00:00:00+00,LONG,2686,0.648012469920028,0.8089,0.9884161,0.053800095
2005-07-26 00:00:00+00,LONG,1715,1.0,0.5789,-0.6037216,0.007451501
2005-08-08 00:00:00+00,LONG,2778,0.0,0.3169,0.42793608,0.049599305
2005-08-08 00:00:00+00,LONG,3621,0.2282085577850403,0.2875,0.7990818,0.03959158
2005-08-10 00:00:00+00,LONG,2778,0.0,0.3173,0.19508402,0.020772897
2005-08-10 00:00:00+00,LONG,3621,0.15629590832044318,0.2856,-0.14419991,0.022464698
2005-08-16 00:00:00+00,LONG,4176,0.3130318645915553,0.1707,0.16757023,0.010113985
2005-08-17 00:00:00+00,LONG,1160,0.0,0.441,0.7690093,0.011169194
2005-08-17 00:00:00+00,LONG,3522,0.6838363367096663,0.1352,0.45746088,0.0042981184
2005-08-19 00:00:00+00,LONG,2778,0.19317339074045858,0.3194,-0.3268505,0.005613205
2005-08-22 00:00:00+00,LONG,3586,0.5050811289953586,0.21,-0.13370779,0.010989461
2005-08-23 00:00:00+00,LONG,3586,0.5473077621057609,0.2061,-0.3522125,0.020609811
2005-09-08 00:00:00+00,LONG,2196,0.4619403294310726,0.2554,-0.5018505,0.003241259
2005-09-21 00:00:00+00,LONG,3716,0.3712711913565315,1.0647,0.20176008,0.007927255
2005-09-26 00:00:00+00,LONG,1684,0.0020370752463540177,1.135,0.9587638,0.0075664804
2005-09-26 00:00:00+00,LONG,1896,0.3124409143155478,1.2355,0.34255376,0.005982377
2005-09-27 00:00:00+00,LONG,1684,0.0,1.1393,-0.90828025,0.0055086794
2005-10-05 00:00:00+00,LONG,386,0.9247381023165638,1.0126,0.07011018,0.013761285
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,0.6201,0.52086323,0.02515582
2005-10-11 00:00:00+00,LONG,2543,0.4034492625734117,1.5237,-0.37842202,0.005746708
2005-10-12 00:00:00+00,LONG,2543,0.443527615827008,1.5625,0.46271986,0.0047053844
2005-10-12 00:00:00+00,LONG,2778,0.6965025661319603,0.3186,0.78144795,0.03723377
2005-10-13 00:00:00+00,LONG,84,0.2704183327161197,0.056,0.33529603,0.025176218
2005-10-13 00:00:00+00,LONG,1514,0.7826174882150282,0.471,0.88549656,0.011125925
2005-10-13 00:00:00+00,LONG,3614,1.0,0.3636,0.7140652,0.02501369
2005-10-13 00:00:00+00,LONG,3782,1.0,1.5581,-0.314891,0.011738207
2005-10-14 00:00:00+00,LONG,84,0.22121423767557305,0.0562,0.24565072,0.010828907
2005-10-14 00:00:00+00,LONG,1667,0.96,1.0727,0.84265435,0.011415194
2005-10-17 00:00:00+00,LONG,3646,1.0,0.8079,0.2944826,0.014395662
2005-10-18 00:00:00+00,LONG,84,0.17050304639809552,0.0565,-0.22607191,0.004436343
2005-10-18 00:00:00+00,LONG,3646,0.9811320754716981,0.8089,-0.40627703,0.01365054
2005-10-19 00:00:00+00,LONG,3127,0.7669903421873017,0.6561,0.7516231,0.006498148
2005-10-20 00:00:00+00,LONG,84,0.1559494552752722,0.0571,-0.13550092,0.005105826
2005-10-20 00:00:00+00,LONG,960,0.0,0.49,0.23650016,0.008137273
2005-10-20 00:00:00+00,LONG,3621,0.47435532157765087,0.2686,-0.0039226967,0.018242994
2005-10-20 00:00:00+00,LONG,4059,1.0,0.6321,0.07002566,0.012569446
2005-10-27 00:00:00+00,LONG,2291,0.4444185711839396,0.8199,0.16687566,0.014906861
2005-10-27 00:00:00+00,LONG,2408,0.548001306084746,1.0851,0.3723056,0.007126508
2005-10-27 00:00:00+00,LONG,2778,0.6881245573470907,0.7649,0.49353227,0.0050276048
2005-10-27 00:00:00+00,LONG,3127,0.8571428571428572,0.5982,-0.18180066,0.0106466655
2005-10-27 00:00:00+00,LONG,3853,1.0,1.5937,0.38321555,0.03763218
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,0.4888,-0.25740933,0.031186275
2005-10-27 00:00:00+00,LONG,4013,0.7163233659242741,0.7331,-0.47099277,0.012387766
2005-10-28 00:00:00+00,LONG,3853,1.0,1.6003,-0.45389912,0.010607237
2005-10-28 00:00:00+00,LONG,3973,0.4210413907160842,0.5021,-0.69653124,0.007977839
2005-11-15 00:00:00+00,LONG,984,1.0,0.5486,0.0022568866,0.010789182
2005-11-16 00:00:00+00,LONG,3677,1.0,0.1186,0.36375326,0.039065372
2005-11-16 00:00:00+00,LONG,3694,0.4336090761880416,0.6944,-0.39279595,0.01893563
2005-11-17 00:00:00+00,LONG,3179,0.17022383406259733,1.1451,0.50034577,0.0075194095
2005-11-21 00:00:00+00,LONG,3179,0.04638397180434345,1.1271,-0.46970978,0.016002286
2005-11-22 00:00:00+00,LONG,3179,0.09228187663395838,1.1275,-0.37382284,0.0057661785
2005-11-28 00:00:00+00,LONG,3179,0.2468023549555506,1.1161,0.38225812,0.0044243867
2005-12-08 00:00:00+00,LONG,3283,0.0,0.9573,-0.059906363,0.0473758
2005-12-09 00:00:00+00,LONG,3283,0.0,0.9472,-0.15938488,0.049791884
2005-12-12 00:00:00+00,LONG,3283,0.0,0.9428,0.26637176,0.028952941
2005-12-16 00:00:00+00,LONG,897,0.42574322176418067,0.0892,0.036420915,0.0091016535
2005-12-27 00:00:00+00,LONG,576,1.0,0.5562,0.7428908,0.0023323905
2005-12-28 00:00:00+00,LONG,1288,0.5707711100369738,1.3632,-0.6424172,0.0058515845
2005-12-29 00:00:00+00,LONG,1288,0.6379238258619295,1.3632,-0.041400284,0.0058372384
2006-01-20 00:00:00+00,LONG,2640,0.1008863001693077,1.1353,0.23087758,0.006917753
2006-01-23 00:00:00+00,LONG,2640,0.10990177676966349,1.1133,0.31413072,0.00567919
2006-01-30 00:00:00+00,LONG,2085,0.0,0.9611,-0.027992597,0.053825475
2006-01-31 00:00:00+00,LONG,2085,0.0,0.9445,-0.6705706,0.04770968
2006-01-31 00:00:00+00,LONG,2659,0.23080962449648249,0.5889,-0.852352,0.019826395
2006-01-31 00:00:00+00,LONG,2965,0.5301510553345743,1.0525,-0.12900013,0.0051287394
2006-02-01 00:00:00+00,LONG,2965,0.48047210381150424,1.0525,0.14812854,0.0021386347
2006-02-01 00:00:00+00,LONG,1667,0.0,0.8621,0.675007,0.00518523
2006-02-01 00:00:00+00,LONG,3853,1.0,0.5002,0.036300138,0.006149033
2006-02-02 00:00:00+00,LONG,2085,0.0,0.9434,-0.697834,0.025710443
2006-02-02 00:00:00+00,LONG,610,0.9545454545454546,0.9486,0.29991317,0.012543243
2006-02-02 00:00:00+00,LONG,4050,1.0,1.0297,0.906569,0.00821806
2006-02-06 00:00:00+00,LONG,2965,0.43107172519182435,1.0525,0.45296827,0.00558181
2006-02-07 00:00:00+00,LONG,2084,0.5182706700927694,1.3505,-0.39128542,0.007848292
2006-02-07 00:00:00+00,LONG,76,0.0,0.8446,-0.51232994,0.051786605
2006-02-07 00:00:00+00,LONG,427,0.5453610148525704,0.9454,0.092576556,0.011774354
2006-02-07 00:00:00+00,LONG,1761,0.0,0.6413,-0.31256843,0.01355768
2006-02-08 00:00:00+00,LONG,2099,1.0,0.963,0.08836566,0.0036363082
2006-02-08 00:00:00+00,LONG,76,0.0,0.8613,-0.13062935,0.018423783
2006-02-08 00:00:00+00,LONG,1684,0.0,0.7483,-0.1228072,0.003812569
2006-02-13 00:00:00+00,LONG,2452,0.0,0.4853,-0.16333024,0.0072924853
2006-02-21 00:00:00+00,LONG,643,0.0,0.6693,0.5067524,0.020550467
2006-02-21 00:00:00+00,LONG,675,0.20279711630828443,0.1846,-0.19864857,0.010896963
2006-02-22 00:00:00+00,LONG,643,0.0,0.669,0.7510192,0.0041571893
2006-02-23 00:00:00+00,LONG,2830,1.0,1.1097,0.2664717,0.010045179
2006-02-24 00:00:00+00,LONG,3447,0.8349130915199976,0.8059,0.21480225,0.0024424628
2006-03-08 00:00:00+00,LONG,84,0.3161103711551416,0.072,0.63202405,0.0029191603
2006-03-08 00:00:00+00,LONG,3841,0.0,0.2475,0.23413926,0.012524369
2006-03-09 00:00:00+00,LONG,3114,0.0,1.3574,-0.077476375,0.00821726
2006-03-17 00:00:00+00,LONG,2518,0.9302325581395349,0.2306,0.07000532,0.014947347
2006-03-17 00:00:00+00,LONG,3699,0.0,0.4348,-0.86759144,0.008224304
2006-03-27 00:00:00+00,LONG,487,1.0,1.5712,-0.75751615,0.0034460553
2006-03-29 00:00:00+00,LONG,3890,0.0,0.4942,0.084277645,0.007894222
2006-03-31 00:00:00+00,LONG,64,0.0,0.9197,0.3541396,0.008743065
2006-04-03 00:00:00+00,LONG,3179,1.0,1.2434,-0.19319898,0.004113204
2006-04-07 00:00:00+00,LONG,93,0.8092805054451453,0.7673,0.23447524,0.012433926
2006-04-12 00:00:00+00,LONG,93,0.7995020027541958,0.7688,0.19973585,0.009347642
2006-04-12 00:00:00+00,LONG,780,0.0,0.552,-8.0026727E-4,0.014822719
2006-04-13 00:00:00+00,LONG,780,0.0,0.5478,-0.023103034,0.008346102
2006-04-13 00:00:00+00,LONG,1220,0.0,0.5083,0.8747,0.0035864846
2006-04-17 00:00:00+00,LONG,1236,0.173170098106009,1.0492,0.3633133,0.0022563555
2006-04-19 00:00:00+00,LONG,3466,0.0,0.0428,-0.07116085,0.0532524
2006-04-20 00:00:00+00,LONG,3466,0.0,0.0428,0.8811724,0.009406552
2006-05-02 00:00:00+00,LONG,3773,0.0,0.4443,0.16060187,0.01509984
2006-05-04 00:00:00+00,LONG,3773,0.0,0.4831,0.46237668,0.023740757
2006-05-15 00:00:00+00,LONG,1453,0.2941786770694011,0.4831,0.23790202,0.011611265
2006-05-16 00:00:00+00,LONG,1453,0.3338936652139795,0.5145,-0.010090435,0.005808402
2006-05-18 00:00:00+00,LONG,3646,1.0,0.5041,-0.41877213,0.008398182
2006-05-18 00:00:00+00,LONG,4059,1.0,0.4856,0.12538633,0.021963634
2006-05-22 00:00:00+00,LONG,3343,1.0,0.9451,0.69834656,0.017166752
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,0.5454,0.2115341,0.05067926
2006-05-24 00:00:00+00,LONG,1851,0.7687957739843996,0.6133,-0.102741756,0.008273425
2006-05-25 00:00:00+00,LONG,1306,0.5527017284030714,0.5498,-0.2809182,0.00948092
2006-06-07 00:00:00+00,LONG,900,0.0,0.085,-0.68101275,0.0023915076
2006-06-12 00:00:00+00,LONG,2710,0.0,0.9227,-0.6027774,0.017992368
2006-06-13 00:00:00+00,LONG,498,0.0,0.8197,0.7893428,0.055313632
2006-06-13 00:00:00+00,LONG,2710,0.0,0.9236,0.09470848,0.007252767
2006-06-13 00:00:00+00,LONG,684,0.0,0.9849,-0.20814422,0.014989137
2006-06-13 00:00:00+00,LONG,712,0.0,0.0512,0.68648815,0.037540033
2006-06-13 00:00:00+00,LONG,845,0.9101008185194994,0.4051,-0.1328558,0.009714661
2006-06-13 00:00:00+00,LONG,874,0.0,0.0248,0.2657888,0.031382795
2006-06-13 00:00:00+00,LONG,984,1.0,0.0191,0.044014327,0.025303397
2006-06-13 00:00:00+00,LONG,1139,0.5137814698619265,0.5498,0.0022398576,0.00972729
2006-06-13 00:00:00+00,LONG,3595,1.0,1.1849,-0.15913667,0.020495087
2006-06-13 00:00:00+00,LONG,3907,0.0,0.7768,0.08831406,0.01197995
2006-06-13 00:00:00+00,LONG,4062,0.0,0.8827,-0.28714493,0.009581363
2006-06-14 00:00:00+00,LONG,498,0.0,0.8359,-0.7687215,0.009532313
2006-06-14 00:00:00+00,LONG,2731,0.4171286619840483,1.0876,-0.11470898,0.010502815
2006-06-14 00:00:00+00,LONG,712,0.0,0.0518,-0.23267622,0.010547704
2006-06-14 00:00:00+00,LONG,874,0.0,0.025,-0.79954576,0.0023537767
2006-06-14 00:00:00+00,LONG,1139,0.5067722050698571,0.5466,0.55155593,0.0073841233
2006-06-14 00:00:00+00,LONG,3286,0.0,1.017,-0.31523523,0.027537076
2006-06-14 00:00:00+00,LONG,3433,0.4228069856845268,1.3418,0.86599874,0.0049642655
2006-06-14 00:00:00+00,LONG,1404,0.5134389952111315,0.8221,-0.14459243,0.015273435
2006-06-14 00:00:00+00,LONG,3561,1.0,0.1211,0.90551883,0.0031435518
2006-06-14 00:00:00+00,LONG,1610,0.15695566400875247,1.4688,-0.7950335,0.032472
2006-06-20 00:00:00+00,LONG,914,1.0,0.6402,0.52298236,0.0066377996
