time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,dist_lower_bb_50_2.0_df055
2005-01-25 00:00:00+00,LONG,2567,0.0,-1.0500518,0.025764683
2005-01-25 00:00:00+00,LONG,2681,0.5121395462962478,-0.6729064,-0.0024866692
2005-01-25 00:00:00+00,LONG,2686,1.0,0.1921648,0.016961938
2005-01-25 00:00:00+00,LONG,2778,0.4241372185236294,-0.49752793,-0.0029710056
2005-01-25 00:00:00+00,LONG,2990,0.975,-0.00818269,-0.0029516465
2005-01-25 00:00:00+00,LONG,1076,0.9615384615384616,-0.4382644,-5.5659097E-4
2005-01-25 00:00:00+00,LONG,3203,0.4725967451535633,-0.9155936,-0.0044293916
2005-01-25 00:00:00+00,LONG,3596,0.0,-0.4827221,0.028294368
2005-01-25 00:00:00+00,LONG,1585,0.4518163462558773,-0.4038836,-0.0035492084
2005-01-25 00:00:00+00,LONG,3699,0.0,0.1141344,0.01851176
2005-01-25 00:00:00+00,LONG,3716,0.20080469499475892,-0.20058405,-0.005703022
2005-01-25 00:00:00+00,LONG,3853,0.9777777777777777,0.29005963,0.010648691
2005-01-25 00:00:00+00,LONG,3855,0.39780109835344246,-0.31425902,0.007909778
2005-01-25 00:00:00+00,LONG,1966,1.0,-0.14274547,0.004283898
2005-01-26 00:00:00+00,LONG,2567,0.0,0.10618443,0.012663276
2005-01-27 00:00:00+00,LONG,1300,0.3963991986410912,-0.56464726,-0.005734364
2005-01-27 00:00:00+00,LONG,3470,0.4468800984768633,0.07532171,0.012815905
2005-01-27 00:00:00+00,LONG,1514,1.0,-0.77230173,0.0100427605
2005-01-27 00:00:00+00,LONG,3918,0.5599568806079668,0.7068238,0.0019956885
2005-01-28 00:00:00+00,LONG,1,0.0,0.092778675,-0.0064599956
2005-01-28 00:00:00+00,LONG,64,0.6236082041177198,0.5985874,6.42894E-4
2005-01-28 00:00:00+00,LONG,2430,0.4536871866872061,-1.0144207,-0.0013603297
2005-01-28 00:00:00+00,LONG,2567,0.0,-0.4456835,-0.002064766
2005-01-28 00:00:00+00,LONG,786,0.0,0.59371793,-0.0021334365
2005-01-28 00:00:00+00,LONG,2923,0.14704562679656136,-0.17744364,0.0064403005
2005-01-28 00:00:00+00,LONG,1144,1.0,-0.47591463,0.005417783
2005-01-28 00:00:00+00,LONG,3378,0.4318341918530674,0.34555462,0.01313387
2005-01-28 00:00:00+00,LONG,3470,0.4333715322599361,0.36207762,0.0016461388
2005-01-28 00:00:00+00,LONG,4034,0.0,0.3193886,-0.004449927
2005-01-31 00:00:00+00,LONG,2866,0.5125599987430594,-1.3075677,0.012801555
2005-01-31 00:00:00+00,LONG,918,0.8416315727821096,-1.020793,0.010104534
2005-01-31 00:00:00+00,LONG,1299,0.6813947224918291,-0.7879693,0.00947884
2005-01-31 00:00:00+00,LONG,3470,0.642586148915231,-1.1612105,-0.0061557186
2005-01-31 00:00:00+00,LONG,3681,0.38850907243439675,0.07710621,0.0057504443
2005-02-01 00:00:00+00,LONG,2866,0.42057940282626227,-0.092355825,0.004448042
2005-02-01 00:00:00+00,LONG,2923,0.0,0.6505133,-0.005655227
