time,side,ticker_id,mv_dn_composite_labels,normalized_6m_df004,skew_weighted_10_df037,weighted_neg_sum_20_df036,dist_upper_bb_50_2.0_df055
2005-09-07 00:00:00+00,SHORT,3918,0.5390967500112482,0.29032257,0.5215446,0.13852897,0.0028191027
2005-09-08 00:00:00+00,SHORT,1022,0.0,0.1923077,0.42019477,0.14594425,0.0018443582
2005-09-09 00:00:00+00,SHORT,1022,0.2492869714406581,0.1923077,0.5156777,0.14594425,0.0062037176
2005-09-09 00:00:00+00,SHORT,3100,0.7221528873003898,0.47058824,0.44547978,0.03548412,0.009655219
2005-09-09 00:00:00+00,SHORT,3686,0.8001636388888144,0.115384616,0.34938487,0.10542453,0.008500237
2005-09-12 00:00:00+00,SHORT,2582,0.0,0.37142858,0.6649776,0.0917526,0.023168497
2005-09-12 00:00:00+00,SHORT,4000,0.0,0.45945945,0.710377,0.14573036,0.0121313175
2005-09-13 00:00:00+00,SHORT,2582,0.0,0.37142858,0.51016897,0.10233964,0.0053360662
2005-09-13 00:00:00+00,SHORT,3471,0.0,0.45833334,0.8403394,0.057555847,0.03038783
2005-09-13 00:00:00+00,SHORT,4000,0.0,0.4864865,0.6843767,0.14573036,0.0024704023
2005-09-14 00:00:00+00,SHORT,3471,0.0,0.4347826,0.71015596,0.06709055,0.007844741
2005-09-15 00:00:00+00,SHORT,3471,0.0,0.4347826,0.8244523,0.06709055,0.012983171
2005-09-16 00:00:00+00,SHORT,3652,0.5908918599139246,0.27272728,0.73222786,0.03939897,0.007869476
2005-09-19 00:00:00+00,SHORT,2272,0.3928156402441009,0.15384616,0.30732954,0.080820106,0.0015935787
2005-09-19 00:00:00+00,SHORT,3652,0.4761436079230898,0.27272728,0.59681404,0.03513556,0.0016259726
2005-09-29 00:00:00+00,SHORT,1012,1.0,0.35135135,0.5578084,0.05654428,0.0019384949
2005-09-29 00:00:00+00,SHORT,3947,0.4622918184759482,0.34615386,0.77864665,0.05317929,0.04047337
2005-09-30 00:00:00+00,SHORT,4140,0.0,0.09090909,0.31311896,0.08959083,0.009711181
2005-09-30 00:00:00+00,SHORT,817,0.10093190211662127,0.09090909,0.2604199,0.100056864,0.0027300532
2005-09-30 00:00:00+00,SHORT,3116,0.8408729824060686,0.16216215,0.6115451,0.147567,0.02525921
2005-09-30 00:00:00+00,SHORT,3947,0.349417212626303,0.30769232,0.5303381,0.07372417,0.00719954
2005-10-03 00:00:00+00,SHORT,4123,1.0,0.10810811,0.34942394,0.09515934,0.02213669
2005-10-03 00:00:00+00,SHORT,3116,0.9375,0.13513513,0.5175063,0.11242323,0.024326608
2005-10-03 00:00:00+00,SHORT,3471,1.0,0.16666667,0.30043608,0.11086183,0.00435867
2005-10-03 00:00:00+00,SHORT,1910,0.6741726575431523,0.44117647,0.41225636,0.10797408,0.035416882
2005-10-04 00:00:00+00,SHORT,2473,0.6476868761749428,0.4117647,0.71404505,0.07420445,0.017726738
2005-10-04 00:00:00+00,SHORT,3283,0.5417634369747267,0.3846154,0.54101515,0.10241022,0.020526223
2005-10-04 00:00:00+00,SHORT,1817,0.0,0.42424244,0.5318084,0.15505272,0.005768752
2005-10-04 00:00:00+00,SHORT,1910,0.6049501096945361,0.3939394,0.291841,0.13323192,0.0024947973
2005-10-10 00:00:00+00,SHORT,3192,1.0,0.0882353,0.5290259,0.098753616,0.016203295
