time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,velocity_eps_9m_univ_zscore_df051
2005-08-31 00:00:00+00,LONG,1807,0.9714285714285714,-0.002736688,0.011242196
2005-09-21 00:00:00+00,LONG,1819,0.0,-7.3768344E-4,-0.054986335
2005-09-29 00:00:00+00,LONG,413,0.2921376177099191,-0.008166798,0.0026638869
2005-10-03 00:00:00+00,LONG,413,0.30292975969333613,-0.0076215793,0.0020944236
2005-10-04 00:00:00+00,LONG,413,0.28995517782872443,-0.0047121956,0.001987887
2005-10-05 00:00:00+00,LONG,413,0.31392449897472774,-0.0062535703,0.0015596724
2005-10-06 00:00:00+00,LONG,386,0.8130368869600019,-0.0015277157,-0.010187975
2005-10-07 00:00:00+00,LONG,386,0.7828658720838156,-0.0070551746,-0.009055588
2005-10-10 00:00:00+00,LONG,386,0.8888590321561517,-0.006850194,-0.009199286
2005-10-11 00:00:00+00,LONG,386,0.9111111111111111,-0.0055692703,-0.008163534
2005-10-11 00:00:00+00,LONG,413,0.3150747209286275,-0.006863107,0.003206432
2005-10-12 00:00:00+00,LONG,413,0.3409667335850603,-0.007814651,0.0033016654
2005-10-12 00:00:00+00,LONG,2553,0.5048332971142604,0.0012390708,-0.008163534
2005-10-12 00:00:00+00,LONG,3065,0.0,-0.0032123919,-0.0080068065
2005-10-13 00:00:00+00,LONG,2482,0.41149333132892846,0.001178078,-0.04982831
2005-10-18 00:00:00+00,LONG,413,0.3683445994795851,-0.003518392,0.014895559
2005-10-19 00:00:00+00,LONG,3743,0.27572462351213717,0.0027665251,0.018892275
2005-10-26 00:00:00+00,LONG,1819,0.9,0.004173229,-0.03404998
2005-10-27 00:00:00+00,LONG,2175,0.6434260339035198,2.2820996E-5,-0.019788358
2005-10-27 00:00:00+00,LONG,2365,0.7754551968502236,-3.1207607E-4,-0.053729292
2005-10-28 00:00:00+00,LONG,1819,0.8333333333333334,-0.0031996847,-0.03960664
2005-11-02 00:00:00+00,LONG,1867,0.5065869150261383,0.0027903724,-0.059147857
2005-11-04 00:00:00+00,LONG,1673,0.36136635499028114,-0.003376317,-0.023992702
2006-01-04 00:00:00+00,LONG,960,0.967741935483871,-0.0016807843,-0.023619665
2006-01-10 00:00:00+00,LONG,2067,0.0,0.003749772,-0.04101449
2006-01-11 00:00:00+00,LONG,2067,0.0,2.5973294E-4,-0.041040365
2006-01-12 00:00:00+00,LONG,2067,0.0,0.0024967047,-0.041040365
2006-01-13 00:00:00+00,LONG,2067,0.0,-0.0065194755,-0.041040365
2006-01-17 00:00:00+00,LONG,2067,0.0,-0.0021645792,-0.04098247
2006-01-26 00:00:00+00,LONG,157,0.7272727272727273,-0.008192245,-0.052011617
2006-02-08 00:00:00+00,LONG,652,0.2829442428992803,-0.002676482,0.013311858
2006-02-22 00:00:00+00,LONG,3130,0.9574468085106383,-0.0022879264,-0.030825004
2006-02-28 00:00:00+00,LONG,2188,1.0,0.0044471687,0.022246225
2006-03-06 00:00:00+00,LONG,3273,0.3137840935873111,-0.0036405511,0.01122506
2006-03-07 00:00:00+00,LONG,3273,0.44686511268763507,-0.00496258,0.011149213
2006-03-08 00:00:00+00,LONG,84,0.3161103711551416,0.0029191603,0.019419834
2006-03-08 00:00:00+00,LONG,3273,0.4276219932262804,-0.006998239,0.010915343
2006-03-08 00:00:00+00,LONG,1377,0.0,-0.0015091195,0.021827351
2006-03-09 00:00:00+00,LONG,857,0.5552970276534211,-0.0046332846,-0.029230103
2006-03-17 00:00:00+00,LONG,1888,0.1405760957441287,-0.008208026,0.007017371
