time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,skew_weighted_20_df037
2005-05-12 00:00:00+00,SHORT,153,0.8235294117647058,0.1293,0.64466184
2005-05-13 00:00:00+00,SHORT,153,0.7647058823529411,0.1327,0.506628
2005-05-17 00:00:00+00,SHORT,557,0.0,0.057,0.71773547
2005-05-19 00:00:00+00,SHORT,2640,0.0,0.3981,0.5189569
2005-05-20 00:00:00+00,SHORT,557,0.0,0.0609,0.7663216
2005-05-20 00:00:00+00,SHORT,2640,0.0,0.4006,0.7133549
2005-05-20 00:00:00+00,SHORT,4034,0.0,0.0623,0.6137156
2005-05-23 00:00:00+00,SHORT,557,0.0,0.0589,0.7160011
2005-05-23 00:00:00+00,SHORT,2640,0.0,0.3978,0.618371
2005-05-23 00:00:00+00,SHORT,3100,0.20366031235444898,0.2449,0.59196466
2005-05-23 00:00:00+00,SHORT,1817,0.0,0.0823,0.6374505
2005-05-23 00:00:00+00,SHORT,4034,0.0,0.0605,0.5134422
2005-05-24 00:00:00+00,SHORT,557,0.0,0.0589,0.51122445
2005-05-24 00:00:00+00,SHORT,1817,0.0,0.0832,0.67095464
2005-05-24 00:00:00+00,SHORT,4034,0.0,0.0604,0.60146075
2005-05-25 00:00:00+00,SHORT,4034,0.0,0.0602,0.61262304
2005-05-26 00:00:00+00,SHORT,4034,0.0,0.0579,0.6876784
2005-05-27 00:00:00+00,SHORT,2548,0.13719331984594255,0.2137,0.74406433
2005-05-27 00:00:00+00,SHORT,3794,0.345718839790073,0.2298,0.64690435
2005-05-27 00:00:00+00,SHORT,4034,0.0,0.0634,0.6671642
2005-05-31 00:00:00+00,SHORT,2548,0.14878451177201157,0.2189,0.6815653
2005-05-31 00:00:00+00,SHORT,4034,0.0,0.0625,0.66953146
2005-06-01 00:00:00+00,SHORT,429,0.581885221419161,0.07,0.64190656
2005-06-01 00:00:00+00,SHORT,2548,0.0,0.2213,0.65227616
2005-06-01 00:00:00+00,SHORT,2661,0.27048227107412387,0.0538,0.7044942
2005-06-01 00:00:00+00,SHORT,4034,0.0,0.0611,0.5677363
2005-06-02 00:00:00+00,SHORT,429,0.5397692830946574,0.0684,0.5997009
2005-06-02 00:00:00+00,SHORT,2548,0.0,0.2253,0.5918725
2005-06-02 00:00:00+00,SHORT,2661,0.0,0.0509,0.6425839
2005-06-02 00:00:00+00,SHORT,938,0.0,0.6158,0.7482943
2005-06-02 00:00:00+00,SHORT,1191,0.5523349767052634,0.0747,0.47937483
2005-06-02 00:00:00+00,SHORT,4034,0.0,0.0579,0.56417716
2005-06-03 00:00:00+00,SHORT,2661,0.0,0.0541,0.56497097
2005-06-03 00:00:00+00,SHORT,938,0.0,0.6098,0.6761917
2005-06-03 00:00:00+00,SHORT,1064,0.0,0.2788,0.5265269
2005-06-03 00:00:00+00,SHORT,1144,0.0,0.0711,0.6617531
2005-06-03 00:00:00+00,SHORT,1807,0.0,0.2169,0.47030565
2005-06-03 00:00:00+00,SHORT,4032,1.0,0.0584,0.6667624
2005-06-06 00:00:00+00,SHORT,2661,0.0,0.0559,0.6149104
2005-06-06 00:00:00+00,SHORT,938,0.0,0.6013,0.5861518
2005-06-06 00:00:00+00,SHORT,1064,0.0,0.2794,0.5222895
2005-06-06 00:00:00+00,SHORT,4032,0.8333333333333334,0.0578,0.54113215
2005-06-07 00:00:00+00,SHORT,2661,0.0,0.0541,0.5981054
2005-06-07 00:00:00+00,SHORT,938,0.0,0.5849,0.5235192
2005-06-07 00:00:00+00,SHORT,1423,0.46578416079083484,0.2623,0.5204427
2005-06-07 00:00:00+00,SHORT,1678,0.19368624597879108,0.188,0.7517371
2005-06-07 00:00:00+00,SHORT,4083,1.0,0.2209,0.60272926
2005-06-08 00:00:00+00,SHORT,2661,0.0,0.0538,0.46731138
2005-06-08 00:00:00+00,SHORT,938,0.0,0.4785,0.5256303
2005-06-08 00:00:00+00,SHORT,3610,0.6107625914359527,0.3105,0.51739687
2005-06-08 00:00:00+00,SHORT,1678,0.0,0.1532,0.5396708
2005-06-08 00:00:00+00,SHORT,4083,0.5421712627538027,0.1804,0.50878763
2005-06-09 00:00:00+00,SHORT,2661,0.0,0.0551,0.5195702
2005-06-09 00:00:00+00,SHORT,938,0.0,0.3854,0.5809113
2005-06-09 00:00:00+00,SHORT,1423,0.8823529411764706,0.171,0.48500815
2005-06-09 00:00:00+00,SHORT,1678,0.0,0.1559,0.549822
2005-06-09 00:00:00+00,SHORT,3824,0.5436582326675299,0.1268,0.5206864
2005-06-09 00:00:00+00,SHORT,4083,0.47510187582091346,0.1448,0.5099864
2005-06-10 00:00:00+00,SHORT,191,0.0,0.253,0.57718825
2005-06-10 00:00:00+00,SHORT,938,0.0,0.3827,0.57859284
2005-06-10 00:00:00+00,SHORT,1423,0.8235294117647058,0.1708,0.55806583
2005-06-10 00:00:00+00,SHORT,1678,0.0,0.1539,0.54136485
2005-06-10 00:00:00+00,SHORT,3824,0.5109974923315096,0.1261,0.50855863
2005-06-10 00:00:00+00,SHORT,4083,0.46536372381333957,0.1446,0.524385
2005-06-13 00:00:00+00,SHORT,938,0.0,0.3996,0.6306785
2005-06-13 00:00:00+00,SHORT,1678,0.0,0.151,0.5397766
2005-06-13 00:00:00+00,SHORT,1807,0.0,0.2246,0.5092043
2005-06-13 00:00:00+00,SHORT,4083,0.30534794304154356,0.1481,0.4802925
2005-06-17 00:00:00+00,SHORT,2106,0.0,0.0487,0.6427816
2005-06-17 00:00:00+00,SHORT,817,0.0,0.2979,0.5777149
2005-06-17 00:00:00+00,SHORT,918,0.16339291464769126,0.3665,0.50231165
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.3402,0.55411816
2005-06-20 00:00:00+00,SHORT,2106,0.0,0.0478,0.48867545
2005-06-20 00:00:00+00,SHORT,918,0.09139647115301158,0.3723,0.5222376
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,0.3393,0.50867546
2005-06-21 00:00:00+00,SHORT,2351,0.0,0.1817,0.6602548
2005-06-21 00:00:00+00,SHORT,1297,0.19371339518753267,0.3334,0.4910793
2005-06-22 00:00:00+00,SHORT,2351,0.0,0.173,0.54178375
2005-06-22 00:00:00+00,SHORT,918,0.1496238305385718,0.3542,0.5567479
2005-06-22 00:00:00+00,SHORT,1297,0.18027945718920518,0.3285,0.54008144
2005-06-23 00:00:00+00,SHORT,2351,0.0,0.1807,0.68563503
2005-06-23 00:00:00+00,SHORT,918,0.2738758092198559,0.3713,0.74405396
2005-06-23 00:00:00+00,SHORT,3631,0.0,0.1935,0.5857334
2005-06-24 00:00:00+00,SHORT,2159,0.29278349907849294,0.1954,0.6038795
2005-06-24 00:00:00+00,SHORT,2659,0.46671000871169915,0.0597,0.699352
2005-06-24 00:00:00+00,SHORT,918,0.33581680214693355,0.3798,0.6168148
2005-06-24 00:00:00+00,SHORT,3233,0.23265719671368498,0.286,0.47002947
2005-06-27 00:00:00+00,SHORT,2159,0.15881952936227134,0.1922,0.52159035
2005-06-27 00:00:00+00,SHORT,918,0.0,0.3788,0.53951705
2005-06-28 00:00:00+00,SHORT,2159,0.1227576054116956,0.1883,0.51499015
2005-06-28 00:00:00+00,SHORT,2351,0.0,0.1727,0.48660532
2005-06-29 00:00:00+00,SHORT,2159,0.08567901227934284,0.1902,0.52566713
2005-06-30 00:00:00+00,SHORT,2159,0.08703730974292193,0.3767,0.4754519
2005-07-05 00:00:00+00,SHORT,2159,0.0321496751276196,0.3264,0.48192903
2005-07-06 00:00:00+00,SHORT,2159,0.0,0.3252,0.5115439
2005-07-11 00:00:00+00,SHORT,694,0.0,0.159,0.5782105
2005-07-11 00:00:00+00,SHORT,3443,0.4475376904689488,0.1406,0.68780935
2005-07-12 00:00:00+00,SHORT,694,0.0,0.1608,0.58855915
2005-07-12 00:00:00+00,SHORT,1112,0.0,0.1182,0.5335475
2005-07-12 00:00:00+00,SHORT,3443,0.3343904774764327,0.1515,0.5233857
2005-07-13 00:00:00+00,SHORT,1112,0.0,0.1205,0.50878984
2005-07-13 00:00:00+00,SHORT,3443,0.13849615992529918,0.1496,0.5490179
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,0.0836,0.4923967
2005-07-21 00:00:00+00,SHORT,937,0.3677515522596851,0.0788,0.47913438
2005-07-22 00:00:00+00,SHORT,3794,0.8,0.1647,0.4955108
2005-07-25 00:00:00+00,SHORT,3794,0.6,0.1661,0.50115806
2005-07-25 00:00:00+00,SHORT,1761,0.3285606186739385,0.4471,0.4853564
2005-07-26 00:00:00+00,SHORT,2640,0.0,0.6045,0.46735126
2005-07-26 00:00:00+00,SHORT,3443,0.12434026995801221,0.1447,0.48934433
2005-07-26 00:00:00+00,SHORT,3794,0.3999999999999999,0.1632,0.47963557
2005-07-26 00:00:00+00,SHORT,1761,0.3277053705697139,0.4511,0.502584
2005-07-27 00:00:00+00,SHORT,2640,0.0,0.6053,0.49478674
2005-07-27 00:00:00+00,SHORT,1700,0.0,0.3272,0.67040604
2005-07-28 00:00:00+00,SHORT,443,0.5319720841088996,0.5188,0.48659962
2005-07-28 00:00:00+00,SHORT,1700,0.0,0.3245,0.6347784
2005-07-28 00:00:00+00,SHORT,1761,0.6,0.4482,0.5145764
2005-07-29 00:00:00+00,SHORT,730,0.058854377807013865,0.2851,0.7090565
2005-07-29 00:00:00+00,SHORT,1514,1.0,0.1006,0.496671
2005-07-29 00:00:00+00,SHORT,1700,0.0,0.3163,0.630081
2005-08-01 00:00:00+00,SHORT,2133,0.41608739093187735,0.2808,0.5117817
2005-08-01 00:00:00+00,SHORT,730,0.06829184178020764,0.2808,0.5643132
2005-08-01 00:00:00+00,SHORT,1700,0.0,0.3126,0.6139304
2005-08-02 00:00:00+00,SHORT,2133,0.42734021761766805,0.2775,0.49656093
2005-08-02 00:00:00+00,SHORT,135,0.7786577086351111,0.1929,0.5967843
2005-08-02 00:00:00+00,SHORT,2548,0.3192779079962152,0.1615,0.6214684
2005-08-02 00:00:00+00,SHORT,730,0.054077938712524976,0.2775,0.58170474
2005-08-02 00:00:00+00,SHORT,1324,0.3930918959505991,0.0791,0.48608398
2005-08-02 00:00:00+00,SHORT,1700,0.0,0.308,0.5736557
2005-08-03 00:00:00+00,SHORT,167,0.5113025795165621,0.0737,0.7008587
2005-08-03 00:00:00+00,SHORT,2462,0.7857142857142857,0.6457,0.4731849
2005-08-03 00:00:00+00,SHORT,2546,0.0,0.2579,0.7270304
2005-08-03 00:00:00+00,SHORT,2548,0.349730708485656,0.1568,0.56960523
2005-08-03 00:00:00+00,SHORT,1072,0.8243817830050647,0.0726,0.55560744
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,0.0807,0.5603219
2005-08-03 00:00:00+00,SHORT,1191,0.7931155087969587,0.4667,0.63660085
2005-08-03 00:00:00+00,SHORT,3556,0.18020946291767506,0.383,0.6952249
2005-08-03 00:00:00+00,SHORT,1650,0.0,0.293,0.59524626
2005-08-04 00:00:00+00,SHORT,167,0.0,0.073,0.48487118
2005-08-04 00:00:00+00,SHORT,2546,0.0,0.2584,0.7064828
2005-08-04 00:00:00+00,SHORT,2548,0.2692434650316183,0.1527,0.5186633
2005-08-04 00:00:00+00,SHORT,1191,0.7477246735101841,0.4706,0.56960416
2005-08-04 00:00:00+00,SHORT,3556,0.1573368052093767,0.3734,0.588931
2005-08-04 00:00:00+00,SHORT,1650,0.0,0.2932,0.53129655
2005-08-05 00:00:00+00,SHORT,2546,0.0,0.2567,0.60401803
2005-08-05 00:00:00+00,SHORT,1191,0.6844356377198376,0.47,0.5222244
2005-08-08 00:00:00+00,SHORT,4107,0.6980772412088547,0.4515,0.4745463
2005-08-08 00:00:00+00,SHORT,1191,0.6570198285123313,0.4672,0.47996882
2005-08-09 00:00:00+00,SHORT,4107,0.70103362995961,0.4543,0.536512
