time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.5_df055,ma_cloud_diff_21_50_df007
2005-04-20 00:00:00+00,LONG,1220,0.325012921918567,-0.025327213,-7.0762844E-4
2005-04-20 00:00:00+00,LONG,1853,0.10105063441707955,-0.024558341,-0.016085465
2005-04-22 00:00:00+00,LONG,2072,0.8421352576442062,-0.0252162,-0.0033497268
2005-04-22 00:00:00+00,LONG,2930,0.16154271174083226,-0.026089853,-0.017440602
2005-04-25 00:00:00+00,LONG,2410,0.904546540540438,-0.02621541,-0.01877864
2005-04-25 00:00:00+00,LONG,3923,0.44319288792866873,-0.025534606,-0.025695598
2005-04-26 00:00:00+00,LONG,664,0.6158438888651772,-0.025511002,-0.021808807
2005-04-26 00:00:00+00,LONG,975,0.4526146094440083,-0.02493815,-0.039296303
2005-04-26 00:00:00+00,LONG,3923,0.21052800104972647,-0.02594165,-0.025295716
2005-04-27 00:00:00+00,LONG,759,1.0,-0.02562587,-0.023695758
2005-04-28 00:00:00+00,LONG,220,0.9772727272727273,-0.02591193,-0.014432957
2005-04-28 00:00:00+00,LONG,780,0.0,-0.024984824,-0.0068265144
2005-04-28 00:00:00+00,LONG,959,0.40956226150862335,-0.024926389,-0.0080750985
2005-04-28 00:00:00+00,LONG,3923,0.3078311542233776,-0.025328094,-0.024440743
2005-04-29 00:00:00+00,LONG,220,0.9545454545454546,-0.024279743,-0.015189899
2005-04-29 00:00:00+00,LONG,1175,0.24929043619333827,-0.025858682,-0.009515132
2005-04-29 00:00:00+00,LONG,3443,0.9333333333333333,-0.02399791,-0.03599144
2005-05-03 00:00:00+00,LONG,3271,0.6424733506992161,-0.02520742,-0.06330615
2005-05-04 00:00:00+00,LONG,2365,0.14846528027704145,-0.025507811,-0.008481843
2005-05-04 00:00:00+00,LONG,3804,0.9464285714285714,-0.026008092,-0.010740564
2005-05-04 00:00:00+00,LONG,4088,0.6818181818181819,-0.026079187,0.0054695266
2005-05-06 00:00:00+00,LONG,2070,0.0,-0.024268802,-0.05141813
2005-05-06 00:00:00+00,LONG,2365,0.16970526517142928,-0.024458697,-0.015645055
2005-05-06 00:00:00+00,LONG,4088,0.6363636363636364,-0.02618159,0.0036084799
2005-05-10 00:00:00+00,LONG,2365,0.11733767366445114,-0.024801351,-0.02249427
2005-05-12 00:00:00+00,LONG,602,1.0,-0.024940405,-0.019747514
2005-05-12 00:00:00+00,LONG,3646,0.2603494370883865,-0.025019586,-0.008692077
2005-05-12 00:00:00+00,LONG,4088,0.5454545454545454,-0.024248347,0.0014592301
2005-05-13 00:00:00+00,LONG,2137,0.05512845152217234,-0.025864214,-0.025503559
2005-05-13 00:00:00+00,LONG,2367,0.0,-0.025490306,-0.044511978
2005-05-16 00:00:00+00,LONG,3430,0.1982820520494393,-0.025403459,-0.007380458
2005-05-17 00:00:00+00,LONG,1039,0.9574468085106383,-0.025380418,-0.0154122375
2005-05-17 00:00:00+00,LONG,1205,0.1566388985068685,-0.024553511,-0.00787211
2005-05-17 00:00:00+00,LONG,3420,0.6384932087130528,-0.02504469,-0.022982221
2005-05-18 00:00:00+00,LONG,602,0.8787878787878788,-0.024223208,-0.023327295
2005-05-18 00:00:00+00,LONG,897,0.92,-0.024657182,-0.01675804
2005-05-18 00:00:00+00,LONG,3309,0.9803921568627451,-0.025891291,-9.633523E-4
2005-05-18 00:00:00+00,LONG,4086,0.96875,-0.024189591,-0.029261012
2005-05-20 00:00:00+00,LONG,562,0.8005968873694563,-0.025521426,-0.013684782
2005-05-23 00:00:00+00,LONG,3561,0.8983050847457628,-0.025878174,-0.010979395
2005-05-23 00:00:00+00,LONG,4088,0.38636363636363635,-0.024785237,0.0030576922
2005-05-24 00:00:00+00,LONG,3614,0.0,-0.025634397,-0.010301026
2005-05-25 00:00:00+00,LONG,450,0.8181818181818181,-0.02429005,-0.026157632
2005-05-25 00:00:00+00,LONG,465,0.0,-0.025295967,0.008421958
2005-05-25 00:00:00+00,LONG,3561,0.864406779661017,-0.026097462,-0.011994023
2005-05-25 00:00:00+00,LONG,1838,0.09279146543182587,-0.025310596,-0.0018934655
2005-05-26 00:00:00+00,LONG,450,0.7878787878787878,-0.025259528,-0.026947308
2005-05-27 00:00:00+00,LONG,562,0.8245614035087719,-0.024534687,-0.008355137
2005-05-31 00:00:00+00,LONG,555,0.5580611015806307,-0.024468958,-0.008024637
2005-05-31 00:00:00+00,LONG,3646,0.04527587816231346,-0.024100114,0.0014005429
2005-06-01 00:00:00+00,LONG,3309,0.803921568627451,-0.025645105,0.0056585916
2005-06-02 00:00:00+00,LONG,1473,0.8868061726009463,-0.025059748,-0.0036628956
2005-06-02 00:00:00+00,LONG,3646,0.010118975773177304,-0.024320154,-7.626307E-4
2005-06-03 00:00:00+00,LONG,562,0.7543859649122807,-0.024771072,-0.007095118
2005-06-03 00:00:00+00,LONG,3309,0.7647058823529411,-0.02612699,0.0034323132
2005-06-07 00:00:00+00,LONG,3646,0.0,-0.025407761,-0.0027330357
2005-06-08 00:00:00+00,LONG,457,0.20012035316071572,-0.024694325,-0.0345046
2005-06-09 00:00:00+00,LONG,3309,0.6862745098039216,-0.026133629,-0.0031491092
