time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,skew_weighted_20_df037,velocity_eps_9m_univ_zscore_df051,price_drift_abs_1_df006
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,-0.020443896,-0.5023763,-0.015898215,0.026878238
2006-01-23 00:00:00+00,LONG,157,0.6241627460736752,-0.025964083,-0.42217904,-0.015713003,0.017637271
2006-01-23 00:00:00+00,LONG,2640,0.10990177676966349,-0.03553023,-0.41547912,-0.030746112,0.008095441
2006-01-23 00:00:00+00,LONG,3818,1.0,-0.0027998479,-0.44975552,-0.0044381693,0.008533116
2006-02-27 00:00:00+00,LONG,938,0.0,0.004862186,-0.3926292,-0.050079767,0.008286475
2006-02-28 00:00:00+00,LONG,938,0.0,-0.004102378,-0.39945063,-0.05062357,0.022894042
2006-03-22 00:00:00+00,LONG,2661,0.0,0.009306163,-0.4005456,-0.03604982,0.010282776
2006-03-23 00:00:00+00,LONG,2661,0.0,0.0030258482,-0.40602976,-0.03514693,0.014249364
2006-03-23 00:00:00+00,LONG,3841,0.0,-0.029287623,-0.3995012,-0.03066902,0.005720229
2006-03-27 00:00:00+00,LONG,487,1.0,-0.048524227,-0.49248087,-0.045174297,0.0069485805
2006-04-10 00:00:00+00,LONG,427,0.0,0.011300555,-0.38346922,-0.037904155,0.0072766277
2006-04-18 00:00:00+00,LONG,799,0.5360082281774721,-0.018915555,-0.4769137,-0.045695003,0.017861454
2006-04-18 00:00:00+00,LONG,3652,0.07369227852509204,0.032442994,-0.3916637,-0.028808514,0.0059692585
2006-04-20 00:00:00+00,LONG,1853,0.531921724894266,-0.00624737,-0.46765053,-0.034394473,0.018346814
2006-04-24 00:00:00+00,LONG,799,0.8979591836734694,-0.025758948,-0.38153586,-0.04593676,0.010416667
2006-05-04 00:00:00+00,LONG,3773,0.0,-0.0050972803,-0.47781622,-0.033136476,0.030104712
2006-05-11 00:00:00+00,LONG,858,0.4939869605617532,-0.044241082,-0.48204994,-0.03806459,0.021027092
2006-05-12 00:00:00+00,LONG,858,0.0,-0.04881594,-0.41439256,-0.028540792,0.016522098
2006-05-17 00:00:00+00,LONG,643,0.0,0.024668735,-0.41273,-0.008401074,0.020037571
2006-05-17 00:00:00+00,LONG,3430,0.0,0.02513863,-0.43456256,-0.050053906,0.026443278
2006-05-19 00:00:00+00,LONG,3430,0.016393442622950727,0.013563437,-0.3689367,-0.047069736,0.013092269
2006-05-22 00:00:00+00,LONG,3430,0.0,0.0075755767,-0.455951,-0.04725216,0.024615385
2006-05-24 00:00:00+00,LONG,397,1.0,-0.015206055,-0.5012047,-0.012644117,0.022923714
2006-05-24 00:00:00+00,LONG,562,0.8612179607043543,-0.0065412116,-0.51177794,-0.040475618,0.008023536
2006-05-25 00:00:00+00,LONG,397,0.9722222222222222,-0.017503709,-0.3804621,-0.013153949,0.02576923
2006-05-25 00:00:00+00,LONG,562,0.6504533276863816,-0.008250087,-0.37739992,-0.040923636,0.026266914
2006-05-30 00:00:00+00,LONG,397,0.7465390616379117,-0.02232933,-0.37709427,-0.013686758,0.014925373
2006-05-31 00:00:00+00,LONG,397,0.7567361469093817,-0.02497409,-0.4330879,-0.01389992,0.007575758
2006-06-01 00:00:00+00,LONG,397,0.6900876323166981,-0.027492529,-0.46843782,-0.013604198,0.011832061
2006-06-02 00:00:00+00,LONG,397,0.8333333333333334,-0.030686965,-0.38536325,-0.013356933,0.018860808
2006-06-07 00:00:00+00,LONG,3065,0.4849051720407464,0.0029975595,-0.4063949,-0.029793857,0.0075957216
2006-06-08 00:00:00+00,LONG,663,0.0,0.014444329,-0.42446205,-0.04717139,0.02318064
2006-06-12 00:00:00+00,LONG,3065,0.0,-0.0077065188,-0.38691872,-0.008189747,0.0061118947
2006-06-13 00:00:00+00,LONG,3065,0.0,-0.010846817,-0.39301398,-0.004023594,0.010879849
2006-06-13 00:00:00+00,LONG,4062,0.0,-0.032598067,-0.43878418,-0.023329811,0.011210762
2006-06-14 00:00:00+00,LONG,2090,0.7935567381950375,-0.015249991,-0.45767212,-0.034280363,0.013816926
2006-06-14 00:00:00+00,LONG,1888,0.22546008665660874,-0.016399,-0.39802355,-0.023329811,0.011235955
2006-06-14 00:00:00+00,LONG,4062,0.0,-0.03801851,-0.37441894,-0.023329811,0.038872693
2006-07-18 00:00:00+00,LONG,3782,1.0,-0.027955234,-0.4316829,-0.037785072,0.024036627
2006-07-24 00:00:00+00,LONG,406,0.7931034482758621,-0.022835806,-0.38755816,-0.03423488,0.016941177
2006-07-26 00:00:00+00,LONG,4062,1.0,-0.0012636798,-0.45755187,-0.047179252,0.0074656187
2006-07-27 00:00:00+00,LONG,64,0.9583333333333334,-0.014608184,-0.50994277,-0.034144774,0.0156191895
2006-07-27 00:00:00+00,LONG,4062,0.96875,-0.007041856,-0.43727234,-0.030259913,0.009501188
2006-07-28 00:00:00+00,LONG,4062,0.9375,-0.013081268,-0.48771402,-0.03824982,0.02627451
2006-08-01 00:00:00+00,LONG,862,0.8620689655172413,-0.012519002,-0.43323037,-0.017705137,0.011636544
2006-08-02 00:00:00+00,LONG,1650,1.0,-0.049738366,-0.43161273,-0.037691418,0.010989011
2006-08-07 00:00:00+00,LONG,862,0.0,-0.022543069,-0.37388134,-0.02028997,0.016260162
2006-08-09 00:00:00+00,LONG,2983,0.5905050613107867,-0.04939182,-0.48560083,-3.4613977E-4,0.009795192
2006-08-15 00:00:00+00,LONG,2936,0.19963528344687168,-0.011074866,-0.43212077,-0.013175861,0.03653197
2006-08-16 00:00:00+00,LONG,2936,0.0,-0.018667588,-0.40685976,-0.017593822,0.02709883
2006-08-17 00:00:00+00,LONG,2936,0.0,-0.027436398,-0.36918333,-0.017956616,0.0055199172
2006-08-18 00:00:00+00,LONG,2936,0.12132254824214743,-0.035817295,-0.37023088,-0.017482473,0.017149687
2006-08-21 00:00:00+00,LONG,2936,0.09519181770522943,-0.04362537,-0.45829874,-0.017818853,0.008028253
2006-08-23 00:00:00+00,LONG,694,0.7714285714285715,-0.03763123,-0.368448,-0.029398102,0.008966493
2006-08-25 00:00:00+00,LONG,4237,0.03489091652623413,0.021364518,-0.37882978,-0.034669604,0.01190327
2006-08-28 00:00:00+00,LONG,3473,0.3734754957407836,-0.040736463,-0.4857752,-0.034449626,0.008256003
2006-08-29 00:00:00+00,LONG,3473,0.23063707334311395,-0.04186764,-0.3696709,-0.0346003,0.010557195
