time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,dist_upper_bb_20_2.5_df055
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,0.1879,-0.010152255
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,0.17,-0.00994062
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,0.3247,-0.010194181
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.6855,0.0050639417
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,0.1746,-0.0046317084
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,0.178,-0.009903523
2005-04-26 00:00:00+00,SHORT,2548,0.5663916510483348,0.3064,-0.015432437
2005-04-26 00:00:00+00,SHORT,1851,0.0,0.1682,-0.011791929
2005-05-04 00:00:00+00,SHORT,4136,0.8333333333333334,0.1912,-0.017783245
2005-05-05 00:00:00+00,SHORT,1022,0.0,0.3672,-0.017905474
2005-05-06 00:00:00+00,SHORT,1298,0.0,0.1879,-0.018776907
2005-05-09 00:00:00+00,SHORT,522,0.7658702973282816,0.1922,-0.011758759
2005-05-09 00:00:00+00,SHORT,576,0.09574327242038387,0.1925,-0.018540654
2005-05-09 00:00:00+00,SHORT,2932,0.0,0.1811,-0.009996463
2005-05-18 00:00:00+00,SHORT,3049,0.6737077460851749,0.9067,-0.0065133725
2005-05-19 00:00:00+00,SHORT,2462,1.0,0.7526,-0.0137857925
2005-06-02 00:00:00+00,SHORT,220,1.0,0.2226,-0.018824607
2005-06-03 00:00:00+00,SHORT,4171,0.2044844262964278,0.8155,0.012483922
2005-06-07 00:00:00+00,SHORT,4083,1.0,0.2209,-0.01475252
2005-06-09 00:00:00+00,SHORT,191,0.0,0.2519,-0.0117378505
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,0.2315,0.0038674867
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,0.5051,-0.007834798
2005-06-14 00:00:00+00,SHORT,3837,0.624959555785825,0.7952,-0.01210688
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.4184,0.003646286
2005-06-16 00:00:00+00,SHORT,4118,0.0,0.3268,-0.015560886
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,0.4164,-0.011644363
2005-06-16 00:00:00+00,SHORT,1063,0.19937735181705368,0.3211,0.004293914
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.1707,-0.0058594844
2005-06-16 00:00:00+00,SHORT,3595,0.0,0.3073,0.0049316064
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,0.148,-0.010127923
2005-06-17 00:00:00+00,SHORT,2550,0.0,0.3107,-0.009548111
2005-06-17 00:00:00+00,SHORT,817,0.0,0.2979,0.0049443142
2005-06-17 00:00:00+00,SHORT,838,0.0,0.3103,-0.009972896
2005-06-17 00:00:00+00,SHORT,988,0.4045858058783273,0.2969,-1.5306695E-4
2005-06-17 00:00:00+00,SHORT,1063,0.16517651069942135,0.3235,-0.013688004
2005-06-17 00:00:00+00,SHORT,3286,0.0,0.3131,-0.0065864166
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.3402,0.017460912
2005-06-17 00:00:00+00,SHORT,3595,0.05601310025179433,0.3096,-0.017843904
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,0.2071,-0.006491663
2005-06-17 00:00:00+00,SHORT,3947,0.1344109708135434,0.3153,-0.010806487
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,0.1469,-0.011725156
2005-06-20 00:00:00+00,SHORT,838,0.0,0.2906,-0.018075217
