time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_21_50_df059,weighted_neg_sum_10_df036,skew_weighted_20_df037,joint_fall_flag_1_10_df042
2005-05-12 00:00:00+00,LONG,2070,0.22472924521704488,24.0,0.11879751,-0.45266253,0.0
2005-05-12 00:00:00+00,LONG,323,0.0,25.0,0.107034355,-0.24498183,0.0
2005-05-13 00:00:00+00,LONG,2070,0.0,25.0,0.11879751,-0.28964323,0.0
2005-05-16 00:00:00+00,LONG,1807,0.7142857142857143,26.0,0.122975394,-0.31707394,0.0
2005-05-17 00:00:00+00,LONG,2619,0.975609756097561,26.0,0.10518522,-0.49412298,0.0
2005-05-17 00:00:00+00,LONG,629,0.9761904761904762,21.0,0.11937842,-0.34771454,0.0
2005-05-17 00:00:00+00,LONG,1807,0.6666666666666667,27.0,0.09924121,-0.29258856,0.0
2005-05-18 00:00:00+00,LONG,2619,0.9512195121951219,27.0,0.10518522,-0.39426443,0.0
2005-05-20 00:00:00+00,LONG,4187,0.696261654770438,23.0,0.10236245,-0.30983585,0.0
2005-05-20 00:00:00+00,LONG,498,0.9565217391304348,26.0,0.11525916,-0.2721208,0.0
2005-05-20 00:00:00+00,LONG,629,0.9047619047619048,24.0,0.12612578,-0.23472148,0.0
2005-05-23 00:00:00+00,LONG,4187,0.3520382908047875,24.0,0.10236245,-0.2898093,0.0
2005-05-23 00:00:00+00,LONG,498,0.9130434782608696,27.0,0.11525916,-0.2552969,0.0
2005-05-23 00:00:00+00,LONG,2619,0.8780487804878049,30.0,0.104658164,-0.36982226,0.0
2005-05-23 00:00:00+00,LONG,629,0.8809523809523809,25.0,0.10624598,-0.24368304,0.0
2005-05-23 00:00:00+00,LONG,1949,0.9,14.0,0.10655723,-0.31371036,0.0
2005-05-24 00:00:00+00,LONG,1949,0.875,15.0,0.10655723,-0.23496589,0.0
2005-05-25 00:00:00+00,LONG,93,0.5910547302083413,20.0,0.11034388,-0.3936323,0.0
2005-08-17 00:00:00+00,LONG,2778,0.0,13.0,0.10583432,-0.2578484,0.0
2005-08-17 00:00:00+00,LONG,1423,0.9714285714285714,28.0,0.11622811,-0.48548725,0.0
2005-08-18 00:00:00+00,LONG,2778,0.1898415978569893,14.0,0.10080727,-0.24398698,0.0
2005-08-19 00:00:00+00,LONG,3994,0.868421052631579,13.0,0.11957581,-0.26271424,0.0
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,13.0,0.10677665,-0.5156119,0.0
2005-09-22 00:00:00+00,LONG,1063,0.23853540870599282,14.0,0.10677665,-0.38086116,0.0
2005-09-23 00:00:00+00,LONG,1063,0.18111527743410596,15.0,0.10677665,-0.27252337,0.0
2005-09-27 00:00:00+00,LONG,1063,0.1323540627447223,17.0,0.09957102,-0.24786863,0.0
2005-09-29 00:00:00+00,LONG,1063,0.14530966134327264,19.0,0.09921733,-0.22992966,0.0
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,29.0,0.13138162,-0.45030192,0.0
2005-10-11 00:00:00+00,LONG,1816,0.40630981182293185,30.0,0.10500124,-0.31709778,0.0
2005-10-13 00:00:00+00,LONG,3187,0.3918219750180463,13.0,0.12553272,-0.2619226,0.0
2005-10-14 00:00:00+00,LONG,502,0.0,29.0,0.12188914,-0.2509629,0.0
2005-10-14 00:00:00+00,LONG,3187,0.3579328725444557,14.0,0.12553272,-0.2862809,0.0
2005-10-14 00:00:00+00,LONG,1185,0.06989896551854641,28.0,0.12801659,-0.3306735,0.0
2005-10-21 00:00:00+00,LONG,1819,1.0,21.0,0.11583163,-0.62584245,0.0
2005-10-25 00:00:00+00,LONG,1819,0.9333333333333333,23.0,0.10282992,-0.5282551,0.0
2005-10-27 00:00:00+00,LONG,1819,0.8666666666666667,25.0,0.1066129,-0.5329359,0.0
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,27.0,0.12374823,-0.4614651,0.0
2005-10-28 00:00:00+00,LONG,2079,0.8461538461538461,13.0,0.1079167,-0.2849686,0.0
2005-10-28 00:00:00+00,LONG,2297,0.6512500274019903,30.0,0.09937342,-0.2833238,0.0
2005-10-28 00:00:00+00,LONG,3148,0.8165573183494518,24.0,0.12980032,-0.28431174,0.0
2005-10-28 00:00:00+00,LONG,1819,0.8333333333333334,26.0,0.1066129,-0.4902895,0.0
2005-10-28 00:00:00+00,LONG,3973,0.4210413907160842,28.0,0.12374823,-0.40917775,0.0
2005-10-31 00:00:00+00,LONG,2079,0.8205128205128205,14.0,0.10515732,-0.23111124,0.0
2005-10-31 00:00:00+00,LONG,3699,0.4826435711493837,13.0,0.12743922,-0.46750098,0.0
2005-10-31 00:00:00+00,LONG,3853,0.9642857142857143,13.0,0.12475626,-0.36520872,0.0
2005-10-31 00:00:00+00,LONG,1819,0.8,27.0,0.1066129,-0.34627685,0.0
2005-10-31 00:00:00+00,LONG,3973,0.3738770424606492,29.0,0.12374823,-0.3327879,0.0
2005-11-01 00:00:00+00,LONG,3853,0.9285714285714286,14.0,0.12475626,-0.27564314,0.0
2005-11-01 00:00:00+00,LONG,3973,0.32273746181787394,30.0,0.11358006,-0.28040844,0.0
2005-11-02 00:00:00+00,LONG,3699,0.462809026595116,15.0,0.10051264,-0.35053244,0.0
2005-11-18 00:00:00+00,LONG,1396,0.5296277619209123,26.0,0.1092297,-0.24705671,0.0
2005-12-30 00:00:00+00,LONG,3283,0.0,17.0,0.10709129,-0.5178177,0.0
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,18.0,0.09950615,-0.50937456,0.0
2006-02-28 00:00:00+00,LONG,4016,1.0,16.0,0.131858,-0.305131,0.0
2006-03-01 00:00:00+00,LONG,4016,0.9830508474576272,17.0,0.131858,-0.2335768,0.0
2006-03-09 00:00:00+00,LONG,1280,0.0,13.0,0.13485512,-0.29647386,0.0
2006-03-09 00:00:00+00,LONG,1719,0.0,21.0,0.13088365,-0.34246513,0.0
2006-03-10 00:00:00+00,LONG,1719,0.0,22.0,0.12814204,-0.31402862,0.0
2006-03-13 00:00:00+00,LONG,1719,0.0,23.0,0.13224855,-0.400598,0.0
2006-03-14 00:00:00+00,LONG,1719,0.0,24.0,0.12738743,-0.42617348,0.0
2006-03-15 00:00:00+00,LONG,1719,0.0,25.0,0.12738743,-0.41984674,0.0
2006-03-21 00:00:00+00,LONG,3116,0.0,20.0,0.10148311,-0.26948166,0.0
2006-03-23 00:00:00+00,LONG,1838,0.4719973178091957,27.0,0.10714576,-0.5277912,0.0
2006-04-03 00:00:00+00,LONG,3179,1.0,26.0,0.10049414,-0.4419395,0.0
2006-06-08 00:00:00+00,LONG,2716,0.0,13.0,0.1075096,-0.4986362,0.0
2006-06-09 00:00:00+00,LONG,2716,0.0,14.0,0.10392537,-0.3099081,0.0
2006-06-12 00:00:00+00,LONG,2710,0.0,13.0,0.13297132,-0.31166527,0.0
2006-06-12 00:00:00+00,LONG,2716,0.0,15.0,0.11933902,-0.27031136,0.0
2006-06-13 00:00:00+00,LONG,85,0.8547288443922928,16.0,0.10066493,-0.41705793,0.0
2006-06-13 00:00:00+00,LONG,304,0.786224701619353,20.0,0.115094416,-0.34686297,0.0
2006-06-13 00:00:00+00,LONG,2710,0.0,14.0,0.10973747,-0.27642238,0.0
2006-06-13 00:00:00+00,LONG,3124,1.0,13.0,0.12865376,-0.56291384,0.0
2006-06-13 00:00:00+00,LONG,1303,1.0,25.0,0.10735426,-0.38764915,0.0
2006-06-14 00:00:00+00,LONG,85,0.6799045970581012,17.0,0.10066493,-0.28566158,0.0
2006-06-14 00:00:00+00,LONG,304,0.6900760322893643,21.0,0.115094416,-0.26689622,0.0
2006-06-14 00:00:00+00,LONG,2536,1.0,14.0,0.10230883,-0.4163936,0.0
2006-06-14 00:00:00+00,LONG,540,0.5997554513095575,16.0,0.112287685,-0.41938975,0.0
