time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,dist_upper_bb_50_2.5_df055,co_fall_count_1_5_df044
2005-03-08 00:00:00+00,SHORT,898,1.0,-0.016483834,-0.0067137666,1.0
2005-03-08 00:00:00+00,SHORT,3046,0.8397319692654984,-0.008588286,-0.05915447,1.0
2005-03-08 00:00:00+00,SHORT,3124,0.5671183428946235,-0.012385331,0.0131508745,1.0
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,-0.010859917,-0.06827325,1.0
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,-0.0047632824,-0.021472475,1.0
2005-03-08 00:00:00+00,SHORT,3629,0.454467840182215,-0.010701576,-0.03226437,1.0
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,-0.01395983,-0.014566043,1.0
2005-03-09 00:00:00+00,SHORT,555,0.3883534476704609,-0.016463902,-0.04416031,1.0
2005-03-09 00:00:00+00,SHORT,881,0.5061696707189116,-0.021533253,-0.086714655,1.0
2005-03-09 00:00:00+00,SHORT,3629,0.31620780864078357,-0.021735698,-0.042182498,1.0
2005-03-10 00:00:00+00,SHORT,475,0.8980693036003441,-0.021595031,-0.0193363,1.0
2005-03-10 00:00:00+00,SHORT,555,0.3506749590456517,-0.019955572,-0.045481205,1.0
2005-03-10 00:00:00+00,SHORT,881,0.49541249821470695,-0.02007073,-0.07962986,1.0
2005-03-11 00:00:00+00,SHORT,2343,0.541956378092684,-0.011981951,-0.03796579,1.0
2005-03-11 00:00:00+00,SHORT,440,0.3487683508151315,-0.015867515,-0.033571366,1.0
2005-03-11 00:00:00+00,SHORT,3244,0.689398996745523,-0.015092422,-0.04923703,1.0
2005-03-11 00:00:00+00,SHORT,3754,0.4858824938773693,-0.019323012,-0.038475465,1.0
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,-0.018698476,-0.018418701,1.0
2005-03-14 00:00:00+00,SHORT,631,0.8333333333333334,-0.021584824,-0.032293227,1.0
2005-03-14 00:00:00+00,SHORT,3244,0.5706484650577092,-0.013186114,-0.044382416,1.0
2005-03-15 00:00:00+00,SHORT,3471,0.5933898329784884,-0.0192629,-0.049368184,1.0
2005-03-16 00:00:00+00,SHORT,2430,0.2577630359261774,-0.017428288,-0.029578494,1.0
2005-03-16 00:00:00+00,SHORT,2747,1.0,-0.0049933842,-0.03750594,1.0
2005-03-17 00:00:00+00,SHORT,2430,0.2268285944353561,-0.017794605,-0.030275626,1.0
2005-03-18 00:00:00+00,SHORT,2430,0.19138595481952242,-0.016503945,-0.029081052,1.0
2005-03-18 00:00:00+00,SHORT,995,0.5203678159572529,-0.01771256,-0.053774465,1.0
2005-03-18 00:00:00+00,SHORT,3831,0.49019007047087815,-0.021079473,-0.0471092,1.0
2005-03-22 00:00:00+00,SHORT,3116,0.3560906170088845,-0.019190647,-0.11161538,1.0
2005-03-22 00:00:00+00,SHORT,3293,0.22226494094068944,-0.019389406,-0.013331955,1.0
2005-03-28 00:00:00+00,SHORT,4218,1.0,-0.0013289801,-0.017026916,1.0
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,-0.013661576,-0.031563662,1.0
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,-0.01160858,-0.030108072,1.0
2005-03-30 00:00:00+00,SHORT,3293,0.06517423979454019,-0.018677086,-0.014762864,1.0
2005-04-04 00:00:00+00,SHORT,1173,0.6983908451872511,-0.017741473,-0.05375314,1.0
2005-04-05 00:00:00+00,SHORT,2396,0.1464707123754119,-0.019769378,-0.070108525,1.0
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.008374957,-0.018840753,1.0
2005-04-06 00:00:00+00,SHORT,2396,0.16647576061283764,-0.018111479,-0.06064124,1.0
2005-04-06 00:00:00+00,SHORT,3915,0.0,-0.019494494,-0.054120783,1.0
2005-04-07 00:00:00+00,SHORT,13,0.4068319075322529,-0.017537972,-0.05070607,1.0
