time,side,ticker_id,mv_up_composite_labels,skew_weighted_20_df037,accel_volume_5_df025,ma_cloud_diff_21_50_df007
2005-04-26 00:00:00+00,LONG,4122,0.42151343058115687,-0.34645194,0.526929,-0.01655286
2005-04-27 00:00:00+00,LONG,64,0.0,-0.3259922,0.4956381,-0.008323811
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,-0.4022403,0.25797534,-0.008405025
2005-04-28 00:00:00+00,LONG,594,0.8501248371805982,-0.49744016,0.31065804,-0.030294567
2005-04-28 00:00:00+00,LONG,2659,0.4088021327153027,-0.34239784,0.36519313,-0.04018079
2005-04-29 00:00:00+00,LONG,4218,0.39290820799604315,-0.42739365,0.2684511,-0.007646424
2005-04-29 00:00:00+00,LONG,191,1.0,-0.31772277,0.29899028,-0.038410082
2005-04-29 00:00:00+00,LONG,2534,0.8579474620230262,-0.3493355,0.561697,-0.030739564
2005-04-29 00:00:00+00,LONG,2659,0.3713283672166226,-0.33605734,0.25692305,-0.041918464
2005-04-29 00:00:00+00,LONG,975,0.41793223900069126,-0.37634176,0.30482405,-0.04001043
2005-04-29 00:00:00+00,LONG,1099,0.0,-0.31789616,0.30910507,-0.015821459
2005-04-29 00:00:00+00,LONG,1988,1.0,-0.33579904,0.30221975,-0.013838128
2005-04-29 00:00:00+00,LONG,2032,0.782608695652174,-0.3594047,0.42756128,-0.044405337
2005-05-02 00:00:00+00,LONG,975,0.8666666666666667,-0.36268032,0.49149448,-0.04060051
2005-05-02 00:00:00+00,LONG,2032,0.7391304347826086,-0.41247615,0.3303067,-0.04741441
2005-05-03 00:00:00+00,LONG,2032,0.6956521739130435,-0.34513754,0.36961988,-0.05038879
2005-05-04 00:00:00+00,LONG,2137,0.11461933253519162,-0.31665838,0.29968253,-0.013684971
2005-05-04 00:00:00+00,LONG,2816,0.7124576802995499,-0.3200262,0.5777923,-0.05003113
2005-05-09 00:00:00+00,LONG,1667,0.04369756484901189,-0.51982605,0.39090905,-0.007541267
2005-05-10 00:00:00+00,LONG,2365,0.11733767366445114,-0.35705337,0.27441236,-0.02249427
2005-05-10 00:00:00+00,LONG,1667,0.030603052715616995,-0.50743914,0.37308925,-0.017996972
2005-05-12 00:00:00+00,LONG,157,0.3543916664980639,-0.46206483,0.27318913,-0.03659016
2005-05-13 00:00:00+00,LONG,3275,1.0,-0.3444444,0.29807234,-0.041874573
2005-05-17 00:00:00+00,LONG,629,0.9761904761904762,-0.34771454,0.36946306,-0.033768542
2005-05-18 00:00:00+00,LONG,4224,0.0,-0.37335375,0.30260262,-0.035523154
2005-05-18 00:00:00+00,LONG,4086,0.96875,-0.34439588,0.7282353,-0.029261012
2005-05-19 00:00:00+00,LONG,2440,0.46908218175525807,-0.5370376,0.35276392,-0.03851855
2005-05-24 00:00:00+00,LONG,450,0.8484848484848485,-0.40170848,0.3997007,-0.025122434
2005-05-27 00:00:00+00,LONG,450,0.7575757575757576,-0.36926654,0.35839504,-0.027391922
2005-05-31 00:00:00+00,LONG,4169,0.09123624908018194,-0.39175537,0.67020863,-0.019553045
2005-06-06 00:00:00+00,LONG,4163,0.10344827586206895,-0.3611221,0.37389407,-0.022903278
2005-06-06 00:00:00+00,LONG,1167,0.6981132075471699,-0.35546818,0.28527078,-0.013263392
2005-06-27 00:00:00+00,LONG,505,0.9642857142857143,-0.39463654,0.55066705,-0.029439442
2005-06-27 00:00:00+00,LONG,2830,0.5093630078907634,-0.358312,0.5559008,-0.020008018
2005-06-27 00:00:00+00,LONG,2930,0.17450983462979433,-0.39052105,0.27296486,-0.0146863125
2005-06-29 00:00:00+00,LONG,505,0.8928571428571429,-0.3387012,0.44731605,-0.040689066
2005-06-29 00:00:00+00,LONG,2801,0.5,-0.36133102,0.27575642,-0.0076455455
2005-06-30 00:00:00+00,LONG,2262,0.0,-0.3440808,0.53394514,-0.016378546
2005-06-30 00:00:00+00,LONG,2801,0.4545454545454546,-0.4955841,0.5307394,-0.012943916
2005-06-30 00:00:00+00,LONG,3828,0.448412550846984,-0.35419527,0.62330204,-0.030969447
2005-07-06 00:00:00+00,LONG,465,0.7600211405076568,-0.5516729,0.5327611,-0.049162515
2005-07-06 00:00:00+00,LONG,2042,0.4912959666161001,-0.3265429,0.28749385,-0.017073907
2005-07-07 00:00:00+00,LONG,2751,1.0,-0.39818922,0.28796357,-0.011352972
2005-07-07 00:00:00+00,LONG,3137,1.0,-0.5664068,0.31490153,-0.028871518
2005-07-07 00:00:00+00,LONG,3521,0.0,-0.33792233,0.37812084,-0.035710465
2005-07-08 00:00:00+00,LONG,2285,0.21148555819062068,-0.527553,0.36429092,-0.045928314
2005-07-11 00:00:00+00,LONG,1099,0.0,-0.45397496,0.34644428,-0.024783475
2005-07-14 00:00:00+00,LONG,1633,0.2940541145797086,-0.45857275,0.2544205,-0.014610195
2005-07-14 00:00:00+00,LONG,3702,0.8484848484848485,-0.35402402,0.29973423,-0.02938823
2005-07-18 00:00:00+00,LONG,3773,0.0,-0.5866439,0.2919068,-0.008545695
2005-07-19 00:00:00+00,LONG,1633,0.31913507248851475,-0.51402694,0.42877644,-0.023956329
2005-07-20 00:00:00+00,LONG,1076,0.6675912828884248,-0.44198203,0.43893802,-0.0133102145
2005-07-21 00:00:00+00,LONG,1076,0.6076339662925423,-0.40794086,0.36367488,-0.015145043
2005-07-22 00:00:00+00,LONG,3203,0.0,-0.4077947,0.2924179,-0.0204904
2005-07-25 00:00:00+00,LONG,1633,0.21740209374976893,-0.41104466,0.2502303,-0.03671073
2005-07-26 00:00:00+00,LONG,1076,0.9183673469387755,-0.42904195,0.4340801,-0.021538513
2005-08-03 00:00:00+00,LONG,1076,0.5693072910490218,-0.40412182,0.25417876,-0.030881839
2005-08-08 00:00:00+00,LONG,2778,0.0,-0.42464286,0.42793608,-0.008726051
2005-08-10 00:00:00+00,LONG,3218,0.7611481289564002,-0.5994367,0.63192517,-0.028471755
2005-08-11 00:00:00+00,LONG,1064,0.0,-0.49039507,0.32701597,-0.026008833
2005-08-11 00:00:00+00,LONG,3218,0.638726586156618,-0.5345896,0.31661764,-0.031704534
2005-08-15 00:00:00+00,LONG,3218,0.6135519273902178,-0.49862245,0.5312582,-0.039222457
2005-08-16 00:00:00+00,LONG,2686,0.5619232659221518,-0.35601398,0.324709,-0.034560736
