time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,joint_fall_flag_21_5_df042
2005-01-19 00:00:00+00,SHORT,2088,0.0,0.015266282,0.0
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.015420122,0.0
2005-02-02 00:00:00+00,SHORT,1396,0.0,0.0198692,0.0
2005-02-03 00:00:00+00,SHORT,2640,0.0,0.015637212,0.0
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.019612232,0.0
2005-02-15 00:00:00+00,SHORT,2716,1.0,0.016796822,0.0
2005-02-25 00:00:00+00,SHORT,3595,1.0,0.019917475,0.0
2005-03-01 00:00:00+00,SHORT,424,1.0,0.018380811,0.0
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.019124508,0.0
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,0.017005876,0.0
2005-03-09 00:00:00+00,SHORT,2116,0.6668150181773671,0.017590784,0.0
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.016768496,0.0
2005-04-06 00:00:00+00,SHORT,2297,0.0,0.01843196,0.0
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.021830844,0.0
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.014853379,0.0
2005-05-18 00:00:00+00,SHORT,3049,0.6737077460851749,0.015813768,0.0
2005-05-19 00:00:00+00,SHORT,2640,0.0,0.01990585,0.0
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,0.021271806,0.0
2005-06-16 00:00:00+00,SHORT,3595,0.0,0.018655434,0.0
2005-06-16 00:00:00+00,SHORT,1869,0.0,0.017323911,0.0
2005-06-17 00:00:00+00,SHORT,817,0.0,0.02228741,0.0
2005-06-17 00:00:00+00,SHORT,3573,0.0,0.019527825,0.0
2005-06-24 00:00:00+00,SHORT,323,0.7030225634076364,0.016632387,0.0
2005-07-13 00:00:00+00,SHORT,3573,0.0,0.02124701,0.0
2005-07-20 00:00:00+00,SHORT,2305,1.0,0.015801102,0.0
2005-07-21 00:00:00+00,SHORT,3433,0.21104748966986223,0.015896656,0.0
2005-07-21 00:00:00+00,SHORT,3699,0.08945608625098377,0.017861636,0.0
2005-07-28 00:00:00+00,SHORT,4163,0.0,0.016043503,0.0
2005-08-24 00:00:00+00,SHORT,2142,0.33834333364202857,0.014205944,0.0
2005-09-06 00:00:00+00,SHORT,1076,0.5268388940868272,0.018051311,0.0
2005-09-08 00:00:00+00,SHORT,2095,0.5055051885223582,0.021954818,0.0
2005-09-12 00:00:00+00,SHORT,1297,0.7597757005471123,0.021805225,0.0
2005-09-12 00:00:00+00,SHORT,1767,0.5502642464024725,0.014182919,0.0
2005-09-19 00:00:00+00,SHORT,2659,0.2621443178413516,0.021711307,0.0
2005-09-29 00:00:00+00,SHORT,3754,0.48999192819101395,0.019397838,0.0
2005-10-03 00:00:00+00,SHORT,2116,1.0,0.021075664,0.0
2005-10-03 00:00:00+00,SHORT,2473,0.8011610124360771,0.017756816,0.0
2005-10-03 00:00:00+00,SHORT,1532,1.0,0.01736369,0.0
2005-10-04 00:00:00+00,SHORT,93,0.46559073133151685,0.0156597,0.0
2005-10-04 00:00:00+00,SHORT,3357,0.24055465214302377,0.016597074,0.0
2005-10-25 00:00:00+00,SHORT,2863,0.5120240956347297,0.015070012,0.0
2005-10-26 00:00:00+00,SHORT,502,0.47188788093509654,0.017165447,0.0
2005-11-02 00:00:00+00,SHORT,3275,0.0,0.017077181,0.0
2005-11-07 00:00:00+00,SHORT,394,0.7192771624811931,0.015924023,0.0
2005-11-07 00:00:00+00,SHORT,522,0.6498322220409655,0.018854516,0.0
2005-11-09 00:00:00+00,SHORT,710,0.33642895144459917,0.019907283,0.0
2005-12-01 00:00:00+00,SHORT,2297,0.564537023647769,0.022248719,0.0
2005-12-01 00:00:00+00,SHORT,3456,0.2617417015520155,0.020614255,0.0
2005-12-02 00:00:00+00,SHORT,444,0.42154631942497545,0.014825119,0.0
2005-12-06 00:00:00+00,SHORT,3433,0.09329199058895249,0.017188895,0.0
2005-12-06 00:00:00+00,SHORT,2041,0.0,0.020548824,0.0
2005-12-07 00:00:00+00,SHORT,1615,0.0,0.020317914,0.0
2005-12-14 00:00:00+00,SHORT,870,0.0,0.018599203,0.0
2006-01-04 00:00:00+00,SHORT,2670,0.7248949887078712,0.01512772,0.0
2006-01-06 00:00:00+00,SHORT,588,0.0,0.01851684,0.0
2006-01-09 00:00:00+00,SHORT,2261,0.0,0.017722312,0.0
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,0.02223341,0.0
2006-01-09 00:00:00+00,SHORT,3897,0.5195089152395977,0.015693072,0.0
2006-01-10 00:00:00+00,SHORT,2557,0.5624944867269864,0.018983155,0.0
2006-01-11 00:00:00+00,SHORT,3748,0.0,0.022091217,0.0
2006-01-12 00:00:00+00,SHORT,13,0.0,0.019221487,0.0
2006-01-12 00:00:00+00,SHORT,183,0.881731093561648,0.016547794,0.0
2006-01-26 00:00:00+00,SHORT,3794,0.0,0.014504544,0.0
2006-01-27 00:00:00+00,SHORT,602,0.8189514667770158,0.01839933,0.0
2006-01-27 00:00:00+00,SHORT,664,0.26670743036269284,0.015488977,0.0
2006-01-30 00:00:00+00,SHORT,1532,0.3869171023978957,0.020346561,0.0
2006-01-31 00:00:00+00,SHORT,2125,1.0,0.019895392,0.0
