time,side,ticker_id,mv_dn_composite_labels,earnings_price_gap_df010,dist_lower_bb_20_2.0_df055,dist_upper_bb_20_2.0_df055
2005-06-22 00:00:00+00,SHORT,730,0.0,0.0,-0.044943623,-0.002655073
2005-06-22 00:00:00+00,SHORT,3686,0.3598438889752516,0.0,-0.06295325,-0.0035490969
2005-07-01 00:00:00+00,SHORT,2041,0.0,0.0,-0.05453076,-0.003963332
2005-07-05 00:00:00+00,SHORT,2393,0.0,0.0,-0.058306158,-0.0031916308
2005-07-07 00:00:00+00,SHORT,3903,0.5406124493558289,0.0,-0.061609115,-0.0032465425
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,0.0,-0.065721415,-0.0020386868
2005-07-11 00:00:00+00,SHORT,1250,0.11673948630413597,0.0,-0.05182269,-3.5761835E-4
2005-07-12 00:00:00+00,SHORT,28,1.0,0.0,-0.027351378,0.0029525321
2005-08-02 00:00:00+00,SHORT,918,0.14886855719294073,0.0,-0.063337885,-0.0016405212
2005-08-02 00:00:00+00,SHORT,3078,0.0,0.022190409,-0.051424313,6.710915E-4
2005-08-03 00:00:00+00,SHORT,2196,0.26688739658286587,0.0,-0.029025078,-0.004423461
2005-08-03 00:00:00+00,SHORT,2961,0.0,0.0,-0.066868715,4.15473E-4
2005-08-03 00:00:00+00,SHORT,3052,0.2706318670855964,0.0,-0.045563143,-4.2158065E-4
2005-08-03 00:00:00+00,SHORT,1210,0.23167060115975807,0.0,-0.029516414,-0.0026050054
2005-08-03 00:00:00+00,SHORT,1333,0.3458584605134093,0.0,-0.045613505,-0.0014057079
2005-08-11 00:00:00+00,SHORT,2751,0.3160402844500197,0.0,-0.047775283,-8.924346E-4
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,0.0,-0.050792452,0.0012779027
2005-09-01 00:00:00+00,SHORT,2818,0.0,0.0,-0.039429683,-0.004915219
2005-09-09 00:00:00+00,SHORT,675,0.39570095352302104,0.0,-0.04425571,-0.0011007026
2005-09-09 00:00:00+00,SHORT,3538,1.0,0.0,-0.060859818,-0.0034201294
2005-09-09 00:00:00+00,SHORT,3686,0.8001636388888144,0.0,-0.0649971,-0.0021562027
2005-09-09 00:00:00+00,SHORT,4070,1.0,0.0,-0.0567704,-9.971027E-4
2005-09-12 00:00:00+00,SHORT,3614,0.48740076925033815,0.0,-0.05805676,-0.0012526503
