time,side,ticker_id,mv_dn_composite_labels,earnings_price_gap_df010,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055
2005-09-07 00:00:00+00,SHORT,2613,0.0,0.0,1.0,0.006954184
2005-09-08 00:00:00+00,SHORT,2248,0.6753857445877683,0.0,1.0,0.0032419194
2005-09-09 00:00:00+00,SHORT,2095,0.438970012886374,0.0,1.0,0.001193443
2005-09-12 00:00:00+00,SHORT,988,1.0,0.0,1.0,0.0055098226
2005-09-13 00:00:00+00,SHORT,3703,0.14884372244685729,0.0,1.0,-0.0025159323
2005-09-13 00:00:00+00,SHORT,3818,1.0,0.0,1.0,-0.00519205
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,0.0,1.0,-0.0043062717
2005-09-19 00:00:00+00,SHORT,64,0.0,0.0,1.0,-0.0023126113
2005-09-20 00:00:00+00,SHORT,2716,0.0,0.0,1.0,-0.0035136212
2005-09-29 00:00:00+00,SHORT,2690,1.0,0.0,1.0,-0.0026741186
2005-09-30 00:00:00+00,SHORT,3255,0.3114927048252305,0.0,1.0,-4.205762E-4
2005-10-03 00:00:00+00,SHORT,2437,0.431268646291442,0.0,1.0,3.4389968E-4
2005-10-04 00:00:00+00,SHORT,76,0.3559512582464003,0.0,1.0,-0.0063135587
2005-10-04 00:00:00+00,SHORT,3067,0.5065484310807038,0.0,1.0,-0.004057986
2005-10-10 00:00:00+00,SHORT,3868,0.0,0.0,1.0,-0.005215866
2005-10-13 00:00:00+00,SHORT,1473,0.4018515335904278,0.0,1.0,-0.0053811064
2005-10-14 00:00:00+00,SHORT,183,0.0,0.0,1.0,-0.0031377373
2005-10-20 00:00:00+00,SHORT,2247,0.0,0.0,1.0,0.0024006257
2005-10-20 00:00:00+00,SHORT,3716,0.0,0.0,1.0,0.010279031
2005-10-24 00:00:00+00,SHORT,522,0.4900319489405863,0.0,1.0,-0.0013597133
2005-10-26 00:00:00+00,SHORT,2548,0.26832861514549694,0.0,1.0,-0.003281642
2005-11-01 00:00:00+00,SHORT,1838,0.0,-0.0048270314,1.0,-0.0057950197
2005-11-02 00:00:00+00,SHORT,3436,0.056742603108328224,0.0,1.0,-0.0054106796
2005-11-04 00:00:00+00,SHORT,2196,0.13604803089797654,0.0,1.0,-9.929788E-4
2005-11-04 00:00:00+00,SHORT,3613,0.0,0.0,1.0,-0.0048606433
2005-11-07 00:00:00+00,SHORT,394,0.7192771624811931,0.0,1.0,0.015924023
2005-11-07 00:00:00+00,SHORT,424,1.0,0.0,1.0,-0.0010616728
2005-11-22 00:00:00+00,SHORT,2142,0.16104121935960564,0.0,1.0,-0.004446651
2005-11-22 00:00:00+00,SHORT,1700,0.0,0.0,1.0,-0.0018015768
2005-11-25 00:00:00+00,SHORT,2440,0.42940468966429285,0.0,1.0,-0.0028378665
2005-12-02 00:00:00+00,SHORT,2297,0.5047761363980533,0.0,1.0,-7.05387E-4
2005-12-02 00:00:00+00,SHORT,2936,0.422881709579737,0.0,1.0,-5.145149E-4
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.0,1.0,0.0105724735
2005-12-05 00:00:00+00,SHORT,444,0.3620087188588662,0.0,1.0,9.007735E-4
2005-12-15 00:00:00+00,SHORT,2659,0.6558218543365969,0.0,1.0,-0.0038577158
2005-12-15 00:00:00+00,SHORT,3773,0.6436342042453055,0.0,1.0,6.6379516E-4
2006-01-06 00:00:00+00,SHORT,4218,0.0,0.0,1.0,-0.0037498064
2006-01-09 00:00:00+00,SHORT,1258,0.3734523509935002,0.0,1.0,-0.005959726
2006-01-09 00:00:00+00,SHORT,1967,0.06500517645725648,0.0,1.0,-0.0041835154
2006-01-09 00:00:00+00,SHORT,4016,0.9,0.0,1.0,-0.0063566775
2006-01-10 00:00:00+00,SHORT,200,0.0,0.0,1.0,-0.0045803036
2006-01-11 00:00:00+00,SHORT,2090,0.1520704171339358,0.0,1.0,-7.3602033E-4
2006-01-13 00:00:00+00,SHORT,450,0.4012303173346503,0.0,1.0,-0.0039505605
2006-01-17 00:00:00+00,SHORT,714,0.4504323763910296,0.0,1.0,-0.0056207706
2006-01-17 00:00:00+00,SHORT,995,0.3436219085493039,0.0,1.0,6.556162E-4
2006-01-20 00:00:00+00,SHORT,2617,0.35538644114050433,0.0,1.0,-0.0049587144
2006-01-20 00:00:00+00,SHORT,869,0.46871664293230747,0.0,1.0,-0.006061978
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,0.0,1.0,-0.0016913968
2006-01-30 00:00:00+00,SHORT,131,0.12677484876883374,0.0,1.0,-0.0064092637
2006-01-30 00:00:00+00,SHORT,664,0.11474163313189265,0.0,1.0,-0.0030258857
2006-02-01 00:00:00+00,SHORT,2125,0.6357181587399848,0.0,1.0,7.87144E-4
2006-02-17 00:00:00+00,SHORT,2716,0.0,0.0,1.0,0.0037013688
2006-02-23 00:00:00+00,SHORT,2050,0.27371300352338146,0.0,1.0,-0.0027047435
2006-02-24 00:00:00+00,SHORT,3556,0.3243394717940305,0.0,1.0,-0.0036062032
2006-02-27 00:00:00+00,SHORT,2055,0.1694004472596836,0.0,1.0,-0.004770216
2006-02-27 00:00:00+00,SHORT,1149,0.7868501661134139,0.0,1.0,-0.0052584037
2006-03-03 00:00:00+00,SHORT,3853,0.0,0.0,1.0,-0.006141621
2006-03-16 00:00:00+00,SHORT,19,0.0,0.0,1.0,-0.0031392232
