time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,ma_cloud_diff_13_100_df007
2005-01-10 00:00:00+00,SHORT,1807,1.0,-0.014795617,-0.1967812
2005-02-02 00:00:00+00,SHORT,1396,0.0,2.5795787E-4,-0.12291213
2005-02-15 00:00:00+00,SHORT,3148,0.7552905330720439,-0.009948765,-0.13001828
2005-02-16 00:00:00+00,SHORT,3148,0.7114097838108906,-0.023655457,-0.123027585
2005-03-18 00:00:00+00,SHORT,429,0.8225193187954439,-0.013404536,-0.12983331
2005-04-27 00:00:00+00,SHORT,1185,0.25211211236786213,-0.031488188,-0.14699274
2005-04-29 00:00:00+00,SHORT,1185,0.0,-0.025577774,-0.13998011
2005-06-01 00:00:00+00,SHORT,505,1.0,-0.010720648,-0.17283493
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,0.0038674867,-0.17677051
2005-06-14 00:00:00+00,SHORT,3837,0.624959555785825,-0.01210688,-0.16673492
2005-06-16 00:00:00+00,SHORT,4118,0.0,-0.015560886,-0.17428453
2005-06-16 00:00:00+00,SHORT,3595,0.0,0.0049316064,-0.17999035
2005-06-17 00:00:00+00,SHORT,4118,0.0,-0.019567663,-0.1683943
2005-06-17 00:00:00+00,SHORT,4172,0.18983115947757417,-0.026769884,-0.16811834
2005-06-17 00:00:00+00,SHORT,3595,0.05601310025179433,-0.017843904,-0.17293091
2005-06-20 00:00:00+00,SHORT,4118,0.0,-0.01932408,-0.16252749
2005-06-22 00:00:00+00,SHORT,2999,0.4235919789603007,-0.007309263,-0.13908398
2005-07-20 00:00:00+00,SHORT,3078,0.0,-0.020122154,-0.16747482
2005-07-21 00:00:00+00,SHORT,3433,0.21104748966986223,-0.012406655,-0.1404017
2005-08-02 00:00:00+00,SHORT,3078,0.0,-0.0053306096,-0.14201663
2005-08-03 00:00:00+00,SHORT,3078,0.0,-0.012562117,-0.13823168
2005-08-04 00:00:00+00,SHORT,3078,0.0,-0.026220694,-0.13450107
