time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.5_df055,skew_weighted_20_df037
2005-01-18 00:00:00+00,SHORT,212,0.19484503805690592,-0.0028958966,0.12482411
2005-01-18 00:00:00+00,SHORT,1064,0.5602941628795357,-0.008043973,0.6749574
2005-01-19 00:00:00+00,SHORT,2088,0.0,-0.0016010047,0.59196335
2005-01-19 00:00:00+00,SHORT,212,0.29861072945404976,-0.011465564,0.1393292
2005-01-19 00:00:00+00,SHORT,1149,0.5720953070605285,-0.010491851,0.23156862
2005-02-02 00:00:00+00,SHORT,3236,0.06267807669039374,-0.007772858,0.546127
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,-0.011432832,0.4184655
2005-02-03 00:00:00+00,SHORT,1677,0.8888888888888888,-0.0077456892,0.19391562
2005-02-03 00:00:00+00,SHORT,1678,0.8888888888888888,-0.0077447044,0.1939315
2005-02-04 00:00:00+00,SHORT,91,1.0,-0.012544557,0.3938774
2005-02-07 00:00:00+00,SHORT,2349,0.17724182476749034,-0.007538174,0.22047836
2005-02-07 00:00:00+00,SHORT,2548,1.0,-0.012685651,0.6112339
2005-02-07 00:00:00+00,SHORT,1690,0.0,-0.012398315,0.24150775
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,-0.0023298422,0.3701016
2005-02-08 00:00:00+00,SHORT,192,0.0,-0.010241983,0.49970356
2005-02-08 00:00:00+00,SHORT,2367,0.6819721846116832,-0.002366387,0.5066418
2005-02-08 00:00:00+00,SHORT,2410,0.3768328275207129,-0.012734287,0.2502299
2005-02-08 00:00:00+00,SHORT,2548,0.8,-0.003925545,0.6127637
2005-02-08 00:00:00+00,SHORT,675,0.5322266725621734,-0.010229662,0.19406915
2005-02-09 00:00:00+00,SHORT,1090,0.6333950720413938,-0.013430208,0.34127018
2005-02-09 00:00:00+00,SHORT,1099,0.4800904888748953,-0.012612101,0.36585534
2005-02-09 00:00:00+00,SHORT,3818,0.28476078464393517,-0.013166594,0.33763897
2005-02-10 00:00:00+00,SHORT,2452,0.5640653729199218,-0.007905408,0.32299173
2005-02-10 00:00:00+00,SHORT,3818,0.11608650387603563,-0.006690538,0.34219834
2005-02-11 00:00:00+00,SHORT,2452,0.57506392065574,-0.0035350444,0.33844623
2005-02-11 00:00:00+00,SHORT,2801,0.8333333333333334,-0.006655304,0.34231004
2005-02-14 00:00:00+00,SHORT,2452,0.4324976075543666,-0.01452581,0.20979871
2005-02-14 00:00:00+00,SHORT,687,0.48649709342894754,-0.0049938,0.38739833
2005-02-15 00:00:00+00,SHORT,2536,0.31855045225517803,-0.0061769797,0.27979675
2005-02-15 00:00:00+00,SHORT,687,0.4945377764504389,-0.010504704,0.325775
2005-02-16 00:00:00+00,SHORT,4171,0.6189462167352513,-0.009676922,0.21585329
2005-02-16 00:00:00+00,SHORT,937,0.6229899694604561,-0.0052604647,0.32335827
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,-0.0030598643,0.23574698
2005-02-17 00:00:00+00,SHORT,2643,0.9090909090909091,-0.004591742,0.4677484
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,-0.0021256155,0.33628276
