time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,normalized_6m_df004,ma_cloud_diff_8_50_df007
2005-07-29 00:00:00+00,LONG,1715,0.9444444444444444,-0.14269994,0.72727275,-0.036031093
2005-08-01 00:00:00+00,LONG,2686,0.5716849640706825,-0.42619815,0.7692308,-0.07259632
2005-08-02 00:00:00+00,LONG,2686,0.5899617166790571,-0.4475439,0.7692308,-0.06891517
2005-08-02 00:00:00+00,LONG,4050,0.8152426468696852,-0.4233346,0.1627907,-0.03781455
2005-08-03 00:00:00+00,LONG,4050,0.8107348331384032,-0.2059034,0.14634146,-0.038923856
2005-08-09 00:00:00+00,LONG,429,0.0,-0.063220225,0.33333334,-0.04704353
2005-08-09 00:00:00+00,LONG,1939,0.7894736842105263,-0.357562,0.121212125,-0.06963336
2005-08-10 00:00:00+00,LONG,429,0.0,-0.100051075,0.28846154,-0.046136457
2005-08-10 00:00:00+00,LONG,2778,0.0,-0.5426419,0.31578946,-0.034603085
2005-08-11 00:00:00+00,LONG,429,0.0,-0.29147688,0.32,-0.04402415
2005-08-11 00:00:00+00,LONG,2778,0.1824766478779779,-0.42463335,0.31578946,-0.040420044
2005-08-11 00:00:00+00,LONG,3621,0.177454596869109,-0.57498974,0.6315789,-0.033242337
2005-08-12 00:00:00+00,LONG,429,0.0,-0.2388901,0.3653846,-0.0454339
2005-08-12 00:00:00+00,LONG,2778,0.0,-0.3976384,0.2631579,-0.047440078
2005-08-12 00:00:00+00,LONG,3621,0.0,-0.37534392,0.7368421,-0.03875124
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,-0.47616887,0.6923077,-0.07348155
2005-08-15 00:00:00+00,LONG,429,0.0,-0.06998177,0.34615386,-0.04466127
2005-08-15 00:00:00+00,LONG,2778,0.0,-0.36516425,0.22222222,-0.05470259
2005-08-15 00:00:00+00,LONG,3621,0.0,-0.22478366,0.7222222,-0.04308132
2005-08-15 00:00:00+00,LONG,3882,0.0,-0.13778698,0.6923077,-0.08316985
2005-08-16 00:00:00+00,LONG,192,0.5033951994799554,-0.50582135,0.5483871,-0.0339563
2005-08-16 00:00:00+00,LONG,429,0.0,-0.47358856,0.36,-0.04306198
2005-08-16 00:00:00+00,LONG,2778,0.0,-0.38495857,0.21052632,-0.05862059
2005-08-16 00:00:00+00,LONG,3621,0.0,-0.26861405,0.7368421,-0.04375862
2005-08-16 00:00:00+00,LONG,3882,0.0,-0.40585318,0.6923077,-0.09142475
2005-08-17 00:00:00+00,LONG,192,0.4635491270476032,-0.2733395,0.58064514,-0.0348123
2005-08-17 00:00:00+00,LONG,429,0.0,-0.13617402,0.33333334,-0.03926481
2005-08-17 00:00:00+00,LONG,2686,0.5840728602679314,-0.28401268,0.74509805,-0.03436685
2005-08-17 00:00:00+00,LONG,2778,0.0,-0.43705004,0.15789473,-0.057358872
2005-08-17 00:00:00+00,LONG,3621,0.0,-0.30154914,0.7368421,-0.040483195
2005-08-17 00:00:00+00,LONG,3882,0.0,-0.34308663,0.7692308,-0.09757527
2005-08-18 00:00:00+00,LONG,192,0.4266347439618794,-0.29923424,0.61290324,-0.03633521
2005-08-18 00:00:00+00,LONG,2686,0.5786877454145596,-0.25952858,0.76,-0.03571386
2005-08-18 00:00:00+00,LONG,2778,0.1898415978569893,-0.417158,0.21052632,-0.053909734
2005-08-18 00:00:00+00,LONG,835,0.7326059839639817,-0.35750496,0.32142857,-0.04837015
2005-08-18 00:00:00+00,LONG,1444,1.0,-0.25442103,0.7647059,-0.08195001
2005-08-18 00:00:00+00,LONG,3621,0.0,-0.16705267,0.68421054,-0.035553824
2005-08-18 00:00:00+00,LONG,3882,0.0,-0.33317757,0.46153846,-0.10061742
2005-08-19 00:00:00+00,LONG,4153,0.0,-0.31326234,0.11764706,-0.043553013
2005-08-19 00:00:00+00,LONG,2686,0.5636727003570131,-0.2141461,0.75,-0.039096158
2005-08-19 00:00:00+00,LONG,2778,0.19317339074045858,-0.21221134,0.21052632,-0.052503336
2005-08-19 00:00:00+00,LONG,835,0.5490914250300082,-0.17753421,0.32142857,-0.048678443
2005-08-19 00:00:00+00,LONG,1444,0.9767441860465116,-0.29348248,0.7647059,-0.08129671
2005-08-19 00:00:00+00,LONG,3882,0.0,-0.3394519,0.46153846,-0.1023067
2005-08-22 00:00:00+00,LONG,2686,0.5350248225151976,-0.27211964,0.75,-0.04194504
2005-08-22 00:00:00+00,LONG,835,0.640156842512394,-0.07210846,0.33333334,-0.05024063
2005-08-22 00:00:00+00,LONG,1678,1.0,-0.5270653,0.46153846,-0.032173995
2005-08-22 00:00:00+00,LONG,3882,0.0,-0.106089935,0.46153846,-0.100798115
2005-08-23 00:00:00+00,LONG,2686,0.5088931011712192,-0.58764684,0.7307692,-0.046202257
2005-08-23 00:00:00+00,LONG,835,0.6497701258719322,-0.13431309,0.30120483,-0.053804807
2005-08-23 00:00:00+00,LONG,843,0.9210526315789473,-0.37805986,0.36144578,-0.039468244
2005-08-23 00:00:00+00,LONG,1678,0.972972972972973,-0.3063501,0.61538464,-0.03387649
2005-08-24 00:00:00+00,LONG,2686,0.5640362933405667,-0.6272668,0.7254902,-0.04945515
2005-08-24 00:00:00+00,LONG,835,0.6777494274870861,-0.35276654,0.30120483,-0.05708628
2005-08-24 00:00:00+00,LONG,843,0.8947368421052632,-0.33372292,0.39759037,-0.04891665
2005-08-24 00:00:00+00,LONG,1678,0.9459459459459459,-0.079826385,0.61538464,-0.037214663
2005-08-25 00:00:00+00,LONG,835,0.6452404679928396,-0.18649006,0.18072289,-0.057662714
2005-08-25 00:00:00+00,LONG,843,0.9666666666666667,-0.42686933,0.36144578,-0.051252052
2005-08-26 00:00:00+00,LONG,2778,0.20582938242014462,-0.23788176,0.21052632,-0.052028667
2005-08-26 00:00:00+00,LONG,843,0.8421052631578947,-0.53491503,0.3493976,-0.054297473
2005-08-26 00:00:00+00,LONG,3114,0.0,-0.29684556,0.38235295,-0.061874583
2005-08-26 00:00:00+00,LONG,1631,1.0,-0.3168543,0.1590909,-0.047103748
2005-08-26 00:00:00+00,LONG,1678,0.8918918918918919,-0.20259315,0.7692308,-0.039618738
2005-08-29 00:00:00+00,LONG,2686,0.5967741935483871,-0.59399027,0.7307692,-0.052773096
2005-08-29 00:00:00+00,LONG,843,0.9,-0.19923645,0.33333334,-0.05382831
2005-08-29 00:00:00+00,LONG,3114,0.0,-0.1217882,0.38235295,-0.058239974
2005-08-29 00:00:00+00,LONG,1631,0.9642857142857143,-0.17553446,0.1590909,-0.045412265
2005-08-30 00:00:00+00,LONG,2686,0.5806451612903226,-0.41682643,0.7307692,-0.051732518
2005-08-30 00:00:00+00,LONG,2778,0.15851540378322312,-0.1188514,0.21052632,-0.04728227
2005-08-30 00:00:00+00,LONG,1631,0.9285714285714286,-0.10815337,0.1590909,-0.04775587
2005-08-31 00:00:00+00,LONG,3114,0.0,-0.08679905,0.38235295,-0.058646675
2005-08-31 00:00:00+00,LONG,1807,0.9714285714285714,-0.51848936,0.52380955,-0.07038753
2005-09-01 00:00:00+00,LONG,938,0.9310344827586207,-0.586549,0.6666667,-0.09667651
2005-09-01 00:00:00+00,LONG,1807,0.9428571428571428,-0.3684097,0.54545456,-0.07940821
2005-09-02 00:00:00+00,LONG,938,0.896551724137931,-0.5877278,0.6764706,-0.09960876
2005-09-02 00:00:00+00,LONG,1807,0.9142857142857143,-0.31934538,0.6818182,-0.08296257
2005-09-06 00:00:00+00,LONG,1807,0.8888888888888888,-0.18541108,0.6818182,-0.07864006
2005-09-07 00:00:00+00,LONG,1807,0.8571428571428572,-0.070995845,0.6818182,-0.0721013
2005-09-08 00:00:00+00,LONG,1444,0.6744186046511628,-0.10803707,0.7058824,-0.038112305
2005-09-09 00:00:00+00,LONG,135,1.0,-0.15680404,0.44117647,-0.03900906
2005-09-12 00:00:00+00,LONG,135,0.9714285714285714,-0.09502856,0.4117647,-0.04271191
2005-09-13 00:00:00+00,LONG,135,0.9428571428571428,-0.23176272,0.4117647,-0.045082904
2005-09-13 00:00:00+00,LONG,1444,0.6046511627906976,-0.6424491,0.7058824,-0.039981104
