time,side,ticker_id,mv_dn_composite_labels,accel_eps_qoq_df017,dist_upper_bb_20_2.0_df055,joint_fall_flag_1_20_df042
2006-01-17 00:00:00+00,SHORT,995,0.3436219085493039,-0.13,6.556162E-4,1.0
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,-0.11,-0.0016913968,1.0
2006-01-30 00:00:00+00,SHORT,664,0.11474163313189265,0.12,-0.0030258857,1.0
2006-02-01 00:00:00+00,SHORT,2125,0.6357181587399848,-0.0362,7.87144E-4,1.0
2006-02-17 00:00:00+00,SHORT,2716,0.0,0.07,0.0037013688,1.0
2006-02-23 00:00:00+00,SHORT,2050,0.27371300352338146,-0.0237,-0.0027047435,1.0
2006-02-24 00:00:00+00,SHORT,3556,0.3243394717940305,0.01,-0.0036062032,1.0
2006-02-27 00:00:00+00,SHORT,2055,0.1694004472596836,-0.01,-0.004770216,1.0
2006-03-21 00:00:00+00,SHORT,2269,0.21546738813497712,0.2,-0.0024108565,1.0
2006-03-23 00:00:00+00,SHORT,2527,0.5622029137746484,-0.04,4.930291E-4,1.0
2006-03-24 00:00:00+00,SHORT,1356,0.3194338349511216,0.0,0.008334884,1.0
2006-03-24 00:00:00+00,SHORT,3818,0.5956518973331731,0.19,-0.0022213135,1.0
2006-03-28 00:00:00+00,SHORT,1867,0.40998344479081994,-0.23,0.0024020171,1.0
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,0.1,0.0068911784,1.0
2006-04-19 00:00:00+00,SHORT,535,1.0,-0.383,0.012277507,1.0
2006-05-08 00:00:00+00,SHORT,3359,1.0,0.01,-7.564401E-5,1.0
2006-05-08 00:00:00+00,SHORT,1410,0.528541245279816,-0.43,-1.8482757E-4,1.0
2006-05-09 00:00:00+00,SHORT,3067,0.0,0.22,-0.003532728,1.0
2006-05-09 00:00:00+00,SHORT,1869,0.6824394182282987,0.36,-0.0046902415,1.0
2006-06-02 00:00:00+00,SHORT,2983,1.0,0.27,2.3434659E-4,1.0
2006-06-07 00:00:00+00,SHORT,960,0.7997566450138588,0.0,-0.0041404353,1.0
2006-06-30 00:00:00+00,SHORT,4171,0.2969305865885681,0.02,0.0045225834,1.0
2006-06-30 00:00:00+00,SHORT,1144,0.1908408020364446,0.09,0.0025185295,1.0
2006-07-03 00:00:00+00,SHORT,2365,0.43493709320874746,0.03,0.004593309,1.0
2006-07-03 00:00:00+00,SHORT,3127,0.437071285203562,0.01,-0.0015963443,1.0
2006-07-03 00:00:00+00,SHORT,3130,1.0,-0.04,0.0034453245,1.0
