time,side,ticker_id,mv_up_composite_labels,weighted_pos_sum_60_df035,dist_lower_bb_50_2.5_df055
2005-03-07 00:00:00+00,LONG,1280,0.0,0.5459905,-1.7531164E-4
2005-03-11 00:00:00+00,LONG,429,0.5109880843461393,0.5171377,-0.021113602
2005-03-14 00:00:00+00,LONG,1677,1.0,0.5869112,-0.01139568
2005-03-14 00:00:00+00,LONG,1678,1.0,0.5868632,-0.0113917515
2005-03-15 00:00:00+00,LONG,1677,0.9565217391304348,0.60760957,-0.037397113
2005-03-15 00:00:00+00,LONG,1678,0.9565217391304348,0.6075615,-0.037393156
2005-03-16 00:00:00+00,LONG,1677,0.9130434782608696,0.587153,-0.025274085
2005-03-16 00:00:00+00,LONG,1678,0.9130434782608696,0.5871048,-0.025280776
2005-03-17 00:00:00+00,LONG,1677,0.8695652173913043,0.5807572,-0.051010516
2005-03-17 00:00:00+00,LONG,1678,0.8695652173913043,0.5806862,-0.05101618
2005-03-18 00:00:00+00,LONG,1677,0.8260869565217391,0.5849516,-0.059049126
2005-03-18 00:00:00+00,LONG,1678,0.8260869565217391,0.5848694,-0.05904325
2005-03-22 00:00:00+00,LONG,1677,0.7391304347826086,0.56715167,-0.05729925
2005-03-22 00:00:00+00,LONG,1678,0.7391304347826086,0.5670692,-0.057294175
2005-03-24 00:00:00+00,LONG,1807,0.0,0.52857584,-0.045075662
2005-04-05 00:00:00+00,LONG,984,0.0,0.5737338,0.05660441
2005-04-06 00:00:00+00,LONG,984,0.0,0.59054446,0.019775627
2005-04-07 00:00:00+00,LONG,984,0.0,0.5814253,0.010836194
2005-04-08 00:00:00+00,LONG,984,0.0,0.5788189,0.013478072
2005-04-11 00:00:00+00,LONG,984,0.0,0.5645874,-0.01320174
2005-04-12 00:00:00+00,LONG,984,0.0,0.5645874,-0.0072878706
2005-04-13 00:00:00+00,LONG,984,0.0,0.553846,0.0042961305
2005-04-14 00:00:00+00,LONG,234,0.0,0.51824915,-0.028510658
2005-04-14 00:00:00+00,LONG,984,0.0,0.5322816,-0.045374934
2005-04-15 00:00:00+00,LONG,234,0.0,0.51824915,0.018041192
2005-04-15 00:00:00+00,LONG,984,0.0,0.5322816,-0.056319173
2005-04-15 00:00:00+00,LONG,3343,0.0,0.6427688,-0.042942006
2005-04-15 00:00:00+00,LONG,3794,1.0,0.50872123,0.033157814
2005-04-18 00:00:00+00,LONG,3744,0.0,0.6015937,-0.024291653
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,0.49983498,0.017627975
2005-04-18 00:00:00+00,LONG,3853,1.0,0.50169903,6.4695417E-4
2005-04-19 00:00:00+00,LONG,64,0.0,0.48988065,-0.00660236
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,0.5003246,0.0045368355
2005-04-19 00:00:00+00,LONG,3853,0.975,0.55623657,-0.055846483
2005-04-20 00:00:00+00,LONG,64,0.0,0.48988065,-0.0019354569
2005-04-20 00:00:00+00,LONG,3127,0.9583333333333334,0.5011542,-0.041658398
2005-04-20 00:00:00+00,LONG,3744,0.0,0.6602573,-0.05843928
