time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_20_2.5_df055,price_drift_21_df005,accel_price_1_df021,price_eps_diff_pct_df082
2005-06-27 00:00:00+00,LONG,505,0.9642857142857143,0.1359939,-0.08072352,-0.1359939,5.7646993E-4,-31.98
2005-06-28 00:00:00+00,LONG,505,0.9285714285714286,0.13319878,-0.08329915,-0.13319878,0.0135264,-31.69
2005-06-29 00:00:00+00,LONG,1191,0.06382978723404253,0.13420983,-0.025533723,-0.13420983,-0.011090021,-44.37
2005-06-30 00:00:00+00,LONG,505,0.8571428571428572,0.13376917,-0.04245778,-0.13376917,-0.027461858,-31.53
2005-06-30 00:00:00+00,LONG,2731,1.0,0.15861306,-0.045345113,-0.15861306,-0.018218651,-46.09
2005-06-30 00:00:00+00,LONG,1191,0.042553191489361764,0.1561853,-0.04377972,-0.1561853,0.019785797,-44.01
2005-07-01 00:00:00+00,LONG,1191,0.021276595744680882,0.15800175,-0.05663195,-0.15800175,-0.0072816215,-44.04
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,0.17325057,-0.0041537806,-0.17325057,0.016107365,40.32
2005-10-12 00:00:00+00,LONG,1447,0.23795427248284134,0.14410058,-0.04373356,-0.14410058,0.017160729,-56.75
2005-10-20 00:00:00+00,LONG,1615,1.0,0.1502979,-0.044287708,-0.1502979,-0.039097425,-50.18
2005-10-26 00:00:00+00,LONG,684,0.0,0.13913488,-0.06182005,-0.13913488,0.0055675493,-60.8
2005-10-26 00:00:00+00,LONG,4070,1.0,0.15998101,-0.1164022,-0.15998101,0.0045386697,-54.79
2005-10-27 00:00:00+00,LONG,2932,0.49300426144820364,0.17214121,-0.09626686,-0.17214121,-0.039841924,-10.73
2005-10-27 00:00:00+00,LONG,3794,0.9310344827586207,0.15476887,-0.07001579,-0.15476887,0.0053281835,-17.53
2005-10-27 00:00:00+00,LONG,4070,0.962962962962963,0.14586826,-0.1407057,-0.14586826,0.017699204,-49.75
2005-10-28 00:00:00+00,LONG,3049,0.9302325581395349,0.13833953,-0.045773536,-0.13833953,0.03300776,-59.2
2005-10-28 00:00:00+00,LONG,3699,0.5351289360100635,0.17436846,-0.08574501,-0.17436846,0.019629162,-59.22
2005-10-28 00:00:00+00,LONG,3794,0.9137931034482758,0.1512828,-0.07463584,-0.1512828,0.0037499946,-12.41
2005-10-28 00:00:00+00,LONG,4005,1.0,0.1387385,-0.021328464,-0.1387385,0.0092468895,-56.19
2005-10-28 00:00:00+00,LONG,4070,0.9259259259259259,0.1527977,-0.14863284,-0.1527977,-0.014079077,-48.37
2005-10-31 00:00:00+00,LONG,4172,0.813953488372093,0.13742621,-0.10947849,-0.13742621,-0.021026144,-61.3
2005-10-31 00:00:00+00,LONG,3794,0.896551724137931,0.14306916,-0.07693575,-0.14306916,0.0069347173,-12.72
2005-11-01 00:00:00+00,LONG,629,0.0,0.15690042,-0.089761324,-0.15690042,-0.024129694,27.4
2005-11-01 00:00:00+00,LONG,3641,0.9318181818181819,0.14156193,-0.13688038,-0.14156193,0.024727162,-39.8
2005-11-01 00:00:00+00,LONG,3794,0.8793103448275862,0.15039347,-0.082469076,-0.15039347,0.0065714773,-14.58
2005-11-02 00:00:00+00,LONG,1011,1.0,0.13767606,-0.030988798,-0.13767606,0.0057408996,-47.96
2005-11-02 00:00:00+00,LONG,3192,0.8636363636363636,0.13416322,-0.124487594,-0.13416322,-0.0010646794,1.3
2005-11-02 00:00:00+00,LONG,3699,0.462809026595116,0.15715162,-0.093008436,-0.15715162,0.02148372,-61.85
2005-11-07 00:00:00+00,LONG,629,1.0,0.17232376,-0.11819564,-0.17232376,-0.0101427445,19.85
2005-11-08 00:00:00+00,LONG,629,0.0,0.14043261,-0.1493364,-0.14043261,0.03824708,23.18
2005-11-16 00:00:00+00,LONG,874,0.9322033898305084,0.16745721,-0.14803171,-0.16745721,0.005869863,49.81
2005-12-27 00:00:00+00,LONG,443,0.6040785077874207,0.13707288,-0.09405857,-0.13707288,-0.03804721,46.51
2006-01-06 00:00:00+00,LONG,3915,0.0,0.17102681,-0.14266953,-0.17102681,-0.029105432,-2.46
2006-01-31 00:00:00+00,LONG,1667,0.0,0.14708887,-0.054745235,-0.14708887,-0.011811938,65.23
2006-02-01 00:00:00+00,LONG,1667,0.0,0.13794872,-0.08984025,-0.13794872,0.020754477,77.11
