time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_5_df042,skew_weighted_10_df037
2005-03-11 00:00:00+00,SHORT,3244,0.689398996745523,0.0,0.6566927
2005-03-14 00:00:00+00,SHORT,2070,0.4688277799490014,0.0,0.63923347
2005-03-14 00:00:00+00,SHORT,2175,0.41724944235045125,0.0,0.6675402
2005-03-14 00:00:00+00,SHORT,1851,0.13451498937884848,0.0,0.56557417
2005-03-15 00:00:00+00,SHORT,2072,0.3850216660802293,0.0,0.63601005
2005-03-15 00:00:00+00,SHORT,853,0.3347216231677513,0.0,0.6679436
2005-03-15 00:00:00+00,SHORT,3244,0.5301757312030042,0.0,0.65608877
2005-03-15 00:00:00+00,SHORT,3915,0.6092558947612079,0.0,0.5798724
2005-03-17 00:00:00+00,SHORT,2430,0.2268285944353561,0.0,0.6203005
2005-03-17 00:00:00+00,SHORT,643,0.4729324333948617,0.0,0.57283926
2005-03-18 00:00:00+00,SHORT,4137,1.0,0.0,0.6048538
2005-04-04 00:00:00+00,SHORT,2230,0.38375449206221396,0.0,0.57587457
2005-04-04 00:00:00+00,SHORT,487,0.0,0.0,0.64218515
2005-04-05 00:00:00+00,SHORT,487,0.21287181103635902,0.0,0.63482314
2005-04-07 00:00:00+00,SHORT,444,1.0,0.0,0.5749136
2005-04-07 00:00:00+00,SHORT,3573,0.5200720019419507,0.0,0.6807843
2005-04-07 00:00:00+00,SHORT,1762,0.4604945012043028,0.0,0.62639934
2005-04-07 00:00:00+00,SHORT,1832,0.061796816467467854,0.0,0.6311126
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,0.0,0.56993115
2005-04-08 00:00:00+00,SHORT,1650,0.0,0.0,0.6681616
2005-04-11 00:00:00+00,SHORT,3124,0.6282250945177908,0.0,0.567424
2005-04-11 00:00:00+00,SHORT,3573,0.28938040949822036,0.0,0.60565454
2005-04-11 00:00:00+00,SHORT,4032,1.0,0.0,0.5617859
2005-04-11 00:00:00+00,SHORT,4083,0.0,0.0,0.66840774
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,0.0,0.6365835
2005-04-12 00:00:00+00,SHORT,2425,0.0,0.0,0.6037815
2005-04-12 00:00:00+00,SHORT,759,0.49871720866158376,0.0,0.5786174
2005-04-12 00:00:00+00,SHORT,3236,0.5378251316734537,0.0,0.65978235
2005-04-12 00:00:00+00,SHORT,3359,0.0,0.0,0.62175626
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,0.0,0.66830266
2005-04-12 00:00:00+00,SHORT,1650,0.0,0.0,0.6728492
2005-04-12 00:00:00+00,SHORT,1939,0.8333333333333334,0.0,0.6282733
2005-04-13 00:00:00+00,SHORT,4083,0.0,0.0,0.6234089
2005-04-14 00:00:00+00,SHORT,424,0.0,0.0,0.6723374
2005-04-15 00:00:00+00,SHORT,195,0.0,0.0,0.5747848
2005-04-22 00:00:00+00,SHORT,2720,1.0,0.0,0.6638641
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,0.0,0.6776536
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0,0.63255745
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,0.0,0.55949
2005-05-06 00:00:00+00,SHORT,3199,0.0,0.0,0.5917449
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.0,0.5766713
2005-05-11 00:00:00+00,SHORT,4070,0.35675645025693886,0.0,0.68103015
2005-05-23 00:00:00+00,SHORT,3100,0.20366031235444898,0.0,0.6031108
2005-05-23 00:00:00+00,SHORT,1360,0.8609113107503817,0.0,0.61134636
2005-05-23 00:00:00+00,SHORT,4034,0.0,0.0,0.59508264
2005-05-24 00:00:00+00,SHORT,1360,0.7777777777777778,0.0,0.6272727
2005-05-26 00:00:00+00,SHORT,2548,0.0,0.0,0.67439616
2005-05-26 00:00:00+00,SHORT,786,0.23623521286575727,0.0,0.5750381
2005-05-26 00:00:00+00,SHORT,1360,0.5555555555555556,0.0,0.59369147
2005-05-27 00:00:00+00,SHORT,2272,0.0,0.0,0.56974065
2005-05-27 00:00:00+00,SHORT,3561,0.0,0.0,0.61780626
2005-05-31 00:00:00+00,SHORT,2548,0.14878451177201157,0.0,0.61721903
2005-05-31 00:00:00+00,SHORT,862,0.48831110171343206,0.0,0.6800572
2005-05-31 00:00:00+00,SHORT,3116,0.0,0.0,0.5855569
2005-05-31 00:00:00+00,SHORT,1360,0.31392513024833857,0.0,0.65260017
2005-05-31 00:00:00+00,SHORT,3561,0.0,0.0,0.6452956
2005-06-01 00:00:00+00,SHORT,4194,0.6666666666666667,0.0,0.63424104
2005-06-01 00:00:00+00,SHORT,2548,0.0,0.0,0.6019242
2005-06-01 00:00:00+00,SHORT,1064,0.0,0.0,0.5623658
2005-06-02 00:00:00+00,SHORT,796,1.0,0.0,0.57013714
2005-06-03 00:00:00+00,SHORT,1615,0.24378247358174984,0.0,0.6063614
2005-06-03 00:00:00+00,SHORT,1807,0.0,0.0,0.6043255
2005-06-03 00:00:00+00,SHORT,2041,0.146530409091677,0.0,0.67904216
2005-06-06 00:00:00+00,SHORT,588,0.21664754489006086,0.0,0.6241804
2005-06-07 00:00:00+00,SHORT,1677,0.16085374184517984,0.0,0.6804866
2005-06-07 00:00:00+00,SHORT,1678,0.19368624597879108,0.0,0.6826463
2005-06-09 00:00:00+00,SHORT,4171,0.0,0.0,0.6560617
2005-06-09 00:00:00+00,SHORT,323,0.0,0.0,0.6604429
2005-06-10 00:00:00+00,SHORT,323,0.0,0.0,0.56636804
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,0.0,0.6713205
2005-06-14 00:00:00+00,SHORT,4223,0.12167269913384068,0.0,0.6651765
2005-06-14 00:00:00+00,SHORT,1908,0.06513609961897675,0.0,0.64408076
