time,side,ticker_id,mv_dn_composite_labels,co_fall_count_1_10_df044,dist_upper_bb_20_2.0_df055,earnings_price_gap_df010,joint_fall_flag_1_20_df042
2007-03-22 00:00:00+00,SHORT,2936,0.0,1.0,-0.0036767896,0.0,1.0
2007-04-16 00:00:00+00,SHORT,842,0.5660872608774586,1.0,-0.0055033052,0.0,1.0
2007-04-18 00:00:00+00,SHORT,4194,0.34149643858615447,1.0,-0.0010967831,0.0,1.0
2007-04-25 00:00:00+00,SHORT,664,0.3943046484093282,1.0,-0.008560035,0.0,1.0
2007-04-27 00:00:00+00,SHORT,1790,0.41138302157600465,1.0,-0.008815788,0.0,1.0
2007-05-08 00:00:00+00,SHORT,2050,0.21604399532229912,1.0,-0.008345765,0.0,1.0
2007-05-23 00:00:00+00,SHORT,158,1.0,1.0,-0.00787392,0.0,1.0
2007-06-01 00:00:00+00,SHORT,3782,0.48314062547839315,1.0,-0.0018942107,0.0,1.0
2007-06-04 00:00:00+00,SHORT,443,0.5140468549380431,1.0,0.0029194425,0.0,1.0
2007-06-05 00:00:00+00,SHORT,4122,0.5542907387892185,1.0,-0.0023857055,0.0,1.0
2007-06-06 00:00:00+00,SHORT,4122,0.2192833591352863,1.0,-0.0069540213,0.0,1.0
2007-07-09 00:00:00+00,SHORT,2410,0.2789781615495935,1.0,-0.0062320847,0.0,1.0
2007-07-09 00:00:00+00,SHORT,2440,0.5936184960492821,1.0,-0.0075507523,0.0,1.0
2007-07-13 00:00:00+00,SHORT,3596,1.0,1.0,-0.005572817,0.0,1.0
2007-07-17 00:00:00+00,SHORT,2437,0.9090909090909091,1.0,-0.005148131,0.0,1.0
2007-07-17 00:00:00+00,SHORT,1715,0.9090909090909091,1.0,-0.0029792562,0.0,1.0
2007-07-20 00:00:00+00,SHORT,4088,1.0,1.0,-0.002009331,0.0,1.0
2007-07-24 00:00:00+00,SHORT,2527,0.5473020826836799,1.0,-0.0036316537,0.0,1.0
2007-07-24 00:00:00+00,SHORT,3882,1.0,1.0,0.0031493264,0.0,1.0
