time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-02-11 00:00:00+00,LONG,3355,0.0,0.11995791,-0.009968157,0.0
2005-02-17 00:00:00+00,LONG,135,1.0,0.12163265,0.032166068,0.0
2005-02-17 00:00:00+00,LONG,522,0.8095238095238095,0.123548925,-0.010268968,0.0
2005-02-23 00:00:00+00,LONG,2504,0.0,0.14431138,0.034906622,0.0
2005-02-24 00:00:00+00,LONG,2504,0.0,0.105031066,-0.0087193735,0.0
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,0.12574404,0.028872035,0.0
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,0.119760476,0.020338073,0.0
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,0.10866261,0.015324824,0.0
2005-03-22 00:00:00+00,LONG,2006,0.38498369111906305,0.107061505,0.006001053,0.0
2005-03-24 00:00:00+00,LONG,2640,1.0,0.11383709,-0.007552198,0.0
2005-04-01 00:00:00+00,LONG,4223,0.5925976164451335,0.12789029,0.0245766,0.0
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,0.105913326,0.022898875,0.0
2005-04-04 00:00:00+00,LONG,4223,0.5477791937731813,0.13317788,0.018844387,0.0
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,0.10546558,0.014740384,0.0
2005-04-15 00:00:00+00,LONG,540,0.6643908100364903,0.12302681,0.012758164,0.0
2005-04-15 00:00:00+00,LONG,3610,0.32936249995409533,0.12835349,-0.0018961187,0.0
2005-04-15 00:00:00+00,LONG,3794,1.0,0.1295558,0.054506376,0.0
2005-04-18 00:00:00+00,LONG,4112,1.0,0.13348003,0.04524162,0.0
2005-04-18 00:00:00+00,LONG,64,0.0,0.14274535,0.079070255,0.0
2005-04-18 00:00:00+00,LONG,540,0.6147053345084865,0.11721796,0.0034153343,0.0
2005-04-18 00:00:00+00,LONG,3127,1.0,0.12964286,0.03467039,0.0
2005-04-18 00:00:00+00,LONG,3137,1.0,0.11822126,0.024771411,0.0
2005-04-18 00:00:00+00,LONG,1719,1.0,0.1685879,0.04677136,0.0
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,0.15745324,0.041694317,0.0
2005-04-18 00:00:00+00,LONG,3853,1.0,0.10608424,0.022183893,0.0
2005-04-19 00:00:00+00,LONG,4112,0.9791666666666666,0.14550307,0.037439723,0.0
2005-04-19 00:00:00+00,LONG,64,0.0,0.14319421,0.01594433,0.0
2005-04-19 00:00:00+00,LONG,142,0.3710416513709797,0.12110818,0.002815746,0.0
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,0.14432235,0.023760073,0.0
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,0.15680881,0.031093832,0.0
2005-04-20 00:00:00+00,LONG,4112,0.9583333333333334,0.1528481,0.04276503,0.0
2005-04-20 00:00:00+00,LONG,64,0.0,0.14167917,0.022248121,0.0
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,0.12902361,0.020083647,0.0
2005-04-20 00:00:00+00,LONG,3355,0.3375811641386448,0.12459268,0.016327608,0.0
2005-04-20 00:00:00+00,LONG,1719,0.9583333333333334,0.15264334,0.03527362,0.0
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,0.11430793,0.0054242625,0.0
2005-04-22 00:00:00+00,LONG,2032,1.0,0.14285715,0.05420107,0.0
2005-04-25 00:00:00+00,LONG,2032,0.9565217391304348,0.1092437,0.010174313,0.0
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,0.15807503,0.031732846,0.0
2005-04-27 00:00:00+00,LONG,386,0.33927778835829436,0.1430221,0.01578425,0.0
2005-04-27 00:00:00+00,LONG,3443,1.0,0.13197026,0.040054888,0.0
2005-04-27 00:00:00+00,LONG,1423,0.0,0.15697101,0.020063527,0.0
2005-04-28 00:00:00+00,LONG,386,0.2600376192545927,0.15874836,0.016909458,0.0
2005-04-28 00:00:00+00,LONG,3271,0.6460202454213304,0.18683274,0.08632203,0.0
2005-04-28 00:00:00+00,LONG,1258,0.14266991478948032,0.1965523,0.046420343,0.0
2005-04-28 00:00:00+00,LONG,3443,0.9666666666666667,0.16578484,0.019785207,0.0
2005-04-28 00:00:00+00,LONG,2028,1.0,0.10612746,0.004358061,0.0
2005-04-28 00:00:00+00,LONG,2032,0.8260869565217391,0.1388601,0.009383723,0.0
2005-04-29 00:00:00+00,LONG,2133,0.8131791695060228,0.1534449,0.0036261578,0.0
2005-04-29 00:00:00+00,LONG,191,1.0,0.11724566,-0.0048454083,0.0
2005-04-29 00:00:00+00,LONG,309,0.7379318653512232,0.13595541,-0.010568808,0.0
2005-04-29 00:00:00+00,LONG,386,0.19073825799018432,0.15469079,-0.010181327,0.0
2005-04-29 00:00:00+00,LONG,2534,0.8579474620230262,0.1283255,-0.008371013,0.0
2005-04-29 00:00:00+00,LONG,3271,0.6121794578258031,0.18379237,0.059246972,0.0
2005-04-29 00:00:00+00,LONG,3443,0.9333333333333333,0.15302491,0.007952881,0.0
2005-04-29 00:00:00+00,LONG,1423,0.0,0.15270351,-0.008885052,0.0
