time,side,ticker_id,mv_up_composite_labels,price_drift_21_df005,dist_lower_bb_20_2.5_df055
2005-10-04 00:00:00+00,LONG,870,0.0,-0.13886237,-0.0021420748
2005-10-12 00:00:00+00,LONG,68,1.0,-0.14054759,-0.034928918
2005-10-12 00:00:00+00,LONG,505,1.0,-0.12978208,-0.017702818
2005-10-12 00:00:00+00,LONG,1447,0.23795427248284134,-0.14410058,-0.04373356
2005-10-12 00:00:00+00,LONG,1790,0.5731167926624297,-0.1327645,0.02821372
2005-10-13 00:00:00+00,LONG,68,0.9787234042553191,-0.13473132,-0.04747273
2005-10-13 00:00:00+00,LONG,1650,0.9591836734693877,-0.14944738,-0.05041912
2005-10-14 00:00:00+00,LONG,2546,0.3197534291354142,-0.14828898,-0.047519445
2005-10-17 00:00:00+00,LONG,2546,0.34362885458801923,-0.1579392,-0.04722088
2005-10-20 00:00:00+00,LONG,1615,1.0,-0.1502979,-0.044287708
2005-10-20 00:00:00+00,LONG,2041,1.0,-0.14495605,-0.025690276
2005-10-21 00:00:00+00,LONG,684,1.0,-0.15655172,0.021186626
2005-10-21 00:00:00+00,LONG,3794,1.0,-0.13251908,-0.004839001
2005-10-24 00:00:00+00,LONG,684,0.0,-0.14613035,-0.026934594
2005-10-25 00:00:00+00,LONG,684,0.0,-0.13798423,-0.042484354
2005-10-25 00:00:00+00,LONG,3049,1.0,-0.15523835,0.026473768
2005-10-27 00:00:00+00,LONG,3049,0.9534883720930233,-0.14123574,-0.020819465
2005-10-28 00:00:00+00,LONG,220,1.0,-0.13038625,-0.022515645
2005-10-28 00:00:00+00,LONG,2661,1.0,-0.15162037,-0.04332976
2005-10-28 00:00:00+00,LONG,3049,0.9302325581395349,-0.13833953,-0.045773536
2005-10-28 00:00:00+00,LONG,4005,1.0,-0.1387385,-0.021328464
2005-11-02 00:00:00+00,LONG,1011,1.0,-0.13767606,-0.030988798
2005-12-07 00:00:00+00,LONG,3773,0.0,-0.12966253,-0.048436567
2005-12-14 00:00:00+00,LONG,2640,0.5347474604028569,-0.15816678,-0.03356632
2006-01-10 00:00:00+00,LONG,234,1.0,-0.13112392,-0.021036847
2006-01-18 00:00:00+00,LONG,157,0.6104018359654962,-0.1465708,-0.027044749
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,-0.15637283,-0.049490374
2006-01-30 00:00:00+00,LONG,1667,0.0,-0.13571429,-0.036919884
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,-0.15691426,-0.0112458775
2006-02-14 00:00:00+00,LONG,4000,0.4327135452487047,-0.14577632,-0.035855256
2006-02-21 00:00:00+00,LONG,3447,1.0,-0.14813979,0.01163803
2006-02-23 00:00:00+00,LONG,3430,0.0,-0.15255946,0.039647914
2006-02-23 00:00:00+00,LONG,1667,0.0,-0.15400101,-0.03492793
2006-02-24 00:00:00+00,LONG,1667,0.0,-0.1556225,-0.022314997
2006-03-02 00:00:00+00,LONG,1908,0.0,-0.13253012,-0.044385765
2006-03-07 00:00:00+00,LONG,2569,0.5397026721817731,-0.1502439,-0.018914782
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,-0.1438327,-0.021264017
2006-03-08 00:00:00+00,LONG,3357,0.0,-0.14250986,-0.04916368
2006-03-08 00:00:00+00,LONG,1719,0.0,-0.14407335,-0.031455904
2006-03-08 00:00:00+00,LONG,1740,0.3866194767406811,-0.13582957,-0.026653023
2006-03-08 00:00:00+00,LONG,4086,0.6500823440598269,-0.12990914,-0.0054348707
2006-03-09 00:00:00+00,LONG,1610,0.9791666666666666,-0.13699111,-0.050611872
2006-03-10 00:00:00+00,LONG,2305,0.3905998320712504,-0.13604724,-0.04711956
2006-03-17 00:00:00+00,LONG,3699,0.0,-0.13675708,-0.048623573
2006-04-07 00:00:00+00,LONG,4034,0.20846417231861417,-0.1492891,-0.022612212
2006-04-11 00:00:00+00,LONG,2582,0.5179135617007291,-0.14433089,-0.021274034
2006-04-27 00:00:00+00,LONG,2028,0.625,-0.13266078,-0.043848097
2006-05-18 00:00:00+00,LONG,1740,0.0,-0.13831979,-2.752442E-4
2006-05-18 00:00:00+00,LONG,1939,0.0,-0.1297043,-0.018625252
