time,side,ticker_id,mv_dn_composite_labels,price_to_sales_rev_growth_zscore_universe_df073,dist_upper_bb_20_2.0_df055
2005-01-07 00:00:00+00,SHORT,2710,0.4756928243043826,-0.0457,-0.0109240655
2005-01-10 00:00:00+00,SHORT,3610,0.0,-0.0457,-0.011998226
2005-01-10 00:00:00+00,SHORT,1807,1.0,-0.0467,-0.0051602605
2005-01-11 00:00:00+00,SHORT,3610,0.0,-0.0457,-0.014915633
2005-01-12 00:00:00+00,SHORT,4107,0.7356405050331996,-0.0457,1.6631304E-4
2005-01-12 00:00:00+00,SHORT,3610,0.0,-0.0457,-0.0033001127
2005-01-12 00:00:00+00,SHORT,3652,0.6166825291622086,-0.0457,-0.010851396
2005-01-13 00:00:00+00,SHORT,3652,0.9090909090909091,-0.0457,-0.010964053
2005-01-14 00:00:00+00,SHORT,2504,1.0,-0.0433,0.004065362
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,-0.0457,-0.0014050503
2005-01-18 00:00:00+00,SHORT,4107,0.5582660048644676,-0.0457,-0.008042706
2005-01-18 00:00:00+00,SHORT,212,0.19484503805690592,-0.0457,0.0012573199
2005-01-18 00:00:00+00,SHORT,2504,0.9411764705882353,-0.0421,-0.0100342315
2005-01-18 00:00:00+00,SHORT,2546,0.5285211140694025,-0.0457,-0.009523418
2005-01-18 00:00:00+00,SHORT,505,0.3114394471744454,-0.0457,-0.0063054645
2005-01-18 00:00:00+00,SHORT,2710,0.18567306322574043,-0.0457,-0.012021676
2005-01-18 00:00:00+00,SHORT,1220,0.0,-0.0457,-0.014555446
2005-01-18 00:00:00+00,SHORT,3473,0.32477944236137557,-0.0457,-0.010011374
2005-01-18 00:00:00+00,SHORT,3531,0.3769888912075975,-0.0457,-0.007275426
2005-01-18 00:00:00+00,SHORT,1848,0.0,-0.0421,0.0031148137
2005-01-19 00:00:00+00,SHORT,2188,0.0,-0.0457,-0.009254566
2005-01-19 00:00:00+00,SHORT,2230,0.0,-0.0457,-0.010183368
2005-01-19 00:00:00+00,SHORT,212,0.29861072945404976,-0.0457,-0.009520468
2005-01-19 00:00:00+00,SHORT,3283,0.0,-0.0432,-0.008504431
2005-01-19 00:00:00+00,SHORT,1650,0.3463167987723435,-0.0457,-0.015589944
2005-01-19 00:00:00+00,SHORT,1719,0.4555826141662643,-0.0445,-0.007387706
2005-01-19 00:00:00+00,SHORT,1848,0.0,-0.0443,-0.0040687467
2005-01-20 00:00:00+00,SHORT,2088,0.0,-0.0457,-0.009317063
2005-01-20 00:00:00+00,SHORT,2979,1.0,-0.0457,-0.0033910403
2005-01-20 00:00:00+00,SHORT,1848,0.0,-0.044,-0.007579958
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,-0.0457,-0.009846247
2005-01-21 00:00:00+00,SHORT,663,1.0,-0.0457,-0.0011511474
2005-01-24 00:00:00+00,SHORT,2462,0.31594921338669385,-0.0457,-0.010642493
2005-01-24 00:00:00+00,SHORT,663,0.9411764705882353,-0.0457,-0.013270322
2005-01-31 00:00:00+00,SHORT,68,0.0,-0.0457,-0.014302676
2005-01-31 00:00:00+00,SHORT,3114,0.08875854852954977,-0.0434,-0.014781215
2005-01-31 00:00:00+00,SHORT,3760,0.5454545454545454,-0.0457,-0.01017489
2005-02-01 00:00:00+00,SHORT,135,1.0,-0.0431,-0.0040712715
