time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,interest_coverage_normalized_df080,weighted_neg_sum_20_df036
2005-09-27 00:00:00+00,SHORT,3838,0.5945690440645814,0.5737422,0.1605,0.039538782
2005-11-15 00:00:00+00,SHORT,617,0.3905023275309097,0.61331904,0.0306,0.03412789
2005-11-23 00:00:00+00,SHORT,617,0.1090334583736834,0.48726436,0.0306,0.03882532
2005-11-25 00:00:00+00,SHORT,2142,0.048415840984096674,0.57205164,0.0286,0.04098134
2005-11-25 00:00:00+00,SHORT,3912,0.4083782808717461,0.5892668,0.1449,0.03527538
2005-11-28 00:00:00+00,SHORT,4128,0.7212738029470167,0.5393791,0.4317,0.04088612
2005-11-28 00:00:00+00,SHORT,907,0.5454407428831732,0.48661947,0.1349,0.031789053
2005-11-29 00:00:00+00,SHORT,2557,0.0,0.6222295,0.0369,0.03684884
2005-11-30 00:00:00+00,SHORT,3309,0.0,0.5696216,0.0295,0.031141557
2005-12-01 00:00:00+00,SHORT,3309,0.0,0.5032789,0.0293,0.037528213
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.59894675,0.6584,0.032616135
2005-12-02 00:00:00+00,SHORT,3309,0.0,0.53175664,0.0293,0.036816876
2005-12-05 00:00:00+00,SHORT,903,0.3558346942933454,0.5686205,0.6584,0.0357607
2005-12-05 00:00:00+00,SHORT,3309,0.0,0.5357008,0.0293,0.036816876
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,0.5225024,0.6584,0.0357607
2005-12-06 00:00:00+00,SHORT,3309,0.0,0.482632,0.0293,0.039818704
2005-12-07 00:00:00+00,SHORT,862,0.25673420799890445,0.5929705,0.6584,0.029825293
2005-12-07 00:00:00+00,SHORT,903,0.2289982512437618,0.50037,0.6584,0.037970204
2005-12-14 00:00:00+00,SHORT,3586,0.5004520658705018,0.5523382,0.2492,0.037860643
2005-12-15 00:00:00+00,SHORT,2728,0.5256306359327689,0.47994503,0.0297,0.030569458
2005-12-16 00:00:00+00,SHORT,2728,0.4810670909982069,0.38715196,0.0297,0.036805704
2006-01-09 00:00:00+00,SHORT,1434,0.2420860315452285,0.44011167,0.0296,0.034404647
2006-01-11 00:00:00+00,SHORT,2090,0.1520704171339358,0.37716624,0.0295,0.032437723
2006-01-11 00:00:00+00,SHORT,3244,0.15105332777096334,0.54045117,0.0383,0.039417077
2006-01-11 00:00:00+00,SHORT,1303,0.6987280047145138,0.46235082,0.0215,0.038549334
2006-01-12 00:00:00+00,SHORT,3244,0.1253131415103021,0.48319533,0.0383,0.042064447
2006-01-26 00:00:00+00,SHORT,1444,1.0,0.5743979,0.0146,0.03666625
2006-01-26 00:00:00+00,SHORT,4089,0.43265467120506457,0.5928708,0.2205,0.03287007
2006-01-30 00:00:00+00,SHORT,4089,0.30972877159863077,0.52500504,0.2205,0.03868177
2006-01-31 00:00:00+00,SHORT,4089,0.2413516690628239,0.5475939,0.2205,0.03868177
2006-02-06 00:00:00+00,SHORT,559,0.45846891705784387,0.6327691,0.1717,0.034882873
2006-02-06 00:00:00+00,SHORT,1462,0.42083923331671375,0.6319499,0.1753,0.031544026
2006-02-23 00:00:00+00,SHORT,3241,0.2886664806748552,0.596466,0.1752,0.039475325
2006-02-24 00:00:00+00,SHORT,3241,0.29335751846458635,0.56100285,0.1752,0.039475325
2006-02-27 00:00:00+00,SHORT,3791,0.23311760975623494,0.54176515,0.0786,0.035010546
2006-03-01 00:00:00+00,SHORT,562,0.5608167796148523,0.46059394,0.0602,0.038762685
2006-03-02 00:00:00+00,SHORT,562,0.4478522884617682,0.32734764,0.0602,0.038762685
2006-03-21 00:00:00+00,SHORT,675,0.3502396524388281,0.6199113,0.3079,0.042874616
2006-03-28 00:00:00+00,SHORT,2226,0.0,0.39284027,0.2185,0.042592753
2006-03-28 00:00:00+00,SHORT,2269,0.0,0.31623995,0.088,0.040121753
2006-03-29 00:00:00+00,SHORT,2226,0.0,0.3199321,0.2185,0.042592753
2006-03-30 00:00:00+00,SHORT,918,0.23985620319412376,0.5520978,0.0532,0.040377434
2006-03-30 00:00:00+00,SHORT,2999,0.6923636409027536,0.5373916,0.0151,0.03345066
2006-03-31 00:00:00+00,SHORT,773,0.3205023166573877,0.4594924,0.1369,0.034915544
2006-03-31 00:00:00+00,SHORT,918,0.1639899218621267,0.61139905,0.0532,0.035291906
2006-03-31 00:00:00+00,SHORT,2999,0.6420493373824687,0.5409521,0.0151,0.03345066
2006-04-03 00:00:00+00,SHORT,773,0.0,0.36387616,0.0548,0.04249951
2006-04-04 00:00:00+00,SHORT,1463,0.501200625779593,0.59744257,0.3053,0.033789672
2006-04-05 00:00:00+00,SHORT,1356,0.0,0.36242208,0.0374,0.042347163
2006-04-21 00:00:00+00,SHORT,594,1.0,0.5636254,0.0511,0.041125815
2006-04-21 00:00:00+00,SHORT,3078,0.318426529457642,0.39209944,0.0932,0.042955246
2006-04-24 00:00:00+00,SHORT,3078,0.30218700563294587,0.39408785,0.0932,0.042955246
2006-05-03 00:00:00+00,SHORT,3791,0.32810540748135114,0.5283893,0.0456,0.039166495
2006-05-04 00:00:00+00,SHORT,3791,0.34421927114577894,0.47399855,0.0456,0.042826183
2006-05-05 00:00:00+00,SHORT,3791,0.3104986529595696,0.45790705,0.0456,0.042826183
2006-05-08 00:00:00+00,SHORT,1260,0.6213817631250428,0.48209462,0.1061,0.035301924
2006-05-08 00:00:00+00,SHORT,3694,0.3913058283921888,0.48028436,0.0167,0.031165317
2006-05-09 00:00:00+00,SHORT,739,0.6022291932813684,0.576863,0.3711,0.04171351
2006-05-09 00:00:00+00,SHORT,1063,0.5071575628047225,0.49127263,0.4209,0.038665697
2006-05-09 00:00:00+00,SHORT,1260,0.5716784646871041,0.542569,0.1061,0.031013232
2006-05-09 00:00:00+00,SHORT,3694,0.20785169465723727,0.40572962,0.0167,0.037435554
2006-05-10 00:00:00+00,SHORT,2365,0.4405825745809458,0.5566925,0.041,0.03361164
2006-05-10 00:00:00+00,SHORT,1260,0.47838177996261294,0.47521567,0.1061,0.03720415
2006-05-10 00:00:00+00,SHORT,1474,0.9230769230769231,0.5743703,0.0677,0.038736816
2006-05-11 00:00:00+00,SHORT,2188,0.43922398984344546,0.5225858,0.0238,0.037699316
2006-05-11 00:00:00+00,SHORT,2196,0.7813920867768837,0.5529852,0.0314,0.042663027
2006-05-11 00:00:00+00,SHORT,2365,0.3300966590882247,0.46379888,0.041,0.04323483
2006-05-11 00:00:00+00,SHORT,1258,0.434569711253009,0.6089151,0.3929,0.035548367
2006-05-11 00:00:00+00,SHORT,3436,0.4130290559761827,0.32405698,0.0419,0.0303088
2006-05-11 00:00:00+00,SHORT,3694,0.23603405466810148,0.47956458,0.0167,0.03129225
2006-05-12 00:00:00+00,SHORT,1258,0.29534445564143436,0.5854876,0.3929,0.03730986
2006-05-12 00:00:00+00,SHORT,3694,0.16003144919974177,0.34724855,0.0167,0.042465698
2006-05-16 00:00:00+00,SHORT,1715,0.6342963561368693,0.5950888,0.6411,0.03461831
2006-07-11 00:00:00+00,SHORT,739,0.5173850419878527,0.5384903,0.4542,0.04101304
2006-07-11 00:00:00+00,SHORT,1139,0.22926456845848042,0.5010882,0.1289,0.037789803
2006-09-12 00:00:00+00,SHORT,2396,0.4823754067296573,0.53400564,0.6833,0.031173695
2006-09-19 00:00:00+00,SHORT,2396,0.4283289739507664,0.45451698,0.6833,0.037669946
2006-10-04 00:00:00+00,SHORT,3612,0.3031134201456247,0.5130886,0.0364,0.034390185
2006-10-05 00:00:00+00,SHORT,3612,0.25946640365176354,0.4387687,0.0364,0.03851673
2006-10-10 00:00:00+00,SHORT,1851,0.08719749317696225,0.39509737,0.0546,0.038747523
2006-10-17 00:00:00+00,SHORT,2042,0.5297112290529747,0.5644711,0.1144,0.04126398
2006-10-20 00:00:00+00,SHORT,1139,0.3447411304974584,0.5668204,0.0715,0.03335327
2006-10-23 00:00:00+00,SHORT,1139,0.35046381166325397,0.5477527,0.0715,0.03335327
2006-10-24 00:00:00+00,SHORT,1139,0.3186937613674044,0.49484643,0.0715,0.03570401
2006-10-31 00:00:00+00,SHORT,1,0.3723549729874233,0.56836677,0.6734,0.038183052
2006-11-02 00:00:00+00,SHORT,1175,0.1835383542277629,0.5155985,0.4421,0.041918658
2006-11-20 00:00:00+00,SHORT,3586,0.8036132947887428,0.62105525,0.1826,0.033209626
2006-11-21 00:00:00+00,SHORT,3586,0.5858418308259316,0.58975816,0.1826,0.03546951
2006-12-08 00:00:00+00,SHORT,1731,0.4106604684681305,0.38234508,0.1201,0.042219736
2006-12-11 00:00:00+00,SHORT,2877,0.11569240693248692,0.60363764,0.1518,0.03795768
2007-01-04 00:00:00+00,SHORT,1471,0.2261536006256074,0.40709403,0.0175,0.040245946
2007-01-05 00:00:00+00,SHORT,3973,0.33452519165314715,0.30480728,0.0175,0.033680655
2007-01-08 00:00:00+00,SHORT,3335,1.0,0.5153099,0.3392,0.03630478
2007-01-09 00:00:00+00,SHORT,3973,0.20021863850613086,0.32851997,0.0175,0.034866568
2007-02-07 00:00:00+00,SHORT,918,0.3925192731867296,0.45087904,0.1146,0.039213415
2007-02-08 00:00:00+00,SHORT,1514,1.0,0.5909004,0.5497,0.043269534
2007-02-09 00:00:00+00,SHORT,641,0.6344937131367526,0.5429509,0.0626,0.041707873
2007-02-14 00:00:00+00,SHORT,602,0.36209994703710063,0.44382298,0.0878,0.035715748
2007-02-15 00:00:00+00,SHORT,602,0.2876181415814229,0.38817945,0.0878,0.039040662
2007-02-15 00:00:00+00,SHORT,3885,0.5280786868435725,0.4769443,0.0339,0.041312568
2007-02-20 00:00:00+00,SHORT,52,0.17137884327780617,0.4042729,0.0245,0.04178873
2007-02-20 00:00:00+00,SHORT,212,1.0,0.3060757,0.4753,0.033730358
2007-02-20 00:00:00+00,SHORT,345,0.6347655471377825,0.43903157,0.1665,0.03398961
2007-02-21 00:00:00+00,SHORT,345,0.32654988257674383,0.33404738,0.1665,0.040656276
2007-02-22 00:00:00+00,SHORT,2095,0.4966110695728044,0.49684238,0.0742,0.04222302
2007-02-22 00:00:00+00,SHORT,1731,0.45456635128331835,0.6223891,0.1468,0.03219237
2007-02-22 00:00:00+00,SHORT,2018,0.5746007698716635,0.49214315,0.0552,0.038871296
2007-02-23 00:00:00+00,SHORT,2095,0.37720977644523773,0.5121611,0.0742,0.040522825
2007-02-23 00:00:00+00,SHORT,4197,0.3138012921934712,0.5708573,0.0492,0.03382991
2007-02-23 00:00:00+00,SHORT,345,0.1403280195958474,0.36494586,0.1665,0.036414806
2007-02-23 00:00:00+00,SHORT,684,0.1992511680496552,0.5890308,0.0835,0.04259431
2007-02-23 00:00:00+00,SHORT,2986,0.2584766122430864,0.49390495,0.1159,0.03808549
2007-02-23 00:00:00+00,SHORT,1731,0.3956613592278286,0.6327794,0.1468,0.031107342
2007-02-23 00:00:00+00,SHORT,2018,0.5188920553237332,0.574183,0.0552,0.031079909
2007-02-26 00:00:00+00,SHORT,4197,0.1022070238217237,0.54096055,0.034,0.03382991
2007-02-26 00:00:00+00,SHORT,2262,0.8095238095238095,0.32549632,0.0289,0.031717613
2007-02-26 00:00:00+00,SHORT,221,0.29393146170389167,0.3159227,0.0707,0.038857553
2007-02-26 00:00:00+00,SHORT,345,0.13923182637960377,0.31619358,0.1665,0.037650898
2007-02-26 00:00:00+00,SHORT,406,0.19032136769234242,0.41624022,0.0712,0.036878474
2007-02-26 00:00:00+00,SHORT,684,0.22541713622899578,0.5339862,0.185,0.04259431
2007-02-26 00:00:00+00,SHORT,1063,0.0,0.5040559,0.0227,0.037902486
2007-02-26 00:00:00+00,SHORT,3244,0.0,0.5533208,0.0803,0.04182883
2007-02-26 00:00:00+00,SHORT,1731,0.32230067392272405,0.55884624,0.2765,0.036233623
2007-02-26 00:00:00+00,SHORT,2018,0.6166232013023427,0.509858,0.0552,0.036935918
2007-03-01 00:00:00+00,SHORT,3561,0.0,0.35990033,0.6124,0.042597122
2007-04-11 00:00:00+00,SHORT,1853,0.6116161997699734,0.30949953,0.088,0.038825914
2007-04-17 00:00:00+00,SHORT,602,0.6734036459547353,0.4918636,0.1381,0.036440674
2007-04-18 00:00:00+00,SHORT,4194,0.34149643858615447,0.5848809,0.0249,0.03660548
2007-04-20 00:00:00+00,SHORT,2175,0.3369253756639878,0.46398133,0.4188,0.035763144
2007-04-23 00:00:00+00,SHORT,4194,0.1759519291293354,0.5788674,0.0249,0.04050505
2007-04-23 00:00:00+00,SHORT,2613,0.19690878243001575,0.62980807,0.1345,0.036660653
2007-04-24 00:00:00+00,SHORT,2613,0.247864583648558,0.61859316,0.1345,0.036660653
2007-04-24 00:00:00+00,SHORT,3381,0.6712377581415767,0.54680586,0.0205,0.031477086
2007-04-25 00:00:00+00,SHORT,3310,1.0,0.5656677,0.0245,0.04078366
2007-05-01 00:00:00+00,SHORT,3791,0.4111368125075799,0.48510236,0.3235,0.0336603
2007-05-03 00:00:00+00,SHORT,3791,0.262211478042597,0.460998,0.3235,0.034920152
2007-05-04 00:00:00+00,SHORT,3791,0.22165950807469234,0.38562766,0.3235,0.04132253
2007-05-15 00:00:00+00,SHORT,2270,0.45167813849942756,0.51253587,0.1785,0.0345842
2007-05-17 00:00:00+00,SHORT,2270,0.3668615865429361,0.46446845,0.1785,0.039241515
2007-05-18 00:00:00+00,SHORT,2270,0.31626654062917725,0.4351325,0.1785,0.039241515
2007-05-21 00:00:00+00,SHORT,2270,0.20054727506177994,0.42971626,0.1785,0.03976787
2007-05-22 00:00:00+00,SHORT,2270,0.2919294793154229,0.44328022,0.1785,0.03845716
2007-05-31 00:00:00+00,SHORT,2818,0.0,0.6346404,0.0814,0.030190106
2007-06-01 00:00:00+00,SHORT,3903,0.26032677204214283,0.36099163,0.0272,0.03346192
2007-06-04 00:00:00+00,SHORT,2986,0.0,0.47138312,0.3675,0.04323767
2007-06-04 00:00:00+00,SHORT,3838,0.288686455497879,0.5838101,0.4146,0.040424675
2007-06-04 00:00:00+00,SHORT,3903,0.5090054676544623,0.3117758,0.0272,0.03364305
2007-06-05 00:00:00+00,SHORT,3612,0.0,0.3800291,0.0315,0.033367816
2007-06-18 00:00:00+00,SHORT,195,0.7347632955274228,0.5612658,0.3838,0.032074902
2007-06-19 00:00:00+00,SHORT,195,0.8947368421052632,0.46955562,0.3838,0.040264633
2007-07-13 00:00:00+00,SHORT,1761,1.0,0.49863946,0.0903,0.040208466
2007-07-16 00:00:00+00,SHORT,2437,0.506155315377964,0.40553832,0.092,0.04131451
2007-07-16 00:00:00+00,SHORT,631,1.0,0.59696543,0.1621,0.041938037
2007-07-18 00:00:00+00,SHORT,1678,0.9375,0.47631592,0.0487,0.036788393
2007-07-19 00:00:00+00,SHORT,1678,0.875,0.55124307,0.0487,0.03000213
2007-07-20 00:00:00+00,SHORT,2430,0.09207240123936761,0.44206458,0.0353,0.02998544
2007-07-23 00:00:00+00,SHORT,2430,0.07374586484063965,0.41347158,0.0353,0.02998544
2007-07-23 00:00:00+00,SHORT,555,0.4924588062170818,0.45296293,0.0182,0.031610616
2007-07-23 00:00:00+00,SHORT,3065,1.0,0.59001845,0.0646,0.038991585
2007-07-23 00:00:00+00,SHORT,3309,0.9230769230769231,0.47824237,0.0194,0.031278227
2007-07-23 00:00:00+00,SHORT,3804,0.5508066965404357,0.6071155,0.0523,0.034015667
2007-07-24 00:00:00+00,SHORT,4223,1.0,0.4831929,0.1114,0.030626472
2007-07-24 00:00:00+00,SHORT,555,0.4756344560075898,0.3841807,0.0182,0.037353497
2007-07-25 00:00:00+00,SHORT,2430,0.11401244813301717,0.37396917,0.0353,0.038684033
2007-07-25 00:00:00+00,SHORT,555,0.5072257798260823,0.4087906,0.0182,0.03656373
2007-07-25 00:00:00+00,SHORT,1949,0.625,0.48712105,0.6131,0.038628347
2007-07-26 00:00:00+00,SHORT,411,0.9230769230769231,0.54358965,0.4061,0.038973197
2007-07-27 00:00:00+00,SHORT,411,0.4346797408886764,0.5289951,0.4061,0.038973197
2007-07-30 00:00:00+00,SHORT,411,0.7692307692307692,0.54846746,0.4061,0.038973197
2007-10-02 00:00:00+00,SHORT,411,1.0,0.55886394,0.3747,0.03962333
2007-10-08 00:00:00+00,SHORT,555,0.637708299154507,0.5724717,0.1996,0.043014515
2007-10-09 00:00:00+00,SHORT,220,1.0,0.6071973,0.1285,0.03262932
2007-10-09 00:00:00+00,SHORT,237,0.1622707057068263,0.5518957,0.2494,0.033817235
2007-10-09 00:00:00+00,SHORT,687,1.0,0.58774537,0.3176,0.03280358
2007-10-10 00:00:00+00,SHORT,121,0.6621454590656415,0.4252884,0.2102,0.039651025
2007-10-10 00:00:00+00,SHORT,220,0.8333333333333334,0.50901836,0.1285,0.03959191
2007-10-10 00:00:00+00,SHORT,687,0.3908804015587111,0.4941681,0.3176,0.0427704
2007-10-10 00:00:00+00,SHORT,995,1.0,0.6154116,0.1367,0.04251287
2007-10-11 00:00:00+00,SHORT,4128,0.4547599645088861,0.5060804,0.0113,0.04234518
2007-10-12 00:00:00+00,SHORT,4128,0.5370307544206036,0.49840245,0.0113,0.04234518
2007-10-12 00:00:00+00,SHORT,397,0.6259094921404492,0.5823437,0.3171,0.03456933
2007-10-12 00:00:00+00,SHORT,3052,0.15404018895894767,0.43769476,0.1367,0.034934573
2007-10-15 00:00:00+00,SHORT,3052,0.15348567859758827,0.43539804,0.1367,0.035133388
2007-10-16 00:00:00+00,SHORT,3052,0.09668692761200327,0.35741192,0.1367,0.036087587
2007-10-18 00:00:00+00,SHORT,3052,0.0,0.38446972,0.1367,0.03387047
2007-12-17 00:00:00+00,SHORT,773,0.9375,0.53318894,0.05,0.040674556
2008-01-15 00:00:00+00,SHORT,1300,0.17281308929099354,0.46031892,0.0369,0.04140296
2008-03-05 00:00:00+00,SHORT,3702,0.38869340023991,0.46722424,0.6699,0.042531766
2008-03-11 00:00:00+00,SHORT,2499,0.0,0.34700486,0.2016,0.036526415
2008-04-18 00:00:00+00,SHORT,1160,0.0,0.5347039,0.2102,0.036169145
2008-04-22 00:00:00+00,SHORT,4187,0.6604029462779085,0.5976838,0.1365,0.034908053
2008-04-23 00:00:00+00,SHORT,4187,0.4131913422762954,0.54929173,0.1365,0.03670909
2008-04-28 00:00:00+00,SHORT,4187,0.0,0.55655986,0.1365,0.03594847
2008-04-29 00:00:00+00,SHORT,4187,0.0,0.386328,0.1365,0.043087464
2008-04-30 00:00:00+00,SHORT,4187,0.0,0.37159377,0.1365,0.043087464
2008-05-23 00:00:00+00,SHORT,3804,0.6010093961889458,0.5912313,0.6266,0.036853056
2008-06-03 00:00:00+00,SHORT,3343,0.35035093012637714,0.6032402,0.2719,0.040783685
2009-06-12 00:00:00+00,SHORT,3702,0.12640864236945115,0.5184881,0.6007,0.03813454
