time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_13_100_df059,skew_weighted_20_df037
2005-01-13 00:00:00+00,LONG,2393,0.9054588123736603,24.0,-0.49797603
2005-02-08 00:00:00+00,LONG,1610,0.0,33.0,-0.55015844
2005-02-08 00:00:00+00,LONG,1807,0.0,61.0,-0.6484437
2005-02-09 00:00:00+00,LONG,1807,0.0,62.0,-0.502348
2005-03-11 00:00:00+00,LONG,3273,0.6578947368421053,33.0,-0.5297069
2005-03-14 00:00:00+00,LONG,3273,0.631578947368421,34.0,-0.58358157
2005-03-15 00:00:00+00,LONG,3273,0.6052631578947368,35.0,-0.5851888
2005-03-16 00:00:00+00,LONG,3273,0.5789473684210527,36.0,-0.5807403
2005-03-17 00:00:00+00,LONG,3273,0.5526315789473685,37.0,-0.51631373
2005-03-29 00:00:00+00,LONG,3273,0.2345806332715222,44.0,-0.49577662
2005-03-30 00:00:00+00,LONG,3273,0.3421052631578948,45.0,-0.5296056
2005-03-31 00:00:00+00,LONG,3273,0.3157894736842106,46.0,-0.5150343
2005-03-31 00:00:00+00,LONG,1848,0.8695652173913043,19.0,-0.4708018
2005-04-01 00:00:00+00,LONG,3273,0.15871974131079772,47.0,-0.5334845
2005-04-04 00:00:00+00,LONG,3273,0.11871293370153178,48.0,-0.5278211
2005-04-04 00:00:00+00,LONG,3872,0.8444444444444444,26.0,-0.4721731
2005-04-05 00:00:00+00,LONG,3872,0.8222222222222222,27.0,-0.53730017
2005-04-06 00:00:00+00,LONG,270,0.6366382507931319,52.0,-0.49194396
2005-04-06 00:00:00+00,LONG,3872,0.8,28.0,-0.48362657
2005-04-15 00:00:00+00,LONG,1383,1.0,36.0,-0.5044133
2005-04-15 00:00:00+00,LONG,3607,1.0,51.0,-0.56797475
2005-04-18 00:00:00+00,LONG,4112,1.0,40.0,-0.52188456
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,58.0,-0.60100794
