time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,revenue_growth_yoy_df063,dist_upper_bb_50_2.0_df055,price_to_sales_zscore_universe_df070
2005-10-19 00:00:00+00,SHORT,3907,0.0,-0.029111767,10.4,-0.014164149,-0.1016
2005-10-20 00:00:00+00,SHORT,2247,0.0,-0.0033731028,9.14,-0.0056479936,-0.0995
2005-10-21 00:00:00+00,SHORT,2247,0.0,-0.014381329,9.14,-0.013822166,-0.1
2005-10-27 00:00:00+00,SHORT,1220,0.0,-0.03238333,13.95,-0.006484567,-0.0894
2005-10-28 00:00:00+00,SHORT,1220,0.0,-0.03347161,13.95,-0.007550616,-0.0893
2005-11-01 00:00:00+00,SHORT,2728,0.0,-0.048260115,17.69,-0.011210651,-0.0827
2005-11-01 00:00:00+00,SHORT,791,0.4313754150742413,-0.017579347,-10.2,-0.008772493,-0.1037
2005-11-02 00:00:00+00,SHORT,2728,0.07779517781470109,-0.050829433,17.69,-0.013501746,-0.0829
2005-11-03 00:00:00+00,SHORT,2196,0.14990815891824077,3.2590053E-4,16.67,-0.007904223,-0.0821
2005-11-04 00:00:00+00,SHORT,2196,0.13604803089797654,-0.010515856,16.67,-0.014510764,-0.0823
2005-11-07 00:00:00+00,SHORT,443,0.0,-0.022120308,10.23,-0.013424578,-0.1039
2005-11-09 00:00:00+00,SHORT,2247,0.0,-0.025481327,9.14,-0.012906722,-0.1001
2005-11-10 00:00:00+00,SHORT,1175,0.0,-0.113580704,-9.2,-0.013400878,-0.1083
2005-11-11 00:00:00+00,SHORT,3825,0.31282776042010985,-0.031344783,1.12,-0.007018432,-0.109
2005-11-15 00:00:00+00,SHORT,687,0.44795595531665494,-0.048240837,13.72,-0.010895523,-0.1019
2005-11-17 00:00:00+00,SHORT,2018,0.44134420498049176,-0.08551266,14.62,-0.009226503,-0.0932
2005-11-18 00:00:00+00,SHORT,2018,0.41274569453717525,-0.0798026,14.62,-0.008315104,-0.0935
2005-11-25 00:00:00+00,SHORT,1816,0.22384546443674272,-0.038372353,10.03,-0.0088874055,-0.0946
2005-11-28 00:00:00+00,SHORT,2567,0.10480593119062279,-0.044766888,5.77,-0.014839224,-0.0989
2005-11-28 00:00:00+00,SHORT,1816,0.19530733674297213,-0.038224883,10.03,-0.013180717,-0.0941
2005-11-28 00:00:00+00,SHORT,3912,0.36845880443727913,-0.035222683,17.85,-0.013535563,-0.0977
2005-11-29 00:00:00+00,SHORT,907,0.39513906601819326,-0.04071499,4.54,-0.007716022,-0.0971
2005-11-29 00:00:00+00,SHORT,1816,0.18607574272731306,-0.036269356,10.03,-0.014478156,-0.0937
2005-12-01 00:00:00+00,SHORT,907,0.33137763919884994,-0.042246334,4.54,-0.009199984,-0.0946
2005-12-02 00:00:00+00,SHORT,907,0.3052863421317517,-0.044468205,4.54,-0.011900529,-0.0944
2005-12-05 00:00:00+00,SHORT,907,0.26390640006693844,-0.044761032,4.54,-0.013295951,-0.0946
2005-12-05 00:00:00+00,SHORT,1985,0.8333333333333334,-0.048477236,17.58,-0.00853984,-0.0825
2005-12-07 00:00:00+00,SHORT,3309,0.0,-0.047918946,3.77,-0.0133763915,-0.0918
2005-12-08 00:00:00+00,SHORT,9,0.3014510510919926,-0.049874656,14.56,-0.014905457,-0.1002
2005-12-08 00:00:00+00,SHORT,4172,0.0,-0.1268125,-13.68,-0.0055793375,-0.1048
2005-12-08 00:00:00+00,SHORT,1867,0.0,-0.03426687,20.31,-0.008235209,-0.1042
2005-12-09 00:00:00+00,SHORT,9,0.2879206218642852,-0.047373172,14.56,-0.014610954,-0.1004
2005-12-09 00:00:00+00,SHORT,3309,0.0,-0.04536589,3.77,-0.013936087,-0.092
2005-12-12 00:00:00+00,SHORT,1867,0.0,-0.04731557,20.31,-0.013790687,-0.1046
2005-12-15 00:00:00+00,SHORT,1173,0.12590614162701055,-0.054700185,19.28,-0.013321459,-0.0916
2005-12-16 00:00:00+00,SHORT,1306,0.22156593441457237,-0.05462432,-10.93,-0.013430938,-0.1035
2005-12-16 00:00:00+00,SHORT,4005,0.0,-0.034476254,-6.86,-0.0147884255,-0.095
