time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,weighted_neg_sum_20_df036
2005-01-12 00:00:00+00,SHORT,3610,0.0,-0.0033001127,0.07662209
2005-01-18 00:00:00+00,SHORT,505,0.3114394471744454,-0.0063054645,0.11161702
2005-01-19 00:00:00+00,SHORT,1719,0.4555826141662643,-0.007387706,0.08207204
2005-02-01 00:00:00+00,SHORT,3236,0.16502480273979028,-0.008834044,0.084921256
2005-02-02 00:00:00+00,SHORT,2508,0.0,-0.008555275,0.12572835
2005-02-02 00:00:00+00,SHORT,1719,0.7920163121280953,-0.0016407027,0.10119558
2005-02-03 00:00:00+00,SHORT,1719,0.7433708880848418,-0.008944917,0.09289683
2005-02-04 00:00:00+00,SHORT,4223,0.6330999778392027,-0.0018227367,0.09688745
2005-02-04 00:00:00+00,SHORT,3716,0.0,-0.0042127557,0.07619011
2005-02-11 00:00:00+00,SHORT,2479,0.0,-0.0088471845,0.08621282
2005-02-11 00:00:00+00,SHORT,1832,0.06744684778637837,-0.0059774746,0.09311684
2005-02-14 00:00:00+00,SHORT,2778,1.0,-0.0026570666,0.08188124
2005-02-15 00:00:00+00,SHORT,2778,0.9230769230769231,-0.008140589,0.08188124
2005-02-15 00:00:00+00,SHORT,1306,0.5272578017908387,-0.0024617198,0.0803803
2005-02-16 00:00:00+00,SHORT,2778,0.8461538461538461,-0.00799503,0.08188124
2005-02-16 00:00:00+00,SHORT,937,0.6229899694604561,-0.008575632,0.10000076
2005-02-16 00:00:00+00,SHORT,3127,0.6264284570020944,-0.005151551,0.13392575
2005-02-16 00:00:00+00,SHORT,3148,0.7114097838108906,-0.008996127,0.11423609
2005-02-17 00:00:00+00,SHORT,2352,0.359476250649854,-0.0016748193,0.078978404
2005-02-17 00:00:00+00,SHORT,370,0.48560892367643554,-0.0074206707,0.0771931
2005-02-17 00:00:00+00,SHORT,4089,0.5788111257695832,-0.007936014,0.1007938
2005-02-28 00:00:00+00,SHORT,1740,0.27067994537866985,-0.0054196455,0.092749156
2005-03-04 00:00:00+00,SHORT,1740,0.5637418617602477,-0.0058656167,0.11360157
2005-03-04 00:00:00+00,SHORT,1826,0.508428650487693,-0.006853108,0.083300106
2005-03-07 00:00:00+00,SHORT,2961,0.18810216170249863,-0.0076222452,0.08736453
2005-03-07 00:00:00+00,SHORT,3359,0.6503051574669447,-0.0032933466,0.079886764
2005-03-07 00:00:00+00,SHORT,2041,0.5581656950695252,-0.0066512623,0.12415643
2005-03-08 00:00:00+00,SHORT,4107,0.45146578723241276,-0.007197425,0.10188957
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,-0.008510188,0.0761154
