time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,accel_price_5_df021,ma_cloud_diff_8_50_df007
2005-05-05 00:00:00+00,LONG,2070,0.0,0.01570043,0.015601497,-0.088696994
2005-05-06 00:00:00+00,LONG,2070,0.0,0.008867658,-0.013403497,-0.09464154
2005-05-13 00:00:00+00,LONG,1453,0.0,0.021654146,-4.6620046E-4,-0.08308666
2005-05-16 00:00:00+00,LONG,2619,1.0,0.0070803803,-0.009596984,-0.10072576
2005-05-23 00:00:00+00,LONG,93,0.5998734216312184,0.02475064,-0.010786373,-0.13341242
2005-06-24 00:00:00+00,LONG,465,0.24462304883645797,0.028240671,0.0050348924,-0.07008413
2005-06-27 00:00:00+00,LONG,465,0.3001099167966306,0.015415065,0.0025562777,-0.075811625
2005-06-30 00:00:00+00,LONG,2731,1.0,0.027832959,0.018644342,-0.07143066
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,0.0042023915,0.037858516,-0.079222985
2005-07-14 00:00:00+00,LONG,3773,0.0,0.13756762,-0.025881497,-0.12995832
2005-08-08 00:00:00+00,LONG,3218,0.5073072532259819,0.012971967,0.0015157767,-0.073346384
2005-08-09 00:00:00+00,LONG,3218,0.8545671828717516,0.0072989264,-0.011555181,-0.07588002
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,0.052041538,-0.024894666,-0.07348155
2005-08-30 00:00:00+00,LONG,2554,0.8688668042808467,0.008168291,-0.0132100545,-0.10252344
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,0.02515582,-0.010745699,-0.07018095
2005-10-13 00:00:00+00,LONG,1185,0.11693589764759643,0.0043007107,0.044017747,-0.083090514
2005-10-13 00:00:00+00,LONG,1745,0.7997096934128503,0.0026806525,0.0128203705,-0.082505815
2005-10-14 00:00:00+00,LONG,68,0.0,0.0026362736,0.009621402,-0.074758776
2005-10-17 00:00:00+00,LONG,68,0.9361702127659575,0.007278559,0.031016007,-0.08128754
2005-10-19 00:00:00+00,LONG,3127,0.7669903421873017,0.006498148,0.006519793,-0.08627094
2005-10-19 00:00:00+00,LONG,3743,0.27572462351213717,0.0027665251,0.045399886,-0.09289316
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,0.03701929,-0.0015068185,-0.07221262
2005-10-20 00:00:00+00,LONG,4172,0.9767441860465116,0.0066995225,-0.007221331,-0.13582292
2005-10-20 00:00:00+00,LONG,3743,0.3508521145564711,0.017692456,-0.008182247,-0.09625767
2005-10-20 00:00:00+00,LONG,4059,1.0,0.012569446,-0.005725918,-0.074424274
2005-10-21 00:00:00+00,LONG,2050,0.9591836734693877,0.024205437,-0.009002478,-0.07870931
2005-10-21 00:00:00+00,LONG,3743,0.35667191292430456,0.00873575,-0.0062178457,-0.100971565
