time,side,ticker_id,mv_up_composite_labels,delta_pe_qoq_df028,joint_fall_flag_1_20_df042,ma_cloud_diff_13_100_df007,skew_weighted_20_df037
2005-04-29 00:00:00+00,LONG,975,0.41793223900069126,2.899603,0.0,-0.0851988,-0.37634176
2005-05-02 00:00:00+00,LONG,4218,0.2843782327083602,25.229893,0.0,0.007021004,-0.43176562
2005-05-02 00:00:00+00,LONG,975,0.8666666666666667,2.899603,0.0,-0.08718107,-0.36268032
2005-05-03 00:00:00+00,LONG,2070,0.0,-2.9024131,0.0,-0.08926384,-0.40855855
2005-05-04 00:00:00+00,LONG,2070,0.0,-2.9024131,0.0,-0.09256797,-0.34320104
2005-05-05 00:00:00+00,LONG,2137,0.08032117047841855,-3.0703392,0.0,-0.035176687,-0.41499394
2005-05-06 00:00:00+00,LONG,2137,0.08581014213921774,-3.0703392,0.0,-0.037927777,-0.4168057
2005-05-09 00:00:00+00,LONG,2137,0.08316295987362982,-3.0703392,0.0,-0.03838038,-0.40427005
2005-05-10 00:00:00+00,LONG,3378,0.13277518440094982,26.719048,0.0,-0.039520785,-0.43853903
2005-05-12 00:00:00+00,LONG,3378,0.08438219258354028,26.719048,0.0,-0.044603746,-0.356383
2005-05-13 00:00:00+00,LONG,3378,0.07920181115700177,26.719048,0.0,-0.046902485,-0.3600634
2005-05-16 00:00:00+00,LONG,1453,0.0,-7.295633,0.0,-0.052381523,-0.37842998
2005-05-17 00:00:00+00,LONG,1453,0.0,-7.295633,0.0,-0.055541936,-0.39971516
2005-05-24 00:00:00+00,LONG,450,0.8484848484848485,2.9719298,0.0,-0.036569327,-0.40170848
2005-05-25 00:00:00+00,LONG,93,0.5910547302083413,-6.7941175,0.0,-0.06959097,-0.3936323
2005-05-25 00:00:00+00,LONG,450,0.8181818181818181,2.9719298,0.0,-0.039374452,-0.41078147
2005-05-26 00:00:00+00,LONG,450,0.7878787878787878,2.9719298,0.0,-0.04288299,-0.4071131
2005-05-27 00:00:00+00,LONG,450,0.7575757575757576,2.9719298,0.0,-0.04469894,-0.36926654
2005-05-27 00:00:00+00,LONG,1167,0.7924528301886793,-11.316842,0.0,0.01383084,-0.40775675
2005-05-31 00:00:00+00,LONG,4169,0.09123624908018194,20.662748,0.0,-0.027773628,-0.39175537
2005-05-31 00:00:00+00,LONG,1167,0.7735849056603774,-11.316842,0.0,0.012377179,-0.41686577
2005-06-01 00:00:00+00,LONG,1167,0.7547169811320755,-11.316842,0.0,0.01140251,-0.3729086
2005-06-02 00:00:00+00,LONG,1167,0.7358490566037736,-11.316842,0.0,0.011137716,-0.3592701
2005-06-03 00:00:00+00,LONG,1167,0.7169811320754718,-11.316842,0.0,0.010584854,-0.39521298
2005-06-06 00:00:00+00,LONG,1167,0.6981132075471699,-11.316842,0.0,0.008741382,-0.35546818
2005-06-13 00:00:00+00,LONG,1141,1.0,-6.863025,0.0,-0.059092805,-0.3915999
2005-06-14 00:00:00+00,LONG,1141,0.9814814814814815,-6.863025,0.0,-0.063722335,-0.35239455
2005-06-15 00:00:00+00,LONG,1141,0.962962962962963,-6.863025,0.0,-0.06698265,-0.38644168
2005-06-16 00:00:00+00,LONG,142,0.01967850304363111,-15.944445,0.0,0.010843179,-0.43024835
2005-06-17 00:00:00+00,LONG,142,0.01952565486736256,-15.944445,0.0,0.0061964323,-0.34660286
2005-06-17 00:00:00+00,LONG,2018,0.84375,-3.2232223,0.0,-0.02094203,-0.34609914
2005-06-20 00:00:00+00,LONG,142,0.007013737876175444,-15.944445,0.0,-1.4448108E-4,-0.37217605
2005-06-23 00:00:00+00,LONG,3137,0.0,2.546798,0.0,-0.008507036,-0.3605523
2005-06-23 00:00:00+00,LONG,1175,0.44276219481735446,-11.316611,0.0,-0.026935255,-0.4112516
2005-06-27 00:00:00+00,LONG,2830,0.5093630078907634,-8.659146,0.0,-0.055618748,-0.358312
2005-06-27 00:00:00+00,LONG,2930,0.17450983462979433,-0.82539684,0.0,-0.042993177,-0.39052105
2005-06-28 00:00:00+00,LONG,1175,0.6521739130434783,-11.316611,0.0,-0.03182214,-0.38348606
2005-06-29 00:00:00+00,LONG,3828,0.38493893170384436,2.9030948,0.0,-0.06991251,-0.34154993
2005-06-30 00:00:00+00,LONG,2262,0.0,7.933717,0.0,0.0150862625,-0.3440808
2005-06-30 00:00:00+00,LONG,3828,0.448412550846984,2.9030948,0.0,-0.07236425,-0.35419527
2005-06-30 00:00:00+00,LONG,2042,0.8467511204415086,4.1578045,0.0,-0.059012648,-0.4019318
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,7.5874124,0.0,-0.098835975,-0.3990398
2005-07-07 00:00:00+00,LONG,2751,1.0,-8.350088,0.0,-0.015407004,-0.39818922
2005-07-07 00:00:00+00,LONG,1092,0.0,-0.54286987,0.0,-0.0073728105,-0.40197867
2005-07-07 00:00:00+00,LONG,3515,0.6269984845509984,27.233334,0.0,-0.04048794,-0.35262498
2005-07-07 00:00:00+00,LONG,3702,0.9786789295787729,3.5789473,0.0,-0.0063129477,-0.36508307
2005-07-12 00:00:00+00,LONG,1633,0.2969396952922606,9.434966,0.0,-0.040628932,-0.4265829
2005-07-13 00:00:00+00,LONG,1099,0.0,4.3290443,0.0,-0.07426636,-0.35372013
2005-07-13 00:00:00+00,LONG,1633,0.2899917511888513,9.434966,0.0,-0.04585959,-0.431499
