time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,earnings_drift_10_df011
2005-03-07 00:00:00+00,SHORT,2553,0.339363682436687,-0.009589685,0.0
2005-03-07 00:00:00+00,SHORT,516,0.5816076007064094,-0.010684951,0.0
2005-03-07 00:00:00+00,SHORT,641,0.24430411668534546,-0.00482129,0.0
2005-03-07 00:00:00+00,SHORT,2986,1.0,-0.012786452,0.0
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,-0.008987262,0.07471672
2005-03-07 00:00:00+00,SHORT,1299,0.6707059601389428,-0.0053659827,0.0
2005-03-07 00:00:00+00,SHORT,3355,1.0,-0.0037430474,0.0
2005-03-07 00:00:00+00,SHORT,3359,0.6503051574669447,-0.012229549,0.0
2005-03-08 00:00:00+00,SHORT,440,0.6034642438997424,-0.007449434,0.0
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,-0.0100174565,0.0
2005-03-08 00:00:00+00,SHORT,869,1.0,-0.011938724,0.0
2005-03-08 00:00:00+00,SHORT,3046,0.8397319692654984,-0.008588286,0.0
2005-03-08 00:00:00+00,SHORT,3124,0.5671183428946235,-0.012385331,0.0
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,-0.010859917,0.0
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,-0.012762605,0.0
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,-0.0047632824,0.0
2005-03-08 00:00:00+00,SHORT,3629,0.454467840182215,-0.010701576,0.0
2005-03-09 00:00:00+00,SHORT,2116,0.6668150181773671,0.008773042,0.0
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,-0.006966267,0.0
2005-03-10 00:00:00+00,SHORT,440,0.5025932986543172,-0.0070178886,0.0
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,-0.009913589,0.0
2005-03-11 00:00:00+00,SHORT,2116,0.414528882865282,-0.009143341,0.0
2005-03-11 00:00:00+00,SHORT,2343,0.541956378092684,-0.011981951,0.0
2005-03-14 00:00:00+00,SHORT,799,1.0,-0.012914545,0.0
2005-03-14 00:00:00+00,SHORT,3760,1.0,-0.01160593,0.0
