time,side,ticker_id,mv_dn_composite_labels,accel_price_21_df021,joint_fall_flag_1_10_df042,dist_upper_bb_20_2.0_df055,delta_volume_21_df024
2005-04-07 00:00:00+00,SHORT,2972,0.0,2.5256805E-4,1.0,-0.0150495395,-13000.0
2005-04-07 00:00:00+00,SHORT,1112,0.0,0.0071217776,1.0,-0.022682412,9100.0
2005-04-08 00:00:00+00,SHORT,2877,0.27571156422298876,-0.0039664903,1.0,-0.023632864,151600.0
2005-04-08 00:00:00+00,SHORT,1437,0.0,0.0077190837,1.0,-0.023292132,114500.0
2005-04-08 00:00:00+00,SHORT,3535,0.8571428571428572,0.005898057,1.0,-0.025677642,4795.0
2005-04-11 00:00:00+00,SHORT,2066,0.08694479591546696,-0.012139919,1.0,-0.025919268,544000.0
2005-04-12 00:00:00+00,SHORT,2870,0.0,-0.007226985,1.0,-0.016626235,129600.0
2005-04-12 00:00:00+00,SHORT,3124,0.3484514363837709,-0.017526858,1.0,-0.014816507,17200.0
2005-04-12 00:00:00+00,SHORT,1184,0.2903084302496058,-0.00496614,1.0,-0.022442702,123500.0
2005-04-12 00:00:00+00,SHORT,1585,0.1693846472355556,0.00394003,1.0,-0.023132198,1413800.0
2005-04-13 00:00:00+00,SHORT,2106,0.2346601191096805,-0.0024453145,1.0,-0.016127685,1109400.0
2005-04-13 00:00:00+00,SHORT,759,0.25375036257773487,-0.016973652,1.0,-0.02364464,2400.0
2005-04-13 00:00:00+00,SHORT,903,0.06264032904199261,0.0024074044,1.0,-0.026387893,1566500.0
2005-04-13 00:00:00+00,SHORT,3049,0.0,-0.01637483,1.0,-0.02079681,-115900.0
2005-04-13 00:00:00+00,SHORT,3124,0.46976116374108345,-0.0015489637,1.0,-0.025573583,2900.0
2005-04-13 00:00:00+00,SHORT,3310,0.3383925273560563,-0.008169183,1.0,-0.015520677,1435732.0
2005-04-14 00:00:00+00,SHORT,2175,0.35856465286216377,-0.0018968458,1.0,-0.023054618,826200.0
2005-04-14 00:00:00+00,SHORT,934,0.3561497804358121,-3.4464453E-4,1.0,-0.021696934,5300.0
2005-04-14 00:00:00+00,SHORT,3098,0.0,0.009800746,1.0,-0.024827026,440100.0
2005-04-15 00:00:00+00,SHORT,934,0.2972987845017355,-0.0165012,1.0,-0.023498848,3200.0
2005-04-20 00:00:00+00,SHORT,1437,0.0,-0.013250506,1.0,-0.02544635,186200.0
2005-04-22 00:00:00+00,SHORT,1437,0.0,-0.013904703,1.0,-0.026317755,-77200.0
2005-04-25 00:00:00+00,SHORT,2747,0.7777777777777778,-0.00843659,1.0,-0.023125317,296000.0
2005-05-05 00:00:00+00,SHORT,4136,0.625,-0.009138318,1.0,-0.022477318,12100.0
2005-05-05 00:00:00+00,SHORT,405,0.507199996588221,-0.01125698,1.0,-0.016639523,670200.0
2005-05-05 00:00:00+00,SHORT,3065,0.469035887435303,-0.007780194,1.0,-0.022339828,692200.0
2005-05-05 00:00:00+00,SHORT,3994,0.0,-0.012964154,1.0,-0.016017132,-4500.0
2005-05-06 00:00:00+00,SHORT,405,0.4900515406722923,-0.012644925,1.0,-0.020394707,656000.0
