time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,skew_weighted_10_df037,joint_fall_flag_5_10_df042
2005-02-08 00:00:00+00,LONG,918,0.7407407407407407,18.0,-0.28042677,1.0
2005-02-08 00:00:00+00,LONG,3912,0.0,19.0,-0.43807974,1.0
2005-02-09 00:00:00+00,LONG,3912,0.0,20.0,-0.3984463,1.0
2005-02-10 00:00:00+00,LONG,212,0.0,6.0,-0.31790787,1.0
2005-02-11 00:00:00+00,LONG,522,1.0,14.0,-0.26509425,1.0
2005-02-14 00:00:00+00,LONG,2070,0.0,6.0,-0.39328977,1.0
2005-02-14 00:00:00+00,LONG,3355,0.0,19.0,-0.44978377,1.0
2005-02-15 00:00:00+00,LONG,3355,0.0,20.0,-0.393881,1.0
2005-02-15 00:00:00+00,LONG,1667,0.09802296069202793,5.0,-0.37711576,1.0
2005-02-16 00:00:00+00,LONG,3355,0.0,21.0,-0.37949318,1.0
2005-02-22 00:00:00+00,LONG,2262,0.0,17.0,-0.3221367,1.0
2005-02-22 00:00:00+00,LONG,2710,0.0,18.0,-0.25931495,1.0
2005-02-22 00:00:00+00,LONG,1667,0.06732038759399823,9.0,-0.3622997,1.0
2005-02-23 00:00:00+00,LONG,2070,0.0,12.0,-0.35991162,1.0
2005-02-23 00:00:00+00,LONG,1667,0.06264987199673465,10.0,-0.34698913,1.0
2005-02-28 00:00:00+00,LONG,2070,0.0,15.0,-0.28898463,1.0
2005-02-28 00:00:00+00,LONG,3652,0.0,9.0,-0.37095082,1.0
2005-03-15 00:00:00+00,LONG,1677,0.9565217391304348,10.0,-0.30095682,1.0
2005-03-15 00:00:00+00,LONG,1678,0.9565217391304348,10.0,-0.30110782,1.0
2005-03-16 00:00:00+00,LONG,1064,0.0,13.0,-0.32209393,1.0
2005-03-16 00:00:00+00,LONG,1677,0.9130434782608696,11.0,-0.35974085,1.0
2005-03-16 00:00:00+00,LONG,1678,0.9130434782608696,11.0,-0.3598558,1.0
2005-03-17 00:00:00+00,LONG,1677,0.8695652173913043,12.0,-0.2624371,1.0
2005-03-17 00:00:00+00,LONG,1678,0.8695652173913043,12.0,-0.26223528,1.0
2005-03-22 00:00:00+00,LONG,1677,0.7391304347826086,15.0,-0.2579887,1.0
2005-03-22 00:00:00+00,LONG,1678,0.7391304347826086,15.0,-0.25803414,1.0
2005-03-23 00:00:00+00,LONG,2643,1.0,10.0,-0.30696723,1.0
2005-03-23 00:00:00+00,LONG,2778,0.6199868582132201,4.0,-0.27031264,1.0
2005-03-24 00:00:00+00,LONG,2778,0.6367556349232321,5.0,-0.33266494,1.0
2005-03-29 00:00:00+00,LONG,617,0.9841269841269842,5.0,-0.3983779,1.0
2005-03-31 00:00:00+00,LONG,3641,1.0,16.0,-0.28600764,1.0
2005-04-01 00:00:00+00,LONG,4223,0.5925976164451335,13.0,-0.3478526,1.0
2005-04-01 00:00:00+00,LONG,2643,0.0,16.0,-0.28091276,1.0
2005-04-01 00:00:00+00,LONG,617,0.9365079365079365,8.0,-0.33894542,1.0
2005-04-04 00:00:00+00,LONG,617,0.9206349206349207,9.0,-0.28120643,1.0
2005-04-06 00:00:00+00,LONG,1853,0.29677817477376567,5.0,-0.27302322,1.0
2005-04-11 00:00:00+00,LONG,2670,0.0,4.0,-0.43605846,1.0
2005-04-13 00:00:00+00,LONG,4223,0.40923389834192264,21.0,-0.46901834,1.0
2005-04-14 00:00:00+00,LONG,2248,0.0,10.0,-0.27236286,1.0
2005-04-14 00:00:00+00,LONG,4070,1.0,19.0,-0.29936653,1.0
2005-04-15 00:00:00+00,LONG,2248,0.0,11.0,-0.4608277,1.0
2005-04-15 00:00:00+00,LONG,3794,1.0,11.0,-0.4398821,1.0
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,12.0,-0.47048253,1.0
2005-04-20 00:00:00+00,LONG,1444,0.42508871845022395,17.0,-0.30587196,1.0
2005-04-20 00:00:00+00,LONG,1919,0.7777777777777778,18.0,-0.2932258,1.0
2005-04-20 00:00:00+00,LONG,2018,1.0,11.0,-0.4614204,1.0
2005-04-27 00:00:00+00,LONG,1423,0.0,17.0,-0.3356216,1.0
2005-04-28 00:00:00+00,LONG,424,0.33333333333333337,7.0,-0.38174012,1.0
2005-04-28 00:00:00+00,LONG,594,0.8501248371805982,13.0,-0.32729542,1.0
2005-04-28 00:00:00+00,LONG,1171,0.7498489855961122,5.0,-0.4713729,1.0
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,18.0,-0.3422524,1.0
2005-04-28 00:00:00+00,LONG,4005,0.9743589743589743,11.0,-0.39710945,1.0
2005-04-29 00:00:00+00,LONG,2196,0.37060612971215434,8.0,-0.2569474,1.0
2005-04-29 00:00:00+00,LONG,429,0.47781380887408664,7.0,-0.3414177,1.0
2005-04-29 00:00:00+00,LONG,1171,0.6879258396910838,6.0,-0.30116668,1.0
2005-04-29 00:00:00+00,LONG,3804,1.0,13.0,-0.40056896,1.0
2005-04-29 00:00:00+00,LONG,3837,0.23584412435664331,13.0,-0.3544686,1.0
2005-05-02 00:00:00+00,LONG,1171,0.7352148682434596,7.0,-0.38435048,1.0
2005-05-03 00:00:00+00,LONG,429,0.5686466051454291,9.0,-0.30095154,1.0
2005-05-03 00:00:00+00,LONG,1171,0.9491525423728814,8.0,-0.40343365,1.0
2005-05-03 00:00:00+00,LONG,1423,0.0,21.0,-0.30291677,1.0
2005-05-03 00:00:00+00,LONG,3748,0.9743589743589743,9.0,-0.3533659,1.0
2005-05-03 00:00:00+00,LONG,3804,0.9642857142857143,15.0,-0.2854225,1.0
2005-05-05 00:00:00+00,LONG,64,0.0,13.0,-0.37126404,1.0
2005-05-05 00:00:00+00,LONG,1064,0.5380217189004242,11.0,-0.35888696,1.0
