time,side,ticker_id,mv_dn_composite_labels,price_to_sales_rev_growth_zscore_universe_df073,dist_upper_bb_50_2.0_df055
2007-03-26 00:00:00+00,SHORT,3903,0.6528839608632377,-0.0643,0.015181883
2007-04-25 00:00:00+00,SHORT,3561,1.0,-0.0658,0.016825851
2007-04-26 00:00:00+00,SHORT,2508,0.0,-0.0573,0.015875472
2007-04-26 00:00:00+00,SHORT,796,0.0,-0.0664,0.018856095
2007-05-04 00:00:00+00,SHORT,153,0.0,-0.0628,0.043848287
2007-05-04 00:00:00+00,SHORT,3905,0.5049282665504579,-0.0621,0.03854645
2007-05-07 00:00:00+00,SHORT,4137,0.3806568339898254,-0.0595,0.01586189
2007-05-07 00:00:00+00,SHORT,153,0.11462955445107335,-0.0629,0.024380576
2007-05-07 00:00:00+00,SHORT,3905,0.3966753031501317,-0.0623,0.020395303
2007-05-08 00:00:00+00,SHORT,394,0.0,-0.065,0.03150517
2007-05-09 00:00:00+00,SHORT,394,0.0,-0.065,0.025813993
2007-05-15 00:00:00+00,SHORT,1377,0.08325595360512315,-0.0655,0.044226237
2007-05-16 00:00:00+00,SHORT,1377,0.0,-0.0654,0.020187108
2007-06-01 00:00:00+00,SHORT,2159,0.5603077319801868,-0.0641,0.027583402
2007-06-01 00:00:00+00,SHORT,3433,0.20976541122003606,-0.0591,0.019614995
2007-06-04 00:00:00+00,SHORT,4123,0.0,-0.0582,0.019110013
2007-06-05 00:00:00+00,SHORT,3686,0.0,-0.0575,0.038364906
2007-06-06 00:00:00+00,SHORT,3686,0.0,-0.0575,0.018001383
2007-06-08 00:00:00+00,SHORT,4172,0.7491017635942121,-0.0606,0.055360045
2007-06-15 00:00:00+00,SHORT,2297,0.250247732153762,-0.0639,0.031236298
2007-06-19 00:00:00+00,SHORT,2297,0.41359236525651166,-0.0638,0.016220653
2007-06-22 00:00:00+00,SHORT,2408,1.0,-0.0578,0.015314818
2007-07-12 00:00:00+00,SHORT,3851,1.0,-0.0576,0.03653588
2007-07-13 00:00:00+00,SHORT,897,1.0,-0.0575,0.04035739
2007-07-19 00:00:00+00,SHORT,1770,1.0,-0.0579,0.015613908
2007-07-19 00:00:00+00,SHORT,2041,1.0,-0.0574,0.034345698
2007-07-23 00:00:00+00,SHORT,433,1.0,-0.0576,0.040253688
2007-07-23 00:00:00+00,SHORT,2569,0.42176836349915336,-0.058,0.017813215
2007-07-23 00:00:00+00,SHORT,2041,1.0,-0.0574,0.0234761
2007-08-02 00:00:00+00,SHORT,487,0.3056436021183605,-0.0587,0.025889054
2007-08-02 00:00:00+00,SHORT,1867,0.14193559019368251,-0.0584,0.016415197
2007-09-06 00:00:00+00,SHORT,1454,1.0,-0.0596,0.021679085
2007-09-27 00:00:00+00,SHORT,4073,1.0,-0.057,0.019676274
2007-10-08 00:00:00+00,SHORT,2297,0.0,-0.0638,0.04379723
2007-10-08 00:00:00+00,SHORT,2041,1.0,-0.0578,0.037151385
2007-10-10 00:00:00+00,SHORT,4112,1.0,-0.0636,0.04676928
2007-10-11 00:00:00+00,SHORT,900,0.48590513077700537,-0.0612,0.04834986
2007-10-12 00:00:00+00,SHORT,900,0.4866785225331431,-0.0614,0.021687593
2007-10-12 00:00:00+00,SHORT,1377,1.0,-0.0634,0.033087485
2007-11-07 00:00:00+00,SHORT,2297,0.0,-0.0652,0.043866035
2007-11-07 00:00:00+00,SHORT,1454,0.6929733257012844,-0.0626,0.04756451
2007-11-08 00:00:00+00,SHORT,2297,1.0,-0.0651,0.04790388
2007-11-08 00:00:00+00,SHORT,3851,0.451968609056299,-0.0607,0.017283257
2007-11-09 00:00:00+00,SHORT,2932,0.0,-0.0584,0.040783804
2007-12-12 00:00:00+00,SHORT,2221,1.0,-0.0632,0.017491713
2007-12-28 00:00:00+00,SHORT,1770,0.8947368421052632,-0.0589,0.043751717
2008-01-03 00:00:00+00,SHORT,2896,1.0,-0.0637,0.03079294
2008-01-09 00:00:00+00,SHORT,3702,0.4036446375187326,-0.0605,0.03134599
2008-01-14 00:00:00+00,SHORT,2508,1.0,-0.0579,0.04146957
2008-01-14 00:00:00+00,SHORT,629,1.0,-0.0614,0.039622903
2008-01-16 00:00:00+00,SHORT,427,1.0,-0.0656,0.02787468
2008-01-31 00:00:00+00,SHORT,3513,0.716868887270339,-0.0619,0.04738644
2008-02-01 00:00:00+00,SHORT,2710,0.6301200179672204,-0.0665,0.026989311
2008-02-26 00:00:00+00,SHORT,2508,1.0,-0.0572,0.018994005
2008-03-24 00:00:00+00,SHORT,918,0.41232202165349024,-0.0632,0.01659663
2008-03-25 00:00:00+00,SHORT,780,1.0,-0.0649,0.027429935
2008-03-26 00:00:00+00,SHORT,1838,0.0,-0.0603,0.034152985
2008-04-02 00:00:00+00,SHORT,3915,0.331320070328812,-0.0595,0.016771993
2008-04-04 00:00:00+00,SHORT,3198,0.22598168908238972,-0.062,0.044187915
2008-04-07 00:00:00+00,SHORT,2305,0.5939590037608143,-0.0597,0.02766736
2008-04-07 00:00:00+00,SHORT,502,0.0,-0.0614,0.019038815
2008-04-07 00:00:00+00,SHORT,3198,0.19895213114954985,-0.062,0.018510886
2008-04-07 00:00:00+00,SHORT,1191,0.5535581829395407,-0.0659,0.025382683
2008-04-07 00:00:00+00,SHORT,3694,0.510080641259827,-0.0584,0.016670723
2008-04-08 00:00:00+00,SHORT,960,0.47649224247206057,-0.066,0.035164054
2008-04-08 00:00:00+00,SHORT,3763,0.06135006101485445,-0.0604,0.04922688
2008-04-18 00:00:00+00,SHORT,1069,1.0,-0.066,0.015885731
2008-04-18 00:00:00+00,SHORT,1361,0.0,-0.0653,0.015976235
2008-04-18 00:00:00+00,SHORT,1908,0.0,-0.0609,0.05181752
