time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,dist_high52_vol_norm_20_df015,dist_lower_bb_20_2.5_df055,dist_lower_bb_20_2.0_df055,earnings_price_gap_df010
2023-03-17 00:00:00+00,LONG,2765,0.8666666666666667,-0.16875653,-0.35874438,-0.07855777,-0.047831144,0.0
2023-03-17 00:00:00+00,LONG,835,0.40027088480862794,-0.10977702,-0.33870175,-0.057929963,-0.03137436,0.0
2023-03-17 00:00:00+00,LONG,3487,0.9411764705882353,-0.13446328,-0.378104,-0.02826863,0.0010605177,0.0
2023-03-20 00:00:00+00,LONG,2557,0.6011861070246631,-0.099928625,-0.3607245,-0.054058734,-0.030201474,0.0
2023-03-20 00:00:00+00,LONG,2765,0.6120675300120563,-0.1406417,-0.41509518,-0.07563145,-0.049945988,0.0
2023-03-20 00:00:00+00,LONG,2912,0.9268292682926829,-0.14893617,-0.36910805,-0.10977386,-0.070357166,0.0
2023-03-23 00:00:00+00,LONG,2557,0.5797745666033671,-0.09237537,-0.35533997,-0.060193464,-0.033484634,0.0
2023-03-23 00:00:00+00,LONG,1039,1.0,-0.09513082,-0.34886518,-0.004318237,0.0069539277,0.0
2023-03-23 00:00:00+00,LONG,3825,0.0,-0.09167477,-0.3662708,-0.01144536,-6.883146E-4,0.0
2023-03-24 00:00:00+00,LONG,2050,0.0,-0.15163472,-0.38682923,-0.06388051,-0.029231513,0.0
2023-03-24 00:00:00+00,LONG,2213,0.1631767748169803,-0.11869031,-0.34551096,-0.074045055,-0.050272807,0.0
2023-03-24 00:00:00+00,LONG,3825,0.0,-0.084990375,-0.41463232,-0.025450103,-0.016053023,0.0
2023-03-24 00:00:00+00,LONG,1851,0.63263388825184,-0.13198847,-0.4010557,-0.056279343,-0.028950423,0.0
2023-03-24 00:00:00+00,LONG,1992,1.0,-0.08543026,-0.3680562,-0.034909315,-0.01854945,0.0
2023-03-27 00:00:00+00,LONG,2050,0.0,-0.12492869,-0.370892,-0.09418748,-0.057943568,0.0
2023-03-27 00:00:00+00,LONG,3774,0.9615384615384616,-0.15364851,-0.3952839,-0.07770913,-0.04590465,0.0
2023-03-27 00:00:00+00,LONG,1851,0.5511395237971112,-0.10836278,-0.39670217,-0.06897338,-0.04117258,0.0
2023-03-28 00:00:00+00,LONG,2050,0.38881617547993097,-0.105895825,-0.37048852,-0.11617618,-0.080283664,0.0
2023-03-28 00:00:00+00,LONG,2213,0.0,-0.09019426,-0.3995874,-0.08050275,-0.06070953,0.0
2023-03-28 00:00:00+00,LONG,835,0.0,-0.10796192,-0.34675965,-0.0863255,-0.05920809,0.0
2023-03-28 00:00:00+00,LONG,3774,0.0,-0.14616193,-0.40752637,-0.07095578,-0.039318778,0.0
2023-03-28 00:00:00+00,LONG,1851,0.47377539411821196,-0.10714286,-0.39052176,-0.08246215,-0.054203186,0.0
2023-03-29 00:00:00+00,LONG,835,0.0,-0.086376555,-0.36953473,-0.09727926,-0.07177957,0.0
2023-03-29 00:00:00+00,LONG,3774,0.8846153846153846,-0.109408036,-0.38961264,-0.113663055,-0.08130658,0.0
