time,side,ticker_id,mv_dn_composite_labels,price_roc_5_df020,accel_price_5_df021,dist_upper_bb_20_2.0_df055
2005-03-08 00:00:00+00,SHORT,1423,1.0,0.03538545,-0.008905712,-0.011465001
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,0.038011696,-6.3827686E-4,-0.005993986
2005-03-08 00:00:00+00,SHORT,1532,0.776713155663753,0.03884038,0.028710185,-0.01407408
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,0.041691843,-0.025266856,4.7820073E-4
2005-03-09 00:00:00+00,SHORT,2070,0.8171119053706654,0.041348163,-0.016526235,-0.00551752
2005-03-10 00:00:00+00,SHORT,2070,0.47768993264186443,0.03179489,-0.009553272,-0.012950341
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,0.042137273,0.0019635477,-0.0012670251
2005-03-11 00:00:00+00,SHORT,2116,0.414528882865282,0.04522968,0.016089668,9.080374E-4
2005-03-14 00:00:00+00,SHORT,2116,0.3599915179006148,0.03827073,-0.006958952,-0.012667412
2005-03-15 00:00:00+00,SHORT,853,0.3347216231677513,0.038161993,0.019714646,-0.01422083
2005-03-18 00:00:00+00,SHORT,4137,1.0,0.0474477,0.01482611,-0.014104383
2005-03-18 00:00:00+00,SHORT,2896,0.3963773700705569,0.038149435,0.0062391013,-0.010309942
2005-03-22 00:00:00+00,SHORT,3116,0.3560906170088845,0.036414567,0.009689396,-0.009484863
2005-03-22 00:00:00+00,SHORT,3613,0.0,0.048114434,0.010630481,-0.013316044
2005-03-24 00:00:00+00,SHORT,2923,0.7426934883973229,0.05421687,-0.023655877,-0.010957261
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,0.033563316,-0.020748688,-0.0045424863
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,0.039625105,0.00606179,-0.0023373838
2005-03-31 00:00:00+00,SHORT,443,0.5583644958462168,0.05098268,0.015843874,-8.349577E-4
2005-04-04 00:00:00+00,SHORT,897,1.0,0.050547022,-0.0018442712,-0.011820786
2005-04-05 00:00:00+00,SHORT,4107,0.3899437197105773,0.037002917,0.020557534,-0.0145968925
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.035828877,0.012449494,-0.0033822407
2005-04-06 00:00:00+00,SHORT,4123,0.32686694992656024,0.043956045,-0.0067685936,-0.014313757
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,0.032270387,-0.0048055165,-5.0202396E-4
2005-04-06 00:00:00+00,SHORT,897,0.8571428571428572,0.051597957,0.0063405363,-0.005583469
2005-04-06 00:00:00+00,SHORT,1770,0.5591253411490623,0.049284175,-0.0010111717,-0.0069386996
2005-04-07 00:00:00+00,SHORT,2396,0.1433696552725832,0.03205298,-0.0043638195,-0.01229506
2005-04-07 00:00:00+00,SHORT,602,0.33509846747500505,0.041351672,-0.010016897,-0.006264409
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,0.0387922,0.014447826,-0.0013422265
2005-04-08 00:00:00+00,SHORT,4169,0.44749147929464067,0.03462438,-0.009461842,-0.0056361672
2005-04-08 00:00:00+00,SHORT,2261,0.0,0.050479557,0.010619068,-0.0072018253
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,0.03896654,-0.01759696,-0.00623316
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,0.054100472,0.0013793838,-0.008747363
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,0.033211347,0.0010266008,-0.0013873163
2005-04-11 00:00:00+00,SHORT,444,0.4628760955601689,0.04907844,0.0101119,-0.013840206
2005-04-12 00:00:00+00,SHORT,2055,0.429270346664699,0.034744702,0.018935148,-0.014719173
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,0.03545401,0.018544845,-0.0030956252
2005-04-12 00:00:00+00,SHORT,2261,0.0,0.037037037,9.105945E-4,-0.007319341
2005-04-12 00:00:00+00,SHORT,1306,0.29191918112591086,0.04804212,0.015319606,-0.013395837
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,0.038652483,-0.010267354,-0.004371628
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,0.044889502,0.018727712,-3.1545834E-4
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,0.044104412,0.0055854497,-9.878785E-4
2005-04-26 00:00:00+00,SHORT,2548,0.5663916510483348,0.051854584,-0.018071508,-0.006375746
2005-04-26 00:00:00+00,SHORT,3641,0.2294078894245929,0.049356222,-0.0088311015,-0.012136237
2005-04-29 00:00:00+00,SHORT,2116,0.1724030228044281,0.036414567,0.016612586,-0.003585682
2005-05-03 00:00:00+00,SHORT,2961,0.11961145076506714,0.043905992,-0.0026014582,-0.012759701
2005-05-03 00:00:00+00,SHORT,1361,0.2933664969315958,0.04191711,-0.0018723633,-0.011824314
2005-05-04 00:00:00+00,SHORT,2527,0.0,0.04299791,0.018593147,-0.005477686
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,0.042637046,-0.0012689461,-0.0044464017
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,0.03564479,-0.006272321,-0.008750381
2005-05-06 00:00:00+00,SHORT,1298,0.0,0.03773585,-0.02509445,-0.008134824
2005-05-06 00:00:00+00,SHORT,3586,1.0,0.03885135,0.003286498,-0.009980223
2005-05-11 00:00:00+00,SHORT,610,0.0,0.036103543,0.039119627,-0.0019510891
2005-05-11 00:00:00+00,SHORT,3573,0.0,0.05208764,0.00406384,-0.002952052
2005-05-19 00:00:00+00,SHORT,2462,1.0,0.034258712,0.0027045985,-0.008146161
2005-05-20 00:00:00+00,SHORT,167,0.546897658975487,0.045045044,0.024893912,-0.011601787
2005-05-20 00:00:00+00,SHORT,4059,0.0,0.0325638,0.010108275,-0.010298294
2005-05-27 00:00:00+00,SHORT,3794,0.345718839790073,0.048556097,0.026634097,-0.009888352
2005-06-01 00:00:00+00,SHORT,505,1.0,0.037027378,0.037283067,-0.0045451126
