time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,normalized_3m_df003,pe_ratio_sector_relative_df083
2006-02-23 00:00:00+00,LONG,3837,0.0,-0.125,0.293617,-0.0698
2006-02-24 00:00:00+00,LONG,1444,0.0,-0.12132939,0.24896266,0.1653
2006-03-16 00:00:00+00,LONG,2518,0.9090909090909091,-0.18629672,0.45679012,0.2191
2006-03-27 00:00:00+00,LONG,2518,0.0,-0.17425083,0.5387755,0.2195
2006-03-28 00:00:00+00,LONG,2518,0.0,-0.12158394,0.5387755,0.2195
2006-06-08 00:00:00+00,LONG,3127,0.0,-0.13241206,0.5936255,0.0781
2006-06-14 00:00:00+00,LONG,2272,0.0,-0.16343284,0.26587301,-0.9223
2006-06-20 00:00:00+00,LONG,2272,0.0,-0.1349454,0.576,-0.9322
2006-07-20 00:00:00+00,LONG,3699,0.6472556795067244,-0.16078985,0.24896266,0.1832
2006-07-28 00:00:00+00,LONG,2870,1.0,-0.15081769,0.3320158,0.1636
2006-08-09 00:00:00+00,LONG,1650,0.9523809523809523,-0.15424775,0.24444444,0.2541
2006-08-10 00:00:00+00,LONG,4034,1.0,-0.15771998,0.32931727,-0.2953
2006-08-11 00:00:00+00,LONG,4034,0.962962962962963,-0.12193008,0.33858266,-0.3027
2006-08-14 00:00:00+00,LONG,68,1.0,-0.12021684,0.29359823,0.2246
2006-08-14 00:00:00+00,LONG,1650,0.8095238095238095,-0.12932605,0.37086093,0.2574
2006-08-17 00:00:00+00,LONG,68,0.6015320438286623,-0.12132583,0.29867256,0.2157
2006-09-25 00:00:00+00,LONG,498,0.489519317298906,-0.124576434,0.3824176,0.2627
2006-10-02 00:00:00+00,LONG,2661,0.0,-0.18436073,0.42352942,-0.2981
2006-10-03 00:00:00+00,LONG,2661,0.0,-0.1891892,0.40784314,-0.2949
2006-10-03 00:00:00+00,LONG,1960,1.0,-0.15853658,0.45882353,-0.1227
2006-10-04 00:00:00+00,LONG,323,0.0,-0.12664342,0.4463895,0.1903
2006-10-04 00:00:00+00,LONG,2661,0.0,-0.1291866,0.43253967,-0.3026
2006-10-04 00:00:00+00,LONG,1960,0.9545454545454546,-0.14653465,0.49603173,-0.1269
2006-10-05 00:00:00+00,LONG,3116,0.0,-0.14258699,0.35826772,0.2115
2006-10-06 00:00:00+00,LONG,3116,0.20893052548496727,-0.15769522,0.3529412,0.2089
2006-10-09 00:00:00+00,LONG,3116,0.29748445164347304,-0.1420095,0.36078432,0.2038
2006-10-10 00:00:00+00,LONG,2272,0.4437253966442237,-0.16776316,0.3019608,-0.7832
2006-10-11 00:00:00+00,LONG,2272,0.48472207790205196,-0.17276964,0.28235295,-0.7795
