time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_zscore_universe_df070
2005-03-16 00:00:00+00,SHORT,3244,0.5780268191115989,-0.008401427,0.0365
2005-03-17 00:00:00+00,SHORT,2430,0.2268285944353561,-0.011086075,0.0385
2005-03-17 00:00:00+00,SHORT,643,0.4729324333948617,-4.406736E-4,0.0402
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,-0.0016665481,0.0371
2005-03-17 00:00:00+00,SHORT,3471,0.631578947368421,-0.008977623,-0.009
2005-03-18 00:00:00+00,SHORT,2430,0.19138595481952242,-0.009441562,0.0383
2005-03-18 00:00:00+00,SHORT,2747,0.8571428571428572,-0.009138321,0.0369
2005-03-18 00:00:00+00,SHORT,712,1.0,0.008717177,0.0456
2005-03-18 00:00:00+00,SHORT,2896,0.3963773700705569,-0.010309942,0.0402
2005-03-18 00:00:00+00,SHORT,3179,0.0750478047647046,-0.00813907,0.0384
2005-03-18 00:00:00+00,SHORT,1949,0.0,-0.009733159,0.0381
2005-03-21 00:00:00+00,SHORT,4107,0.0,-0.01176316,0.0366
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,-0.0022236304,0.0373
2005-03-22 00:00:00+00,SHORT,3116,0.3560906170088845,-0.009484863,-0.0038
2005-03-22 00:00:00+00,SHORT,3794,1.0,0.0012354619,-0.005
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.008176483,0.0377
2005-03-28 00:00:00+00,SHORT,1471,0.41979277603375054,-0.004582571,-0.0069
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,-0.0045424863,0.0373
2005-03-30 00:00:00+00,SHORT,4194,1.0,0.0049861157,-0.0077
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,-0.0023373838,0.0374
2005-03-31 00:00:00+00,SHORT,2430,0.06610452502445582,-0.010850081,0.0229
2005-03-31 00:00:00+00,SHORT,443,0.5583644958462168,-8.349577E-4,0.022
2005-03-31 00:00:00+00,SHORT,559,0.0,-0.012162837,0.0232
2005-04-01 00:00:00+00,SHORT,730,0.4511181226669267,-0.004923913,0.0431
2005-04-01 00:00:00+00,SHORT,3613,0.7390763237054241,0.002739053,0.0459
2005-04-04 00:00:00+00,SHORT,897,1.0,-0.011820786,0.0378
2005-04-04 00:00:00+00,SHORT,1173,0.6983908451872511,-0.005079767,0.0414
2005-04-04 00:00:00+00,SHORT,1280,0.6986940717307935,0.0038237611,0.045
2005-04-05 00:00:00+00,SHORT,2396,0.1464707123754119,-0.010071215,0.0374
2005-04-05 00:00:00+00,SHORT,1280,0.9333333333333333,-0.008458813,0.0449
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,-0.0033822407,-0.0133
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.0018128408,0.0384
2005-04-06 00:00:00+00,SHORT,2396,0.16647576061283764,-0.0078288065,0.0374
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,-5.0202396E-4,-0.0136
2005-04-06 00:00:00+00,SHORT,2896,0.5088646898349416,-0.011089428,0.0415
2005-04-06 00:00:00+00,SHORT,897,0.8571428571428572,-0.005583469,0.0377
2005-04-06 00:00:00+00,SHORT,2972,0.0,-0.011862476,0.0394
2005-04-06 00:00:00+00,SHORT,1112,0.2377573722518458,-0.010308713,-0.0102
2005-04-06 00:00:00+00,SHORT,1114,0.8125,-0.010476435,-0.0121
