time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,vola_roc_5_20_df040
2005-04-20 00:00:00+00,LONG,1585,0.8334224316755204,0.020287618,0.08500412
2005-04-20 00:00:00+00,LONG,1719,0.9583333333333334,0.03527362,0.81654125
2005-04-20 00:00:00+00,LONG,1840,0.4854310909692417,0.017581241,0.1621914
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,0.02425727,1.6382275
2005-04-22 00:00:00+00,LONG,2408,0.40381221097595876,0.03070921,0.20256089
2005-04-27 00:00:00+00,LONG,220,1.0,0.017606257,-0.08499297
2005-04-27 00:00:00+00,LONG,3443,1.0,0.040054888,0.11174939
2005-04-27 00:00:00+00,LONG,1423,0.0,0.020063527,0.42435983
2005-04-28 00:00:00+00,LONG,4163,0.8862829657709914,0.021654783,-0.095680706
2005-04-28 00:00:00+00,LONG,3271,0.6460202454213304,0.08632203,1.3137674
2005-04-28 00:00:00+00,LONG,3378,0.11232778106922961,0.030122329,1.347259
2005-04-28 00:00:00+00,LONG,3443,0.9666666666666667,0.019785207,0.30502027
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,0.027671346,0.36828575
2005-04-28 00:00:00+00,LONG,1807,1.0,0.037080888,0.15352449
2005-04-29 00:00:00+00,LONG,3271,0.6121794578258031,0.059246972,1.431849
2005-04-29 00:00:00+00,LONG,1700,1.0,0.015805228,-0.23442112
2005-05-02 00:00:00+00,LONG,3748,1.0,0.035468306,1.1155996
2005-05-03 00:00:00+00,LONG,2070,0.0,0.05405838,0.7519679
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,0.037566103,0.17959382
2005-05-04 00:00:00+00,LONG,2070,0.0,0.024635613,0.9100984
2005-05-05 00:00:00+00,LONG,1064,0.5380217189004242,0.020802343,0.19389336
2005-05-12 00:00:00+00,LONG,2518,1.0,0.061570954,1.0839001
2005-05-13 00:00:00+00,LONG,2253,0.4669599330159069,0.018172301,0.08912434
2005-05-13 00:00:00+00,LONG,1039,1.0,0.020906532,0.67009306
2005-05-13 00:00:00+00,LONG,1297,0.6474551902287213,0.022976622,1.3977704
2005-05-13 00:00:00+00,LONG,1453,0.0,0.021654146,1.359586
2005-05-16 00:00:00+00,LONG,4123,1.0,0.01740873,-0.20045339
2005-05-16 00:00:00+00,LONG,4187,1.0,0.025216395,0.2962635
2005-05-16 00:00:00+00,LONG,897,1.0,0.029027127,-0.03653569
2005-05-16 00:00:00+00,LONG,3283,1.0,0.04361034,0.11331565
2005-05-16 00:00:00+00,LONG,1770,1.0,0.017616633,0.12830146
2005-05-17 00:00:00+00,LONG,335,1.0,0.021090763,0.27206713
2005-06-03 00:00:00+00,LONG,457,0.2900025597388019,0.016631521,1.0006192
2005-06-27 00:00:00+00,LONG,4172,0.4404481180943399,0.028789576,0.18286149
2005-06-27 00:00:00+00,LONG,3828,0.45273901027559516,0.022339359,0.76388276
2005-06-30 00:00:00+00,LONG,2731,1.0,0.027832959,0.58680457
2005-07-28 00:00:00+00,LONG,4194,1.0,0.01735523,-0.09636592
2005-07-28 00:00:00+00,LONG,3531,0.694770770808545,0.025793023,0.07591867
2005-07-29 00:00:00+00,LONG,3531,0.5987243398944982,0.017147379,0.34605783
2005-08-08 00:00:00+00,LONG,3621,0.2282085577850403,0.03959158,0.9760104
2005-08-09 00:00:00+00,LONG,3621,0.19999966178411377,0.026034916,1.0775965
2005-08-10 00:00:00+00,LONG,3621,0.15629590832044318,0.022464698,1.2125511
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,0.052041538,0.17610629
2005-08-19 00:00:00+00,LONG,3586,0.5985302269106966,0.029567346,1.1410581
2005-08-30 00:00:00+00,LONG,1807,1.0,0.049175613,0.98404104
2005-09-07 00:00:00+00,LONG,2462,0.2978283771978657,0.07485647,0.88399065
2005-09-21 00:00:00+00,LONG,411,0.4561996231001974,0.017393893,1.2936476
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,0.029661145,0.5922845
2005-09-21 00:00:00+00,LONG,1633,0.6244816552148627,0.018047825,0.9725689
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,0.02515582,1.5750738
2005-10-12 00:00:00+00,LONG,2085,0.0,0.022075972,0.5426546
