time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_13_50_df007,accel_price_5_df021,weighted_neg_sum_10_df036,dist_lower_bb_50_2.0_df055
2005-07-05 00:00:00+00,LONG,2550,0.15675082771820115,-0.026576828,-0.011519394,0.13936459,-0.049768236
2005-07-06 00:00:00+00,LONG,2731,0.9210526315789473,-0.048864886,-0.01491055,0.12787636,-0.034530513
2005-08-23 00:00:00+00,LONG,3586,0.5473077621057609,-0.026083367,0.006277464,0.15307686,0.020609811
2005-08-23 00:00:00+00,LONG,3994,0.8157894736842105,-0.05101109,-0.0038978262,0.12680086,0.0028177483
2005-08-30 00:00:00+00,LONG,938,1.0,-0.04422353,0.003005779,0.15392356,-0.05634732
2005-09-12 00:00:00+00,LONG,3535,0.0,-0.053996652,-0.025178794,0.13015507,-0.04964618
2005-09-13 00:00:00+00,LONG,2462,0.24211294876513834,-0.034570917,0.008024741,0.15987265,0.013730114
2005-09-15 00:00:00+00,LONG,2462,0.16355315271638224,-0.048456017,0.007913592,0.1434792,-0.011227202
2005-09-16 00:00:00+00,LONG,2462,0.106351489801051,-0.05529891,0.01407239,0.12991388,-0.031543683
2005-09-19 00:00:00+00,LONG,2462,0.13521209749556828,-0.060779992,-0.029173814,0.13667499,-0.027811222
2005-09-20 00:00:00+00,LONG,2462,0.08892426878247432,-0.06679178,0.004685099,0.1271313,-0.034653183
2005-09-22 00:00:00+00,LONG,2801,1.0,-0.020593025,-0.010373119,0.15887605,-0.020268831
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,-0.05324707,-0.010745699,0.13138162,0.02515582
2005-10-13 00:00:00+00,LONG,1667,0.342850559134223,-0.029362656,-0.025794517,0.13766271,0.032795887
2005-10-14 00:00:00+00,LONG,2085,0.0,-0.02690059,-0.01863264,0.13472545,0.00625509
2005-10-14 00:00:00+00,LONG,68,0.0,-0.042336557,0.009621402,0.13889262,0.0026362736
2005-10-14 00:00:00+00,LONG,2546,0.3197534291354142,-0.022171447,0.0012172285,0.13581103,-0.015473686
2005-10-18 00:00:00+00,LONG,1667,0.24426623582696538,-0.037850436,-0.023126265,0.1425558,-0.00611584
2005-10-21 00:00:00+00,LONG,1790,0.35058617501486483,-0.030582711,-0.028241208,0.14312439,-0.028918156
2005-10-24 00:00:00+00,LONG,1790,0.3127892805221924,-0.032748897,-0.0010303153,0.14312439,-0.039814167
2005-10-25 00:00:00+00,LONG,1790,0.2835044755813716,-0.033912867,0.0082641775,0.14024982,-0.02957938
2005-10-26 00:00:00+00,LONG,684,0.0,-0.0456691,-0.020025624,0.15355438,0.001708971
2005-10-27 00:00:00+00,LONG,684,0.9,-0.052267812,0.011599952,0.1525342,0.008730848
2005-10-27 00:00:00+00,LONG,3610,1.0,-0.06529789,0.011597926,0.1283637,-0.037314627
2005-10-27 00:00:00+00,LONG,3853,1.0,-0.06860459,-0.01606843,0.16118008,0.03763218
2005-10-27 00:00:00+00,LONG,1897,1.0,-0.049719274,-0.0027075836,0.12985781,-0.033357285
2005-10-28 00:00:00+00,LONG,3148,0.8165573183494518,-0.06824123,-0.011146999,0.12980032,-0.041167527
2005-10-28 00:00:00+00,LONG,3610,0.9761904761904762,-0.06824316,0.011863119,0.1283637,-0.05060427
2005-10-28 00:00:00+00,LONG,3853,1.0,-0.06985238,-0.0053098216,0.13010207,0.010607237
2005-10-28 00:00:00+00,LONG,4005,1.0,-0.02683988,-0.030170448,0.12925778,0.010965331
2005-10-31 00:00:00+00,LONG,684,0.85,-0.05999689,0.0013697171,0.1525342,-0.05023638
2005-10-31 00:00:00+00,LONG,4005,0.6508095854285162,-0.02916046,-0.0027371615,0.12925778,-0.013181449
2005-11-01 00:00:00+00,LONG,684,0.825,-0.06105972,0.0030007234,0.13309026,-0.054935455
2005-11-01 00:00:00+00,LONG,3148,0.8634142113920376,-0.062788785,-1.994515E-4,0.15270108,-0.06964632
2005-11-02 00:00:00+00,LONG,684,0.8,-0.062173624,0.01379697,0.13309026,-0.075228475
2005-11-02 00:00:00+00,LONG,1867,0.5065869150261383,-0.044781625,0.01023175,0.14363065,0.0027903724
2005-11-04 00:00:00+00,LONG,1673,0.36136635499028114,-0.051988285,-0.033291616,0.13073209,-0.003376317
2005-11-08 00:00:00+00,LONG,1673,0.935483870967742,-0.053849477,0.00917534,0.13073209,-0.021183798
