time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,dist_upper_bb_50_2.5_df055,price_roc_5_df020
2005-05-27 00:00:00+00,SHORT,3794,0.345718839790073,0.7811369,-0.020923812,0.048556097
2005-06-01 00:00:00+00,SHORT,1244,0.9166666666666666,0.7594298,-0.035000194,0.048281487
2005-06-02 00:00:00+00,SHORT,19,1.0,0.7893748,0.019921606,0.06658898
2005-06-02 00:00:00+00,SHORT,938,0.0,0.89024144,0.0067951595,0.055387713
2005-06-02 00:00:00+00,SHORT,1244,0.8461538461538461,0.7521979,-0.020987382,0.07436159
2005-06-07 00:00:00+00,SHORT,323,0.0,0.76466435,-0.042391147,0.07344884
2005-06-09 00:00:00+00,SHORT,191,0.0,0.8199954,-0.0059713,0.06803519
2005-06-09 00:00:00+00,SHORT,3824,0.5436582326675299,0.77776986,-0.021874322,0.027396094
2005-06-17 00:00:00+00,SHORT,2343,0.4046572580384719,0.8024101,-0.04632152,0.04111213
2005-06-17 00:00:00+00,SHORT,687,0.20099737471289936,0.79023904,-0.03370454,0.027075408
2005-06-21 00:00:00+00,SHORT,2351,0.0,0.97890586,-0.0027927298,0.06766398
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,0.8461508,-0.010670143,0.03682662
2005-06-22 00:00:00+00,SHORT,4062,0.0,0.8039041,-0.0017207401,0.057416268
2005-06-23 00:00:00+00,SHORT,457,0.17720134099265433,0.8168608,-0.07471181,0.04415478
2005-06-23 00:00:00+00,SHORT,2659,0.49953553852255733,0.7899839,-0.02314829,0.022121385
2005-06-23 00:00:00+00,SHORT,2971,0.8795418168727182,0.8051773,-0.019331357,0.010488237
2005-07-11 00:00:00+00,SHORT,1762,0.0,0.7604466,-0.0107860565,0.040091876
2005-07-12 00:00:00+00,SHORT,2272,0.08782914986005264,0.8777814,0.014224122,0.072870664
2005-07-12 00:00:00+00,SHORT,1298,0.0,0.7917983,-0.01233891,0.058545798
2005-07-14 00:00:00+00,SHORT,2801,0.0,0.7837231,-0.046712387,0.06745589
2005-07-14 00:00:00+00,SHORT,3283,0.0,0.7750663,-0.044900358,0.050273597
2005-07-14 00:00:00+00,SHORT,3631,0.9285714285714286,0.81013995,-0.09103404,0.0821382
2005-07-15 00:00:00+00,SHORT,3573,0.0,0.7500778,-0.019568779,0.07490238
2005-07-15 00:00:00+00,SHORT,3631,0.8571428571428572,0.8715341,-0.089802384,0.05144291
2005-07-15 00:00:00+00,SHORT,3825,0.5423765053031164,0.8370872,-9.493819E-4,0.06626506
2005-07-19 00:00:00+00,SHORT,2085,1.0,0.75429523,-0.037283335,0.020384615
2005-07-19 00:00:00+00,SHORT,1667,1.0,0.81149936,-0.013846088,0.017570281
2005-07-20 00:00:00+00,SHORT,2305,1.0,0.82292205,-0.017729875,0.057848554
2005-07-20 00:00:00+00,SHORT,3716,0.8842259872678365,0.85195345,-0.022324435,0.036461033
2005-07-20 00:00:00+00,SHORT,1761,0.6182015794127816,0.8800638,0.013465148,0.072474375
2005-07-20 00:00:00+00,SHORT,1939,0.8333333333333334,0.81906974,-0.028914817,0.047280345
2005-07-21 00:00:00+00,SHORT,3433,0.21104748966986223,0.8139031,0.007813193,0.08108108
2005-07-21 00:00:00+00,SHORT,1454,0.6755778798696086,0.8372507,-0.014729483,0.028901432
2005-07-21 00:00:00+00,SHORT,3973,0.3527971835415313,0.84414566,-0.0059597967,0.019667802
2005-07-21 00:00:00+00,SHORT,1939,0.7777777777777778,0.8898544,-0.045680307,0.033910777
2005-07-22 00:00:00+00,SHORT,3973,0.5089795294831431,0.84021306,-0.009513091,0.020166332
2005-07-28 00:00:00+00,SHORT,3677,0.0,0.7747338,-0.047687348,0.042229086
2005-08-02 00:00:00+00,SHORT,918,0.14886855719294073,0.7737271,-0.02310308,0.039074074
2005-08-02 00:00:00+00,SHORT,1919,0.42923298062567095,0.8024223,-0.045458913,0.025851175
2005-08-03 00:00:00+00,SHORT,2129,0.4247625859428777,0.75982326,-2.1775653E-4,0.03396697
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,0.8205643,-0.0059712552,0.039980177
2005-08-04 00:00:00+00,SHORT,2546,0.0,0.8766144,-0.01207899,0.032379165
2005-08-04 00:00:00+00,SHORT,853,0.14196434160179547,0.77094764,-0.04837092,0.019645121
2005-08-09 00:00:00+00,SHORT,2747,0.7894314205451733,0.79397553,0.019492304,0.058274616
2005-08-10 00:00:00+00,SHORT,796,1.0,0.9322737,0.01921548,0.06454414
2005-08-10 00:00:00+00,SHORT,3352,0.3981358864836691,0.94884235,0.022177363,0.07731035
2005-08-10 00:00:00+00,SHORT,3703,0.2552213864749642,0.8041329,-0.017461726,0.025261495
2005-08-11 00:00:00+00,SHORT,3420,0.46879023363521527,0.8296809,-0.021691436,0.06624506
2005-08-11 00:00:00+00,SHORT,3613,0.0,0.78025514,-0.014463003,0.067226894
2005-08-12 00:00:00+00,SHORT,870,0.42110954967513364,0.78817624,-0.052002937,0.057792533
2005-08-12 00:00:00+00,SHORT,1012,0.0,0.8704606,-0.006253623,0.032151144
2005-08-12 00:00:00+00,SHORT,3420,0.36858404030772673,0.7723148,-0.0269869,0.06253948
