time,side,ticker_id,mv_dn_composite_labels,velocity_price_vs_etf_diff_21_df050,price_roc_5_df020,dist_lower_bb_20_2.5_df055,price_drift_21_df005
2006-04-05 00:00:00+00,SHORT,356,0.0,0.07499191,0.04074188,-0.20254128,0.09874748
2006-04-07 00:00:00+00,SHORT,3610,0.31977438536214225,0.093246944,0.03304216,-0.21877071,0.11020408
2006-04-18 00:00:00+00,SHORT,3610,0.6262838573330579,0.112205975,0.040453687,-0.20298511,0.11281844
2006-05-02 00:00:00+00,SHORT,3179,0.593963942118747,0.11283195,0.045310598,-0.2044292,0.12477064
2006-05-10 00:00:00+00,SHORT,2064,0.4183547314491373,0.10929898,0.03548124,-0.21552846,0.13095768
2006-05-10 00:00:00+00,SHORT,3352,1.0,0.11210753,0.04550898,-0.2243325,0.13376623
2006-05-11 00:00:00+00,SHORT,817,0.6435178209936562,0.07475739,0.051774986,-0.22153409,0.09271448
2006-05-26 00:00:00+00,SHORT,4172,0.0,0.03971667,0.05421875,-0.22100066,0.019492295
2006-05-26 00:00:00+00,SHORT,3573,1.0,-1.45900085E-5,0.043094497,-0.20978215,-0.020238966
2006-06-02 00:00:00+00,SHORT,629,0.0,-2.5046946E-4,0.039697543,-0.21940993,-0.014690075
2006-06-02 00:00:00+00,SHORT,712,0.0,0.050400548,0.055569038,-0.20476823,0.035960943
2006-06-29 00:00:00+00,SHORT,3684,0.0,0.029274028,0.050751116,-0.21763511,0.027391823
2006-07-03 00:00:00+00,SHORT,220,0.9166666666666666,0.12006182,0.050040793,-0.24350645,0.1107595
2006-07-05 00:00:00+00,SHORT,2731,0.0,0.071807735,0.038853627,-0.2281494,0.0714144
2006-07-05 00:00:00+00,SHORT,3013,0.37362641897689314,0.05095059,0.036824487,-0.23321867,0.05055726
2006-07-05 00:00:00+00,SHORT,4062,0.9166666666666666,0.05337346,0.056020793,-0.23764718,0.052980132
2006-07-06 00:00:00+00,SHORT,335,0.4598650829047961,0.09005745,0.042185128,-0.2405736,0.09502551
2006-07-06 00:00:00+00,SHORT,3947,0.3224599677822362,0.10302633,0.060402684,-0.24088828,0.10799439
2006-07-06 00:00:00+00,SHORT,1919,0.0,0.028771779,0.046854563,-0.24216071,0.03373984
2006-07-06 00:00:00+00,SHORT,4062,0.8181818181818181,0.086076714,0.05452972,-0.23610316,0.091044776
2006-07-07 00:00:00+00,SHORT,429,0.0,0.07131933,0.060544062,-0.20180178,0.07727832
2006-07-07 00:00:00+00,SHORT,440,0.0,0.06499977,0.051383957,-0.2021663,0.07095877
2006-07-07 00:00:00+00,SHORT,1919,0.0,2.9021887E-5,0.041150223,-0.21927086,0.005988024
2006-07-07 00:00:00+00,SHORT,1960,0.0,0.06308862,0.032183908,-0.21035887,0.06904762
2006-07-10 00:00:00+00,SHORT,440,0.0,0.07436977,0.031066813,-0.20265396,0.083117284
2006-08-03 00:00:00+00,SHORT,2690,0.5662845294916634,0.04932916,0.031105869,-0.21298854,0.059953228
2006-08-04 00:00:00+00,SHORT,517,0.0811311159954164,0.03502629,0.043735348,-0.23607503,0.04098988
2006-08-07 00:00:00+00,SHORT,2230,0.229648007072979,0.059051197,0.059917282,-0.24519807,0.06923997
2006-08-08 00:00:00+00,SHORT,3851,0.47744746292872997,0.065798104,0.050543025,-0.20364566,0.07021277
2006-08-10 00:00:00+00,SHORT,4118,0.0,0.04059477,0.03158256,-0.20528993,0.05106681
2006-08-16 00:00:00+00,SHORT,4118,0.0,0.08379756,0.035786632,-0.22697927,0.13001841
